"dota"
{
"DOTA_Accept"	"Принять"
"DOTA_ProfileCard_StatTitle_FirstMatchDate"	"В игре с"
"DOTA_ProfileCard_StatValue_Int"	"{d:stat_value}"
"DOTA_ProfileCard_StatValue_Date"	"{t:s:stat_value}"
"DOTA_ProfileCard_StatValue_String"	"{s:stat_value}"
"DOTA_ProfileCard_SlotTab_Trophies"	"Трофеи"
"DOTA_ProfileCard_SlotTab_Items"	"Арсенал"
"DOTA_ProfileCard_SlotTab_Heroes"	"Герои"
"DOTA_ProfileCard_SlotTab_Emoticons"	"Смайлики"
"DOTA_ProfileCard_NoTrophies"	"Нет трофеев."
"DOTA_ProfileCard_NoItems"	"Нет предметов."
"DOTA_ProfileCard_HeroOnly"	"Герой"
"DOTA_ProfileCard_HeroShowWins"	"Победы"
"DOTA_ProfileCard_HeroShowWinsAndLosses"	"Победы/поражения"
"DOTA_ProfileCard_ItemSearchPrefix"	"Искать:"
"DOTA_ProfileCard_ItemSearchPlaceholder"	"По названию"
"DOTA_ProfileCard_ItemArmoryLink"	"Открыть арсенал"
"DOTA_HeroTooltip_HeroName"	"{s:hero_name}"
"DOTA_HeroTooltip_HeroRecord"	"{s:hero_wins_string}, {s:hero_losses_string}"
"DOTA_ProfileCard_HeroSearchPlaceholder"	"Искать по имени героя"
"DOTA_Wins_Singular"	"1 победа"
"DOTA_Wins_Plural"	"Побед — {d:hero_wins}"
"DOTA_Losses_Singular"	"1 поражение"
"DOTA_Losses_Plural"	"поражений — {d:hero_losses}"
"DOTA_Profile_TotalGames"	"Всего игр"
"DOTA_Profile_Solo_MMR"	"Одиночный рейтинг"
"DOTA_Profile_Team_MMR"	"Рейтинг команды"
"DOTA_Profile_Party_MMR"	"Групповой рейтинг"
"DOTA_Profile_VictoryCount"	"Побед"
"DOTA_Profile_ProfilePage"	"Профиль"
"DOTA_Profile_TrophyPage"	"Трофеи"
"DOTA_Profile_RecentGamesPage"	"Недавние игры"
"DOTA_Profile_HeroPage"	"Герои"
"DOTA_Profile_PlayStyle"	"Стиль игры"
"DOTA_Profile_MostRecent"	"Данные по последним играм ({s:num_style_games})"
"DOTA_Profile_RecentActivity"	"Недавние действия"
"DOTA_Profile_Fighting"	"Сражение"
"DOTA_Profile_Fighting_TooltipTitle"	"Сражение"
"DOTA_Profile_Fighting_Tooltip"	"Активное участие в битвах с вражескими героями."
"DOTA_Profile_Farming"	"Добыча золота"
"DOTA_Profile_Farming_TooltipTitle"	"Добыча золота"
"DOTA_Profile_Farming_Tooltip"	"Получение золота за убийство существ."
"DOTA_Profile_Supporting"	"Поддержка"
"DOTA_Profile_Supporting_TooltipTitle"	"Поддержка"
"DOTA_Profile_Supporting_Tooltip"	"Поддержка своей команды лечением, вардами и предметами."
"DOTA_Profile_Pushing"	"Осада"
"DOTA_Profile_Pushing_TooltipTitle"	"Осада"
"DOTA_Profile_Pushing_Tooltip"	"Осада вражеских башен и отвлечение внимания противников."
"DOTA_Profile_Versatility"	"Гибкость"
"DOTA_Profile_Versatility_TooltipTitle"	"Гибкость"
"DOTA_Profile_Versatility_Tooltip"	"Разнообразие в выборе героев."
"DOTA_Profile_Tooltip_Value"	"{s:CurrentStatValue}"
"DOTA_Profile_Tooltip_Comparison"	"{s:CurrentComparisonValue}"
"DOTA_Profile_StatsCompare"	"Сравнить со мной"
"DOTA_Profile_Self"	"Я"
"DOTA_Profile_GPM"	"ЗВМ в среднем"
"DOTA_Profile_XPM"	"ОВМ в среднем"
"DOTA_Profile_LH"	"добито в среднем"
"DOTA_Profile_Rampages"	"буйств"
"DOTA_Profile_TripleKills"	"тройных убийств"
"DOTA_Profile_FirstBlood"	"первых убийств"
"DOTA_Profile_FirstBled"	"первых смертей"
"DOTA_Profile_CourierKills"	"убийств курьера"
"DOTA_Profile_Aegises"	"краж Aegis"
"DOTA_Profile_CheeseEaten"	"поеданий Cheese"
"DOTA_Profile_CreepStack"	"стакнутых лагерей"
"DOTA_Profile_GPMValue"	"{s:GPM}"
"DOTA_Profile_XPMValue"	"{s:XPM}"
"DOTA_Profile_LHValue"	"{s:LH}"
"DOTA_Profile_RampagesValue"	"{d:Rampages}"
"DOTA_Profile_TripleKillsValue"	"{d:TripleKills}"
"DOTA_Profile_FirstBloodValue"	"{d:FirstBlood}"
"DOTA_Profile_FirstBledValue"	"{d:FirstBled}"
"DOTA_Profile_CourierKillsValue"	"{d:CourierKills}"
"DOTA_Profile_AegisesValue"	"{d:Aegises}"
"DOTA_Profile_CheeseEatenValue"	"{d:CheeseEaten}"
"DOTA_Profile_CreepStackValue"	"{d:CreepStack}"
"DOTA_Profile_GPMLocalValue"	"{s:GPMLocal}"
"DOTA_Profile_XPMLocalValue"	"{s:XPMLocal}"
"DOTA_Profile_LHLocalValue"	"{s:LHLocal}"
"DOTA_Profile_RampagesLocalValue"	"{d:RampagesLocal}"
"DOTA_Profile_TripleKillsLocalValue"	"{d:TripleKillsLocal}"
"DOTA_Profile_FirstBloodLocalValue"	"{d:FirstBloodLocal}"
"DOTA_Profile_FirstBledLocalValue"	"{d:FirstBledLocal}"
"DOTA_Profile_CourierKillsLocalValue"	"{d:CourierKillsLocal}"
"DOTA_Profile_AegisesLocalValue"	"{d:AegisesLocal}"
"DOTA_Profile_CheeseEatenLocalValue"	"{d:CheeseEatenLocal}"
"DOTA_Profile_CreepStackLocalValue"	"{d:CreepStackLocal}"
"DOTA_RecentGames_Title"	"Последние игры"
"DOTA_RecentGames_TimeStamp"	"Дата/время"
"DOTA_RecentGames_HeroSelection"	"Герой"
"DOTA_RecentGames_GameResult"	"Исход"
"DOTA_RecentGames_GameLength"	"Длительность"
"DOTA_RecentGames_Team"	"Команда"
"DOTA_RecentGames_GameType"	"Тип"
"DOTA_RecentGames_Items"	"Предметы"
"DOTA_RecentGame_Timestamp_Entry"	"{t:s:timestamp} {t:t:timestamp}"
"DOTA_RecentGame_Duration"	"{t:d:duration}"
"DOTA_RecentGame_Downloading"	"Загружено: {s:DownloadPercent}"
"DOTA_RecentGame_Watch"	"Смотреть запись"
"DOTA_RecentGame_NoReplay"	"Записи нет"
"DOTA_RecentGame_Expired"	"Истек срок хранения"
"DOTA_RecentGame_Finding"	"Поиск…"
"DOTA_RecentGame_Download"	"Загрузить запись"
"DOTA_RecentGame_Pending"	"Запись обрабатывается"
"DOTA_RecentGame_Unavailable"	"Запись недоступна"
"DOTA_RecentGame_MatchID"	"ID матча: №{s:match_id}"
"DOTA_No_Team_Name"	"--"
"DOTA_TrophyCount"	"Трофеев: {d:trophy_count}"
"DOTA_TrophiesCount"	"Трофеев: {d:trophy_count}"
"DOTA_TrophyCount_Number"	"{d:trophy_count}"
"DOTA_TrophyCount_NoNum"	"Трофей"
"DOTA_TrophiesCount_NoNum"	"Трофеев"
"DOTA_Trophies_ViewAll"	"Посмотреть все"
"DOTA_TrophyName"	"{s:trophy_name}"
"DOTA_TrophyCategory"	"{s:trophy_category}"
"DOTA_TrophyDescription"	"{s:trophy_description}"
"DOTA_TrophyXP"	"{d:trophy_xp} очков трофеев"
"DOTA_NextTrophy"	"Следующая награда:"
"DOTA_NewPlayerQuestion_Title"	"ДОБРО ПОЖАЛОВАТЬ В DOTA 2"
"DOTA_PlayerOriginQuestion_Question"	"Чтобы мы узнали вас получше, скажите, насколько вы знакомы с Dota 2 и подобными ей играми:"
"DOTA_PlayerOriginQuestion_BeginnerButton"	"Я новичок."
"DOTA_PlayerOriginQuestion_RTSButton"	"Я играл в стратегии в реальном времени."
"DOTA_PlayerOriginQuestion_MOBAButton"	"Я играл в игру, похожую на Dota 2."
"DOTA_PlayerOriginQuestion_Dota2Button"	"Я уже играл в Dota 2."
"DOTA_PlayerOriginQuestion_MOBAExplanation"	"Выберите игру, в которой вы чувствуете себя наиболее комфортно:"
"DOTA_OtherGames_LOL"	"League of Legends"
"DOTA_OtherGames_DOTA"	"Первая DotA"
"DOTA_OtherGames_HON"	"Heroes of Newerth"
"DOTA_OtherGames_Smite"	"Smite"
"DOTA_OtherGames_Other"	"Другая игра"
"DOTA_PlayerOriginQuestion_ConfirmationButton"	"СЫГРАЕМ"
"DOTA_PlayerOriginQuestion_ConfirmationTutorial"	"Как новичку в Dota, вам могут быть интересны обучающие материалы, расположенные во вкладке Игра > Обучение. Это важный, первый шаг на пути к превосходству над другими игроками со всего мира."
"DOTA_PlayerOriginQuestion_ConfirmationSettings"	"Ваши привязки клавиш и настройки установлены на уровне игроков с вашим опытом. Вы можете изменить их в любой момент, нажав на иконку настроек."
"DOTA_Tutorial_SkipButton"	"Пропустить обучение"
"DOTA_ConfirmSkip"	"Пропустить введение в Dota 2?"
"DOTA_ConfirmSkipDesc"	"Вы уверены, что хотите пропустить обучение Dota 2?"
"DOTA_Tutorial_Start_Quest"	"НАЧАТЬ ЗАДАНИЕ"
"DOTA_Tutorial_Quest0_Title"	"ЗАДАНИЕ №1"
"DOTA_Tutorial_Quest0_TitleDesc"	"ГЕРОЙ ДАЛЬНЕГО БОЯ"
"DOTA_Tutorial_Quest0DetailsDesc"	"Это задание займет около\n10 минут."
"DOTA_Tutorial_QuestDetailsLearn"	"Вы узнаете о:"
"DOTA_Tutorial_Quest0DetailsLesson"	"Перемещении героя\nПолучении уровней\nПрименении способностей\nПредметах\nОсновах боя\nДобивании"
"DOTA_Tutorial_Quest1_Title"	"ЗАДАНИЕ №2"
"DOTA_Tutorial_Quest1_TitleDesc"	"СРАЖЕНИЕ НА ЛИНИИ"
"DOTA_Tutorial_Quest1DetailsDesc"	"Это задание займет около\n10 минут."
"DOTA_Tutorial_Quest1DetailsLesson"	"Дальний бой\nСпособности, действующие по площади\nМини-карта\nБашни\nКурьеры и тайник\nТелепортация"
"DOTA_Tutorial_Quest2_Title"	"ЗАДАНИЕ №3"
"DOTA_Tutorial_Quest2_TitleDesc"	"СРАЖЕНИЕ НА ЛИНИИ"
"DOTA_Tutorial_Quest2DetailsDesc"	"Это задание займет\n10 - 15 минут."
"DOTA_Tutorial_Quest2DetailsLesson"	"Бой на линии\nЗащита башен и нападение на них\nНачальные предметы"
"DOTA_Challenges_Title"	"Обучение"
"DOTA_ChallengeGroup_0_Title"	"Механика"
"DOTA_ChallengeGroup_1_Title"	"Обучающие матчи с ботами"
"DOTA_ChallengeGroup_1_Desc"	"Начните отсюда!"
"DOTA_ChallengeGroup_2_Title"	"Матчи с ботами"
"DOTA_ChallengeGroup_More"	"Позже"
"DOTA_ChallengeGroup_Locked"	"Закрыто"
"DOTA_LearnMechanics_Title"	"Механика"
"DOTA_LearnMechanics_SubTitle"	"Изучите основы игры: управление героем, получение золота и опыта, покупку предметов и многое другое. Если вы не имеете опыта в играх, похожих на Dota, вам сюда."
"DOTA_Mechanics_0_Title"	"Механика 1"
"DOTA_Mechanics_0_Desc"	"Перемещение героя\nПолучение уровней\nПрименение способностей\nПредметы\nПростой бой\nДобивание"
"DOTA_Mechanics_1_Title"	"Механика 2"
"DOTA_Mechanics_1_Desc"	"Дальний бой\nСпособности, действующие по площади\nМини-карта\nБашни\nКурьеры и тайник\nСвитки телепортации"
"DOTA_LearnGuidedBotMatches_Title"	"Обучающие матчи с ботами"
"DOTA_LearnGuidedBotMatches_SubTitle"	"Вступите в обучающую битву против героев под управлением компьютера. Мы проведем вас шаг за шагом через каждую стадию игры, и вы превратите своего героя в неудержимую силу."
"DOTA_GuidedBotMatches_0_Title"	"Luna"
"DOTA_GuidedBotMatches_0_Desc"	"Малая дистанция боя\nВысокий урон атаки\nВысокая скорость передвижения\nУмеренно уязвима\nОпирается на ловкость"
"DOTA_GuidedBotMatches_1_Title"	"Sven"
"DOTA_GuidedBotMatches_1_Desc"	"Ближний бой\nНевероятно высокий урон атаки\nУстойчив к урону\nУязвим к замедлению\nПолагается на силу"
"DOTA_GuidedBotMatches_2_Title"	"Lina"
"DOTA_GuidedBotMatches_2_Desc"	"Большая дистанция атаки\nНевероятно высокий урон способностей\nКороткая перезарядка\nОчень уязвима\nПолагается на интеллект"
"DOTA_LearnBotMatches_Title"	"Матчи с ботами"
"DOTA_LearnBotMatches_SubTitle"	"Потренируйтесь в непринужденной обстановке, где союзниками и противниками управляет компьютер."
"DOTA_BotMatches_0_Title"	"Легкие боты"
"DOTA_BotMatches_0_Desc"	"Изучите нового героя."
"DOTA_BotMatches_1_Title"	"Средние боты"
"DOTA_BotMatches_1_Desc"	"Освойтесь."
"DOTA_BotMatches_2_Title"	"Сложные боты"
"DOTA_BotMatches_2_Desc"	"Испытайте себя."
"DOTA_BotMatches_3_Title"	"Безумные боты"
"DOTA_BotMatches_3_Desc"	"Приготовьтесь к боли."
"FileOpenDialog_Open"	"Открыть"
"FileOpenDialog_Save"	"Сохранить"
"FileOpenDialog_Select"	"Выбрать"
"FileOpenDialog_FileType_Folder"	"Папка"
"DOTA_FindMatch"	"Найти игру"
"DOTA_FindingMatch"	"Поиск матча ({s:find_match_time})"
"DOTA_FindMatchTime"	"{s:find_match_time}"
"DOTA_Searching"	"Поиск"
"DOTA_StartSoloBotMatch"	"Игра с ботами"
"DOTA_Create_Lobby"	"Создать лобби"
"DOTA_Join_Lobby"	"Войти в лобби"
"DOTA_LobbyStartGame"	"Начать игру"
"DOTA_ReturnToLobby"	"Вернуться в лобби"
"DOTA_FindMatchStatus"	"{s:searching_matchtype} / {s:searching_gamemodes} / {s:searching_region}"
"DOTA_FindGameModesMany"	"Режимы игры: "
"DOTA_FindRegionsMany"	"Регионы: "
"DOTA_GameMode_AllPick"	"All Pick"
"DOTA_GameMode_SingleDraft"	"Single Draft"
"DOTA_GameMode_CaptainsMode"	"Captains Mode"
"DOTA_GameMode_RandomDraft"	"Random Draft"
"DOTA_GameMode_AbilityDraft"	"Ability Draft"
"DOTA_GameMode_LeastPlayed"	"Least Played"
"DOTA_GameMode_AllRandom"	"All Random"
"DOTA_GameMode_LimitedHeroes"	"Limited Heroes"
"DOTA_GameMode_CaptainsDraft"	"Captains Draft"
"DOTA_GameMode_AllRandomDeathMatch"	"All Random Death Match"
"DOTA_ImmediatePurchase_SendFailed"	"Не удалось отправить запрос на покупку. Возможно, серверы Dota отключены. Повторите попытку позже."
"DOTA_ImmediatePurchase_Timeout"	"Истекло время ожидания ответа на запрос на покупку. Пожалуйста, повторите попытку позднее."
"DOTA_ImmediatePurchase_InitFailed"	"Не удалось запустить покупку через Perfect World. Пожалуйста, повторите попытку позже."
"DOTA_ImmediatePurchase_InsufficientFundsPW"	"На вашем аккаунте Perfect World недостаточно средств для совершения покупки. Пожалуйста, пополните баланс и повторите попытку."
"DOTA_ImmediatePurchase_Success_Title"	"Покупка совершена"
"DOTA_ImmediatePurchase_Success_Text"	"Покупка успешно совершена! Вскоре ваши предметы появятся в арсенале."
"DOTA_ImmediatePurchase_Cancelled_Title"	"Покупка отменена"
"DOTA_ImmediatePurchase_UnbundleTimeout"	"Превышено время ожидания для запроса о распаковке набора. Пожалуйста, повторите попытку позже."
"DOTA_ImmediatePurchase_UnbundleFailure"	"Не удалось распаковать набор. Пожалуйста, повторите попытку позже."
"DOTA_ImmediatePurchase_LateCancel"	"Покупка была отменена ранее. Деньги с вашего счета не списаны."
"DOTA_ConfirmPurchaseTitle"	"Подтверждение"
"DOTA_ConfirmPurchaseText"	"Вы уверены, что желаете приобрести этот предмет?"
"DOTA_PurchaseInProgress_Title"	"Покупка"
"DOTA_PurchaseInProgress_Text"	"Ваш запрос на покупку обрабатывается."
"DOTA_UnbundleInProgress_Title"	"Распаковка"
"DOTA_UnbundleInProgress_Text"	"Ваш набор распаковывается."
"DOTA_ConfirmUnbundleTitle"	"Подтверждение"
"DOTA_ConfirmUnbundleText"	"Чтобы использовать предметы из набора, их нужно распаковать. Продолжить?"
"DOTA_RequestingBalance_Title"	"Проверка баланса"
"DOTA_RequestingBalance_Text"	"Запрашивается баланс вашей учетной записи Perfect World…"
"DOTA_PartnerPurchaseRecharge_Title"	"Пополнение баланса"
"DOTA_PartnerPurchaseRecharge_Text"	"Переход к пополнению баланса…"
"DOTA_PartnerPurchase_Purchase"	"{g:dota_item_price:item_def}"
"DOTA_PartnerPurchase_Recharge"	"Пополнить счет аккаунта"
"DOTA_PartnerPurchase_Balance"	"Баланс: {m:balance}"
"DOTA_PartnerRecharge_Close"	"Вернуться к покупке"
"RequestBalanceBadAccount"	"Не удалось запросить баланс: аккаунт не найден."
"RequestBalanceAccountNotLinked"	"Не удалось запросить баланс: ваш аккаунт не связан с Perfect World."
"RequestBalanceUnsupportedPartner"	"Не удалось запросить баланс: ваш аккаунт не связан с известным нам партнером."
"StoreCheckout_Error_Title"	"Ошибка"
"StoreCheckout_NoItems"	"Ваша корзина пуста!"
"StoreCheckout_TooManyItems"	"В вашей корзине слишком много предметов!"
"StoreCheckout_Loading"	"Покупка…"
"StoreCheckout_Unavailable"	"В данный момент покупка невозможна."
"StoreCheckout_Cancelling"	"Отмена..."
"StoreCheckout_Fail"	"В данный момент магазин закрыт."
"StoreCheckout_InvalidParam"	"Программная ошибка! Координатору игры был передан неверный параметр. Попробуйте совершить покупку еще раз."
"StoreCheckout_InternalError"	"Произошла ошибка при инициализации или обновлении перевода. Подождите несколько минут и повторите попытку, либо обратитесь в службу поддержки."
"StoreCheckout_ContactSupport"	"Во время покупки произошла ошибка. Пожалуйста, обратитесь за помощью в службу поддержки."
"StoreCheckout_NotApproved"	"Координатор игры не смог утвердить операцию через Steam. Пожалуйста, попробуйте совершить покупку через некоторое время."
"StoreCheckout_NotLoggedin"	"Чтобы совершить покупку, вы должны подключиться к Steam."
"StoreCheckout_WrongCurrency"	"Валюта, выбранная для оплаты, не совпадает с валютой в вашем кошельке."
"StoreCheckout_NoAccount"	"В настоящее время ваш счет в Steam недоступен. Пожалуйста, попробуйте совершить покупку через некоторое время."
"StoreCheckout_InsufficientFunds"	"У вас недостаточно средств на счету, чтобы совершить эту покупку."
"StoreCheckout_TimedOut"	"Время, отведенное на перевод средств, истекло. Пожалуйста, попробуйте совершить покупку еще раз."
"StoreCheckout_SteamAccountDisabled"	"Ваш аккаунт Steam заблокирован, вы не можете делать покупки."
"StoreCheckout_SteamAccountNoPurchase"	"Операции с кошельком Steam недоступны для данного аккаунта."
"StoreCheckout_OldPriceSheet"	"Каталог товаров устарел. Запрашивается новая версия."
"StoreCheckout_TransactionNotFound"	"Координатор игры не нашел идентификатор сделки. Пожалуйста, попробуйте совершить покупку снова."
"StoreCheckout_TransactionCancelled"	"Операция отменена. Средства не были списаны."
"StoreCheckout_TransactionCompleted"	"Операция совершена!\nНаслаждайтесь покупками!"
"StoreCheckout_CompleteButUnfinalized"	"Невозможно подтвердить покупку. При ее успешном завершении вы получите товар с небольшой задержкой."
"StoreCheckout_NotEnoughRoom"	"В арсенале недостаточно места для покупки такого количества предметов."
"StoreCheckout_ContactSupport_Dialog_Title"	"Предупреждение"
"StoreCheckout_ContactSupport_Dialog_Btn"	"Связаться"
"StoreCheckout_LimitedQuantityItemsUnavailable"	"Товар, который вы пытаетесь купить, уже распродан или недоступен."
"StoreCheckout_Nexon_InsufficientFunds"	"У вас недостаточно средств, чтобы совершить покупку."
"StoreCheckout_Nexon_FundsLocked"	"Включена блокировка на наличные Nexon."
"npc_dota_hero_abaddon_hype"	"Abaddon, способный лечиться за счет вражеских атак, может пережить почти любое нападение. Он всегда готов нестись в гущу битвы, закрывая щитом союзников и запуская свою обоюдоострую спираль во врага или товарища."
"npc_dota_hero_alchemist_hype"	"Alchemist, синтезирующий дополнительные средства за каждое убийство, с легкостью получит необходимое вооружение. Он сражается во имя своей жадности, используя едкую кислоту и запас нестабильных химикатов."
"npc_dota_hero_ancient_apparition_hype"	"Ancient Apparition, способный запустить мощный заряд льда через поле битвы, может заморозить раненых врагов до смерти, где бы те ни находились. Он держит врагов в напряжении, замедляя их и усиляя своих союзников."
"npc_dota_hero_antimage_hype"	"Если Anti-Mage наберет полную силу, мало кто сможет его остановить. Он способен забирать у врагов ману каждым ударом или телепортироваться на небольшие расстояния, что не позволяет врагам загнать его в угол."
"npc_dota_hero_axe_hype"	"Axe рубит одного врага за другим, всегда находясь впереди своей команды. Он не дает противникам ретироваться, а затем отвечает на их удары смертоносным взмахом топора. Круша ослабленных врагов, он всегда несется вперед."
"npc_dota_hero_bane_hype"	"Bane наводит ужас на врагов своим арсеналом обездвиживающих способностей. Погружая врагов в заразительные кошмары или захватывая их на месте, он дает союзникам достаточно времени, чтобы прикончить противника."
"npc_dota_hero_batrider_hype"	"Взмыв в небеса, Batrider может нанести удар с любой стороны. Захватив противника своим лассо, он поднимается над верхушками деревьев и тащит жертву по тропе огня прямо к своим беспощадным союзникам."
"npc_dota_hero_beastmaster_hype"	"Beastmaster никогда не выходит на охоту неподготовленными. Он призывает на помощь изрыгающего яд борова и зоркого ястреба, прорубает свой путь через лес топорами, а его оглушительный рев служит сигналом к нападению на врагов."
"npc_dota_hero_bloodseeker_hype"	"Bloodseeker ставит противников перед непростым выбором. Окропив обширную территорию кровью, он вынуждает врагов отступать, а под его чудовищным ультом жертва либо стоит на месте, либо погибает."
"npc_dota_hero_bounty_hunter_hype"	"Bounty Hunter незаметно крадется по следам своих врагов и не спускает с них глаз. Когда его жертва падает замертво, он и его союзники получают хорошую прибыль."
"npc_dota_hero_brewmaster_hype"	"Грозный воитель Brewmaster способен изменить ход сражения, обернувшись тремя духами стихий с уникальными способностями, а в своей изначальной форме он погружает врагов в хмельной хаос замедляющими ударами и мощными взмахами своего посоха."
"npc_dota_hero_bristleback_hype"	"Bristleback всегда готов к сражению. Уменьшая весь урон, который ему наносят сзади и сбоку, он безрассудно бросается в бой и поливает врагов смертоносными иглами и замедляющими соплями."
"npc_dota_hero_broodmother_hype"	"Скрываясь от чужих глаз в своей паутине, Broodmother взращивает армию пауков, которые идут в наступление на базу врага. Если по пути попадется жертва, она присоединяется к своим отпрыскам и нападает, замедляя врагов выводящими из строя укусами и утоляя свой неугасимый голод."
"npc_dota_hero_centaur_hype"	"Centaur Warrunner умело наносит и принимает урон. Он ведет команду в наступление, оглушает своим топотов врагов и мгновенно отвечает на каждый удар, ускоряя как союзников, так и смерть неприятелей."
"npc_dota_hero_chaos_knight_hype"	"Chaos Knight — сам по себе армия. Он способен призывать кавалерию своих копий и разрушать строения врага, а когда покажутся защитники, он расколет реальность и перенесет себя и свои копии на расстояние, достаточное для рокового взмаха дубины."
"npc_dota_hero_chen_hype"	"Обратив лесных существ в свою веру, Chen ведет свою импровизированную армию на помощь команде. Он насылает зверей на противников, союзников отправляет в безопасное место, а в крайнем случае излечивает их, где бы они ни были."
"npc_dota_hero_clinkz_hype"	"Невидимый Clinkz рыщет по полю битвы, и от внезапного нападения не спастись никому. Этот скорый лучник накрывает врагов дождем огненных стрел, а затем вбирает в себя жизнь лесных существ и готовится нанести следующий удар."
"npc_dota_hero_rattletrap_hype"	"Притягиваясь ко врагам своим крюком, Clockwerk отделяет жертву и разрывает ее на части дезориентирующей шрапнелью. Разведывая поле битвы своими ракетами, он всегда находит цель, в которую нужно влететь."
"npc_dota_hero_crystal_maiden_hype"	"Способная предоставлять ману союзникам и не давать врагам уйти от гибели, Crystal Maiden — полезное дополнение к любой команде. А когда представляется случай, она может уничтожить врагов своим сокрушительным ультом."
"npc_dota_hero_dark_seer_hype"	"Ловкий стратег Dark Seer мастерски манипулирует местоположением своих врагов. Он способен затянуть неприятелей в гущу союзников и обратить мощь врагов против них самих своей отражающей стеной."
"npc_dota_hero_dazzle_hype"	"Рожденный поддерживать своих сторонников, Dazzle не дает соратникам умереть, пока те убивают врагов. Его необычные заклинания вплетаются в броню, ослабляя противников и усиливая союзников."
"npc_dota_hero_death_prophet_hype"	"Своей армией призраков Death Prophet уничтожает как противников, так и их постройки. Возглавив наступление и выпуская одну смертоносную волну за другой, она может повергнуть врагов в отчаяние."
"npc_dota_hero_disruptor_hype"	"Disruptor мастерски разрушает планы врагов. Он способен создать непроходимый барьер и спустить на попавшихся в ловушку врагов заглушающую бурю, а если противник предпримет что-то неожиданное, то Disruptor вернет его туда, где тот стоял раньше."
"npc_dota_hero_doom_bringer_hype"	"Doom забирает жизни своих врагов разными способами. Пожирая существ, он перенимает их способности, а также он способен наслать на врага адское пламя, не дающее тому использовать способности и предметы."
"npc_dota_hero_dragon_knight_hype"	"Страх сковывает любого, кто видит Dragon Knight в его ужасающей драконьей форме. Сильный и изворотливый, он ведет своих союзников к победе, сжигая и оглушая всех стоящих на пути врагов."
"npc_dota_hero_earthshaker_hype"	"Внезапные атаки Earthshaker не дают врагам убежать, разделяют их силы и разрывают под ними землю, а всех, кому удалось выжить, он добивает взмахами своего могучего тотема."
"DOTA_AbilityTooltip_Name"	"{s:name}"
"DOTA_AbilityTooltip_Level"	"Уровень {s:level}"
"DOTA_AbilityTooltip_TargetType"	"ДЕЙСТВУЕТ НА: {s:targettype}"
