"dota"
{
"DOTA_Accept"	"Accepteren"
"DOTA_RecentGame_NoReplay"	"Geen herhaling"
"DOTA_RecentGame_Expired"	"Herhaling verlopen"
"DOTA_RecentGame_Finding"	"Zoeken..."
"DOTA_RecentGame_Download"	"Spel downloaden"
"DOTA_RecentGame_Pending"	"Herhaling in behandeling"
"DOTA_RecentGame_Unavailable"	"Herhaling niet beschikbaar"
"DOTA_RecentGame_MatchID"	"Spel-id: #{s:match_id}"
"DOTA_No_Team_Name"	"--"
"DOTA_TrophyCount"	"{d:trophy_count} trofee"
"DOTA_TrophiesCount"	"{d:trophy_count} trofeeën"
"DOTA_TrophyCount_Number"	"{d:trophy_count}"
"DOTA_TrophyCount_NoNum"	"Trofee"
"DOTA_TrophiesCount_NoNum"	"Trofeeën"
"DOTA_Trophies_ViewAll"	"Alles"
"DOTA_TrophyName"	"{s:trophy_name}"
"DOTA_TrophyCategory"	"{s:trophy_category}"
"DOTA_TrophyDescription"	"{s:trophy_description}"
"DOTA_TrophyXP"	"{d:trophy_xp}<span class=\"TrophyPointTextSmall\"> TP</span>"
"DOTA_NextTrophy"	"Volgende beloning"
"DOTA_NewPlayerQuestion_Title"	"WELKOM BIJ DOTA 2"
"DOTA_PlayerOriginQuestion_Question"	"Deel je ervaring met Dota 2 en gelijksoortige games om je spelbeleving te verbeteren:"
"DOTA_PlayerOriginQuestion_BeginnerButton"	"Ik ben een beginner."
"DOTA_PlayerOriginQuestion_RTSButton"	"Ik heb RTS-spellen gespeeld."
"DOTA_PlayerOriginQuestion_MOBAButton"	"Ik heb een spel gespeeld dat lijkt op Dota 2."
"DOTA_PlayerOriginQuestion_Dota2Button"	"Ik heb Dota 2 gespeeld."
"DOTA_PlayerOriginQuestion_MOBAExplanation"	"Selecteer de game waar je het meest comfortabel mee bent:"
"DOTA_OtherGames_LOL"	"League of Legends"
"DOTA_OtherGames_DOTA"	"DotA 1"
"DOTA_OtherGames_HON"	"Heroes of Newerth"
"DOTA_OtherGames_Smite"	"Smite"
"DOTA_OtherGames_Other"	"Een andere game"
"DOTA_PlayerOriginQuestion_ConfirmationButton"	"SPELEN MAAR"
"DOTA_Tutorial_SkipButton"	"Tutorial overslaan"
"DOTA_ConfirmSkip"	"Dota 2-introductie overslaan?"
"DOTA_ConfirmSkipDesc"	"Weet je zeker dat je de tutorials voor Dota 2 wilt overslaan?"
"DOTA_Tutorial_Start_Quest"	"QUEST STARTEN"
"DOTA_Tutorial_Quest0_Title"	"QUEST 1"
"DOTA_Tutorial_Quest0DetailsDesc"	"Deze quest duurt ongeveer\n10 minuten om te voltooien."
"DOTA_Tutorial_QuestDetailsLearn"	"Je zult leren:"
"DOTA_Tutorial_Quest0DetailsLesson"	"Held bewegen\nHeld levellen\nVaardigheden gebruiken\nItems\nBasis van gevechten\nLaatste treffers"
"DOTA_Tutorial_Quest1_Title"	"QUEST 2"
"DOTA_Tutorial_Quest1_TitleDesc"	"GEVECHTEN IN PAD"
"DOTA_Tutorial_Quest2_Title"	"QUEST 3"
"DOTA_Challenges_Title"	"Leren"
"DOTA_ChallengeGroup_0_Title"	"Mechanieken"
"DOTA_ChallengeGroup_1_Title"	"Begeleide botspellen"
"DOTA_ChallengeGroup_1_Desc"	"Start hier!"
"DOTA_ChallengeGroup_2_Title"	"Botspellen"
"DOTA_ChallengeGroup_More"	"Binnenkort meer"
"DOTA_ChallengeGroup_Locked"	"Vergrendeld"
"DOTA_LearnMechanics_Title"	"Mechanieken"
"DOTA_Mechanics_0_Title"	"Mechanieken 1"
"DOTA_Mechanics_0_Desc"	"Held bewegen\nHeld levellen\nVaardigheden gebruiken\nItems\nBasis van gevechten\nLaatste treffers"
"DOTA_Mechanics_1_Title"	"Mechanieken 2"
"DOTA_LearnGuidedBotMatches_Title"	"Begeleide botspellen"
"DOTA_GuidedBotMatches_0_Title"	"Luna"
"DOTA_GuidedBotMatches_1_Title"	"Sven"
"DOTA_GuidedBotMatches_2_Title"	"Lina"
"DOTA_LearnBotMatches_Title"	"Botspellen"
"DOTA_BotMatches_0_Title"	"Makkelijke bots"
"DOTA_BotMatches_0_Desc"	"Leer een nieuwe held."
"DOTA_BotMatches_1_Title"	"Gemiddelde bots"
"DOTA_BotMatches_1_Desc"	"Raak eraan gewend."
"DOTA_BotMatches_2_Title"	"Moeilijke bots"
"DOTA_BotMatches_2_Desc"	"Daag jezelf uit."
"DOTA_BotMatches_3_Title"	"Krankzinnige bots"
"DOTA_BotMatches_3_Desc"	"Doe jezelf pijn."
"FileOpenDialog_Open"	"Openen"
"FileOpenDialog_Save"	"Opslaan"
"FileOpenDialog_Select"	"Selecteren"
"FileOpenDialog_FileType_Folder"	"Map"
"DOTA_FindMatch"	"Spel zoeken"
"DOTA_FindingMatch"	"Spel zoeken ( {s:find_match_time} )"
"DOTA_FindMatchTime"	"{s:find_match_time}"
"DOTA_Searching"	"Zoeken"
"DOTA_StartSoloBotMatch"	"Spel met bots starten"
"DOTA_Create_Lobby"	"Lobby maken"
"DOTA_Join_Lobby"	"Aan lobby deelnemen"
"DOTA_LobbyStartGame"	"Spel starten"
"DOTA_ReturnToLobby"	"Terug naar lobby"
"DOTA_FindMatchStatus"	"{s:searching_matchtype} / {s:searching_gamemodes} / {s:searching_region}"
"DOTA_FindGameModesMany"	"Spelmodi: "
"DOTA_FindRegionsMany"	"Regio's: "
"DOTA_GameMode_AllPick"	"Kies een held"
"DOTA_GameMode_SingleDraft"	"Enkele trekking"
"DOTA_GameMode_CaptainsMode"	"Aanvoerdersmodus"
"DOTA_GameMode_RandomDraft"	"Willekeurige trekking"
"DOTA_GameMode_AbilityDraft"	"Vaardigheidstrekking"
"DOTA_GameMode_LeastPlayed"	"Minst gespeeld"
"DOTA_GameMode_AllRandom"	"Alles willekeurig"
"DOTA_ImmediatePurchase_Success_Title"	"Gelukt"
"DOTA_ImmediatePurchase_Success_Text"	"Aankoop succesvol voltooid! Je items zullen binnenkort in je arsenaal verschijnen."
"DOTA_ImmediatePurchase_Cancelled_Title"	"Geannuleerd"
"DOTA_ConfirmPurchaseTitle"	"Aankoop bevestigen"
"DOTA_ConfirmPurchaseText"	"Wil je dit item kopen?"
"DOTA_PurchaseInProgress_Title"	"Bezig met aankoop"
"DOTA_PurchaseInProgress_Text"	"Je aankoopverzoek wordt verwerkt."
"DOTA_UnbundleInProgress_Title"	"Aan het uitpakken"
"DOTA_UnbundleInProgress_Text"	"Je bundel wordt uitgepakt."
"DOTA_ConfirmUnbundleTitle"	"Uitpakken bevestigen"
"DOTA_ConfirmUnbundleText"	"Je moet deze bundel uitpakken om de items te kunnen uitrusten. Doorgaan?"
"DOTA_RequestingBalance_Title"	"Saldo ophalen"
"DOTA_PartnerPurchase_Purchase"	"{g:dota_item_price:item_def}"
"DOTA_PartnerPurchase_Balance"	"Saldo: {m:balance}"
"DOTA_PartnerRecharge_Close"	"Terug naar aankoop"
"StoreCheckout_Error_Title"	"Fout"
"StoreCheckout_NoItems"	"Je winkelwagen is leeg!"
"StoreCheckout_TooManyItems"	"Je hebt te veel items in je winkelwagen!"
"StoreCheckout_Loading"	"Bezig met afrekenen..."
"StoreCheckout_Unavailable"	"Afrekenen is tijdelijk niet mogelijk."
"StoreCheckout_Cancelling"	"Annuleren..."
"StoreCheckout_Fail"	"De in-game winkel is momenteel gesloten."
"StoreCheckout_InvalidParam"	"Een programmeur heeft er een potje van gemaakt! Er werd een ongeldige parameter naar de spelcoördinator doorgespeeld. Probeer de aankoop opnieuw te voltooien."
"StoreCheckout_InternalError"	"Er is een fout opgetreden bij het starten of bijwerken van je transactie. Probeer het later opnieuw of neem contact op met Steam Support."
"StoreCheckout_ContactSupport"	"Er was een probleem met je transactie. Neem contact op met Steam Support voor hulp."
"StoreCheckout_NotApproved"	"De spelcoördinator heeft je transactie met Steam niet goed kunnen keuren. Probeer de aankoop later nog eens te voltooien."
"StoreCheckout_NotLoggedin"	"Je moet op Steam zijn aangemeld om een aankoop te voltooien."
"StoreCheckout_WrongCurrency"	"De valuta van deze transactie komt niet overeen met de valuta van je portemonnee."
"StoreCheckout_NoAccount"	"Je Steam-account is tijdelijk niet beschikbaar. Probeer deze aankoop later nog eens te voltooien."
"StoreCheckout_InsufficientFunds"	"Je hebt te weinig geld om de aankoop te voltooien."
"StoreCheckout_TimedOut"	"Deze transactie werd onderbroken. Probeer de aankoop opnieuw te voltooien."
"StoreCheckout_SteamAccountDisabled"	"Je Steam-account is uitgeschakeld, dus je kunt niets kopen."
"StoreCheckout_SteamAccountNoPurchase"	"Transacties met de Steam-portemonnee zijn uitgeschakeld op dit account."
"StoreCheckout_OldPriceSheet"	"Je plaatselijke productlijst is verlopen. Een nieuwe lijst wordt aangevraagd."
"StoreCheckout_TransactionNotFound"	"Het ID van deze transactie kon niet door de spelcoördinator worden gevonden. Probeer de aankoop opnieuw te voltooien."
"StoreCheckout_TransactionCompleted"	"De transactie is voltooid!\nGeniet van je buit!"
"StoreCheckout_CompleteButUnfinalized"	"Voltooiing niet kunnen bevestigen. Wanneer mogelijk worden je voorwerpen op een later tijdstip geleverd."
"StoreCheckout_NotEnoughRoom"	"Je hebt niet genoeg ruimte in je arsenaal om zo veel items te kopen."
"StoreCheckout_ContactSupport_Dialog_Title"	"Waarschuwing"
"StoreCheckout_ContactSupport_Dialog_Btn"	"Contact"
"StoreCheckout_LimitedQuantityItemsUnavailable"	"Een item dat je probeert te kopen is uitverkocht of momenteel niet beschikbaar."
"StoreCheckout_Nexon_InsufficientFunds"	"Je hebt te weinig saldo om de aankoop te voltooien."
"StoreCheckout_Nexon_FundsLocked"	"Nexon Cash-vergrendeling is ingeschakeld."
"npc_dota_hero_axe_hype"	"Eén voor één hakt Axe zijn vijanden neer. Hij staat vooraan op de frontlinies, altijd klaar om de tegenaanval in te zetten met een dodelijke zwaai van zijn wapen. Verzwakte vijanden maakt hij direct een kopje kleiner, om zonder pauze door te gaan in zijn bestorming."
"npc_dota_hero_batrider_hype"	"Eenmaal in de lucht kan Batrider vanuit elke hoek aanvallen. Met een vijand vastgebonden in zijn lasso stijgt hij boven de bomen en trekt zijn prooi door het pad van vuur die hij achterlaat, in de richting van zijn meedogenloze bondgenoten."
"DOTA_AbilityTooltip_Name"	"{s:name}"
"DOTA_AbilityTooltip_Level"	"Level {s:level}"
"DOTA_AbilityTooltip_TargetType"	"BEÏNVLOEDT: {s:targettype}"
"DOTA_AbilityTooltip_CastType"	"VAARDIGHEID: {s:casttype}"
"DOTA_AbilityTooltip_DamageType"	"SCHADETYPE: {s:damagetype}"
"DOTA_AbilityTooltip_SpellImmunityType"	"SPREUKIMMUNITEIT: {s:spellimmunity}"
"DOTA_AbilityTooltip_Description"	"{s:description}"
"DOTA_AbilityTooltip_ScepterDescription"	"{s:scepterdescription}"
"DOTA_AbilityTooltip_ExtraDescription"	"{s:extradescription}"
"DOTA_AbilityTooltip_Attributes"	"{s:attributes}"
"DOTA_AbilityTooltip_Cooldown"	"{s:cooldown}"
"DOTA_AbilityTooltip_ManaCost"	"{s:manacost}"
"DOTA_AbilityTooltip_Lore"	"{s:lore}"
"DOTA_AbilityTooltip_UpgradeLevel"	"Volgende upgrade beschikbaar op heldlevel {d:upgradelevel}"
"DOTA_AbilityTooltip_BuildHeader"	"Vaardigheidsgids"
"DOTA_AbilityTooltip_BuildComment"	"{s:buildcomment}"
"DOTA_PersonaTooltip_Title"	"{g:dota_persona:account_id}"
"DOTA_PersonaTooltip_TitlePro"	"{g:dota_persona_pro:account_id}"
"DOTA_PendingInvites"	"Groepsuitnodigingen"
"DOTA_PendingInvitesTooltip_None"	"Geen openstaande uitnodigingen"
"DOTA_PendingInvitesTooltip_1"	"1 openstaande uitnodiging"
"DOTA_PendingInvitesTooltip_N"	"{d:pending_invite_count} openstaande uitnodigingen"
"DOTA_PendingInvitesTooltip_Leader"	"Klik om uitnodigingen te beheren."
"DOTA_PendingInvitesTooltip_NonLeader"	"Klik om uitnodigingen weer te geven."
"DOTA_PendingInvitesCancelAll"	"Alle uitnodigingen afwijzen"
"DOTA_PendingInvitesNotPartyLeader"	"Alleen de groepsleider kan uitnodigingen beheren"
"DOTA_ChatTab_NotInChannelMessage"	"Niemand kan je horen."
"DOTA_ChatTab_ToggleGlobal"	"Geef berichten van dit kanaal in alle tabbladen weer."
"DOTA_ChatTab_Close"	"Dit tabblad sluiten."
"DOTA_ChatTab_Leave"	"Dit kanaal verlaten."
"DOTA_JoinChatChannel_Title"	"Aan kanaal deelnemen"
"DOTA_JoinChatChannel_Description"	"Maak of neem deel aan een chatkanaal."
"DOTA_JoinChatChannel_AddToCurrentTab"	"Toevoegen aan huidig tabblad '{s:current_tab_name}'"
"DOTA_JoinChatChannel_CreateNewTab"	"Nieuw tabblad maken:"
"DOTA_Chat_ChannelName"	"{s:channel_name}"
"DOTA_Chat_ChannelMemberCount_Singular"	"1 lid"
"DOTA_Chat_ChannelMemberCount_Plural"	"{d:channel_member_count} leden"
"DOTA_EditChatTab_Title"	"Chattabblad bewerken"
"DOTA_EditChatTab_Description"	"Selecteer welke chatberichten in dit tabblad moeten worden getoond."
"DOTA_EditChatTab_AddNewChannel"	"Nieuw kanaal toevoegen..."
"DOTA_EditChatTab_TabName"	"Naam tabblad:"
"DOTA_EditChatTab_ChannelToggleDisabled"	"{s:target} moet altijd in ten minste één tab zijn."
"DOTA_EditChatTab_Target"	"{s:target}"
"DOTA_Chat_TimestampFormat"	"{t:t:timestamp}"
"DOTA_Chat_Autocomplete_Title"	"{s:autocomplete_title}"
"DOTA_Chat_Autocomplete_NoMatches"	"Geen spellen"
"DOTA_Chat_Autocomplete_WhisperFriends"	"Naar een vriend fluisteren"
"DOTA_Chat_Autocomplete_InviteFriends"	"Een vriend uitnodigen"
"DOTA_Chat_Autocomplete_Channels"	"Kanalen"
"DOTA_Chat_Autocomplete_Commands"	"Commando's"
"DOTA_Chat_Autocomplete_CommandName"	"/{s:command_name}"
"DOTA_Chat_Autocomplete_CommandDescription"	"{s:command_description}"
"dota_suggest_invite_format"	"Nodig %s1 uit voor de groep."
"dota_suggest_invite_format_leader"	"Nodig {s:invite_persona} uit voor de groep. (<a href=\"event:DOTAInviteToParty({s:invite_persona_steamid})\" class=\"InviteButton\">Uitnodiging versturen</a>)"
"dota_suggest_invite_format_lobby"	"Nodig {s:invite_persona} uit voor de lobby."
"dota_suggest_invite_format_lobby_leader"	"Nodig {s:invite_persona} uit voor de lobby. ( <a href=\"event:DOTAInviteToLobby({s:invite_persona_steamid})\" class=\"InviteButton\">Uitnodiging versturen</a> )"
"DOTA_ChatMessage_Default"	"<span class=\"{s:target_class} {s:sender_class} {s:visitor_class}\"><span class=\"ChatTarget\">({s:target})</span> <span class=\"ChatPersona\">{s:event_crest}{s:persona}</span>: {g:dota_filtered_string:message}</span>"
"DOTA_ChatMessage_WhisperTo"	"<span class=\"{s:target_class} {s:sender_class} {s:visitor_class}\">Aan <span class=\"ChatPersona\">{s:event_crest}{s:persona}</span>: {g:dota_filtered_string:message}</span>"
"DOTA_ChatMessage_WhisperFrom"	"<span class=\"{s:target_class} {s:sender_class} {s:visitor_class}\">Van <span class=\"ChatPersona\">{s:event_crest}{s:persona}</span>: {g:dota_filtered_string:message}</span>"
"DOTA_ChatMessage_System"	"<span class=\"{s:target_class} {s:sender_class} {s:visitor_class}\"><span class=\"ChatTarget\">({s:target})</span>: {g:dota_filtered_string:message}</span>"
"DOTA_ChatTarget_Format_Default"	"{s:target}"
"DOTA_ChatTarget_Prompt_Default"	"Aan ({s:target}):"
"DOTA_ChatTarget_Format_Whisper"	"{s:persona}"
"DOTA_ChatTarget_Prompt_Whisper"	"Aan [{s:persona}]:"
"DOTA_ChatTarget_Party"	"Groep"
"DOTA_ChatTarget_Lobby"	"Lobby"
"DOTA_ChatTarget_Team"	"Team"
"DOTA_ChatTarget_Guild"	"Guild"
"DOTA_ChatTarget_Fantasy"	"Fantasie"
"DOTA_ChatTarget_Console"	"Console"
"DOTA_ChatTarget_Whisper"	"Fluisteren"
"DOTA_ChatTarget_Invalid"	"Geen kanaal"
"DOTA_ChatTarget_GameAll"	"Iedereen"
"DOTA_ChatTarget_GameAllies"	"Team"
"DOTA_ChatTarget_GameCoaching"	"Coachen"
"DOTA_ChatTarget_GameSpectator"	"Toeschouwer"
"DOTA_ChatTargetMenu_Title"	"{s:target}"
"DOTA_ChatTargetMenu_ToggleEnabled"	"{s:toggle_enabled}"
"DOTA_ChatTargetMenu_NotActive"	"(Niet actief)"
"DOTA_Chat_Placeholder"	"Typ hier om te chatten. Gebruik '/' voor commando's."
"DOTA_Chat_MissedMessages"	"{s:missed_message_count}"
"DOTA_ChatCommand_Party"	"p"
"DOTA_ChatCommand_Party_Name"	"Groep"
"DOTA_ChatCommand_Party_Description"	"Chat met je huidige groep."
"DOTA_ChatCommand_Lobby"	"l"
"DOTA_ChatCommand_Lobby_Name"	"Lobby"
"DOTA_ChatCommand_Lobby_Description"	"Chat met je huidige lobby."
"DOTA_ChatCommand_Channel"	"c"
"DOTA_ChatCommand_Channel_Name"	"Kanaal"
"DOTA_ChatCommand_Channel_Description"	"Chat met een specifiek chatkanaal."
"DOTA_ChatCommand_Whisper"	"w"
"DOTA_ChatCommand_Whisper_Name"	"Fluisteren"
"DOTA_ChatCommand_Whisper_Description"	"Fluister privé met een vriend."
"DOTA_ChatCommand_Reply"	"r"
"DOTA_ChatCommand_Reply_Name"	"Reageren"
"DOTA_ChatCommand_Reply_Description"	"Reageer op een fluisterbericht van een vriend."
"DOTA_ChatCommand_Help"	"?"
"DOTA_ChatCommand_Help_Name"	"Help"
"DOTA_ChatCommand_Help_Description"	"Hulp tonen voor chatcommando's."
"DOTA_ChatCommand_InviteToParty"	"partyinvite"
"DOTA_ChatCommand_InviteToParty_Name"	"Uitnodigen voor groep"
"DOTA_ChatCommand_InviteToParty_Description"	"Nodig een vriend uit om aan je huidige groep deel te nemen."
"DOTA_ChatCommand_LeaveParty"	"leaveparty"
"DOTA_ChatCommand_LeaveParty_Name"	"Groep verlaten"
"DOTA_ChatCommand_LeaveParty_Description"	"Verlaat je huidige groep."
"DOTA_ChatCommand_JoinChannel"	"joinchannel"
"DOTA_ChatCommand_JoinChannel_Name"	"Aan kanaal deelnemen"
"DOTA_ChatCommand_JoinChannel_Description"	"Neem deel aan een chatkanaal of maak er een."
"DOTA_ChatCommand_LeaveChannel"	"leavechannel"
"DOTA_ChatCommand_LeaveChannel_Name"	"Kanaal verlaten"
"DOTA_ChatCommand_LeaveChannel_Description"	"Verlaat een specifiek chatkanaal."
"DOTA_ChatCommand_GameAll"	"all"
"DOTA_ChatCommand_GameAll_Name"	"Iedereen"
"DOTA_ChatCommand_GameAll_Description"	"Chat met alle spelers in het spel."
