"dota"
{
"DOTA_Accept"	"ยอมรับ"
"DOTA_Profile_Rampages"	"Rampage"
"DOTA_Profile_TripleKills"	"Triple Kill"
"DOTA_Profile_FirstBlood"	"สังหาร First Blood"
"DOTA_Profile_FirstBled"	"โดน First Blood"
"DOTA_Profile_CourierKills"	"สังหาร Courier"
"DOTA_Profile_Aegises"	"ขโมย Aegis"
"DOTA_Profile_CheeseEaten"	"กิน Cheese"
"DOTA_Profile_CreepStack"	"ลากครีป"
"DOTA_Profile_GPMValue"	"{s:GPM}"
"DOTA_Profile_XPMValue"	"{s:XPM}"
"DOTA_Profile_LHValue"	"{s:LH}"
"DOTA_Profile_RampagesValue"	"{d:Rampages}"
"DOTA_Profile_TripleKillsValue"	"{d:TripleKills}"
"DOTA_Profile_FirstBloodValue"	"{d:FirstBlood}"
"DOTA_Profile_FirstBledValue"	"{d:FirstBled}"
"DOTA_Profile_CourierKillsValue"	"{d:CourierKills}"
"DOTA_Profile_AegisesValue"	"{d:Aegises}"
"DOTA_Profile_CheeseEatenValue"	"{d:CheeseEaten}"
"DOTA_Profile_CreepStackValue"	"{d:CreepStack}"
"DOTA_Profile_GPMLocalValue"	"{s:GPMLocal}"
"DOTA_Profile_XPMLocalValue"	"{s:XPMLocal}"
"DOTA_Profile_LHLocalValue"	"{s:LHLocal}"
"DOTA_Profile_RampagesLocalValue"	"{d:RampagesLocal}"
"DOTA_Profile_TripleKillsLocalValue"	"{d:TripleKillsLocal}"
"DOTA_Profile_FirstBloodLocalValue"	"{d:FirstBloodLocal}"
"DOTA_Profile_FirstBledLocalValue"	"{d:FirstBledLocal}"
"DOTA_Profile_CourierKillsLocalValue"	"{d:CourierKillsLocal}"
"DOTA_Profile_AegisesLocalValue"	"{d:AegisesLocal}"
"DOTA_Profile_CheeseEatenLocalValue"	"{d:CheeseEatenLocal}"
"DOTA_Profile_CreepStackLocalValue"	"{d:CreepStackLocal}"
"DOTA_RecentGames_Title"	"เกมที่ผ่านมา"
"DOTA_RecentGames_TimeStamp"	"วันที่/เวลา"
"DOTA_RecentGames_HeroSelection"	"ฮีโร่ที่เล่น"
"DOTA_RecentGames_GameResult"	"ผลการแข่ง"
"DOTA_RecentGames_GameLength"	"ระยะเวลา"
"DOTA_RecentGames_Team"	"ทีม"
"DOTA_RecentGames_GameType"	"ชนิด"
"DOTA_RecentGames_Items"	"ไอเท็ม"
"DOTA_RecentGame_Timestamp_Entry"	"{t:s:timestamp} {t:t:timestamp}"
"DOTA_RecentGame_Duration"	"{t:d:duration}"
"DOTA_RecentGame_Downloading"	"กำลังดาวน์โหลด {s:DownloadPercent}"
"DOTA_RecentGame_Watch"	"ดูรีเพลย์"
"DOTA_RecentGame_NoReplay"	"ไม่มีรีเพลย์"
"DOTA_RecentGame_Expired"	"รีเพลย์หมดอายุ"
"DOTA_RecentGame_Finding"	"กำลังค้นหา..."
"DOTA_RecentGame_Download"	"ดาวน์โหลดแมตช์"
"DOTA_RecentGame_Pending"	"รีเพลย์กำลังอยู่ระหว่างดำเนินการ"
"DOTA_RecentGame_Unavailable"	"ไม่พบรีเพลย์"
"DOTA_RecentGame_MatchID"	"ไอดีแมตช์: #{s:match_id}"
"DOTA_No_Team_Name"	"--"
"DOTA_TrophyCount"	"ถ้วยรางวัล {d:trophy_count} ชิ้น"
"DOTA_TrophiesCount"	"ถ้วยรางวัล {d:trophy_count} ชิ้น"
"DOTA_TrophyCount_Number"	"{d:trophy_count}"
"DOTA_TrophyCount_NoNum"	"ถ้วยรางวัล"
"DOTA_TrophiesCount_NoNum"	"ถ้วยรางวัล"
"DOTA_Trophies_ViewAll"	"ทั้งหมด"
"DOTA_TrophyName"	"{s:trophy_name}"
"DOTA_TrophyCategory"	"{s:trophy_category}"
"DOTA_TrophyDescription"	"{s:trophy_description}"
"DOTA_TrophyXP"	"{d:trophy_xp}<span class=\"TrophyPointTextSmall\">TP</span>"
"DOTA_NextTrophy"	"รางวัลถัดไป"
"DOTA_NewPlayerQuestion_Title"	"ยินดีต้อนรับสู่ DOTA 2"
"DOTA_PlayerOriginQuestion_Question"	"เพื่อเพิ่มประสบการณ์ในเกมของคุณ โปรดแบ่งปันความคุ้นเคยของคุณกับ Dota 2 หรือเกมที่คล้ายคลึง:"
"DOTA_PlayerOriginQuestion_BeginnerButton"	"ฉันเพิ่งเริ่มเล่น"
"DOTA_PlayerOriginQuestion_RTSButton"	"ฉันเล่นเกมแนว RTS อยู่"
"DOTA_PlayerOriginQuestion_MOBAButton"	"ฉันเล่นเกมที่คล้ายกับ Dota 2 อยู่"
"DOTA_PlayerOriginQuestion_Dota2Button"	"ฉันเล่นเกม Dota 2 อยู่"
"DOTA_PlayerOriginQuestion_MOBAExplanation"	"เลือกเกมที่คุณเล่นแล้วรู้สึกสบายมากที่สุด:"
"DOTA_OtherGames_LOL"	"League of Legends"
"DOTA_OtherGames_DOTA"	"DotA 1"
"DOTA_OtherGames_HON"	"Heroes of Newerth"
"DOTA_OtherGames_Smite"	"Smite"
"DOTA_OtherGames_Other"	"เกมอื่น ๆ"
"DOTA_PlayerOriginQuestion_ConfirmationButton"	"มาเล่นกันเถอะ"
"DOTA_PlayerOriginQuestion_ConfirmationTutorial"	"ในฐานะที่คุณเป็นผู้เล่นใหม่ของ Dota คุณอาจจะสนใจที่จะเรียนรู้ในส่วนการฝึกฝนภายในแท็บ เล่น มันเป็นขั้นแรกที่อาจจะทำให้คุณเล่นเก่งกว่าผู้เล่นคนอื่น ๆ ทั่วโลก"
"DOTA_PlayerOriginQuestion_ConfirmationSettings"	"การกำหนดปุ่มเองและการตั้งค่าของคุณ ถูกตั้งให้เป็นการตั้งค่าที่ใช้กันทั่วไปมากที่สุดสำหรับผู้เล่นที่มีประสบการณ์เช่นคุณ คุณสามารถแก้ไขกำหนดค่าเหล่านี้ได้เมื่อไหร่ก็ได้ โดยการคลิกที่ไอคอนตั้งค่า"
"DOTA_Tutorial_SkipButton"	"ข้ามบทฝึกสอน"
"DOTA_ConfirmSkip"	"ข้ามบทนำ Dota 2?"
"DOTA_ConfirmSkipDesc"	"คุณแน่ใจหรือไม่ว่าต้องการข้ามบทฝึกสอนของ Dota 2?"
"DOTA_Tutorial_Start_Quest"	"เริ่มภารกิจ"
"DOTA_Tutorial_Quest0_Title"	"ภารกิจที่ 1"
"DOTA_Tutorial_Quest0_TitleDesc"	"ฮีโร่โจมตีระยะไกล"
"DOTA_Tutorial_Quest0DetailsDesc"	"ภารกิจนี้จะใช้เวลาประมาณ\n 10 นาทีในการเล่นให้เสร็จสมบูรณ์"
"DOTA_Tutorial_QuestDetailsLearn"	"คุณจะได้รู้จัก:"
"DOTA_Tutorial_Quest0DetailsLesson"	"การเคลื่อนย้ายฮีโร่\nการเพิ่มเลเวลฮีโร่\nการใช้สกิล\nไอเท็ม\nการต่อสู้เบื้องต้น\nการ Last Hit"
"DOTA_Tutorial_Quest1_Title"	"ภารกิจที่ 2"
"DOTA_Tutorial_Quest1_TitleDesc"	"การต่อสู้ในเลน"
"DOTA_Tutorial_Quest1DetailsDesc"	"ภารกิจนี้จะใช้เวลาประมาณ\n 10 นาทีในการเล่นให้เสร็จสมบูรณ์"
"DOTA_Tutorial_Quest1DetailsLesson"	"การต่อสู้ระยะไกล \n สกิล AOE \n แผนที่ย่อ \n ป้อมปราการ \n Courier และคลังเก็บของ \n การเทเลพอร์ต"
"DOTA_Tutorial_Quest2_Title"	"ภารกิจที่ 3"
"DOTA_Tutorial_Quest2_TitleDesc"	"การต่อสู้ในเลน"
"DOTA_Tutorial_Quest2DetailsDesc"	"ภารกิจนี้จะใช้เวลาประมาณ\n 10 - 15 นาทีในการเล่นให้เสร็จสมบูรณ์"
"DOTA_Tutorial_Quest2DetailsLesson"	"การต่อสู้ในเลน \n การป้องกันและโจมตีป้อมปราการ \n ไอเท็มเริ่มต้น"
"DOTA_Challenges_Title"	"เรียนรู้"
"DOTA_ChallengeGroup_0_Title"	"กลศาสตร์"
"DOTA_ChallengeGroup_1_Title"	"แมตช์ฝึกสอนโดยบอท"
"DOTA_ChallengeGroup_1_Desc"	"เริ่มที่นี่!"
"DOTA_ChallengeGroup_2_Title"	"แมตช์สู้กับบอท"
"DOTA_ChallengeGroup_More"	"อีกมากมายที่กำลังจะมา"
"DOTA_ChallengeGroup_Locked"	"ถูกล็อคอยู่"
"DOTA_LearnMechanics_Title"	"กลศาสตร์"
"DOTA_LearnMechanics_SubTitle"	"เรียนรู้พื้นฐานของ Dota ตั้งแต่การควบคุมฮีโร่ของคุณ การใช้งานร้านค้าไอเท็ม และอีกมากมาย หากคุณไม่เคยเล่นเกมเหมือน Dota มาก่อน คุณควรเริ่มต้นที่นี่"
"DOTA_Mechanics_0_Title"	"กลศาสตร์ 1"
"DOTA_Mechanics_0_Desc"	"การเคลื่อนย้ายฮีโร่\nการเพิ่มเลเวลฮีโร่\nการใช้สกิล\nไอเท็ม\nการต่อสู้เบื้องต้น\nLast Hit"
"DOTA_Mechanics_1_Title"	"กลศาสตร์ 2"
"DOTA_Mechanics_1_Desc"	"การต่อสู้ระยะไกล\nสกิลแสดงผลบนพื้นที่\nแผนที่ย่อ\nป้อมปราการ\nCourier และคลังเก็บของ\nการเทเลพอร์ต"
"DOTA_LearnGuidedBotMatches_Title"	"แมตช์ฝึกสอนโดยบอท"
"DOTA_LearnGuidedBotMatches_SubTitle"	"เข้าเล่นและต่อสู้กับฮีโร่ที่ถูกควบคุมโดย AI เพื่อเรียนรู้วิธีการเล่น Dota เราจะแนะนำคุณทีละขั้นตอนผ่านแมตช์เต็มรูปแบบแต่ละแมตช์ เพื่อฝึกให้การเล่นฮีโร่ของคุณไม่สามารถมีใครหยุดได้"
"DOTA_GuidedBotMatches_0_Title"	"Luna"
"DOTA_GuidedBotMatches_0_Desc"	"โจมตีระยะสั้น\nการโจมตีสร้างความเสียหายสูง\nเคลื่อนที่เร็ว\nเปราะเล็กน้อย\nมีค่าสถานะเป็น Agility"
"DOTA_GuidedBotMatches_1_Title"	"Sven"
"DOTA_GuidedBotMatches_1_Desc"	"โจมตีระยะประชิด\nการโจมตีสร้างความเสียหายหนัก\nความอึดสูง\nแพ้การถูกลดความเร็ว\nมีค่าสถานะเป็น Strength"
"DOTA_GuidedBotMatches_2_Title"	"Lina"
"DOTA_GuidedBotMatches_2_Desc"	"โจมตีระยะไกล\nสกิลสร้างความเสียหายหนัก\nมีคูลดาวน์สั้น\nเปราะอย่างมาก\nมีค่าสถานะเป็น Intelligence"
"DOTA_LearnBotMatches_Title"	"แมตช์สู้กับบอท"
"DOTA_LearnBotMatches_SubTitle"	"ฝึกฝนกับฮีโร่ที่ถูกควบคุมโดย AI ในพื้นที่ฝึกที่ปราศจากความเครียด"
"DOTA_BotMatches_0_Title"	"บอทระดับง่าย"
"DOTA_BotMatches_0_Desc"	"เรียนรู้ฮีโร่ใหม่"
"DOTA_BotMatches_1_Title"	"บอทระดับปานกลาง"
"DOTA_BotMatches_1_Desc"	"เล่นสบาย ๆ"
"DOTA_BotMatches_2_Title"	"บอทระดับยาก"
"DOTA_BotMatches_2_Desc"	"เล่นแบบท้าทาย"
"DOTA_BotMatches_3_Title"	"บอทระดับขี้โกง"
"DOTA_BotMatches_3_Desc"	"เล่นทำร้ายตัวเอง"
"FileOpenDialog_Open"	"เปิด"
"FileOpenDialog_Save"	"บันทึก"
"FileOpenDialog_Select"	"เลือก"
"FileOpenDialog_FileType_Folder"	"โฟลเดอร์"
"DOTA_FindMatch"	"ค้นหาแมตช์"
"DOTA_FindingMatch"	"กำลังค้นหาแมตช์ ( {s:find_match_time} )"
"DOTA_FindMatchTime"	"{s:find_match_time}"
"DOTA_Searching"	"กำลังค้นหา"
"DOTA_StartSoloBotMatch"	"เริ่มแมตช์สู้กับบอท"
"DOTA_Create_Lobby"	"สร้างล็อบบี้"
"DOTA_Join_Lobby"	"เข้าร่วมล็อบบี้"
"DOTA_LobbyStartGame"	"เริ่มเกม"
"DOTA_ReturnToLobby"	"กลับไปที่ล็อบบี้"
"DOTA_FindMatchStatus"	"{s:searching_matchtype} / {s:searching_gamemodes} / {s:searching_region}"
"DOTA_FindGameModesMany"	"โหมดเกม: "
"DOTA_FindRegionsMany"	"ภูมิภาค: "
"DOTA_GameMode_AllPick"	"All Pick"
"DOTA_GameMode_SingleDraft"	"Single Draft"
"DOTA_GameMode_CaptainsMode"	"Captains Mode"
"DOTA_GameMode_RandomDraft"	"Random Draft"
"DOTA_GameMode_AbilityDraft"	"Ability Draft"
"DOTA_GameMode_LeastPlayed"	"Least Played"
"DOTA_GameMode_AllRandom"	"All Random"
"DOTA_GameMode_LimitedHeroes"	"Limited Heroes"
"DOTA_GameMode_CaptainsDraft"	"Captains Draft"
"DOTA_GameMode_AllRandomDeathMatch"	"All Random Death Match"
"DOTA_ImmediatePurchase_SendFailed"	"ล้มเหลวในการส่งคำสั่งซื้อ เซิร์ฟเวอร์ Dota อาจกำลังออฟไลน์ คุณควรสั่งซื้ออีกครั้งในภายหลัง"
"DOTA_ImmediatePurchase_Timeout"	"การรอการตอบสนองต่อคำสั่งซื้อหมดเวลา โปรดลองอีกครั้งในภายหลัง"
"DOTA_ImmediatePurchase_InitFailed"	"เราไม่สามารถเริ่มการสั่งซื้อด้วย Perfect World ได้ในขณะนี้ โปรดลองอีกครั้งในภายหลัง"
"DOTA_ImmediatePurchase_InsufficientFundsPW"	"เงินในบัญชี Perfect World ของคุณมีไม่เพียงพอที่จะทำการสั่งซื้อ โปรดเติมเงินในบัญชีของคุณแล้วลองอีกครั้ง"
"DOTA_ImmediatePurchase_Success_Title"	"สำเร็จ"
"DOTA_ImmediatePurchase_Success_Text"	"การสั่งซื้อเสร็จสมบูรณ์แล้ว! ไอเท็มของคุณจะปรากฏในคลังแสงของคุณในไม่ช้า"
"DOTA_ImmediatePurchase_Cancelled_Title"	"ยกเลิกแล้ว"
"DOTA_ImmediatePurchase_UnbundleTimeout"	"การรอการตอบสนองต่อคำขอเปิดชุดรวมหมดเวลา โปรดลองอีกครั้งในภายหลัง"
"DOTA_ImmediatePurchase_UnbundleFailure"	"ไม่สามารถแกะชุดรวมของคุณได้ โปรดลองอีกครั้งในภายหลัง"
"DOTA_ImmediatePurchase_LateCancel"	"การสั่งซื้อถูกยกเลิกไปก่อนหน้านี้ คุณไม่ถูกคิดเงิน"
"DOTA_ConfirmPurchaseTitle"	"ยืนยันการสั่งซื้อ"
"DOTA_ConfirmPurchaseText"	"คุณต้องการซื้อไอเท็มชิ้นนี้หรือไม่?"
"DOTA_PurchaseInProgress_Title"	"การสั่งซื้อกำลังดำเนินการ"
"DOTA_PurchaseInProgress_Text"	"คำสั่งซื้อของคุณกำลังถูกประมวลผล"
"DOTA_UnbundleInProgress_Title"	"กำลังดำเนินการเปิดชุดรวม"
"DOTA_UnbundleInProgress_Text"	"ชุดรวมของคุณกำลังจะถูกแกะ"
"DOTA_ConfirmUnbundleTitle"	"ยืนยันการเปิดชุดรวม"
"DOTA_ConfirmUnbundleText"	"คุณต้องเปิดชุดรวมนี้เพื่อที่จะสวมใส่ไอเท็มที่อยู่ในนั้น ดำเนินการต่อ?"
"DOTA_RequestingBalance_Title"	"กำลังขอยอดดุล"
"DOTA_RequestingBalance_Text"	"กำลังขอยอดดุลในบัญชี Perfect World ของคุณ..."
"DOTA_PartnerPurchaseRecharge_Title"	"เติมเงินยอดดุล"
"DOTA_PartnerPurchaseRecharge_Text"	"กำลังเปลี่ยนเป็นการเติมเงินยอดดุลบัญชีของคุณ..."
"DOTA_PartnerPurchase_Purchase"	"{g:dota_item_price:item_def}"
"DOTA_PartnerPurchase_Recharge"	"เติมเงินบัญชี"
"DOTA_PartnerPurchase_Balance"	"ยอดดุล: {m:balance}"
"DOTA_PartnerRecharge_Close"	"กลับไปที่การสั่งซื้อ"
"RequestBalanceBadAccount"	"ล้มเหลวในการขอยอดดุลบัญชี: ไม่พบบัญชี"
"RequestBalanceAccountNotLinked"	"ล้มเหลวในการขอยอดดุลบัญชี: บัญชีของคุณไม่ได้ถูกเชื่อมโยงกับ Perfect World"
"RequestBalanceUnsupportedPartner"	"ล้มเหลวในการขอยอดดุลบัญชี: บัญชึของคุณไม่ได้ถูกเชื่อมโยงกับพันธมิตรที่ได้รับการยอมรับ"
"StoreCheckout_Error_Title"	"ข้อผิดพลาด"
"StoreCheckout_NoItems"	"ตะกร้าสินค้าของคุณว่างเปล่า!"
"StoreCheckout_TooManyItems"	"คุณมีไอเท็มอยู่ในตะกร้าสินค้ามากเกินไป!"
"StoreCheckout_Loading"	"กำลังชำระเงิน..."
"StoreCheckout_Unavailable"	"ไม่สามารถชำระเงินได้ในขณะนี้"
"StoreCheckout_Cancelling"	"กำลังยกเลิก..."
"StoreCheckout_Fail"	"ร้านค้าในเกมปิดอยู่ในขณะนี้"
"StoreCheckout_InvalidParam"	"โปรแกรมเมอร์ทำพลาดซะแล้ว! พารามิเตอร์ที่ไม่ถูกต้องได้ถูกส่งต่อไปยังผู้ประสานงานตัวเกม กรุณาลองทำการสั่งซื้ออีกครั้ง"
"StoreCheckout_InternalError"	"ดูเหมือนว่าจะมีข้อผิดพลาดในการเริ่มต้นหรืออัปเดตการทำรายการของคุณ โปรดรอสักครู่แล้วลองอีกครั้ง หรือติดต่อฝ่ายสนับสนุนเพื่อขอความช่วยเหลือ"
"StoreCheckout_ContactSupport"	"ตรวจพบข้อผิดพลาดเกี่ยวกับการทำรายการของคุณ กรุณาติดต่อฝ่ายสนับสนุนเพื่อขอความช่วยเหลือ"
"StoreCheckout_NotApproved"	"ผู้ประสานงานตัวเกมไม่สามารถทำการอนุมัติการทำธุรกรรมของคุณกับ Steam ได้ กรุณาลองทำการสั่งซื้ออีกครั้งภายหลัง"
"StoreCheckout_NotLoggedin"	"คุณต้องเข้าสู่ระบบ Steam คำสั่งซื้อจึงจะเสร็จสมบูรณ์"
"StoreCheckout_WrongCurrency"	"สกุลเงินในการสั่งซื้อนี้ไม่ตรงกับสกุลเงินใน Wallet ของคุณ"
"StoreCheckout_NoAccount"	"บัญชี Steam ของคุณไม่สามารถใช้งานได้ในขณะนี้ โปรดทำการซื้ออีกครั้งในภายหลัง"
"StoreCheckout_InsufficientFunds"	"คุณไม่มีเงินพอที่จะทำให้การซื้อเสร็จสมบูรณ์"
"StoreCheckout_TimedOut"	"หมดเวลาในการดำเนินการ กรุณาสั่งซื้อใหม่อีกครั้ง"
"StoreCheckout_SteamAccountDisabled"	"บัญชี Steam ของคุณถูกปิดการใช้งานและไม่สามารถทำการสั่งซื้อได้"
"StoreCheckout_SteamAccountNoPurchase"	"การทำธุรกรรมผ่าน Steam Wallet ถูกระงับใช้ในบัญชีนี้"
"StoreCheckout_OldPriceSheet"	"รายการผลิตภัณฑ์ของคุณที่เก็บไว้เก่าเกินไปแล้ว กำลังร้องขอข้อมูลใหม่"
"StoreCheckout_TransactionNotFound"	"ไอดีของการทำธุรกรรมนี้ไม่ถูกพบโดยผู้ประสานงานตัวเกม กรุณาลองทำการสั่งซื้ออีกครั้ง"
"StoreCheckout_TransactionCancelled"	"การชำระเงินถูกยกเลิก คุณไม่ถูกคิดเงิน"
"StoreCheckout_TransactionCompleted"	"การชำระเงินเสร็จสมบูรณ์!\\\nขอให้เพลิดเพลินกับไอเท็มของคุณ!"
"StoreCheckout_CompleteButUnfinalized"	"ไม่สามารถยืนยันได้ว่าสำเร็จ หากประสบความสำเร็จ ไอเท็มของคุณจะถูกส่งมอบหลังจากนี้"
"StoreCheckout_NotEnoughRoom"	"คุณไม่มีพื้นที่ว่างในคลังแสงมากพอที่จะซื้อไอเท็มจำนวนมากขนาดนั้น"
"StoreCheckout_ContactSupport_Dialog_Title"	"คำเตือน"
"StoreCheckout_ContactSupport_Dialog_Btn"	"ติดต่อ"
"StoreCheckout_LimitedQuantityItemsUnavailable"	"ไอเท็มที่คุณกำลังจะซื้อเพิ่งหมดไปหรือไม่สามารถซื้อได้ในขณะนี้"
"StoreCheckout_Nexon_InsufficientFunds"	"คุณไม่มีเงินเพียงพอที่จะทำให้การสั่งซื้อเสร็จสมบูรณ์"
