"dota"
{
"DOTA_Accept"	"Kabul Et"
"DOTA_ProfileCard_HeroOnly"	"Sadece Kahramanlar"
"DOTA_ProfileCard_HeroShowWins"	"Galibiyetleri Göster"
"DOTA_ProfileCard_HeroShowWinsAndLosses"	"Galibiyet-Yenilgi Göster"
"DOTA_ProfileCard_ItemSearchPrefix"	"Arama:"
"DOTA_ProfileCard_ItemSearchPlaceholder"	"Eşya ismiyle"
"DOTA_ProfileCard_ItemArmoryLink"	"Tüm Cephaneliği Göster"
"DOTA_HeroTooltip_HeroName"	"{s:hero_name}"
"DOTA_HeroTooltip_HeroRecord"	"{s:hero_wins_string}, {s:hero_losses_string}"
"DOTA_ProfileCard_HeroSearchPlaceholder"	"Kahraman adıyla ara"
"DOTA_Wins_Singular"	"1 Galibiyet"
"DOTA_Wins_Plural"	"{d:hero_wins} Galibiyet"
"DOTA_Losses_Singular"	"1 Yenilgi"
"DOTA_Losses_Plural"	"{d:hero_losses} Yenilgi"
"DOTA_Profile_TotalGames"	"Toplam Oyun"
"DOTA_Profile_Solo_MMR"	"Tek Kişilik ED"
"DOTA_Profile_Team_MMR"	"Takım ED"
"DOTA_Profile_Party_MMR"	"Parti ED"
"DOTA_Profile_VictoryCount"	"Zaferler"
"DOTA_Profile_ProfilePage"	"Profil"
"DOTA_Profile_TrophyPage"	"Kupalar"
"DOTA_Profile_RecentGamesPage"	"Son Oyunlar"
"DOTA_Profile_HeroPage"	"Kahramanlar"
"DOTA_Profile_PlayStyle"	"Oynayış Stili"
"DOTA_Profile_MostRecent"	"En Yeni {s:num_style_games} oyun"
"DOTA_Profile_RecentActivity"	"Son Etkinlikler"
"DOTA_Profile_Fighting"	"Savaşma"
"DOTA_Profile_Fighting_TooltipTitle"	"Savaşma"
"DOTA_Profile_Fighting_Tooltip"	"Birçok savaşta düşman kahramanlarla savaşan oyuncular."
"DOTA_Profile_Farming"	"Kasma"
"DOTA_Profile_Farming_TooltipTitle"	"Kasma"
"DOTA_Profile_Farming_Tooltip"	"Yaratıkları öldürerek altın kasan oyuncular."
"DOTA_Profile_Supporting"	"Destekleme"
"DOTA_Profile_Supporting_TooltipTitle"	"Destekleme"
"DOTA_Profile_Supporting_Tooltip"	"Takımını iyileştirme, gözler ve eşyalarla destekleyen oyuncular."
"DOTA_Profile_Pushing"	"İttirme"
"DOTA_Profile_Pushing_TooltipTitle"	"İttirme"
"DOTA_Profile_Pushing_Tooltip"	"Alanı ele geçirmeye yardım ederek kuleleri ittiren oyuncular."
"DOTA_Profile_Versatility"	"Beceriklilik"
"DOTA_Profile_Versatility_TooltipTitle"	"Beceriklilik"
"DOTA_Profile_Versatility_Tooltip"	"Becerikli ve birçok farklı kahramanı oynayan oyuncular."
"DOTA_Profile_Tooltip_Value"	"{s:CurrentStatValue}"
"DOTA_Profile_Tooltip_Comparison"	"{s:CurrentComparisonValue}"
"DOTA_Profile_StatsCompare"	"İstatistiklerimle karşılaştır"
"DOTA_Profile_Self"	"Ben"
"DOTA_Profile_GPM"	"Ort DBA"
"DOTA_Profile_XPM"	"Ort DBT"
"DOTA_Profile_LH"	"Ort Son Vuruş"
"DOTA_Profile_Rampages"	"Katliamlar"
"DOTA_Profile_TripleKills"	"Üçlü Leşler"
"DOTA_Profile_FirstBlood"	"İlk Kan"
"DOTA_Profile_FirstBled"	"İlk Ölen"
"DOTA_Profile_CourierKills"	"Kurye Öldürme"
"DOTA_Profile_Aegises"	"Çalınan Aegis"
"DOTA_Profile_CheeseEaten"	"Yenilen Cheese"
"DOTA_Profile_CreepStack"	"İstiflenen Kamp"
"DOTA_Profile_GPMValue"	"{s:GPM}"
"DOTA_Profile_XPMValue"	"{s:XPM}"
"DOTA_Profile_LHValue"	"{s:LH}"
"DOTA_Profile_RampagesValue"	"{d:Rampages}"
"DOTA_Profile_TripleKillsValue"	"{d:TripleKills}"
"DOTA_Profile_FirstBloodValue"	"{d:FirstBlood}"
"DOTA_Profile_FirstBledValue"	"{d:FirstBled}"
"DOTA_Profile_CourierKillsValue"	"{d:CourierKills}"
"DOTA_Profile_AegisesValue"	"{d:Aegises}"
"DOTA_Profile_CheeseEatenValue"	"{d:CheeseEaten}"
"DOTA_Profile_CreepStackValue"	"{d:CreepStack}"
"DOTA_Profile_GPMLocalValue"	"{s:GPMLocal}"
"DOTA_Profile_XPMLocalValue"	"{s:XPMLocal}"
"DOTA_Profile_LHLocalValue"	"{s:LHLocal}"
"DOTA_Profile_RampagesLocalValue"	"{d:RampagesLocal}"
"DOTA_Profile_TripleKillsLocalValue"	"{d:TripleKillsLocal}"
"DOTA_Profile_FirstBloodLocalValue"	"{d:FirstBloodLocal}"
"DOTA_Profile_FirstBledLocalValue"	"{d:FirstBledLocal}"
"DOTA_Profile_CourierKillsLocalValue"	"{d:CourierKillsLocal}"
"DOTA_Profile_AegisesLocalValue"	"{d:AegisesLocal}"
"DOTA_Profile_CheeseEatenLocalValue"	"{d:CheeseEatenLocal}"
"DOTA_Profile_CreepStackLocalValue"	"{d:CreepStackLocal}"
"DOTA_RecentGames_Title"	"Son Oyunlar"
"DOTA_RecentGames_TimeStamp"	"Tarih/Saat"
"DOTA_RecentGames_HeroSelection"	"Oynanan Kahraman"
"DOTA_RecentGames_GameResult"	"Sonuç"
"DOTA_RecentGames_GameLength"	"Süre"
"DOTA_RecentGames_Team"	"Takım"
"DOTA_RecentGames_GameType"	"Tür"
"DOTA_RecentGames_Items"	"Eşyalar"
"DOTA_RecentGame_Timestamp_Entry"	"{t:s:timestamp} {t:t:timestamp}"
"DOTA_RecentGame_Duration"	"{t:d:duration}"
"DOTA_RecentGame_Downloading"	"{s:DownloadPercent} İndiriliyor"
"DOTA_RecentGame_Watch"	"Tekrarı İzle"
"DOTA_RecentGame_NoReplay"	"Tekrar Bulunamadı"
"DOTA_RecentGame_Expired"	"Tekrarın Süresi Doldu"
"DOTA_RecentGame_Finding"	"Bulunuyor..."
"DOTA_RecentGame_Download"	"Maçı İndir"
"DOTA_RecentGame_Pending"	"Tekrar Gönderimde"
"DOTA_RecentGame_Unavailable"	"Tekrar Bulunamadı"
"DOTA_RecentGame_MatchID"	"Maç No: #{s:match_id}"
"DOTA_No_Team_Name"	"--"
"DOTA_TrophyCount"	"{d:trophy_count} Kupa"
"DOTA_TrophiesCount"	"{d:trophy_count} Kupa"
"DOTA_TrophyCount_Number"	"{d:trophy_count}"
"DOTA_TrophyCount_NoNum"	"Kupa"
"DOTA_TrophiesCount_NoNum"	"Kupalar"
"DOTA_Trophies_ViewAll"	"Tümü"
"DOTA_TrophyName"	"{s:trophy_name}"
"DOTA_TrophyCategory"	"{s:trophy_category}"
"DOTA_TrophyDescription"	"{s:trophy_description}"
"DOTA_TrophyXP"	"{d:trophy_xp}<span class=\"TrophyPointTextSmall\">KP</span>"
"DOTA_NextTrophy"	"Sonraki Ödül"
"DOTA_NewPlayerQuestion_Title"	"DOTA 2'YE HOŞ GELDİN"
"DOTA_PlayerOriginQuestion_Question"	"Oyun tecrübenizi geliştirmek için lütfen Dota 2 ve benzeri oyunlarla olan aşinalığınızı paylaşın:"
"DOTA_PlayerOriginQuestion_BeginnerButton"	"Acemiyim."
"DOTA_PlayerOriginQuestion_RTSButton"	"Daha önce RTS oyunları oynadım."
"DOTA_PlayerOriginQuestion_MOBAButton"	"Daha önce Dota 2'ye benzeyen bir oyun oynadım."
"DOTA_PlayerOriginQuestion_Dota2Button"	"Daha önce Dota 2 oynadım."
"DOTA_PlayerOriginQuestion_MOBAExplanation"	"En rahat olduğunuz oyunu seçin:"
"DOTA_OtherGames_LOL"	"League of Legends"
"DOTA_OtherGames_DOTA"	"DotA 1"
"DOTA_OtherGames_HON"	"Heroes of Newerth"
"DOTA_OtherGames_Smite"	"Smite"
"DOTA_OtherGames_Other"	"Başka Oyun"
"DOTA_PlayerOriginQuestion_ConfirmationButton"	"HADİ OYNAYALIM"
"DOTA_PlayerOriginQuestion_ConfirmationTutorial"	"Dota'da yeni bir oyuncu olarak Oyna sekmesinin Eğitim bölümündeki eğitimlerle ilgilenebilirsin. Bunlar dünya çapındaki diğer oyunculara hükmetme yolunda büyük bir adım olacaktır."
"DOTA_PlayerOriginQuestion_ConfirmationSettings"	"Klavye kısayolları ve ayarları senin deneyimindeki oyuncuların en sık kullandığı seçenekler olarak ayarlandı. Bunları her zaman seçenekler simgesine tıklayarak değiştirebilirsin."
"DOTA_Tutorial_SkipButton"	"Eğitimi Geç"
"DOTA_ConfirmSkip"	"Dota 2 Tanıtımını Geçecek Misiniz?"
"DOTA_ConfirmSkipDesc"	"Dota 2 eğitimini geçmek istediğinize emin misiniz?"
"DOTA_Tutorial_Start_Quest"	"GÖREVİ BAŞLAT"
"DOTA_Tutorial_Quest0_Title"	"GÖREV 1"
"DOTA_Tutorial_Quest0_TitleDesc"	"MENZİLLİ KAHRAMAN"
"DOTA_Tutorial_Quest0DetailsDesc"	"Bu Görevi tamamlamak\n yaklaşık olarak 10 dakika sürecektir."
"DOTA_Tutorial_QuestDetailsLearn"	"Öğrenecekleriniz:"
"DOTA_Tutorial_Quest0DetailsLesson"	"Kahraman Hareketi\nKahraman Seviyesi\nYetenek Kullanma\nEşyalar\nTemel Çarpışma\nSon Vuruş"
"DOTA_Tutorial_Quest1_Title"	"GÖREV 2"
"DOTA_Tutorial_Quest1_TitleDesc"	"KULVAR ÇARPIŞMASI"
"DOTA_Tutorial_Quest1DetailsDesc"	"Bu Görevi tamamlamak\n yaklaşık olarak 10 dakika sürecektir."
"DOTA_Tutorial_Quest1DetailsLesson"	"Menzilli Çarpışma \n Alan Yetenekleri \n Mini Harita \n Kuleler \n Kuryeler ve Zula \n Işınlanma"
"DOTA_Tutorial_Quest2_Title"	"GÖREV 3"
"DOTA_Tutorial_Quest2_TitleDesc"	"KULVAR ÇARPIŞMASI"
"DOTA_Tutorial_Quest2DetailsDesc"	"Bu Görevi tamamlamak\n yaklaşık olarak 10 - 15 dakika sürecektir."
"DOTA_Tutorial_Quest2DetailsLesson"	"Kulvar Çarpışması \n Kule Savunma ve Saldırısı \n Başlangıç Eşyaları"
"DOTA_Challenges_Title"	"Öğren"
"DOTA_ChallengeGroup_0_Title"	"Mekanikler"
"DOTA_ChallengeGroup_1_Title"	"Rehberli Bot Maçları"
"DOTA_ChallengeGroup_1_Desc"	"Buradan Başla!"
"DOTA_ChallengeGroup_2_Title"	"Bot Maçları"
"DOTA_ChallengeGroup_More"	"Daha Fazlası Gelecek"
"DOTA_ChallengeGroup_Locked"	"Kilitli"
"DOTA_LearnMechanics_Title"	"Mekanikler"
"DOTA_LearnMechanics_SubTitle"	"Kahraman nasıl kontrol edilir, eşya dükkanı kullanımı, altın ve deneyim kazanma ve daha fazlası gibi Dota'nın temellerini öğrenin. Eğer Dota'ya benzer herhangi bir oyun oynamadıysanız, buradan başlayın."
"DOTA_Mechanics_0_Title"	"Mekanik 1"
"DOTA_Mechanics_0_Desc"	"Kahraman Hareketi\nKahraman Seviyesi\nYetenek Kullanma\nEşyalar\nTemel Çarpışma\nSon Vuruşlar"
"DOTA_Mechanics_1_Title"	"Mekanik 2"
"DOTA_Mechanics_1_Desc"	"Menzilli Çarpışma\nAlan Yetenekleri\nMini Harita\nKuleler\nKuryeler ve Zula\nIşınlanma"
"DOTA_LearnGuidedBotMatches_Title"	"Rehberli Bot Maçları"
"DOTA_LearnGuidedBotMatches_SubTitle"	"Dota oynamayı öğrenene kadar yapay zeka kontrollü kahramanlara karşı oynayın. Kahramanınızı bir tam maç boyunca durdurulamaz bir güç haline getirmek için size adım adım rehberlik edeceğiz."
"DOTA_GuidedBotMatches_0_Title"	"Luna"
"DOTA_GuidedBotMatches_0_Desc"	"Kısa Menzilli Saldırı\nYüksek Saldırı Hasarı\nHızlı Hareket\nKısmen Kırılgan\nÇeviklik Özelliğini Kullanır"
"DOTA_GuidedBotMatches_1_Title"	"Sven"
"DOTA_GuidedBotMatches_1_Desc"	"Yakın Dövüş Saldırı\nAnlık Saldırı Hasarı\nYüksek Dayanıklılık\nYavaşlatmalara Karşı Zayıf\nKuvvet Özelliğini Kullanır"
"DOTA_GuidedBotMatches_2_Title"	"Lina"
"DOTA_GuidedBotMatches_2_Desc"	"Uzun Menzilli Saldırı\nAnlık Yetenek Hasarı\nKısa Dolum Süresi\nFazlasıyla Kırılgan\nZekâ Özelliğini Kullanır"
"DOTA_LearnBotMatches_Title"	"Bot Maçları"
"DOTA_LearnBotMatches_SubTitle"	"Yapay zekaya sahip kahramanlara karşı stressiz bir alıştırma alanında alıştırma yapın."
"DOTA_BotMatches_0_Title"	"Kolay Botlar"
"DOTA_BotMatches_0_Desc"	"Yeni bir kahraman öğren."
"DOTA_BotMatches_1_Title"	"Orta Botlar"
"DOTA_BotMatches_1_Desc"	"Rahat ol."
"DOTA_BotMatches_2_Title"	"Zor Botlar"
"DOTA_BotMatches_2_Desc"	"Kendine meydan oku."
"DOTA_BotMatches_3_Title"	"Aşırı Zor Botlar"
"DOTA_BotMatches_3_Desc"	"Kendine zarar ver."
"FileOpenDialog_Open"	"Aç"
"FileOpenDialog_Save"	"Kaydet"
"FileOpenDialog_Select"	"Seç"
"FileOpenDialog_FileType_Folder"	"Dosya Klasörü"
"DOTA_FindMatch"	"Maç Bul"
"DOTA_FindingMatch"	"Maç Aranıyor ( {s:find_match_time} )"
"DOTA_FindMatchTime"	"{s:find_match_time}"
"DOTA_Searching"	"Aranıyor"
"DOTA_StartSoloBotMatch"	"Bot Maçı Başlat"
"DOTA_Create_Lobby"	"Lobi Oluştur"
"DOTA_Join_Lobby"	"Lobiye Katıl"
"DOTA_LobbyStartGame"	"Oyun Başlat"
"DOTA_ReturnToLobby"	"Lobiye geri dön"
"DOTA_FindMatchStatus"	"{s:searching_matchtype} / {s:searching_gamemodes} / {s:searching_region}"
"DOTA_FindGameModesMany"	"Oyun Modları: "
"DOTA_FindRegionsMany"	"Bölgeler: "
"DOTA_GameMode_AllPick"	"Serbest Seçim"
"DOTA_GameMode_SingleDraft"	"Tek Çekiliş"
"DOTA_GameMode_CaptainsMode"	"Kaptan Modu"
"DOTA_GameMode_RandomDraft"	"Rastgele Çekiliş"
"DOTA_GameMode_AbilityDraft"	"Yetenek Çekilişi"
"DOTA_GameMode_LeastPlayed"	"En Az Oynanan"
"DOTA_GameMode_AllRandom"	"Tümü Rastgele"
"DOTA_GameMode_LimitedHeroes"	"Sınırlı Kahraman"
"DOTA_GameMode_CaptainsDraft"	"Kaptan Çekilişi"
"DOTA_GameMode_AllRandomDeathMatch"	"Tümü Rastgele Ölüm Maçı"
"DOTA_ImmediatePurchase_SendFailed"	"Satın alma isteği gönderilemedi. Dota sunucuları çevrimdışı olabilir. Daha sonra tekrar satın almayı denemelisiniz."
"DOTA_ImmediatePurchase_Timeout"	"Satın alma isteğine yanıt beklerken zaman aşımına uğradı. Lütfen daha sonra tekrar deneyin."
"DOTA_ImmediatePurchase_InitFailed"	"Şu anda Perfect World ile satın alma işlemini gerçekleştiremiyoruz. Lütfen daha sonra tekrar deneyin."
"DOTA_ImmediatePurchase_InsufficientFundsPW"	"Perfect World hesabınızda satın alma işlemi için yeterli bakiye bulunmamaktadır. Lütfen bakiyenizi doldurup tekrar deneyin."
"DOTA_ImmediatePurchase_Success_Title"	"Başarılı"
"DOTA_ImmediatePurchase_Success_Text"	"Satın alma işlemi başarıyla gerçekleşti! Eşyaların kısa bir zaman içinde Cephaneliğinde görünecektir."
"DOTA_ImmediatePurchase_Cancelled_Title"	"İptal Edildi"
"DOTA_ImmediatePurchase_UnbundleTimeout"	"Paket açma isteğine yanıt beklerken zaman aşımına uğradı. Lütfen daha sonra tekrar deneyin."
"DOTA_ImmediatePurchase_UnbundleFailure"	"Paketini açamıyoruz. Lütfen daha sonra tekrar deneyin."
"DOTA_ImmediatePurchase_LateCancel"	"Bir önceki satın almanız iptal edildi. Herhangi bir ücret alınmadı."
"DOTA_ConfirmPurchaseTitle"	"Satın Almanız Onaylandı"
"DOTA_ConfirmPurchaseText"	"Bu eşyayı satın almak istiyor musunuz?"
"DOTA_PurchaseInProgress_Title"	"Satın Alma Devam Ediyor"
"DOTA_PurchaseInProgress_Text"	"Satın alma isteğiniz devam ediyor."
"DOTA_UnbundleInProgress_Title"	"Paket Açma İşlemi Devam Ediyor"
"DOTA_UnbundleInProgress_Text"	"Paketiniz açılıyor."
"DOTA_ConfirmUnbundleTitle"	"Paket Açmayı Onayla"
"DOTA_ConfirmUnbundleText"	"Bu eşyaları kuşanabilmeniz için paketi açmalısınız. Devam?"
"DOTA_RequestingBalance_Title"	"Bakiye Sorgulanıyor"
"DOTA_RequestingBalance_Text"	"Perfect World hesap bakiyeniz sorgulanıyor..."
"DOTA_PartnerPurchaseRecharge_Title"	"Bakiye Doldur"
"DOTA_PartnerPurchaseRecharge_Text"	"Hesap bakiyesi doldurma işlemine yönlendiriliyor..."
"DOTA_PartnerPurchase_Purchase"	"{g:dota_item_price:item_def}"
"DOTA_PartnerPurchase_Recharge"	"Hesap Bakiyesi Doldur"
"DOTA_PartnerPurchase_Balance"	"Bakiye: {m:balance}"
"DOTA_PartnerRecharge_Close"	"Satın alma işlemine dön"
"RequestBalanceBadAccount"	"Hesap bakiyesi sorgulama başarısız: hesap bulunamadı."
"RequestBalanceAccountNotLinked"	"Hesap bakiyesi sorgulama başarısız: hesabınız Perfect World'e bağlı değil."
"RequestBalanceUnsupportedPartner"	"Hesap bakiyesi sorgulama başarısız: hesabınız geçerli bir ortağa bağlı değil"
"StoreCheckout_Error_Title"	"Hata"
"StoreCheckout_NoItems"	"Alışveriş sepetiniz boş!"
"StoreCheckout_TooManyItems"	"Alışveriş sepetinizde çok fazla eşya var!"
"StoreCheckout_Loading"	"Ödeme yapılıyor..."
"StoreCheckout_Unavailable"	"Ödeme yapma servisine şu anda erişilemiyor."
"StoreCheckout_Cancelling"	"İptal ediliyor..."
"StoreCheckout_Fail"	"Oyun içi Mağaza şu anda kapalı."
"StoreCheckout_InvalidParam"	"Bir programcı işleri batırdı! Oyun koordinatörüne yanlış bir parametre iletildi. Yeniden satın almayı deneyin."
"StoreCheckout_InternalError"	"Alışverişinizi işlerken veya güncellerken bir sorun oluştu. Lütfen birkaç dakika bekleyin veya yardım için destek servisine başvurun."
"StoreCheckout_ContactSupport"	"İşleminiz sırasında bir hata meydana geldi. Yardım almak için lütfen destek servisi ile irtibata geçin."
"StoreCheckout_NotApproved"	"Oyun koordinatörü Steam ile olan işleminizi onaylamadı. Lütfen daha sonra tekrar satın almayı deneyin."
"StoreCheckout_NotLoggedin"	"Satın alma işlemini tamamlayabilmek için Steam'e giriş yapmış olmanız gerekiyor."
"StoreCheckout_WrongCurrency"	"Bu işlemdeki para birimi cüzdanınızdaki para birimi ile uyuşmuyor."
"StoreCheckout_NoAccount"	"Steam hesabınıza şu an için ulaşılamıyor. Lütfen daha sonra satın almayı deneyin."
"StoreCheckout_InsufficientFunds"	"Ödeme işlemini tamamlayabilmek için yeterli bakiyeniz yok."
"StoreCheckout_TimedOut"	"Ödeme işlemi zaman aşımına uğradı. Lütfen satın alma işlemini yineleyin."
"StoreCheckout_SteamAccountDisabled"	"Steam hesabınız devre dışı olduğundan alışveriş yapamazsınız."
"StoreCheckout_SteamAccountNoPurchase"	"Steam cüzdanı işlemleri hesabınız için devre dışı bırakılmıştır."
"StoreCheckout_OldPriceSheet"	"Yerel ürün listeniz güncel değil. Yenisi isteniyor."
"StoreCheckout_TransactionNotFound"	"İşlem numarası oyun koordinatörü tarafından bulunamadı. Lütfen satın alma işlemini yineleyin."
"StoreCheckout_TransactionCancelled"	"İşlem iptal edildi. Herhangi bir ücret alınmadı."
"StoreCheckout_TransactionCompleted"	"İşlem tamamlandı! Ganimetinizin keyfini çıkarın!"
"StoreCheckout_CompleteButUnfinalized"	"İşlem doğrulanamadı. Eğer işlem başarılı olduysa, ürünleriniz size daha sonra ulaştırılacaktır."
"StoreCheckout_NotEnoughRoom"	"Cephaneliğinizde bu kadar eşyayı alabilecek boş yer yok."
"StoreCheckout_ContactSupport_Dialog_Title"	"Uyarı"
"StoreCheckout_ContactSupport_Dialog_Btn"	"İletişim"
"StoreCheckout_LimitedQuantityItemsUnavailable"	"Satın almaya çalıştığınız ürünün satışı sona erdi ya da şu anda ulaşılamıyor."
"StoreCheckout_Nexon_InsufficientFunds"	"Satın alma işlemini tamamlamak için yeteri kadar bakiyeniz yok."
"StoreCheckout_Nexon_FundsLocked"	"Nexon nakit kilidi etkin."
"npc_dota_hero_abaddon_hype"	"Düşman saldırılarını kendini iyileştirmeye dönüştürebilen Abaddon, neredeyse tüm saldırılardan sağ çıkabilir. Dostlarını koruyarak ve çift taraflı ölüm halkasını bir arkadaş veya rakip üzerinde kullanarak savaşın ortasına atını sürmeye daima hazırdır."
"npc_dota_hero_alchemist_hype"	"Her bir leşten fazladan kaynak sentezleyen Alchemist, rakiplerini yok etmek için gerekli araçları toplamakta hiçbir sorun yaşamaz. Dengesiz kimyasalların sahibi, yıpratıcı asidiyle düşmanlarını pusuya düşürerek aç gözlü kaçamaklarının aralıksız devam etmesini sağlamak için savaşır."
"npc_dota_hero_ancient_apparition_hype"	"Savaş alanı boyunca hasar veren bir buz dalgası başlatabilen Ancient Apparition, zayıf düşmüş düşmanlarını nerede olursa olsun paramparça etmekle tehdit eder. Dostlarının savaştaki etkisini arttırırken düşmanları yavaşlatarak rakipleri için sürekli bir tehdit oluşturur."
"npc_dota_hero_antimage_hype"	"Anti-Mage tüm kuvvetini kazanmak için fırsat bulmalı ki, çok azı onun saldırılarını durdurabilsin. Her saldırı ile düşmanlarından mana çekerken ya da pusulardan kurtulmak için kısa mesafelerde ışınlanırken onu köşeye sıkıştırmak tüm rakipleri için zorlu bir mücadeledir."
"npc_dota_hero_axe_hype"	"Axe birbiri ardına rakiplerini kesip biçer. Takımında başı çekerek savaşta düşmanlarını kitler ve daha sonra silahının ölümcül dönüşüyle onların vuruşlarına karşılık verir. Zayıf düşmüş bir düşmana koparıcı baltasını indirir ve her zaman saldırıda en önde yer alır."
"npc_dota_hero_bane_hype"	"Bane engelleme yetenekleriyle dolu cephanesi ile düşmanlarına terör estirir. Rakibini bulaşıcı bir kabusa hapsederek ya da düşmanını yerinde sıkıca tutarak dostlarına düşmanlarını katletmek için gerekli tüm süreyi sağlar."
"npc_dota_hero_batrider_hype"	"Bir kez göklere yükseldiğinde, Batrider her yerden saldırı yapabilir. Kementiyle rakibi yakalayarak ağaç tepelerinin de ötesine çıkar, acımasız dostlarının yanına çekmeden önce, avını alevlerden oluşan izinin üstünde sürükler."
"npc_dota_hero_beastmaster_hype"	"Avlanmasına yardım etmesi için zehir tüküren bir yaban domuzu ve gözcü bir şahin çağıran Beastmaster, savaş alanına asla hazırlıksız sokulmaz. Baltalarıyla ormanları keserken sersemleten kükremesi düşmanları harap etmek için dostlarına ortam sağlar."
"npc_dota_hero_bloodseeker_hype"	"Bloodseeker düşmanlarını zor kararlar vermeye zorlar. Geniş bir alanı hasar veren ritüeli ile çevirerek hasımlarını geri çekilmeye zorlarken dehşet veren son yeteneği rakiplerine ya sabit durmalarını, ya da ölmelerini söyler."
"npc_dota_hero_bounty_hunter_hype"	"Düşmanlarına görünmez ve sinsi bir şekilde sokulan Bounty Hunter, her zaman rakiplerinin izini sürer. Hedeflerinden birisi savaşırken öldüğü zaman, o ve dostları büyük bir kazanç elde etmek için orada olurlar."
"npc_dota_hero_brewmaster_hype"	"Her durumda korkutucu bir savaşçı olan Brewmaster, her biri kendine özgü yeteneklere sahip üç elementsel ruha bölünerek savaşın yönünü değiştirebilir. Bölünmediği zamanlarda, yavaşlatıcı vuruşları ve güçlü sopa savuruşlarıyla rakiplerine sarhoş kargaşasını getirir."
