"dota"
{
"DOTA_Accept"	"Hyväksy"
"DOTA_ProfileCard_StatTitle_PartyRank"	"Ryhmäranking"
"DOTA_ProfileCard_StatTitle_Wins"	"Voitot"
"DOTA_ProfileCard_StatTitle_Commends"	"Kehut"
"DOTA_ProfileCard_StatTitle_GamesPlayed"	"Ottelut"
"DOTA_ProfileCard_StatTitle_FirstMatchDate"	"Ensimmäinen peli"
"DOTA_ProfileCard_StatValue_Int"	"{d:stat_value}"
"DOTA_ProfileCard_StatValue_Date"	"{t:s:stat_value}"
"DOTA_ProfileCard_StatValue_String"	"{s:stat_value}"
"DOTA_ProfileCard_SlotTab_Trophies"	"Pokaalit"
"DOTA_ProfileCard_SlotTab_Items"	"Esineet"
"DOTA_ProfileCard_SlotTab_Heroes"	"Sankarit"
"DOTA_ProfileCard_SlotTab_Emoticons"	"Hymiöt"
"DOTA_ProfileCard_NoTrophies"	"Ei pokaaleja saatavilla."
"DOTA_ProfileCard_NoItems"	"Ei esineitä saatavilla."
"DOTA_ProfileCard_HeroOnly"	"Vain sankari"
"DOTA_ProfileCard_HeroShowWins"	"Näytä voitot"
"DOTA_ProfileCard_HeroShowWinsAndLosses"	"Näytä voitot-häviöt"
"DOTA_ProfileCard_ItemSearchPrefix"	"Hae:"
"DOTA_ProfileCard_ItemSearchPlaceholder"	"Esineitä nimeltä"
"DOTA_HeroTooltip_HeroName"	"{s:hero_name}"
"DOTA_HeroTooltip_HeroRecord"	"{s:hero_wins_string}, {s:hero_losses_string}"
"DOTA_ProfileCard_HeroSearchPlaceholder"	"Etsi sankarin nimellä"
"DOTA_Wins_Singular"	"1 voitto"
"DOTA_Wins_Plural"	"{d:hero_wins} voittoa"
"DOTA_Losses_Singular"	"1 häviö"
"DOTA_Losses_Plural"	"{d:hero_losses} häviötä"
"DOTA_Profile_TotalGames"	"Pelejä yhteensä"
"DOTA_Profile_Solo_MMR"	"Yksilöranking"
"DOTA_Profile_Team_MMR"	"Joukkueranking"
"DOTA_Profile_Party_MMR"	"Ryhmäranking"
"DOTA_Profile_VictoryCount"	"Voitot"
"DOTA_Profile_ProfilePage"	"Profiili"
"DOTA_Profile_RecentGamesPage"	"Viimeaikaiset pelit"
"DOTA_Profile_HeroPage"	"Sankarit"
"DOTA_Profile_PlayStyle"	"Pelityyli"
"DOTA_Profile_MostRecent"	"Edelliset {s:num_style_games} peliä"
"DOTA_Profile_Fighting"	"Taisteleminen"
"DOTA_Profile_Fighting_TooltipTitle"	"Taisteleminen"
"DOTA_Profile_Fighting_Tooltip"	"Pelaaja kahinoi usein vihollisten kanssa."
"DOTA_Profile_Pushing"	"Puskeminen"
"DOTA_Profile_Pushing_TooltipTitle"	"Puskeminen"
"DOTA_Profile_Pushing_Tooltip"	"Pelaaja puskee torneja, luoden kartalle elintilaa."
"DOTA_Profile_Versatility"	"Monipuolisuus"
"DOTA_Profile_Versatility_TooltipTitle"	"Monipuolisuus"
"DOTA_Profile_Versatility_Tooltip"	"Pelaaja pelaa monia erilaisia sankareita."
"DOTA_Profile_Tooltip_Value"	"{s:CurrentStatValue}"
"DOTA_Profile_Tooltip_Comparison"	"{s:CurrentComparisonValue}"
"DOTA_Profile_StatsCompare"	"Vertaa omiin tilastoihini"
"DOTA_Profile_Self"	"Minä"
"DOTA_Profile_Rampages"	"Täystuhot"
"DOTA_Profile_TripleKills"	"Triplatapot"
"DOTA_Profile_FirstBlood"	"Ensimmäiset tapot"
"DOTA_Profile_FirstBled"	"Ensimmäiset kuolemat"
"DOTA_Profile_CourierKills"	"Kuriireja tapettu"
"DOTA_Profile_Aegises"	"Aegista siepattu"
"DOTA_Profile_CheeseEaten"	"Syödyt Cheeset"
"DOTA_Profile_GPMValue"	"{s:GPM}"
"DOTA_Profile_XPMValue"	"{s:XPM}"
"DOTA_Profile_LHValue"	"{s:LH}"
"DOTA_Profile_RampagesValue"	"{d:Rampages}"
"DOTA_Profile_TripleKillsValue"	"{d:TripleKills}"
"DOTA_Profile_FirstBloodValue"	"{d:FirstBlood}"
"DOTA_Profile_FirstBledValue"	"{d:FirstBled}"
"DOTA_Profile_CourierKillsValue"	"{d:CourierKills}"
"DOTA_Profile_AegisesValue"	"{d:Aegises}"
"DOTA_Profile_CheeseEatenValue"	"{d:CheeseEaten}"
"DOTA_Profile_CreepStackValue"	"{d:CreepStack}"
"DOTA_Profile_GPMLocalValue"	"{s:GPMLocal}"
"DOTA_Profile_XPMLocalValue"	"{s:XPMLocal}"
"DOTA_Profile_LHLocalValue"	"{s:LHLocal}"
"DOTA_Profile_RampagesLocalValue"	"{d:RampagesLocal}"
"DOTA_Profile_TripleKillsLocalValue"	"{d:TripleKillsLocal}"
"DOTA_Profile_FirstBloodLocalValue"	"{d:FirstBloodLocal}"
"DOTA_Profile_FirstBledLocalValue"	"{d:FirstBledLocal}"
"DOTA_Profile_CourierKillsLocalValue"	"{d:CourierKillsLocal}"
"DOTA_Profile_AegisesLocalValue"	"{d:AegisesLocal}"
"DOTA_Profile_CheeseEatenLocalValue"	"{d:CheeseEatenLocal}"
"DOTA_Profile_CreepStackLocalValue"	"{d:CreepStackLocal}"
"DOTA_RecentGames_Title"	"Viimeaikaiset pelit"
"DOTA_RecentGames_TimeStamp"	"PVM/KLO"
"DOTA_RecentGames_HeroSelection"	"Sankari"
"DOTA_RecentGames_GameResult"	"Lopputulos"
"DOTA_RecentGames_GameLength"	"Kesto"
"DOTA_RecentGames_Team"	"Joukkue"
"DOTA_RecentGames_GameType"	"Pelityyppi"
"DOTA_RecentGames_Items"	"Esineet"
"DOTA_RecentGame_Timestamp_Entry"	"{t:s:timestamp} {t:t:timestamp}"
"DOTA_RecentGame_Duration"	"{t:d:duration}"
"DOTA_RecentGame_Downloading"	"{s:DownloadPercent} ladattu"
"DOTA_RecentGame_Watch"	"Katso uusinta"
"DOTA_RecentGame_NoReplay"	"Ei uusintaa"
"DOTA_RecentGame_Expired"	"Uusinta vanhentunut"
"DOTA_RecentGame_Finding"	"Etsitään..."
"DOTA_RecentGame_Download"	"Lataa ottelu"
"DOTA_RecentGame_Pending"	"Uusinta odottaa"
"DOTA_RecentGame_Unavailable"	"Uusinta ei saatavilla"
"DOTA_RecentGame_MatchID"	"Ottelun tunnus: #{s:match_id}"
"DOTA_No_Team_Name"	"--"
"DOTA_TrophyCount"	"{d:trophy_count} pokaali"
"DOTA_TrophiesCount"	"{d:trophy_count} pokaalia"
"DOTA_TrophyCount_Number"	"{d:trophy_count}"
"DOTA_Trophies_ViewAll"	"Näytä kaikki"
"DOTA_TrophyName"	"{s:trophy_name}"
"DOTA_TrophyCategory"	"{s:trophy_category}"
"DOTA_TrophyDescription"	"{s:trophy_description}"
"DOTA_NextTrophy"	"Seuraava palkinto"
"DOTA_NewPlayerQuestion_Title"	"DOTA 2 TOIVOTTAA SINUT TERVETULLEEKSI"
"DOTA_PlayerOriginQuestion_Question"	"Pelikokemuksesi parantamiseksi ole hyvä ja kerro, kuinka tuttuja Dota 2 ja vastaavat pelit ovat sinulle:"
"DOTA_PlayerOriginQuestion_BeginnerButton"	"Olen aloittelija."
"DOTA_PlayerOriginQuestion_RTSButton"	"Olen pelannut RTS-pelejä aiemminkin."
"DOTA_PlayerOriginQuestion_MOBAButton"	"Olen pelannut samankaltaisia pelejä kuin Dota 2."
"DOTA_PlayerOriginQuestion_Dota2Button"	"Olen pelannut Dota 2:ta."
"DOTA_PlayerOriginQuestion_MOBAExplanation"	"Valitse peli, joka on sinulle tutuin:"
"DOTA_OtherGames_LOL"	"League of Legends"
"DOTA_OtherGames_DOTA"	"DotA 1"
"DOTA_OtherGames_HON"	"Heroes of Newerth"
"DOTA_OtherGames_Smite"	"Smite"
"DOTA_OtherGames_Other"	"Muu peli"
"DOTA_PlayerOriginQuestion_ConfirmationButton"	"PELATAAN"
"DOTA_PlayerOriginQuestion_ConfirmationTutorial"	"Uutena Dota-pelaajana sinua saattaa kiinnostaa opetuspelit, jotka löytyvät Pelaa-osion kohdasta Harjoittelu. Opetuspelit ovat tärkeä ensimmäinen askel muiden pelaajien murskaamisessa."
"DOTA_PlayerOriginQuestion_ConfirmationSettings"	"Pikanäppäimet ja asetukset on nyt asetettu niin kuin useimmat yhtä kokeneet pelaajat niitä käyttävät. Voit vaihtaa niitä milloin tahansa painamalla asetuspainiketta."
"DOTA_Tutorial_SkipButton"	"Ohita opastus"
"DOTA_ConfirmSkip"	"Ohita Dota 2:n esittely?"
"DOTA_ConfirmSkipDesc"	"Haluatko varmasti ohittaa johdatuksen Dota 2:een?"
"DOTA_Tutorial_Start_Quest"	"ALOITA TEHTÄVÄ"
"DOTA_Tutorial_Quest0_Title"	"TEHTÄVÄ 1"
"DOTA_Tutorial_Quest0_TitleDesc"	"KAUKOTAISTELIJA"
"DOTA_Tutorial_Quest0DetailsDesc"	"Tehtävän suorittamiseen\nkuluu noin 10 minuuttia."
"DOTA_Tutorial_QuestDetailsLearn"	"Aiheet:"
"DOTA_Tutorial_Quest0DetailsLesson"	"Sankarin liikkuminen\nSankarin tasot\nKykyjen käyttäminen\nEsineet\nTaistelun perusteet\nTappavat osumat"
"DOTA_Tutorial_Quest1_Title"	"TEHTÄVÄ 2"
"DOTA_Tutorial_Quest1DetailsDesc"	"Tehtävän suorittamiseen\nkuluu noin 10 minuuttia."
"DOTA_Tutorial_Quest2_Title"	"TEHTÄVÄ 3"
"DOTA_Tutorial_Quest2DetailsDesc"	"Tehtävän suorittamiseen\nkuluu noin 10-15 minuuttia."
"DOTA_Tutorial_Quest2DetailsLesson"	"Taistelu linjalla\nTornien puolustaminen ja puskeminen\nAloitusesineet"
"DOTA_Challenges_Title"	"Opi"
"DOTA_ChallengeGroup_0_Title"	"Mekaniikat"
"DOTA_ChallengeGroup_1_Title"	"Ohjatut bottipelit"
"DOTA_ChallengeGroup_1_Desc"	"Aloita tästä!"
"DOTA_ChallengeGroup_2_Title"	"Bottipelit"
"DOTA_ChallengeGroup_More"	"Lisää tulossa"
"DOTA_ChallengeGroup_Locked"	"Lukittu"
"DOTA_LearnMechanics_Title"	"Mekaniikat"
"DOTA_LearnMechanics_SubTitle"	"Nämä johdannot opettavat sinulle Dotan perusasiat. Emme kuitenkaan suosittele, että aloittaisit pelaamalla näitä. Kokeile sen sijaan aloittaa ohjattu bottipeli, ja palaa näihin jos koet tarvitsevasi apua."
"DOTA_Mechanics_0_Title"	"Mekaniikat 1"
"DOTA_Mechanics_0_Desc"	"Sankarin liikkuminen\nSankarin tasot\nKykyjen käyttäminen\nEsineet\nTaistelun perusteet\nTappavat osumat"
"DOTA_Mechanics_1_Title"	"Mekaniikat 2"
"DOTA_Mechanics_1_Desc"	"Kaukotaistelu\nAluevaikutukset\nKartta\nTornit\nKuriirit ja säilö\nTeleporttaus"
"DOTA_LearnGuidedBotMatches_Title"	"Ohjatut bottipelit"
"DOTA_LearnGuidedBotMatches_SubTitle"	"Opi pelaamaan Dotaa tekoälyn ohjaamien sankareiden parissa. Opastamme sinut täyspitkän ottelun kaikkien vaiheiden läpi askel askeleelta, samalla kun kehität sankaristasi pysäyttämättömän pedon."
"DOTA_GuidedBotMatches_0_Title"	"Luna"
"DOTA_GuidedBotMatches_0_Desc"	"Lyhyen kantaman hyökkäys\nSuuri hyökkäysvahinko\nNopea liikkumaan\nKohtalaisen haavoittuvainen\nPiirre: ketteryys"
"DOTA_GuidedBotMatches_1_Title"	"Sven"
"DOTA_GuidedBotMatches_1_Desc"	"Lähitaistelija\nRäjähdysmäinen hyökkäysvahinko\nKestävä\nKärsii hidastuksia vastaan\nPiirre: voima"
"DOTA_GuidedBotMatches_2_Title"	"Lina"
"DOTA_GuidedBotMatches_2_Desc"	"Pitkän kantaman hyökkäys\nTuhoisat loitsut\nLyhyet latausajat\nErittäin haavoittuvainen\nPiirre: älykkyys"
"DOTA_LearnBotMatches_Title"	"Bottipelit"
"DOTA_LearnBotMatches_SubTitle"	"Kun olet pelannut ohjattuja bottipelejä, kokeile harjoittelua tekoälyä vastaan. Bottipelit ovat stressitön tapa jatkaa oppimista, ja monet pelaajat jatkavatkin harjoittelua bottipelien avulla pitkän aikaa."
"DOTA_BotMatches_0_Title"	"Helpot botit"
"DOTA_BotMatches_0_Desc"	"Tutustu uuteen sankariin."
"DOTA_BotMatches_1_Title"	"Keskitason botit"
"DOTA_BotMatches_1_Desc"	"Nauti olostasi."
"DOTA_BotMatches_2_Title"	"Vaikeat botit"
"DOTA_BotMatches_2_Desc"	"Haasta itseäsi."
"DOTA_BotMatches_3_Title"	"Epäreilut botit"
"DOTA_BotMatches_3_Desc"	"Satuta itseäsi."
"FileOpenDialog_Open"	"Avaa"
"FileOpenDialog_Save"	"Tallenna"
"FileOpenDialog_Select"	"Valitse"
"FileOpenDialog_FileType_Folder"	"Tiedostokansio"
"DOTA_FindMatch"	"Etsi peli"
"DOTA_FindingMatch"	"Etsitään peliä ( {s:find_match_time} )"
"DOTA_FindMatchTime"	"{s:find_match_time}"
"DOTA_Searching"	"Etsitään"
"DOTA_StartSoloBotMatch"	"Aloita bottipeli"
"DOTA_Create_Lobby"	"Perusta aula"
"DOTA_Join_Lobby"	"Liity aulaan"
"DOTA_LobbyStartGame"	"Aloita peli"
"DOTA_ReturnToLobby"	"Palaa aulaan"
"DOTA_FindMatchStatus"	"{s:searching_matchtype} / {s:searching_gamemodes} / {s:searching_region}"
"DOTA_FindGameModesMany"	"Pelimuodot:"
"DOTA_FindRegionsMany"	"Alueet:"
"DOTA_GameMode_AllPick"	"Vapaa valinta"
"DOTA_GameMode_SingleDraft"	"Piirrevalinta"
"DOTA_GameMode_CaptainsMode"	"Kapteenitila"
"DOTA_GameMode_RandomDraft"	"Joukkovalinta"
"DOTA_GameMode_AbilityDraft"	"Kykyvalinta"
"DOTA_GameMode_LeastPlayed"	"Vähiten pelatut"
"DOTA_GameMode_AllRandom"	"Satunnaisvalinta"
"DOTA_GameMode_LimitedHeroes"	"Rajatut sankarit"
"DOTA_GameMode_CaptainsDraft"	"Kapteenin valinta"
"DOTA_GameMode_AllRandomDeathMatch"	"Satunnainen surmamatsi"
"DOTA_ImmediatePurchase_Cancelled_Title"	"Peruutettu"
"DOTA_ConfirmPurchaseTitle"	"Vahvista ostos"
"DOTA_ConfirmPurchaseText"	"Haluatko ostaa tämän esineen?"
"DOTA_PartnerRecharge_Close"	"Takaisin ostokseen"
"StoreCheckout_Error_Title"	"Virhe"
"StoreCheckout_NoItems"	"Ostoskärrysi on tyhjä!"
"StoreCheckout_TooManyItems"	"Ostoskärryssäsi on liian monta esinettä!"
"StoreCheckout_Loading"	"Menossa kassalle..."
"StoreCheckout_Unavailable"	"Maksaminen ei onnistu tällä hetkellä."
"StoreCheckout_Cancelling"	"Perutaan..."
"StoreCheckout_Fail"	"Pelin sisäinen kauppa on tällä hetkellä suljettu."
"StoreCheckout_InvalidParam"	"Ohjelmoija mokasi! Virheellinen parametri lähetettiin pelikoordinaattorille. Yritä ostoksen tekemistä uudelleen."
"StoreCheckout_InternalError"	"Maksutapahtumasi alustuksessa tai päivittämisessä näyttää tapahtuneen virhe. Odota hetki ja yritä uudelleen tai ota yhteyttä tukeen."
"StoreCheckout_ContactSupport"	"Maksutapahtumassasi tapahtui virhe. Ota yhteyttä tukeen."
"StoreCheckout_NotApproved"	"Pelikoordinaattori ei pysytynyt varmentamaan maksutapahtumaasi Steamin kautta. Yritä ostoksen tekemistä myöhemmin."
"StoreCheckout_NotLoggedin"	"Sinun tulee olla kirjautunut Steamiin suorittaaksesi ostoksen loppuun."
"StoreCheckout_WrongCurrency"	"Maksutapahtuman valuutta ei vastaa lompakkosi valuuttaa."
"StoreCheckout_NoAccount"	"Steam-tilisi ei ole tällä hetkellä käytettävissä. Yritä suorittaa ostos myöhemmin."
"StoreCheckout_InsufficientFunds"	"Varasi eivät riitä tämän ostoksen tekemiseen."
"StoreCheckout_TimedOut"	"Maksutapahtuma aikakatkaistiin. Yritä ostoksen tekemistä uudelleen."
"StoreCheckout_SteamAccountDisabled"	"Steam-tilisi on pois käytöstä, eikä sillä voi tehdä ostoksia."
"StoreCheckout_SteamAccountNoPurchase"	"Steam-lompakon maksutapahtumat tällä tilillä on poistettu käytöstä."
"StoreCheckout_OldPriceSheet"	"Paikallinen tuoteluettelosi on vanhentunut. Pyydetään uutta."
"StoreCheckout_TransactionNotFound"	"Pelikoordinaattori ei löytänyt tämän maksutapahtuman tunnusta. Yritä ostoksen tekemistä myöhemmin."
"StoreCheckout_TransactionCompleted"	"Maksutapahtuma valmis!\\\nNauti saaliistasi!"
"StoreCheckout_CompleteButUnfinalized"	"Onnistumisen varmentaminen epäonnistui. Jos varmennus onnistuu, esineesi toimitetaan sinulle myöhemmin."
"StoreCheckout_NotEnoughRoom"	"Asevarastossasi ei ole riittävästi tilaa näin monen esineen ostamiseen."
"StoreCheckout_ContactSupport_Dialog_Title"	"Varoitus"
"StoreCheckout_ContactSupport_Dialog_Btn"	"Ota yhteyttä"
"StoreCheckout_LimitedQuantityItemsUnavailable"	"Esine, jota yrität ostaa, on loppuunmyyty tai se ei ole tällä hetkellä saatavilla."
"StoreCheckout_Nexon_InsufficientFunds"	"Sinulla ei ole tarpeeksi varoja tämän ostoksen tekemiseen."
"StoreCheckout_Nexon_FundsLocked"	"Nexonin käteislukko käytössä."
"npc_dota_hero_witch_doctor_hype"	"Witch Doctor on aina sitä, mitä hänen tiiminsä tarvitsee. Hän voi parantaa liittolaistensa haavat, tainnuttaa ja kirota vihollisensa, tai tuhota viholliset pelkästään tanssimalla ultimate-kykynsä turvin. Ei ole montaa, joka voittaa Witch Doctorin monipuolisuudessa."
"DOTA_AbilityTooltip_Name"	"{s:name}"
"DOTA_AbilityTooltip_Level"	"Taso {s:level}"
"DOTA_AbilityTooltip_TargetType"	"KOHDE: {s:targettype}"
"DOTA_AbilityTooltip_CastType"	"KYKY: {s:casttype}"
"DOTA_AbilityTooltip_DamageType"	"VAHINKOTYYPPI: {s:damagetype}"
"DOTA_AbilityTooltip_SpellImmunityType"	"LOITSUIMMUNITEETTI: {s:spellimmunity}"
"DOTA_AbilityTooltip_Description"	"{s:description}"
"DOTA_AbilityTooltip_ScepterDescription"	"{s:scepterdescription}"
"DOTA_AbilityTooltip_ExtraDescription"	"{s:extradescription}"
"DOTA_AbilityTooltip_Attributes"	"{s:attributes}"
"DOTA_AbilityTooltip_Cooldown"	"{s:cooldown}"
"DOTA_AbilityTooltip_ManaCost"	"{s:manacost}"
"DOTA_AbilityTooltip_Lore"	"{s:lore}"
"DOTA_AbilityTooltip_UpgradeLevel"	"Seuraava päivitys sankarin tasolla {d:upgradelevel}"
"DOTA_AbilityTooltip_BuildHeader"	"Kykyopas"
"DOTA_AbilityTooltip_BuildComment"	"{s:buildcomment}"
"DOTA_PersonaTooltip_Title"	"{g:dota_persona:account_id}"
"DOTA_PersonaTooltip_TitlePro"	"{g:dota_persona_pro:account_id}"
"DOTA_PendingInvites"	"Ryhmäkutsut"
"DOTA_PendingInvitesTooltip_None"	"Ei odottavia kutsuja"
"DOTA_PendingInvitesTooltip_1"	"1 odottava kutsu"
"DOTA_PendingInvitesTooltip_N"	"{d:pending_invite_count} odottavaa kutsua"
"DOTA_PendingInvitesTooltip_NonLeader"	"Näytä kutsut."
"DOTA_PendingInvitesCancelAll"	"Peruuta kaikki kutsut"
"DOTA_PendingInvitesNotPartyLeader"	"Vain ryhmän johtaja voi hallinnoida kutsuja"
"DOTA_ChatTab_NotInChannelMessage"	"Kukaan ei kuule sinua."
"DOTA_ChatTab_ToggleGlobal"	"Näytä tämän kanavan viestit kaikissa välilehdissä."
"DOTA_ChatTab_Close"	"Sulje tämä välilehti."
"DOTA_ChatTab_Leave"	"Poistu tältä kanavalta."
"DOTA_JoinChatChannel_Title"	"Liity kanavalle"
"DOTA_JoinChatChannel_Description"	"Perusta keskustelukanava tai liity kanavalle."
"DOTA_JoinChatChannel_AddToCurrentTab"	"Lisää nykyiseen välilehteen '{s:current_tab_name}'"
"DOTA_JoinChatChannel_CreateNewTab"	"Luo uusi välilehti:"
"DOTA_Chat_ChannelName"	"{s:channel_name}"
"DOTA_Chat_ChannelMemberCount_Singular"	"1 jäsen"
"DOTA_Chat_ChannelMemberCount_Plural"	"{d:channel_member_count} jäsentä"
"DOTA_EditChatTab_Description"	"Valitse, mitkä viestit näytetään tässä välilehdessä."
"DOTA_EditChatTab_AddNewChannel"	"Lisää uusi kanava..."
"DOTA_EditChatTab_TabName"	"Välilehden nimi:"
"DOTA_EditChatTab_Target"	"{s:target}"
"DOTA_Chat_TimestampFormat"	"{t:t:timestamp}"
"DOTA_Chat_Autocomplete_Title"	"{s:autocomplete_title}"
"DOTA_Chat_Autocomplete_NoMatches"	"Ei osumia"
"DOTA_Chat_Autocomplete_WhisperFriends"	"Kuiskaa kaverille"
"DOTA_Chat_Autocomplete_InviteFriends"	"Kutsu kaveri"
"DOTA_Chat_Autocomplete_Channels"	"Kanavat"
"DOTA_Chat_Autocomplete_Commands"	"Komennot"
"DOTA_Chat_Autocomplete_CommandName"	"/{s:command_name}"
"DOTA_Chat_Autocomplete_CommandDescription"	"{s:command_description}"
"dota_suggest_invite_format"	"Kutsu {s:invite_persona} ryhmään."
"dota_suggest_invite_format_leader"	"Kutsu {s:invite_persona} ryhmään. ( <a href=\"event:DOTAInviteToParty({s:invite_persona_steamid})\" class=\"InviteButton\">Lähetä kutsu</a> )"
"dota_suggest_invite_format_lobby"	"Kutsu {s:invite_persona} aulaan."
"dota_suggest_invite_format_lobby_leader"	"Kutsu {s:invite_persona} aulaan. ( <a href=\"event:DOTAInviteToLobby({s:invite_persona_steamid})\" class=\"InviteButton\">Lähetä kutsu</a> )"
"DOTA_ChatMessage_Default"	"<span class=\"{s:target_class}\"><span class=\"ChatTarget\">(<a href=\"{s:target_link}\">{s:target}</a>)</span> <span class=\"ChatPersona\">[{s:persona}]</span>: {s:message}</span>"
"DOTA_ChatMessage_WhisperTo"	"<span class=\"{s:target_class}\">@<span class=\"ChatPersona\">[{s:persona}]</span>: {s:message}</span>"
"DOTA_ChatMessage_WhisperFrom"	"<span class=\"{s:target_class}\"><span class=\"ChatPersona\">[{s:persona}]</span>: {s:message}</span>"
"DOTA_ChatMessage_System"	"<span class=\"{s:target_class}\"><span class=\"ChatTarget\">({s:target})</span>: {s:message}</span>"
"DOTA_ChatTarget_Format_Default"	"{s:target}"
"DOTA_ChatTarget_Format_Whisper"	"{s:persona}"
"DOTA_ChatTarget_Party"	"Ryhmä"
"DOTA_ChatTarget_Lobby"	"Aula"
"DOTA_ChatTarget_Team"	"Tiimi"
"DOTA_ChatTarget_Guild"	"Kilta"
"DOTA_ChatTarget_Fantasy"	"Fantasia"
"DOTA_ChatTarget_Console"	"Konsoli"
"DOTA_ChatTarget_Whisper"	"Kuiskaus"
"DOTA_ChatTarget_Invalid"	"Ei kanavaa"
"DOTA_ChatTarget_GameAll"	"Kaikki"
"DOTA_ChatTarget_GameAllies"	"Tiimi"
"DOTA_ChatTarget_GameCoaching"	"Valmennus"
"DOTA_ChatTarget_GameSpectator"	"Katsojat"
"DOTA_ChatTargetMenu_Title"	"{s:target}"
"DOTA_ChatTargetMenu_ToggleEnabled"	"{s:toggle_enabled}"
"DOTA_ChatTargetMenu_NotActive"	"(Ei käytössä)"
"DOTA_Chat_Placeholder"	"Keskustele kirjoittamalla tähän. '/' mahdollistaa komennot."
"DOTA_Chat_MissedMessages"	"{s:missed_message_count}"
"DOTA_ChatCommand_Party"	"p"
"DOTA_ChatCommand_Party_Name"	"Ryhmä"
"DOTA_ChatCommand_Party_Description"	"Puhu nykyisen ryhmän kesken."
"DOTA_ChatCommand_Lobby"	"l"
"DOTA_ChatCommand_Lobby_Name"	"Aula"
"DOTA_ChatCommand_Lobby_Description"	"Keskustele tämänhetkisen aulan kanssa."
"DOTA_ChatCommand_Channel"	"c"
"DOTA_ChatCommand_Channel_Name"	"Kanava"
"DOTA_ChatCommand_Channel_Description"	"Keskustele valitulla keskustelukanavalla."
"DOTA_ChatCommand_Whisper"	"w"
"DOTA_ChatCommand_Whisper_Name"	"Kuiskaa"
"DOTA_ChatCommand_Whisper_Description"	"Kuiski yksityisesti kaverin kanssa."
"DOTA_ChatCommand_Reply"	"r"
"DOTA_ChatCommand_Reply_Name"	"Vastaa"
"DOTA_ChatCommand_Reply_Description"	"Vastaa yksityisesti kaverin kuiskaukseen."
"DOTA_ChatCommand_Help"	"?"
"DOTA_ChatCommand_Help_Name"	"Ohje"
"DOTA_ChatCommand_Help_Description"	"Näytä keskustelukomentojen ohjeet."
"DOTA_ChatCommand_InviteToParty"	"partyinvite"
"DOTA_ChatCommand_InviteToParty_Name"	"Kutsu ryhmään"
"DOTA_ChatCommand_InviteToParty_Description"	"Kutsu kaveri nykyiseen ryhmääsi."
"DOTA_ChatCommand_LeaveParty"	"leaveparty"
"DOTA_ChatCommand_LeaveParty_Name"	"Lähde ryhmästä"
"DOTA_ChatCommand_LeaveParty_Description"	"Poistu nykyisestä ryhmästä."
"DOTA_ChatCommand_JoinChannel"	"joinchannel"
"DOTA_ChatCommand_JoinChannel_Name"	"Liity kanavalle"
"DOTA_ChatCommand_JoinChannel_Description"	"Liity keskustelukanavalle tai luo uusi."
