"dota"
{
"DOTA_Accept"	"Akceptuj"
"DOTA_ProfileCard_SlotTab_Trophies"	"Trofea"
"DOTA_ProfileCard_SlotTab_Items"	"Zbrojownia"
"DOTA_ProfileCard_SlotTab_Heroes"	"Bohaterowie"
"DOTA_ProfileCard_SlotTab_Emoticons"	"Emotikony"
"DOTA_ProfileCard_NoTrophies"	"Brak dostępnych trofeów."
"DOTA_ProfileCard_NoItems"	"Brak dostępnych przedmiotów."
"DOTA_ProfileCard_HeroOnly"	"Tylko bohaterowie"
"DOTA_ProfileCard_HeroShowWins"	"Pokaż wygrane"
"DOTA_ProfileCard_HeroShowWinsAndLosses"	"Pokaż wygrane-przegrane"
"DOTA_ProfileCard_ItemSearchPrefix"	"Szukaj:"
"DOTA_ProfileCard_ItemSearchPlaceholder"	"Przedmioty według nazwy"
"DOTA_ProfileCard_ItemArmoryLink"	"Zobacz pełną zbrojownię"
"DOTA_HeroTooltip_HeroName"	"{s:hero_name}"
"DOTA_HeroTooltip_HeroRecord"	"{s:hero_wins_string}, {s:hero_losses_string}"
"DOTA_ProfileCard_HeroSearchPlaceholder"	"Szukaj według nazwy bohatera"
"DOTA_Wins_Singular"	"Zwycięstwa: 1"
"DOTA_Wins_Plural"	"Zwycięstwa: {d:hero_wins}"
"DOTA_Losses_Singular"	"Porażki: 1"
"DOTA_Losses_Plural"	"Porażki: {d:hero_losses}"
"DOTA_Profile_TotalGames"	"Łączna liczba gier"
"DOTA_Profile_Solo_MMR"	"Solo MMR"
"DOTA_Profile_Team_MMR"	"Drużynowe MMR"
"DOTA_Profile_Party_MMR"	"Zespołowe MMR"
"DOTA_Profile_VictoryCount"	"Zwycięstwa"
"DOTA_Profile_ProfilePage"	"Profil"
"DOTA_Profile_TrophyPage"	"Trofea"
"DOTA_Profile_RecentGamesPage"	"Ostatnie gry"
"DOTA_Profile_HeroPage"	"Bohaterowie"
"DOTA_Profile_PlayStyle"	"Styl gry"
"DOTA_Profile_MostRecent"	"Dane z ostatnich {s:num_style_games} gier"
"DOTA_Profile_RecentActivity"	"Ostatnia aktywność"
"DOTA_Profile_Fighting"	"Walka"
"DOTA_Profile_Fighting_TooltipTitle"	"Walka"
"DOTA_Profile_Fighting_Tooltip"	"Gracze, którzy biorą udział w wielu walkach z wrogimi bohaterami."
"DOTA_Profile_Farming"	"Farma"
"DOTA_Profile_Farming_TooltipTitle"	"Farma"
"DOTA_Profile_Farming_Tooltip"	"Gracze, którzy zdobywają złoto, zabijając różne istoty."
"DOTA_Profile_Supporting"	"Wsparcie"
"DOTA_Profile_Supporting_TooltipTitle"	"Wsparcie"
"DOTA_Profile_Supporting_Tooltip"	"Gracze, którzy wspomagają swoją drużynę leczeniem, wardami i przedmiotami."
"DOTA_Profile_Pushing"	"Pchanie"
"DOTA_Profile_Pushing_TooltipTitle"	"Pchanie"
"DOTA_Profile_Pushing_Tooltip"	"Gracze, którzy atakują wieże, poszerzając bezpieczną dla drużyny przestrzeń."
"DOTA_Profile_Versatility"	"Wszechstronność"
"DOTA_Profile_Versatility_TooltipTitle"	"Wszechstronność"
"DOTA_Profile_Versatility_Tooltip"	"Gracze wszechstronni, którzy grają wieloma różnymi bohaterami."
"DOTA_Profile_Tooltip_Value"	"{s:CurrentStatValue}"
"DOTA_Profile_Tooltip_Comparison"	"{s:CurrentComparisonValue}"
"DOTA_Profile_StatsCompare"	"Porównaj z moimi statystykami"
"DOTA_Profile_Self"	"Ja"
"DOTA_Profile_GPM"	"Śr. ZNM"
"DOTA_Profile_XPM"	"Śr. DNM"
"DOTA_Profile_LH"	"Śr. ost. traf."
"DOTA_Profile_Rampages"	"Szały"
"DOTA_Profile_TripleKills"	"Potrójne zabójstwa"
"DOTA_Profile_FirstBlood"	"Pierwszych krwi"
"DOTA_Profile_FirstBled"	"Pierwsza śmierć"
"DOTA_Profile_CourierKills"	"Zabici kurierzy"
"DOTA_Profile_Aegises"	"Skradzione Aegisy"
"DOTA_Profile_CheeseEaten"	"Zjedzone Cheese'y"
"DOTA_Profile_CreepStack"	"Zestackowane obozy"
"DOTA_Profile_GPMValue"	"{s:GPM}"
"DOTA_Profile_XPMValue"	"{s:XPM}"
"DOTA_Profile_LHValue"	"{s:LH}"
"DOTA_Profile_RampagesValue"	"{d:Rampages}"
"DOTA_Profile_TripleKillsValue"	"{d:TripleKills}"
"DOTA_Profile_FirstBloodValue"	"{d:FirstBlood}"
"DOTA_Profile_FirstBledValue"	"{d:FirstBled}"
"DOTA_Profile_CourierKillsValue"	"{d:CourierKills}"
"DOTA_Profile_AegisesValue"	"{d:Aegises}"
"DOTA_Profile_CheeseEatenValue"	"{d:CheeseEaten}"
"DOTA_Profile_CreepStackValue"	"{d:CreepStack}"
"DOTA_Profile_GPMLocalValue"	"{s:GPMLocal}"
"DOTA_Profile_XPMLocalValue"	"{s:XPMLocal}"
"DOTA_Profile_LHLocalValue"	"{s:LHLocal}"
"DOTA_Profile_RampagesLocalValue"	"{d:RampagesLocal}"
"DOTA_Profile_TripleKillsLocalValue"	"{d:TripleKillsLocal}"
"DOTA_Profile_FirstBloodLocalValue"	"{d:FirstBloodLocal}"
"DOTA_Profile_FirstBledLocalValue"	"{d:FirstBledLocal}"
"DOTA_Profile_CourierKillsLocalValue"	"{d:CourierKillsLocal}"
"DOTA_Profile_AegisesLocalValue"	"{d:AegisesLocal}"
"DOTA_Profile_CheeseEatenLocalValue"	"{d:CheeseEatenLocal}"
"DOTA_Profile_CreepStackLocalValue"	"{d:CreepStackLocal}"
"DOTA_RecentGames_Title"	"Ostatnie gry"
"DOTA_RecentGames_TimeStamp"	"Data/godzina"
"DOTA_RecentGames_HeroSelection"	"Bohater"
"DOTA_RecentGames_GameResult"	"Wynik"
"DOTA_RecentGames_GameLength"	"Długość"
"DOTA_RecentGames_Team"	"Drużyna"
"DOTA_RecentGames_GameType"	"Rodzaj"
"DOTA_RecentGames_Items"	"Przedmioty"
"DOTA_RecentGame_Timestamp_Entry"	"{t:s:timestamp} {t:t:timestamp}"
"DOTA_RecentGame_Duration"	"{t:d:duration}"
"DOTA_RecentGame_Downloading"	"{s:DownloadPercent} Pobieranie"
"DOTA_RecentGame_Watch"	"Obejrzyj powtórkę"
"DOTA_RecentGame_NoReplay"	"Brak powtórki"
"DOTA_RecentGame_Expired"	"Powtórka wygasła"
"DOTA_RecentGame_Finding"	"Szukanie..."
"DOTA_RecentGame_Download"	"Pobierz mecz"
"DOTA_RecentGame_Pending"	"Oczekiwanie na powtórkę"
"DOTA_RecentGame_Unavailable"	"Powtórka niedostępna"
"DOTA_RecentGame_MatchID"	"ID Meczu: #{s:match_id}"
"DOTA_No_Team_Name"	"--"
"DOTA_TrophyCount"	"Trofea: {d:trophy_count}"
"DOTA_TrophiesCount"	"Trofea: {d:trophy_count}"
"DOTA_TrophyCount_Number"	"{d:trophy_count}"
"DOTA_TrophyCount_NoNum"	"Trofeum"
"DOTA_TrophiesCount_NoNum"	"Trofea"
"DOTA_Trophies_ViewAll"	"Wszystkie"
"DOTA_TrophyName"	"{s:trophy_name}"
"DOTA_TrophyCategory"	"{s:trophy_category}"
"DOTA_TrophyDescription"	"{s:trophy_description}"
"DOTA_TrophyXP"	"{d:trophy_xp} PT"
"DOTA_NextTrophy"	"Następna nagroda"
"DOTA_NewPlayerQuestion_Title"	"WITAMY W DOTA 2"
"DOTA_PlayerOriginQuestion_Question"	"Aby poprawić twoje wrażenia z gry, podziel się swoją znajomością Dota 2 i podobnych gier:"
"DOTA_PlayerOriginQuestion_BeginnerButton"	"Jestem początkującym."
"DOTA_PlayerOriginQuestion_RTSButton"	"Mam już doświadczenie z grami RTS."
"DOTA_PlayerOriginQuestion_MOBAButton"	"Mam już doświadczenie z grami podobnymi do Dota 2."
"DOTA_PlayerOriginQuestion_Dota2Button"	"Mam już doświadczenie z Dota 2."
"DOTA_PlayerOriginQuestion_MOBAExplanation"	"Wybierz grę, na której znasz się najlepiej:"
"DOTA_OtherGames_LOL"	"League of Legends"
"DOTA_OtherGames_DOTA"	"DotA 1"
"DOTA_OtherGames_HON"	"Heroes of Newerth"
"DOTA_OtherGames_Smite"	"Smite"
"DOTA_OtherGames_Other"	"Inna gra"
"DOTA_PlayerOriginQuestion_ConfirmationButton"	"ZAGRAJMY"
"DOTA_PlayerOriginQuestion_ConfirmationTutorial"	"Jako nowy gracz w Dota możesz być zainteresowany samouczkami znajdującymi się w sekcji Szkolenie w zakładce Graj. Są to pierwsze kroki w stronę dominacji nad innymi graczami na całym świecie."
"DOTA_PlayerOriginQuestion_ConfirmationSettings"	"Twoje ustawienia klawiszy i opcje zostały dopasowane do najpopularniejszych używanych przez graczy z twoim doświadczeniem. Możesz zmienić je w każdym momencie przez naciśnięcie ikony ustawień."
"DOTA_Tutorial_SkipButton"	"Pomiń samouczek"
"DOTA_ConfirmSkip"	"Pominąć wprowadzenie do Dota 2?"
"DOTA_ConfirmSkipDesc"	"Czy na pewno chcesz pominąć samouczki wprowadzające do Dota 2?"
"DOTA_Tutorial_Start_Quest"	"ROZPOCZNIJ ZADANIE"
"DOTA_Tutorial_Quest0_Title"	"ZADANIE 1"
"DOTA_Tutorial_Quest0_TitleDesc"	"BOHATER ZASIĘGOWY"
"DOTA_Tutorial_Quest0DetailsDesc"	"Ukończenie tego zadania\n zajmie około 10 minut."
"DOTA_Tutorial_QuestDetailsLearn"	"Nauczysz się:"
"DOTA_Tutorial_Quest0DetailsLesson"	"Ruch bohaterem\nZdobywanie poziomów\nUżywanie umiejętności\nPrzedmioty\nPodstawowa walka\nOstatnie trafienia"
"DOTA_Tutorial_Quest1_Title"	"ZADANIE 2"
"DOTA_Tutorial_Quest1_TitleDesc"	"WALKA NA ŚCIEŻCE"
"DOTA_Tutorial_Quest1DetailsDesc"	"Ukończenie tego zadania\n zajmie około 10 minut."
"DOTA_Tutorial_Quest1DetailsLesson"	"Walka na dystans \n Umiejętności obszarowe \n Minimapa \n Wieże \n Kurierzy i schowek \n Teleportacja"
"DOTA_Tutorial_Quest2_Title"	"ZADANIE 3"
"DOTA_Tutorial_Quest2_TitleDesc"	"WALKA NA ŚCIEŻCE"
"DOTA_Tutorial_Quest2DetailsDesc"	"Ukończenie tego zadania\n zajmie około 10 - 15 minut."
"DOTA_Tutorial_Quest2DetailsLesson"	"Walka na ścieżce \n Obrona i atakowanie wież \n Przedmioty początkowe"
"DOTA_Challenges_Title"	"Nauka"
"DOTA_ChallengeGroup_0_Title"	"Mechanika gry"
"DOTA_ChallengeGroup_1_Title"	"Kierowane mecze z botami"
"DOTA_ChallengeGroup_1_Desc"	"Rozpocznij tutaj!"
"DOTA_ChallengeGroup_2_Title"	"Mecze z botami"
"DOTA_ChallengeGroup_More"	"Więcej wkrótce"
"DOTA_ChallengeGroup_Locked"	"Zablokowane"
"DOTA_LearnMechanics_Title"	"Mechanika gry"
"DOTA_LearnMechanics_SubTitle"	"Poznaj podstawy gry w Dota. Dowiedz się, jak kontrolować bohatera, używać sklepu, zdobywać złoto, doświadczenie i nie tylko. Jeżeli po raz pierwszy grasz w grę tego typu, zacznij tutaj."
"DOTA_Mechanics_0_Title"	"Mechanika gry 1"
"DOTA_Mechanics_0_Desc"	"Ruch bohaterem\nZdobywanie poziomów\nUżywanie umiejętności\nPrzedmioty\nPodstawowa walka\nOstatnie trafienia"
"DOTA_Mechanics_1_Title"	"Mechanika gry 2"
"DOTA_Mechanics_1_Desc"	"Walka na dystans\nUmiejętności obszarowe\nMinimapa\nWieże\nKurierzy i schowek\nZwoje teleportacji"
"DOTA_LearnGuidedBotMatches_Title"	"Kierowane mecze z botami"
"DOTA_LearnGuidedBotMatches_SubTitle"	"Wejdź do walki przeciwko bohaterom kontrolowanym przez SI, aby nauczyć się grać w Dota. Krok po kroku przeprowadzimy cie przez każdą fazę pełnego meczu, podczas gdy ty stworzysz ze swojego bohatera niepowstrzymaną siłę."
"DOTA_GuidedBotMatches_0_Title"	"Luna"
"DOTA_GuidedBotMatches_0_Desc"	"Krótki zasięg ataku\nWysokie obrażenia od ataku\nSzybki ruch\nŚrednia wytrzymałość\nUżywa Zręczności"
"DOTA_GuidedBotMatches_1_Title"	"Sven"
"DOTA_GuidedBotMatches_1_Desc"	"Atak wręcz\nSzybki, mocny atak\nWysoka wytrzymałość\nWrażliwy na spowolnienia\nUżywa Siły"
"DOTA_GuidedBotMatches_2_Title"	"Lina"
"DOTA_GuidedBotMatches_2_Desc"	"Daleki zasięg ataku\nSzybkie i mocne umiejętności\nKrótkie czasy odnowienia\nNiska wytrzymałość\nUżywa Inteligencji"
"DOTA_LearnBotMatches_Title"	"Mecze z botami"
"DOTA_LearnBotMatches_SubTitle"	"Potrenuj z oraz przeciwko bohaterom sterowanym przez SI w wolnej od stresu przestrzeni do ćwiczeń."
"DOTA_BotMatches_0_Title"	"Łatwe boty"
"DOTA_BotMatches_0_Desc"	"Naucz się nowego bohatera."
"DOTA_BotMatches_1_Title"	"Średnie boty"
"DOTA_BotMatches_1_Desc"	"Graj bez zmartwień."
"DOTA_BotMatches_2_Title"	"Trudne boty"
"DOTA_BotMatches_2_Desc"	"Postaw sobie wyzwanie."
"DOTA_BotMatches_3_Title"	"Szalone boty"
"DOTA_BotMatches_3_Desc"	"Zrób sobie krzywdę."
"FileOpenDialog_Open"	"Otwórz"
"FileOpenDialog_Save"	"Zapisz"
"FileOpenDialog_Select"	"Wybierz"
"FileOpenDialog_FileType_Folder"	"Folder"
"DOTA_FindMatch"	"Znajdź mecz"
"DOTA_FindingMatch"	"Szukanie meczu ({s:find_match_time})"
"DOTA_FindMatchTime"	"{s:find_match_time}"
"DOTA_Searching"	"Wyszukiwanie"
"DOTA_StartSoloBotMatch"	"Rozpocznij mecz z botami"
"DOTA_Create_Lobby"	"Utwórz poczekalnię"
"DOTA_Join_Lobby"	"Dołącz do poczekalni"
"DOTA_LobbyStartGame"	"Rozpocznij grę"
"DOTA_ReturnToLobby"	"Wróć do poczekalni"
"DOTA_FindMatchStatus"	"{s:searching_matchtype} / {s:searching_gamemodes} / {s:searching_region}"
"DOTA_FindGameModesMany"	"Tryby gry: "
"DOTA_FindRegionsMany"	"Regiony: "
"DOTA_GameMode_AllPick"	"All Pick"
"DOTA_GameMode_SingleDraft"	"Single Draft"
"DOTA_GameMode_CaptainsMode"	"Captains Mode"
"DOTA_GameMode_RandomDraft"	"Random Draft"
"DOTA_GameMode_AbilityDraft"	"Ability Draft"
"DOTA_GameMode_LeastPlayed"	"Least Played"
"DOTA_GameMode_AllRandom"	"All Random"
"DOTA_GameMode_LimitedHeroes"	"Limited Heroes"
"DOTA_GameMode_CaptainsDraft"	"Captains Draft"
"DOTA_GameMode_AllRandomDeathMatch"	"All Random Death Match"
"DOTA_ImmediatePurchase_SendFailed"	"Nie udało się wysłać zlecenia kupna. Serwery Dota mogą być offline. Spróbuj zakupić ponownie później."
"DOTA_ImmediatePurchase_Timeout"	"Przekroczono czas oczekiwania na odpowiedź na zlecenie kupna. Spróbuj ponownie późnej."
"DOTA_ImmediatePurchase_InitFailed"	"Obecnie nie możemy rozpocząć zakupów za pomocą Perfect World. Spróbuj ponownie później."
"DOTA_ImmediatePurchase_InsufficientFundsPW"	"Masz niewystarczającą ilość funduszy na swoim koncie Perfect World, żeby ukończyć zakup. Doładuj swoje konto i spróbuj ponownie."
"DOTA_ImmediatePurchase_Success_Title"	"Sukces"
"DOTA_ImmediatePurchase_Success_Text"	"Zakup ukończono pomyślnie! Twoje przedmioty wkrótce pojawią się w Zbrojowni."
"DOTA_ImmediatePurchase_Cancelled_Title"	"Anulowano"
"DOTA_ImmediatePurchase_UnbundleTimeout"	"Przekroczono czas oczekiwania na odpowiedź na zlecenie otworzenia zestawu. Spróbuj ponownie później."
"DOTA_ImmediatePurchase_UnbundleFailure"	"Nie udało się odpakować zestawu. Spróbuj ponownie później."
"DOTA_ImmediatePurchase_LateCancel"	"Zakup anulowano wcześniej. Nie obciążono cię żadnymi kosztami."
"DOTA_ConfirmPurchaseTitle"	"Potwierdź zakup"
"DOTA_ConfirmPurchaseText"	"Czy chcesz kupić ten przedmiot?"
"DOTA_PurchaseInProgress_Title"	"Zakup w toku"
"DOTA_PurchaseInProgress_Text"	"Twój zakup jest przetwarzany."
"DOTA_UnbundleInProgress_Title"	"Rozpakowywanie w trakcie"
"DOTA_UnbundleInProgress_Text"	"Twój zestaw został rozpakowany."
"DOTA_ConfirmUnbundleTitle"	"Potwierdź rozpakowanie"
"DOTA_ConfirmUnbundleText"	"Musisz rozpakować ten zestaw, żeby móc używać przedmiotów z niego. Kontynuować?"
"DOTA_RequestingBalance_Title"	"Prośba o saldo"
"DOTA_RequestingBalance_Text"	"Wysyłanie prośby o saldo konta Perfect World..."
"DOTA_PartnerPurchaseRecharge_Title"	"Doładowanie konta"
"DOTA_PartnerPurchaseRecharge_Text"	"Doładowywanie twojego konta..."
"DOTA_PartnerPurchase_Purchase"	"{g:dota_item_price:item_def}"
"DOTA_PartnerPurchase_Recharge"	"Doładuj konto"
"DOTA_PartnerPurchase_Balance"	"Saldo: {m:balance}"
"DOTA_PartnerRecharge_Close"	"Powróć do zakupu"
"RequestBalanceBadAccount"	"Nie udało się uzyskać stanu konta: konto nie zostało znalezione."
"RequestBalanceAccountNotLinked"	"Nie udało się uzyskać stanu konta: twoje konto nie jest połączone z Perfect World."
"RequestBalanceUnsupportedPartner"	"Nie udało się uzyskać stanu konta: twoje konto nie jest połączone z żadnym znanym partnerem"
"StoreCheckout_Error_Title"	"Błąd"
"StoreCheckout_NoItems"	"Twój koszyk jest pusty!"
"StoreCheckout_TooManyItems"	"W koszyku znajduje się zbyt dużo przedmiotów!"
"StoreCheckout_Loading"	"Przechodzenie do kasy..."
"StoreCheckout_Unavailable"	"Przejście do kasy jest aktualnie niemożliwe."
"StoreCheckout_Cancelling"	"Anulowanie..."
"StoreCheckout_Fail"	"Sklep jest aktualnie zamknięty."
"StoreCheckout_InvalidParam"	"Programista coś sknocił! Do koordynatora gry przekazano błędny parametr. Spróbuj zakupić ponownie."
"StoreCheckout_InternalError"	"Najprawdopodobniej wystąpił błąd inicjowania lub aktualizacji transakcji. Odczekaj chwilę i spróbuj ponownie lub skontaktuj się z działem pomocy technicznej."
"StoreCheckout_ContactSupport"	"Podczas realizacji twojej transakcji wystąpił błąd. Skontaktuj się z obsługą klienta, aby uzyskać pomoc."
"StoreCheckout_NotApproved"	"Koordynator gry nie mógł zatwierdzić twojej transakcji w systemie Steam. Spróbuj zakupić ponownie później."
"StoreCheckout_NotLoggedin"	"Aby sfinalizować zakup, musisz się zalogować w systemie Steam."
"StoreCheckout_WrongCurrency"	"Waluta tej transakcji nie jest zgodna z walutą twojego portfela."
"StoreCheckout_NoAccount"	"Twoje konto Steam jest aktualnie niedostępne. Spróbuj zakupić ponownie później."
"StoreCheckout_InsufficientFunds"	"Brak wystarczających funduszy, aby sfinalizować zakup."
"StoreCheckout_TimedOut"	"Przekroczono czas finalizowania transakcji. Spróbuj zakupić ponownie."
"StoreCheckout_SteamAccountDisabled"	"Twoje konto Steam zostało wyłączone - zakup nie jest możliwy."
"StoreCheckout_SteamAccountNoPurchase"	"Transakcje portfela Steam zostały wyłączone dla tego konta."
"StoreCheckout_OldPriceSheet"	"Twoja lista lokalnych produktów jest nieaktualna - pobieranie nowej listy."
"StoreCheckout_TransactionNotFound"	"Identyfikator tej transakcji nie został odnaleziony przez koordynatora gry. Spróbuj zakupić ponownie."
"StoreCheckout_TransactionCancelled"	"Transakcja anulowana. Nie obciążono cię żadnymi kosztami."
"StoreCheckout_TransactionCompleted"	"Sfinalizowano transakcję!\\\nCiesz się swym łupem!"
"StoreCheckout_CompleteButUnfinalized"	"Nie można potwierdzić sfinalizowania. Jeśli pomyślnie przetworzono transakcję, przedmioty zostaną dostarczone później."
"StoreCheckout_NotEnoughRoom"	"Nie masz wystarczająco dużo miejsca w Zbrojowni, aby kupić tyle przedmiotów."
"StoreCheckout_ContactSupport_Dialog_Title"	"Uwaga"
"StoreCheckout_ContactSupport_Dialog_Btn"	"Kontakt"
"StoreCheckout_LimitedQuantityItemsUnavailable"	"Przedmiot, który chcesz zakupić, został wyprzedany bądź jest obecnie niedostępny."
"StoreCheckout_Nexon_InsufficientFunds"	"Nie masz wystarczających środków, aby dokonać zakupu."
"StoreCheckout_Nexon_FundsLocked"	"Blokada środków pieniężnych Nexon jest dostępna."
"npc_dota_hero_abaddon_hype"	"Dzięki zdolności do zamiany ataków wrogów na leczenie dla siebie Abaddon przetrwa niemal każdy atak. Jest on zawsze gotowy, ochraniając sojuszników i wystrzeliwując swoją obosieczną wiązkę zarówno w przyjaciela, jak i wroga, aby wjechać w sam środek wiru walki."
"npc_dota_hero_alchemist_hype"	"Syntezując dodatkowe zasoby z każdego pojedynczego zabójstwa, Alchemist bez problemu zbiera narzędzia konieczne do zniszczenia swoich wrogów. Walczy on, napadając wrogów ze żrącym kwasem i całym mnóstwem niestabilnych chemikaliów, aby upewnić się, że jego chciwe eskapady nie zostaną przerwane."
"npc_dota_hero_ancient_apparition_hype"	"Dzięki możliwości wystrzelenia potężnej kuli lodowej, która zadaje obrażenia na całym polu bitwy, Ancient Apparition stwarza zagrożenie roztrzaskania osłabionych wrogów, gdziekolwiek są. Jest on, spowalniając wrogów i wspomagając efektywność sojuszników w walce, stałym zagrożeniem dla swoich wrogów."
"npc_dota_hero_antimage_hype"	"Jeśli Anti-Mage znajdzie okazję do zebrania swej pełnej siły, mało kto zatrzyma jego natarcie. Przyparcie go do muru, kiedy zabiera manę z każdym uderzeniem i teleportuje się na krótkie dystanse, aby uniknąć napadów na siebie, jest wyzwaniem dla każdego wroga."
"npc_dota_hero_axe_hype"	"Axe ścina swoich wrogów jednego po drugim. Maszerując naprzód przed swoją drużyną, zmusza on wrogów do walki, a potem kontruje ich uderzenia śmiertelnym obrotem swojej broni. Przypieczętowując los osłabionego wroga swoją ostateczną umiejętnością, cały czas szarżuje przed siebie."
"npc_dota_hero_bane_hype"	"Bane terroryzuje swoich wrogów całym arsenałem umiejętności wyłączających z walki. Czy to zamykając wroga w zaraźliwym koszmarze, czy ściskając przeciwnika w miejscu, zawsze daje swoim sojusznikom mnóstwo czasu na wykończenie wroga."
"npc_dota_hero_batrider_hype"	"Kiedy wzbije się w niebo, Batrider może zaatakować z dowolnego kierunku. Kiedy chwyci wroga w swoje lasso, szybuje wysoko nad drzewami, ciągnąc swoją ofiarę przed strugę płomieni, aż w końcu sprowadza wroga w sam środek formacji swoich bezlitosnych sojuszników."
"npc_dota_hero_beastmaster_hype"	"Przywołując do pomocy plującego trucizną dzika i jastrzębia-zwiadowcę, Beastmaster nigdy nie wkracza na pole walki nieprzygotowany. Utworzywszy sobie drogę przez las toporami, rozpoczyna on walkę swoim ogłuszającym rykiem, pozwalając sojusznikom na zdewastowanie wrogów."
"npc_dota_hero_bloodseeker_hype"	"Bloodseeker zmusza wrogów do podejmowania trudnych decyzji. Może skłonić przeciwników do odwrotu, pokrywając duży obszar szkodliwym dla nich rytuałem, a jednocześnie jego makabryczna ostateczna umiejętność pod groźbą śmierci wymaga od wrogów, by stali w miejscu."
"npc_dota_hero_bounty_hunter_hype"	"Przekradając się, niewidzialny, pod samym nosem przeciwników, Bounty Hunter zawsze śledzi swoich wrogów. Kiedy jeden z jego celów pada w walce, on i jego sojusznicy stają przed perspektywą znacznego zysku."
"npc_dota_hero_brewmaster_hype"	"Jako nieustraszony wojownik w jakiejkolwiek sytuacji Brewmaster może odwrócić losy bitwy na swoją stronę, dzieląc się na trzy duchy odpowiadające żywiołom, z których każdy ma swoje specjalne zdolności. Kiedy nie jest podzielony, jest pijany i wprowadza wśród wrogów chaos spowalniającymi klaśnięciami i potężnymi machnięciami swoim berłem."
"npc_dota_hero_bristleback_hype"	"Jeśli o walkę chodzi, Bristleback ani trochę nie szczędzi swoich pleców. Wkracza do walki, zmniejszając efektywność ataków nadchodzących z tyłu albo z boku, i prawie nic go nie obchodzi; obsypuje tylko wrogów szkodliwymi kolcami i spowalniającymi smarkami."
