"dota"
{
"DOTA_Accept"	"Aceitar"
"DOTA_Profile_PlayStyle"	"Estilo de jogo"
"DOTA_Profile_MostRecent"	"Última(s) {s:num_style_games} partida(s)"
"DOTA_Profile_RecentActivity"	"Atividade recente"
"DOTA_Profile_Fighting"	"Combate"
"DOTA_Profile_Fighting_TooltipTitle"	"Combate"
"DOTA_Profile_Fighting_Tooltip"	"Indica jogadores que combatem muitas vezes com heróis inimigos."
"DOTA_Profile_Farming"	"Farm"
"DOTA_Profile_Farming_TooltipTitle"	"Farm"
"DOTA_Profile_Farming_Tooltip"	"Indica jogadores que acumulam ouro e experiência ao matar creeps."
"DOTA_Profile_Supporting"	"Apoio"
"DOTA_Profile_Supporting_TooltipTitle"	"Apoio"
"DOTA_Profile_Supporting_Tooltip"	"Indica jogadores que ajudam a sua equipa usando wards, itens e curando os seus aliados."
"DOTA_Profile_Pushing"	"Pressão"
"DOTA_Profile_Pushing_TooltipTitle"	"Pressão"
"DOTA_Profile_Pushing_Tooltip"	"Indica jogadores que fazem pressão nas torres, ajudando a assegurar espaço para a equipa."
"DOTA_Profile_Versatility"	"Versatilidade"
"DOTA_Profile_Versatility_TooltipTitle"	"Versatilidade"
"DOTA_Profile_Versatility_Tooltip"	"Indica jogadores que são versáteis e que jogam com muitos heróis diferentes."
"DOTA_Profile_Tooltip_Value"	"{s:CurrentStatValue}"
"DOTA_Profile_Tooltip_Comparison"	"{s:CurrentComparisonValue}"
"DOTA_Profile_StatsCompare"	"Comparar às minhas estatísticas"
"DOTA_Profile_Self"	"Eu"
"DOTA_Profile_GPM"	"Méd. Ouro/min"
"DOTA_Profile_XPM"	"Méd. XP/min"
"DOTA_Profile_LH"	"Méd. golpes finais"
"DOTA_Profile_Rampages"	"Massacres"
"DOTA_Profile_TripleKills"	"Assassínios triplos"
"DOTA_Profile_FirstBlood"	"Primeira morte"
"DOTA_Profile_FirstBled"	"Primeiro a morrer"
"DOTA_Profile_CourierKills"	"Estafetas mortos"
"DOTA_Profile_Aegises"	"Aegises roubadas"
"DOTA_Profile_CheeseEaten"	"Cheeses comidos"
"DOTA_Profile_CreepStack"	"Acamp. acumulad."
"DOTA_Profile_GPMValue"	"{s:GPM}"
"DOTA_Profile_XPMValue"	"{s:XPM}"
"DOTA_Profile_LHValue"	"{s:LH}"
"DOTA_Profile_RampagesValue"	"{d:Rampages}"
"DOTA_Profile_TripleKillsValue"	"{d:TripleKills}"
"DOTA_Profile_FirstBloodValue"	"{d:FirstBlood}"
"DOTA_Profile_FirstBledValue"	"{d:FirstBled}"
"DOTA_Profile_CourierKillsValue"	"{d:CourierKills}"
"DOTA_Profile_AegisesValue"	"{d:Aegises}"
"DOTA_Profile_CheeseEatenValue"	"{d:CheeseEaten}"
"DOTA_Profile_CreepStackValue"	"{d:CreepStack}"
"DOTA_Profile_GPMLocalValue"	"{s:GPMLocal}"
"DOTA_Profile_XPMLocalValue"	"{s:XPMLocal}"
"DOTA_Profile_LHLocalValue"	"{s:LHLocal}"
"DOTA_Profile_RampagesLocalValue"	"{d:RampagesLocal}"
"DOTA_Profile_TripleKillsLocalValue"	"{d:TripleKillsLocal}"
"DOTA_Profile_FirstBloodLocalValue"	"{d:FirstBloodLocal}"
"DOTA_Profile_FirstBledLocalValue"	"{d:FirstBledLocal}"
"DOTA_Profile_CourierKillsLocalValue"	"{d:CourierKillsLocal}"
"DOTA_Profile_AegisesLocalValue"	"{d:AegisesLocal}"
"DOTA_Profile_CheeseEatenLocalValue"	"{d:CheeseEatenLocal}"
"DOTA_Profile_CreepStackLocalValue"	"{d:CreepStackLocal}"
"DOTA_RecentGames_Title"	"Partidas recentes"
"DOTA_RecentGames_TimeStamp"	"Data/Hora"
"DOTA_RecentGames_HeroSelection"	"Herói usado"
"DOTA_RecentGames_GameResult"	"Result."
"DOTA_RecentGames_GameLength"	"Duração"
"DOTA_RecentGames_Team"	"Equipa"
"DOTA_RecentGames_GameType"	"Tipo"
"DOTA_RecentGames_Items"	"Itens"
"DOTA_RecentGame_Timestamp_Entry"	"{t:s:timestamp} {t:t:timestamp}"
"DOTA_RecentGame_Duration"	"{t:d:duration}"
"DOTA_RecentGame_Downloading"	"A transferir: {s:DownloadPercent}"
"DOTA_RecentGame_Watch"	"Ver repetição"
"DOTA_RecentGame_NoReplay"	"Sem repetição"
"DOTA_RecentGame_Expired"	"Repetição expirou"
"DOTA_RecentGame_Finding"	"A procurar..."
"DOTA_RecentGame_Download"	"Transferir partida"
"DOTA_RecentGame_Pending"	"Repetição pendente"
"DOTA_RecentGame_Unavailable"	"Repetição indisponível"
"DOTA_RecentGame_MatchID"	"ID da partida: {s:match_id}"
"DOTA_No_Team_Name"	"--"
"DOTA_TrophyCount"	"{d:trophy_count} troféu"
"DOTA_TrophiesCount"	"{d:trophy_count} troféus"
"DOTA_TrophyCount_Number"	"{d:trophy_count}"
"DOTA_TrophyCount_NoNum"	"Troféu"
"DOTA_TrophiesCount_NoNum"	"Troféus"
"DOTA_Trophies_ViewAll"	"Todos"
"DOTA_TrophyName"	"{s:trophy_name}"
"DOTA_TrophyCategory"	"{s:trophy_category}"
"DOTA_TrophyDescription"	"{s:trophy_description}"
"DOTA_TrophyXP"	"{d:trophy_xp}<span class=\"TrophyPointTextSmall\">TP</span>"
"DOTA_NextTrophy"	"Troféu seguinte"
"DOTA_NewPlayerQuestion_Title"	"BEM-VINDO AO DOTA 2"
"DOTA_PlayerOriginQuestion_Question"	"Para uma melhor experiência, diz-nos o quanto estás familiarizado com o Dota 2 e outros jogos parecidos:"
"DOTA_PlayerOriginQuestion_BeginnerButton"	"Sou um novato."
"DOTA_PlayerOriginQuestion_RTSButton"	"Já joguei jogos RTS."
"DOTA_PlayerOriginQuestion_MOBAButton"	"Já joguei algo parecido com o Dota 2."
"DOTA_PlayerOriginQuestion_Dota2Button"	"Já joguei Dota 2."
"DOTA_PlayerOriginQuestion_MOBAExplanation"	"Seleciona o jogo com o qual estás mais à vontade:"
"DOTA_OtherGames_LOL"	"League of Legends"
"DOTA_OtherGames_DOTA"	"DotA 1"
"DOTA_OtherGames_HON"	"Heroes of Newerth"
"DOTA_OtherGames_Smite"	"Smite"
"DOTA_OtherGames_Other"	"Outro jogo"
"DOTA_PlayerOriginQuestion_ConfirmationButton"	"VAMOS LÁ"
"DOTA_PlayerOriginQuestion_ConfirmationTutorial"	"Por seres principiante no Dota, poderás estar interessado nos tutoriais do separador APRENDER. Serão um bom começo na tua jornada pelo mundo do Dota 2."
"DOTA_PlayerOriginQuestion_ConfirmationSettings"	"Os controlos e opções definidos são agora os mesmos dos mais usados pelos jogadores no teu nível de experiência. Podes personalizá-los clicando no ícone das opções."
"DOTA_Tutorial_SkipButton"	"Saltar tutorial"
"DOTA_ConfirmSkip"	"Saltar a introdução do Dota 2?"
"DOTA_ConfirmSkipDesc"	"Queres mesmo avançar à frente dos tutoriais do Dota 2?"
"DOTA_Tutorial_Start_Quest"	"INICIAR MISSÃO"
"DOTA_Tutorial_Quest0_Title"	"MISSÃO 1"
"DOTA_Tutorial_Quest0_TitleDesc"	"HERÓI RANGED"
"DOTA_Tutorial_Quest0DetailsDesc"	"Esta missão demora\ncerca de 10 minutos."
"DOTA_Tutorial_QuestDetailsLearn"	"Vais aprender:"
"DOTA_Tutorial_Quest0DetailsLesson"	"-Deslocação\n-Subir de nível\n-Usar habilidades\n-Itens\n-Combate básico\n-Golpes Finais"
"DOTA_Tutorial_Quest1_Title"	"MISSÃO 2"
"DOTA_Tutorial_Quest1_TitleDesc"	"COMBATE NAS LANES"
"DOTA_Tutorial_Quest1DetailsDesc"	"Esta missão demora\ncerca de 10 minutos."
"DOTA_Tutorial_Quest1DetailsLesson"	"-Combate à distância\n-Habilidades de área\n-O minimapa\n-Torres\n-Estafetas e a Arca\n-Teletransporte"
"DOTA_Tutorial_Quest2_Title"	"MISSÃO 3"
"DOTA_Tutorial_Quest2_TitleDesc"	"COMBATE NAS LANES"
"DOTA_Tutorial_Quest2DetailsDesc"	"Esta missão demora\ncerca de 10 a 15 minutos."
"DOTA_Tutorial_Quest2DetailsLesson"	"-Combate nas lanes\n-Defender e atacar torres\n-Itens iniciais"
"DOTA_Challenges_Title"	"Aprender"
"DOTA_ChallengeGroup_0_Title"	"Mecânicas"
"DOTA_ChallengeGroup_1_Title"	"Partidas guiadas com bots"
"DOTA_ChallengeGroup_1_Desc"	"Começa aqui!"
"DOTA_ChallengeGroup_2_Title"	"Partidas com bots"
"DOTA_ChallengeGroup_More"	"Mais em breve"
"DOTA_ChallengeGroup_Locked"	"Bloqueado"
"DOTA_LearnMechanics_Title"	"Mecânicas"
"DOTA_LearnMechanics_SubTitle"	"Aprende as bases do Dota, desde como controlar o teu herói e usar a loja até como ganhar ouro e experiência. Se nunca jogaste um jogo como o Dota, começa aqui."
"DOTA_Mechanics_0_Title"	"Mecânicas 1"
"DOTA_Mechanics_0_Desc"	"-Deslocação\n-Subir de nível\n-Usar habilidades\n-Itens\n-Combate básico\n-Golpes Finais"
"DOTA_Mechanics_1_Title"	"Mecânicas 2"
"DOTA_Mechanics_1_Desc"	"-Combate à distância\n-Habilidades de área\n-O minimapa\n-Torres\n-Estafetas e a Arca\n-Teleportation Scrolls"
"DOTA_LearnGuidedBotMatches_Title"	"Partidas guiadas com bots"
"DOTA_LearnGuidedBotMatches_SubTitle"	"Junta-te a heróis controlados pelo computador numa luta contra outros heróis controlados pelo computador enquanto aprendes a jogar Dota. Iremos guiar-te passo a passo por cada fase de uma partida completa enquanto tornas o teu herói numa força imparável."
"DOTA_GuidedBotMatches_0_Title"	"Luna"
"DOTA_GuidedBotMatches_0_Desc"	"Ataques de curto alcance\nAtaques de dano elevado\nMovimento rápido\nModeradamente frágil\nUsa o atributo de Agilidade"
"DOTA_GuidedBotMatches_1_Title"	"Sven"
"DOTA_GuidedBotMatches_1_Desc"	"Ataques corpo a corpo\nAtaques de dano rápido\nDurabilidade elevada\nFraco se abrandado\nUsa o atributo de Força"
"DOTA_GuidedBotMatches_2_Title"	"Lina"
"DOTA_GuidedBotMatches_2_Desc"	"Ataques de longo alcance\nHabilidades de dano rápido\nCooldowns breves\nMuito frágil\nUsa o atributo de Inteligência"
"DOTA_LearnBotMatches_Title"	"Partidas com bots"
"DOTA_LearnBotMatches_SubTitle"	"Pratica com e contra heróis controlados pelo computador numa partida de treino sem stress."
"DOTA_BotMatches_0_Title"	"Bots fáceis"
"DOTA_BotMatches_0_Desc"	"Experimenta um herói novo."
"DOTA_BotMatches_1_Title"	"Bots Medianos"
"DOTA_BotMatches_1_Desc"	"Uma partida de aquecimento."
"DOTA_BotMatches_2_Title"	"Bots Difíceis"
"DOTA_BotMatches_2_Desc"	"Desafia os teus limites."
"DOTA_BotMatches_3_Title"	"Bots Implacáveis"
"DOTA_BotMatches_3_Desc"	"Para masoquistas."
"FileOpenDialog_Open"	"Abrir"
"FileOpenDialog_Save"	"Guardar"
"FileOpenDialog_Select"	"Selecionar"
"FileOpenDialog_FileType_Folder"	"Pasta"
"DOTA_FindMatch"	"Procurar jogo"
"DOTA_FindingMatch"	"A procurar ( {s:find_match_time} )"
"DOTA_FindMatchTime"	"{s:find_match_time}"
"DOTA_Searching"	"A procurar"
"DOTA_StartSoloBotMatch"	"Iniciar partida"
"DOTA_Create_Lobby"	"Criar lobby"
"DOTA_Join_Lobby"	"Entrar no Lobby"
"DOTA_LobbyStartGame"	"Iniciar partida"
"DOTA_ReturnToLobby"	"Voltar ao Lobby"
"DOTA_FindMatchStatus"	"{s:searching_matchtype} / {s:searching_gamemodes} / {s:searching_region}"
"DOTA_FindGameModesMany"	"Modos de jogo: "
"DOTA_FindRegionsMany"	"Regiões: "
"DOTA_GameMode_AllPick"	"Escolha Livre"
"DOTA_GameMode_SingleDraft"	"Seleção Única"
"DOTA_GameMode_CaptainsMode"	"Modo de Capitães"
"DOTA_GameMode_RandomDraft"	"Seleção Aleatória"
"DOTA_GameMode_AbilityDraft"	"Seleção de Habilidades"
"DOTA_GameMode_LeastPlayed"	"Menos Jogados"
"DOTA_GameMode_AllRandom"	"Todos Aleatórios"
"DOTA_GameMode_LimitedHeroes"	"Principiantes"
"DOTA_GameMode_CaptainsDraft"	"Seleção dos Capitães"
"DOTA_GameMode_AllRandomDeathMatch"	"Deathmatch Aleatório"
"DOTA_ImmediatePurchase_SendFailed"	"Falha ao enviar pedido de compra. Os servidores do Dota podem estar offline. Tenta de novo mais tarde."
"DOTA_ImmediatePurchase_Timeout"	"O tempo de espera da resposta ao pedido de compra foi excedido. Tenta de novo mais tarde."
"DOTA_ImmediatePurchase_InitFailed"	"Não foi possível efetuar a compra pela Perfect World de momento. Tenta de novo mais tarde."
"DOTA_ImmediatePurchase_InsufficientFundsPW"	"Há saldo insuficiente na tua conta do Perfect World para completares a compra. Deposita saldo na tua conta e tenta de novo."
"DOTA_ImmediatePurchase_Success_Title"	"Sucesso"
"DOTA_ImmediatePurchase_Success_Text"	"Compra efetuada com sucesso! Os teus itens irão aparecer no Arsenal dentro de momentos."
"DOTA_ImmediatePurchase_Cancelled_Title"	"Cancelado"
"DOTA_ImmediatePurchase_UnbundleTimeout"	"O tempo de espera da resposta ao pedido de abrir um pacote foi excedido. Tenta de novo mais tarde."
"DOTA_ImmediatePurchase_UnbundleFailure"	"Não foi possível abrir o pacote. Tenta de novo mais tarde."
"DOTA_ImmediatePurchase_LateCancel"	"A compra foi cancelada anteriormente. Não te foi cobrado qualquer valor."
"DOTA_ConfirmPurchaseTitle"	"Confirmar compra"
"DOTA_ConfirmPurchaseText"	"Queres comprar este item?"
"DOTA_PurchaseInProgress_Title"	"Compra em andamento"
"DOTA_PurchaseInProgress_Text"	"O teu pedido de compra está a ser processado."
"DOTA_UnbundleInProgress_Title"	"A abrir"
"DOTA_UnbundleInProgress_Text"	"A abrir o teu pacote."
"DOTA_ConfirmUnbundleTitle"	"Confirmar abertura"
"DOTA_ConfirmUnbundleText"	"Tens de abrir este pacote para poderes equipar os itens nele contido. Continuar?"
"DOTA_RequestingBalance_Title"	"A solicitar saldo"
"DOTA_RequestingBalance_Text"	"A solicitar o saldo da tua conta do Perfect World..."
"DOTA_PartnerPurchaseRecharge_Title"	"Recarregar saldo"
"DOTA_PartnerPurchaseRecharge_Text"	"A passar a recarregar o saldo da tua conta..."
"DOTA_PartnerPurchase_Purchase"	"{g:dota_item_price:item_def}"
"DOTA_PartnerPurchase_Recharge"	"Recarregar conta"
"DOTA_PartnerPurchase_Balance"	"Saldo: {m:balance}"
"DOTA_PartnerRecharge_Close"	"Voltar à compra"
"RequestBalanceBadAccount"	"Erro ao pedir saldo da conta: conta não encontrada."
"RequestBalanceAccountNotLinked"	"Erro ao pedir saldo da conta: a tua conta não está associada ao Perfect World."
"RequestBalanceUnsupportedPartner"	"Erro ao pedir saldo da conta: a tua conta não está associada a um parceiro reconhecido."
"StoreCheckout_Error_Title"	"Erro"
"StoreCheckout_NoItems"	"O teu carrinho de compras está vazio!"
"StoreCheckout_TooManyItems"	"Tens demasiados itens no teu carrinho de compras!"
"StoreCheckout_Loading"	"A fazer o checkout..."
"StoreCheckout_Unavailable"	"Checkout indisponível de momento."
"StoreCheckout_Cancelling"	"A cancelar..."
"StoreCheckout_Fail"	"A loja do jogo está atualmente fechada."
"StoreCheckout_InvalidParam"	"Um programador fez asneira! Foi passado um parâmetro inválido ao coordenador do jogo. Tenta efetuar a compra mais tarde."
"StoreCheckout_InternalError"	"Ocorreu um erro ao iniciar ou ao atualizar a transação. Por favor, aguarda um momento e tenta de novo ou contacta o Suporte para obteres ajuda."
"StoreCheckout_ContactSupport"	"Ocorreu um erro com a tua transação. Por favor, contacta o Suporte para assistência."
"StoreCheckout_NotApproved"	"O coordenador do jogo não conseguiu aprovar a transação com o Steam. Tenta proceder à compra mais tarde."
"StoreCheckout_NotLoggedin"	"Tens de ter a sessão iniciada no Steam para concluíres uma compra."
"StoreCheckout_WrongCurrency"	"A moeda desta transação não corresponde à moeda da tua carteira."
"StoreCheckout_NoAccount"	"A tua conta Steam está atualmente indisponível. Tenta efetuar a compra mais tarde."
"StoreCheckout_InsufficientFunds"	"Não possuis fundos suficientes para efetuar a compra."
"StoreCheckout_TimedOut"	"Esta transação excedeu o limite de tempo. Tenta efetuar a compra novamente."
"StoreCheckout_SteamAccountDisabled"	"A tua conta Steam está desativada e não pode efetuar compras."
"StoreCheckout_SteamAccountNoPurchase"	"As transações da carteira Steam foram desativadas nesta conta."
"StoreCheckout_OldPriceSheet"	"A tua lista de produtos local está desatualizada. A solicitar uma nova."
"StoreCheckout_TransactionNotFound"	"Esta id de transação não foi encontrada pelo coordenador do jogo. Tenta efetuar a compra novamente."
"StoreCheckout_TransactionCancelled"	"Transação cancelada. Não te foi cobrado qualquer valor."
"StoreCheckout_TransactionCompleted"	"Transação concluída!\nDiverte-te!"
"StoreCheckout_CompleteButUnfinalized"	"Não foi possível confirmar se a transação foi concluída com sucesso. Se sim, os itens serão entregues numa data futura."
"StoreCheckout_NotEnoughRoom"	"Não tens espaço suficiente no teu Arsenal para poderes comprar esses itens."
"StoreCheckout_ContactSupport_Dialog_Title"	"Aviso"
"StoreCheckout_ContactSupport_Dialog_Btn"	"Contactar"
"StoreCheckout_LimitedQuantityItemsUnavailable"	"Um item que estás a tentar comprar está esgotado ou indisponível de momento."
"StoreCheckout_Nexon_InsufficientFunds"	"Não tens fundos suficientes para completar a compra."
"StoreCheckout_Nexon_FundsLocked"	"Nexon cash lock is enabled."
"npc_dota_hero_abaddon_hype"	"Capaz de transformar ataques inimigos em cura para si mesmo, Abaddon sobrevive a quase qualquer confronto. Podendo proteger aliados com o seu escudo e usar a sua neblina que cura aliados e prejudica inimigos, ele está sempre pronto a cavalgar para a batalha."
"npc_dota_hero_alchemist_hype"	"Podendo transformar as suas vítimas em ouro, Alchemist tem as ferramentas necessárias para destruir os seus inimigos. Ao emboscar inimigos com ácido corrosivo e químicos instáveis, ele certifica-se que ninguém interrompe as suas aventuras gananciosas."
"npc_dota_hero_ancient_apparition_hype"	"Capaz de lançar uma perigosa explosão de gelo através do campo de batalha, ele pode destruir inimigos enfraquecidos onde quer que estejam. Por poder abrandar inimigos e melhorar a eficácia dos seus aliados, ele é uma ameaça constante para os seus oponentes."
"npc_dota_hero_antimage_hype"	"Anti-Mage tem o potencial de ficar poderoso ao ponto de se tornar imparável. Capaz de drenar mana de inimigos com cada ataque e de se teletransportar a curtas distâncias para escapar de emboscadas, conseguir encurralá-lo é um desafio para qualquer oponente."
"npc_dota_hero_axe_hype"	"Um após o outro, Axe mutila os seus inimigos. Tomando a iniciativa, ele lança-se para o combate obrigando os seus inimigos a atacar, e depois contra-ataca dando um rodopio fatal com o seu machado. Facilmente massacrando inimigos enfraquecidos, Axe é imparável."
"npc_dota_hero_bane_hype"	"Bane aterroriza os seus inimigos com o seu arsenal de habilidades incapacitantes. Seja amaldiçoando um inimigo com um pesadelo contagioso ou imobilizando-o, ele dá aos seus aliados todo o tempo que precisam para assassinar os seus oponentes."
"npc_dota_hero_batrider_hype"	"Assim que ele ganha altitude, Batrider pode atacar de qualquer lado. Capturando um inimigo com a sua corda, ele sobrevoa todo o campo de batalha, puxando-o através de um rasto de chamas até aos seus impiedosos aliados."
"npc_dota_hero_beastmaster_hype"	"Podendo invocar um javali venenoso e um falcão vigilante, Beastmaster está sempre pronto para a luta. Capaz de cortar tanto árvores como inimigos com os seus machados, ele também ajuda os seus aliados a aniquilar oponentes graças ao seu rugido atordoante."
"npc_dota_hero_bloodseeker_hype"	"Bloodseeker obriga os seus inimigos a tomarem decisões difíceis. Ele pode efetuar um ritual nocivo numa grande área, incentivando os seus inimigos a fugirem, e a sua habilidade Ultimate pede aos seus oponentes que permaneçam imóveis, senão morrerão."
"npc_dota_hero_bounty_hunter_hype"	"Bounty Hunter está sempre debaixo do nariz dos seus inimigos, perseguindo-os enquanto invisível. Sempre que um dos alvos por ele marcados morre, ele e os seus aliados ganham uma recompensa considerável."
"npc_dota_hero_brewmaster_hype"	"Brewmaster é um guerreiro temível e pode mudar o rumo da luta ao dividir-se em 3 espíritos, cada um com habilidades distintas. Quando não está dividido, ele traz caos embriagado aos seus inimigos com as suas pancadas abrandantes e ataques poderosos do seu bastão."
"npc_dota_hero_bristleback_hype"	"Bristleback é o único que beneficia em virar as costas a uma luta. Todo o dano que ele sofre vindo das costas e dos lados é reduzido, podendo andar à luta despreocupadamente e com a ajuda dos seus espinhos nocivos e do seu ranho abrandante."
"npc_dota_hero_broodmother_hype"	"Escondendo-se invisivelmente nas suas teias, Broodmother cria exércitos de aranhas que ajudam a sua equipa a pressionar a base inimiga. Quando chega a hora de atacar, ela pode abrandar inimigos com mordidelas incapacitantes e aumentar o poder dos seus ataques."
"npc_dota_hero_centaur_hype"	"Centaur Warrunner é um mestre em infligir e absorver dano. Liderando a investida para o combate, ele atordoa os seus inimigos e contra-ataca os seus golpes. O seu Ultimate acelera os seus aliados e dá-lhes a capacidade de atravessar qualquer unidade."
"npc_dota_hero_chaos_knight_hype"	"Chaos Knight é um exército de um só soldado, capaz de invocar um grupo de clones para demolir as defesas do inimigo. Caso um oponente apareça, ele é capaz de distorcer a realidade para que ele e os seus clones rodeiem o alvo e o massacrem com as suas clavas."
"npc_dota_hero_chen_hype"	"Após converter as criaturas da floresta para a sua causa, Chen usa o seu exército improvisado para ajudar a sua equipa. Ele ataca inimigos com os seus creeps enquanto envia os seus aliados para a base, além de poder curá-los onde quer que estejam."
"npc_dota_hero_clinkz_hype"	"Quando Clinkz se desloca invisivelmente pelo campo de batalha, ninguém está a salvo. Veloz a mover-se e a atacar, ele elimina os seus inimigos com uma chuva de flechas de fogo, e depois retira-se para absorver a vida das criaturas da floresta antes do seu próximo ataque."
"npc_dota_hero_rattletrap_hype"	"Lançando-se para cima de inimigos graças ao seu gancho, Clockwerk pode isolar alvos e rebentá-los com estilhaços desorientadores. Enquanto ele faz reconhecimento do campo de batalha com os seus foguetes de sinalização, ele nunca tem problemas em encontrar alvos."
"npc_dota_hero_crystal_maiden_hype"	"Capaz de fornecer mana aos seus aliados e de abrandar inimigos para serem facilmente assassinados, a Crystal Maiden é um elemento útil em qualquer equipa. E, quando a oportunidade surgir, ela pode usar a sua habilidade Ultimate para devastar os seus inimigos."
"npc_dota_hero_dark_seer_hype"	"Versátil e estratégico, Dark Seer é excelente a manipular o posicionamento dos seus inimigos. Com a sua habilidade de vácuo, ele agrupa inimigos para que aliados possam atacá-los, para além de virar os inimigos contra eles próprios ao empurrá-los para a sua parede replicante."
"npc_dota_hero_dazzle_hype"	"Nascido para apoiar os seus companheiros de equipa no campo de batalha, Dazzle mantém os seus aliados vivos para que possam depois aniquilar os seus inimigos. Os seus estranhos poderes mágicos afetam armaduras, podendo enfraquecer inimigos e fortalecer aliados."
