"dota"
{
"DOTA_Accept"	"承諾"
"DOTA_Profile_Pushing"	"プッシュ"
"DOTA_Profile_Pushing_TooltipTitle"	"プッシュ"
"DOTA_Profile_Pushing_Tooltip"	"安全圏を広げる為にタワー破壊を進めるプレイヤー。"
"DOTA_Profile_Versatility"	"万能"
"DOTA_Profile_Versatility_TooltipTitle"	"万能"
"DOTA_Profile_Versatility_Tooltip"	"異なるヒーローを多才に操る万能タイプのプレイヤー。"
"DOTA_Profile_Tooltip_Value"	"{s:CurrentStatValue}"
"DOTA_Profile_Tooltip_Comparison"	"{s:CurrentComparisonValue}"
"DOTA_Profile_StatsCompare"	"自分のデータと比較"
"DOTA_Profile_Self"	"自分"
"DOTA_Profile_GPM"	"平均 GPM"
"DOTA_Profile_XPM"	"平均 XPM"
"DOTA_Profile_LH"	"平均 ラストヒット"
"DOTA_Profile_Rampages"	"大暴れ"
"DOTA_Profile_TripleKills"	"トリプルキル"
"DOTA_Profile_FirstBled"	"最初の犠牲"
"DOTA_Profile_CourierKills"	"クーリエキル"
"DOTA_Profile_CreepStack"	"キャンプのスタック数"
"DOTA_Profile_GPMValue"	"{s:GPM}"
"DOTA_Profile_XPMValue"	"{s:XPM}"
"DOTA_Profile_LHValue"	"{s:LH}"
"DOTA_Profile_RampagesValue"	"{d:Rampages}"
"DOTA_Profile_TripleKillsValue"	"{d:TripleKills}"
"DOTA_Profile_FirstBloodValue"	"{d:FirstBlood}"
"DOTA_Profile_FirstBledValue"	"{d:FirstBled}"
"DOTA_Profile_CourierKillsValue"	"{d:CourierKills}"
"DOTA_Profile_AegisesValue"	"{d:Aegises}"
"DOTA_Profile_CheeseEatenValue"	"{d:CheeseEaten}"
"DOTA_Profile_CreepStackValue"	"{d:CreepStack}"
"DOTA_Profile_GPMLocalValue"	"{s:GPMLocal}"
"DOTA_Profile_XPMLocalValue"	"{s:XPMLocal}"
"DOTA_Profile_LHLocalValue"	"{s:LHLocal}"
"DOTA_Profile_RampagesLocalValue"	"{d:RampagesLocal}"
"DOTA_Profile_TripleKillsLocalValue"	"{d:TripleKillsLocal}"
"DOTA_Profile_FirstBloodLocalValue"	"{d:FirstBloodLocal}"
"DOTA_Profile_FirstBledLocalValue"	"{d:FirstBledLocal}"
"DOTA_Profile_CourierKillsLocalValue"	"{d:CourierKillsLocal}"
"DOTA_Profile_AegisesLocalValue"	"{d:AegisesLocal}"
"DOTA_Profile_CheeseEatenLocalValue"	"{d:CheeseEatenLocal}"
"DOTA_Profile_CreepStackLocalValue"	"{d:CreepStackLocal}"
"DOTA_RecentGames_Title"	"最近のゲーム"
"DOTA_RecentGames_TimeStamp"	"日付/時間"
"DOTA_RecentGames_HeroSelection"	"プレイしたヒーロー"
"DOTA_RecentGames_GameResult"	"結果"
"DOTA_RecentGames_GameLength"	"時間"
"DOTA_RecentGames_Team"	"チーム"
"DOTA_RecentGames_GameType"	"タイプ"
"DOTA_RecentGames_Items"	"アイテム"
"DOTA_RecentGame_Timestamp_Entry"	"{t:s:timestamp} {t:t:timestamp}"
"DOTA_RecentGame_Duration"	"{t:d:duration}"
"DOTA_RecentGame_Downloading"	"{s:DownloadPercent} ダウンロード中"
"DOTA_RecentGame_Watch"	"リプレイを観戦"
"DOTA_RecentGame_NoReplay"	"リプレイがありません"
"DOTA_RecentGame_Expired"	"リプレイ期限切れ"
"DOTA_RecentGame_Finding"	"探しています..."
"DOTA_RecentGame_Download"	"マッチをダウンロード"
"DOTA_RecentGame_Pending"	"保留中のリプレイ"
"DOTA_RecentGame_Unavailable"	"使用できないリプレイ"
"DOTA_RecentGame_MatchID"	"マッチ ID: #{s:match_id}"
"DOTA_No_Team_Name"	"--"
"DOTA_TrophyCount"	"{d:trophy_count} トロフィー"
"DOTA_TrophiesCount"	"{d:trophy_count} トロフィー"
"DOTA_TrophyCount_Number"	"{d:trophy_count}"
"DOTA_TrophyCount_NoNum"	"トロフィー"
"DOTA_TrophiesCount_NoNum"	"トロフィー"
"DOTA_Trophies_ViewAll"	"全て"
"DOTA_TrophyName"	"{s:trophy_name}"
"DOTA_TrophyCategory"	"{s:trophy_category}"
"DOTA_TrophyDescription"	"{s:trophy_description}"
"DOTA_NextTrophy"	"次のアワード"
"DOTA_NewPlayerQuestion_Title"	"DOTA 2へようこそ"
"DOTA_PlayerOriginQuestion_Question"	"より良いゲーム体験のため、Dota 2 や類似ゲームについての精通度について情報をご提供ください："
"DOTA_PlayerOriginQuestion_BeginnerButton"	"初心者です。"
"DOTA_PlayerOriginQuestion_RTSButton"	"RTSゲームをプレイしたことがあります。"
"DOTA_PlayerOriginQuestion_MOBAButton"	"Dota 2 に似たゲームをプレイしたことがあります。"
"DOTA_PlayerOriginQuestion_Dota2Button"	"Dota 2 をプレイしたことがあります。"
"DOTA_PlayerOriginQuestion_MOBAExplanation"	"最も慣れているゲームを選択してください："
"DOTA_OtherGames_LOL"	"League of Legends"
"DOTA_OtherGames_DOTA"	"DotA 1"
"DOTA_OtherGames_HON"	"Heroes of Newerth"
"DOTA_OtherGames_Smite"	"Smite"
"DOTA_OtherGames_Other"	"他のゲーム"
"DOTA_PlayerOriginQuestion_ConfirmationButton"	"さあ始めよう"
"DOTA_PlayerOriginQuestion_ConfirmationTutorial"	"Dota を始めてプレイする場合、プレイタブのトレーニングセクションにあるチュートリアルをお試しください。全世界のプレイヤーを制圧するための第一歩として最適です。"
"DOTA_PlayerOriginQuestion_ConfirmationSettings"	"あなたと同じ精通度のユーザーが最も良く使用しているキーバインドとオプションに設定してあります。設定アイコンをクリックすれば、これらをいつでも好きなようにカスタマイズすることができます。"
"DOTA_Tutorial_SkipButton"	"チュートリアルをスキップ"
"DOTA_ConfirmSkip"	"Dota 2 イントロをスキップしますか？"
"DOTA_ConfirmSkipDesc"	"Dota 2 のチュートリアルをスキップして本当に良いですか？"
"DOTA_Tutorial_Start_Quest"	"クエスト開始"
"DOTA_Tutorial_Quest0_Title"	"クエスト 1"
"DOTA_Tutorial_Quest0_TitleDesc"	"RANGED ヒーロー"
"DOTA_Tutorial_Quest0DetailsDesc"	"このクエストの完了には\n およそ10分かかります。"
"DOTA_Tutorial_QuestDetailsLearn"	"学習するのは:"
"DOTA_Tutorial_Quest0DetailsLesson"	"ヒーローの移動\nヒーローのレベルアップ\nアビリティの使用\nアイテム\n基本的な戦闘\nラストヒット"
"DOTA_Tutorial_Quest1_Title"	"クエスト 2"
"DOTA_Tutorial_Quest1_TitleDesc"	"レーン戦"
"DOTA_Tutorial_Quest1DetailsDesc"	"このクエストの完了には\n およそ10分かかります。"
"DOTA_Tutorial_Quest1DetailsLesson"	"長距離戦闘 \n AOE アビリティ \n ミニマップ \n タワー \n クーリエとスタッシュ \n テレポート"
"DOTA_Tutorial_Quest2_Title"	"クエスト 3"
"DOTA_Tutorial_Quest2_TitleDesc"	"レーン戦"
"DOTA_Tutorial_Quest2DetailsDesc"	"このクエストの完了には\n およそ10 - 15 分かかります。"
"DOTA_Tutorial_Quest2DetailsLesson"	"レーン戦 \n タワーの防御と攻撃 \n 開始時のアイテム"
"DOTA_Challenges_Title"	"学ぶ"
"DOTA_ChallengeGroup_1_Title"	"ガイド付きボット戦"
"DOTA_ChallengeGroup_1_Desc"	"ここから開始！"
"DOTA_ChallengeGroup_2_Title"	"ボット戦"
"DOTA_ChallengeGroup_More"	"今後も追加されます"
"DOTA_ChallengeGroup_Locked"	"ロック"
"DOTA_LearnMechanics_SubTitle"	"ヒーローのコントロール、アイテムショップの使い方、ゴールドと経験値の獲得などの Dota の基礎を学ぼう。Dota のようなゲームをプレイしたことがない場合、ここから始めてください。"
"DOTA_Mechanics_0_Desc"	"ヒーローの移動\nヒーローのレベルアップ\nアビリティの使用\nアイテム\n基本的な戦闘\nラストヒット"
"DOTA_Mechanics_1_Desc"	"長距離戦闘\n範囲アビリティ\nミニマップ\nタワー\nクーリエとスタッシュ\nテレポート"
"DOTA_LearnGuidedBotMatches_Title"	"ガイド付きボット戦"
"DOTA_LearnGuidedBotMatches_SubTitle"	"ボット制御のヒーロー相手に Dota のプレイ方法を学びましょう。選んだヒーローが驚異的な存在に成長するまで、試合の段階ごとにガイドします。"
"DOTA_GuidedBotMatches_0_Title"	"Luna"
"DOTA_GuidedBotMatches_0_Desc"	"短距離攻撃\n高攻撃ダメージ\n高速移動\nやや虚弱\nアビリティスタック使用"
"DOTA_GuidedBotMatches_1_Title"	"Sven"
"DOTA_GuidedBotMatches_1_Desc"	"近接攻撃\n爆発的攻撃ダメージe\n高耐久性\n減速に脆弱\nStrength ヒーロー"
"DOTA_GuidedBotMatches_2_Title"	"Lina"
"DOTA_GuidedBotMatches_2_Desc"	"長距離攻撃\n爆発的なアビリティダメージ\n短クールダウン\n非常に脆弱\nIntelligence ヒーロー"
"DOTA_LearnBotMatches_Title"	"ボット戦"
"DOTA_LearnBotMatches_SubTitle"	"ボット制御のヒーローを相手にストレスフリーで練習しよう。"
"DOTA_BotMatches_0_Title"	"イージーボット"
"DOTA_BotMatches_0_Desc"	"新ヒーローを学ぼう。"
"DOTA_BotMatches_1_Title"	"ミディアムボット"
"DOTA_BotMatches_1_Desc"	"慣れよう。"
"DOTA_BotMatches_2_Title"	"ハードボット"
"DOTA_BotMatches_2_Desc"	"挑戦しよう。"
"DOTA_BotMatches_3_Title"	"インセインボット"
"FileOpenDialog_Open"	"開く"
"FileOpenDialog_Select"	"選択"
"FileOpenDialog_FileType_Folder"	"フォルダ"
"DOTA_FindMatchTime"	"{s:find_match_time}"
"DOTA_ReturnToLobby"	"ロビーに戻る"
"DOTA_FindGameModesMany"	"ゲームモード: "
"DOTA_FindRegionsMany"	"地域: "
"DOTA_GameMode_AllPick"	"オールピック"
"DOTA_GameMode_SingleDraft"	"シングルドラフト"
"DOTA_GameMode_CaptainsMode"	"キャプテンズモード"
"DOTA_GameMode_RandomDraft"	"ランダムドラフト"
"DOTA_GameMode_AbilityDraft"	"アビリティドラフト"
"DOTA_PartnerPurchase_Purchase"	"{g:dota_item_price:item_def}"
"StoreCheckout_Error_Title"	"エラー"
"StoreCheckout_NoItems"	"ショッピングカートが空です！"
"StoreCheckout_TooManyItems"	"ショッピングカート内のアイテムが多すぎます！"
"StoreCheckout_Loading"	"支払い処理中..."
"StoreCheckout_Unavailable"	"現在、支払い処理ができません。"
"StoreCheckout_Cancelling"	"キャンセルしています..."
"StoreCheckout_Fail"	"ストアは、現在閉店しています。"
"StoreCheckout_InvalidParam"	"プログラムでエラーが発生しました！ 無効なパラメータがゲームコーディネータに渡されました。購入手続きをやり直してください。"
"StoreCheckout_InternalError"	"お取引の初期化あるいは更新の際にエラーが発生しました。後ほど購入手続きをやり直すか、サポートにご連絡ください。"
"StoreCheckout_ContactSupport"	"処理の実行中にエラーが発生しました。　Steam サポートに連絡してください。"
"StoreCheckout_NotApproved"	"Steam でのお取引が、ゲームコーディネータに承認されませんでした。後で、購入手続きをやり直してください。"
"StoreCheckout_NotLoggedin"	"購入手続きを完了するには、Steam にログインする必要があります。"
"StoreCheckout_WrongCurrency"	"このお取引で選択された通貨は、お客様の Steam ウォレットの通貨と一致していません。"
"StoreCheckout_NoAccount"	"あなたのSteam アカウントは、現在利用できません。後で、購入手続きをやり直してください。"
"StoreCheckout_InsufficientFunds"	"購入手続きを完了するのに、十分な残金がありません。"
"StoreCheckout_TimedOut"	"このお取引は、タイムアウトで無効になりました。購入手続きをやり直してください。"
"StoreCheckout_SteamAccountDisabled"	"あなたのSteam アカウントが無効になっており、購入することができません。"
"StoreCheckout_SteamAccountNoPurchase"	"この Steam アカウントでは、Steam ウォレットでのお取引ができなくなっています。"
"StoreCheckout_OldPriceSheet"	"ローカルの製品リストは、最新版ではありません。新しい製品リストを要求中です。"
"StoreCheckout_TransactionNotFound"	"ゲームコーディネータでは、このお取引の ID が見つかりませんでした。購入手続きをやり直してください。"
"StoreCheckout_TransactionCompleted"	"お取引が完了しました！\\\n存分にお楽しみください！"
"StoreCheckout_CompleteButUnfinalized"	"お取引の完了を確認できません。正常に完了した場合、ご注文のアイテムが後日配信されます。"
"StoreCheckout_NotEnoughRoom"	"購入希望のアイテムが多すぎて、保管庫の容量が不足しています。"
"StoreCheckout_ContactSupport_Dialog_Title"	"警告"
"StoreCheckout_ContactSupport_Dialog_Btn"	"連絡する"
"StoreCheckout_LimitedQuantityItemsUnavailable"	"ご購入しようとしていたアイテムは売り切れか、現在入手不可です。"
"npc_dota_hero_abaddon_hype"	"敵からの攻撃を自己治癒に変えてしまう Abaddon はどんな攻撃からも生き延びることができる。味方にシールドをはり、諸刃のコイルと敵か味方に発射して、激戦の真っ只中に飛び込む準備は万全だ。"
"npc_dota_hero_batrider_hype"	"一度空中に浮かべば、 Batrider はどの方向からも攻撃が出来る。Lasso で敵を縛りつけ,木々の上に飛翔し、生贄を炎の道引きずり込んで無慈悲な味方の元に突き出す。"
"npc_dota_hero_bloodseeker_hype"	"Bloodseeker は的に困難な選択を強いる。ダメージを与える広範囲の結界を作り出し、敵に撤退を余儀なくさせる。彼の残酷な奥義は敵に静止か死の選択を要求する。"
"npc_dota_hero_bounty_hunter_hype"	"姿を隠して直ぐ側で敵を追い回す。Bounty Hunter が追跡を止めることはない。追跡対象が戦場で倒れたならば、彼と味方に大きな利益がもたらされる。"
"npc_dota_hero_dazzle_hype"	"仲間のサポートに天賦の才ある Dazzle は後で敵を倒せるように傷ついた味方を生かし続ける。その奇妙な魔術の波がアーマー内に入り込み、敵を弱らせ、味方を強化する。"
"npc_dota_hero_doom_bringer_hype"	"いずれにせよ Doom は敵をつぶす。クリープを貪り、生命の中にある様々なスキルを手にし、アルティメットで敵に火をつけて長い間スペルとアイテムの使用ができないサイレンス状態にする。"
"npc_dota_hero_drow_ranger_hype"	"Drow Ranger の射程から逃れることの出来るものは多くない。彼女は凍てつく波動と共に敵をサイレンス状態にした後、減速をもたらす逃れることがほぼ不可能な氷の矢を連続で放つ。"
"npc_dota_hero_earth_spirit_hype"	"Earth Spirit は敵を混乱に、見方を戦闘に巻き込み続ける。全ての戦闘シナリオに適応しながら、敵にダメージを与えるために自分の残像を呼び出したり、味方を死から免れさせたりする。"
"npc_dota_hero_legion_commander_hype"	"Legion Commande は戦場を行軍し孤立した敵を見つけては、一対一の決闘に持ち込む。 決闘に勝利するたび彼女の攻撃力は高まり、最終的には残酷な一人の軍となりうるのだ。"
"npc_dota_hero_mirana_hype"	"当たれば命取りとなり得る矢で遠くから狙いを定める Mirana は常に戦闘へ飛び込む準備が出来ているようだ。 見方を敵の目から欺くシールドを施すことができる彼女は、味方が常に徘徊できるよう保証する。"
"npc_dota_hero_ogre_magi_hype"	"放つスペルの威力が複数倍になる可能性がある Ogre Magi が敵を灰にしたり、見方のパワーを強めたりするのに必要なのは、ほんの少しの幸運だ。もちろん幸運に頼るのは難しいことなのだが..."
"npc_dota_hero_queenofpain_hype"	"Queen of Pain の攻撃に警告などない。耳をつんざくような叫びで固まった敵を破壊する。 彼女の猛襲に耐える敵には短剣を浴びせて動きを遅くし、逃げられなくしてから止めを刺す。"
"npc_dota_hero_razor_hype"	"雷鳴を伴う危険な嵐を呼びだして Razor は戦場を突き進む。帯電プラズマの輪を放って敵を焼き焦がし、敵のパワーを流出させて相手に使う為に敵とリンクすることが出来る。"
"npc_dota_hero_riki_hype"	"敵に見られることなく、戦場で敵を付回す。注意深く頃合いを見計らい、相手をサイレンス状態にさせる煙を放ち、彼の存在に敵が気がつくより先にその刃を突き立てる。"
"npc_dota_hero_sniper_hype"	"長距離から死を届けることは Sniper の特技だ。弾幕で敵の気を張り詰めさせ、機が熟した頃にキルショットをお見舞いする。"
"npc_dota_hero_shredder_hype"	"掴みどころがなく、予測不可能。Timbersaw は森を切り抜け敵に対峙する。敵を切り刻む刃を解き放ち、チェーンに飛び乗って近くの木々に移って進路上の敵を破壊する。"
"npc_dota_hero_tinker_hype"	"Tinker は大量のマシーン群や恐ろしい仕掛け使って敵を破壊する。必要な材料を集めることが出来れば、アビリティを即座をリフレッシュするパワーが彼を全ての前線で味方を導くことを可能にする。"
"npc_dota_hero_venomancer_hype"	"Venomancer は敵にゆっくりと死をもたらす。毒を吐き出す無数の見張りを発生させて自分の領域を守り、敵が一線を越えてきたら長引く毒を大量に撒き散らして敵を弱らせる。"
"DOTA_AbilityTooltip_Name"	"{s:name}"
"DOTA_AbilityTooltip_Level"	"レベル {s:level}"
"DOTA_AbilityTooltip_TargetType"	"対象: {s:targettype}"
"DOTA_AbilityTooltip_CastType"	"アビリティ: {s:casttype}"
"DOTA_AbilityTooltip_DamageType"	"ダメージタイプ: {s:damagetype}"
"DOTA_AbilityTooltip_SpellImmunityType"	"スペル耐性: {s:spellimmunity}"
"DOTA_AbilityTooltip_Description"	"{s:description}"
"DOTA_AbilityTooltip_ScepterDescription"	"{s:scepterdescription}"
"DOTA_AbilityTooltip_ExtraDescription"	"{s:extradescription}"
"DOTA_AbilityTooltip_Attributes"	"{s:attributes}"
"DOTA_AbilityTooltip_Cooldown"	"{s:cooldown}"
"DOTA_AbilityTooltip_ManaCost"	"{s:manacost}"
"DOTA_AbilityTooltip_Lore"	"{s:lore}"
"DOTA_AbilityTooltip_UpgradeLevel"	"次のアップグレードはヒーローレベル {d:upgradelevel}"
"DOTA_AbilityTooltip_BuildHeader"	"アビリティガイド"
"DOTA_AbilityTooltip_BuildComment"	"{s:buildcomment}"
"DOTA_PersonaTooltip_Title"	"{g:dota_persona:account_id}"
"DOTA_PersonaTooltip_TitlePro"	"{g:dota_persona_pro:account_id}"
"DOTA_PendingInvites"	"パーティ招待"
"DOTA_ChatTab_Close"	"このタブを閉じる。"
"DOTA_ChatTab_Leave"	"このチャンネルから退出。"
"DOTA_JoinChatChannel_Title"	"チャンネルに参加"
"DOTA_JoinChatChannel_Description"	"チャットチャンネルを作成あるいは参加する。"
"DOTA_JoinChatChannel_AddToCurrentTab"	"現在のタブ '{s:current_tab_name}'に追加"
"DOTA_JoinChatChannel_CreateNewTab"	"新しいタブを作成:"
"DOTA_Chat_ChannelName"	"{s:channel_name}"
"DOTA_Chat_ChannelMemberCount_Singular"	"1 人"
"DOTA_Chat_ChannelMemberCount_Plural"	"{d:channel_member_count} 人"
"DOTA_EditChatTab_Title"	"チャットタブを変更"
"DOTA_EditChatTab_Target"	"{s:target}"
"DOTA_Chat_TimestampFormat"	"{t:t:timestamp}"
"DOTA_Chat_Autocomplete_Title"	"{s:autocomplete_title}"
"DOTA_Chat_Autocomplete_CommandName"	"/{s:command_name}"
"DOTA_Chat_Autocomplete_CommandDescription"	"{s:command_description}"
"dota_suggest_invite_format"	"%s1 をパーティーに招待してください。"
"DOTA_ChatTarget_Format_Default"	"{s:target}"
"DOTA_ChatTarget_Prompt_Default"	"({s:target})へ:"
"DOTA_ChatTarget_Format_Whisper"	"{s:persona}"
"DOTA_ChatTarget_Party"	"パーティ"
"DOTA_ChatTarget_Lobby"	"ロビー"
"DOTA_ChatTarget_Team"	"チーム"
"DOTA_ChatTarget_Guild"	"ギルド"
"DOTA_ChatTarget_Fantasy"	"ファンタジー"
"DOTA_ChatTarget_Console"	"コンソール"
"DOTA_ChatTarget_GameAll"	"全員"
"DOTA_ChatTarget_GameAllies"	"味方"
"DOTA_ChatTarget_GameCoaching"	"コーチ"
"DOTA_ChatTarget_GameSpectator"	"観戦者"
"DOTA_ChatTargetMenu_Title"	"{s:target}"
"DOTA_ChatTargetMenu_ToggleEnabled"	"{s:toggle_enabled}"
"DOTA_ChatTargetMenu_NotActive"	"(Not Active)"
"DOTA_Chat_MissedMessages"	"{s:missed_message_count}"
"DOTA_ChatCommand_Party"	"p"
"DOTA_ChatCommand_Party_Name"	"パーティ"
"DOTA_ChatCommand_Party_Description"	"現在のパーティとチャット。"
"DOTA_ChatCommand_Lobby"	"l"
"DOTA_ChatCommand_Lobby_Name"	"ロビー"
"DOTA_ChatCommand_Lobby_Description"	"現在のロビーとチャット。"
"DOTA_ChatCommand_Channel"	"c"
"DOTA_ChatCommand_Channel_Name"	"チャンネル"
"DOTA_ChatCommand_Channel_Description"	"特定のチャットチャンネルとチャット。"
"DOTA_ChatCommand_Whisper"	"w"
"DOTA_ChatCommand_Reply"	"r"
"DOTA_ChatCommand_Reply_Name"	"返信"
"DOTA_ChatCommand_Help"	"?"
"DOTA_ChatCommand_Help_Name"	"ヘルプ"
"DOTA_ChatCommand_Help_Description"	"チャットコマンドにヘルプを表示。"
"DOTA_ChatCommand_InviteToParty"	"パーティ招待"
"DOTA_ChatCommand_InviteToParty_Name"	"パーティに招待"
"DOTA_ChatCommand_InviteToParty_Description"	"フレンドに現在のパーティへ招待する。"
"DOTA_ChatCommand_LeaveParty"	"パーティ退出"
"DOTA_ChatCommand_LeaveParty_Name"	"パーティから退出"
"DOTA_ChatCommand_LeaveParty_Description"	"現在のパーティから退出する。"
"DOTA_ChatCommand_JoinChannel"	"チャンネル参加"
"DOTA_ChatCommand_JoinChannel_Name"	"チャンネルに参加"
"DOTA_ChatCommand_JoinChannel_Description"	"チャットチャンネルに参加または作成する。"
"DOTA_ChatCommand_LeaveChannel"	"チャンネル退出"
"DOTA_ChatCommand_LeaveChannel_Name"	"チャンネルから退出"
"DOTA_ChatCommand_LeaveChannel_Description"	"特定のチャットチャンネルから退出する。"
"DOTA_ChatCommand_GameAll"	"全員"
"DOTA_ChatCommand_GameAll_Name"	"全員"
"DOTA_ChatCommand_GameAll_Description"	"ゲーム内全てのプレイヤーとチャットする。"
"DOTA_ChatCommand_GameAllies"	"味方"
"DOTA_ChatCommand_GameAllies_Name"	"味方"
"DOTA_ChatCommand_GameAllies_Description"	"味方とチャットする。"
"DOTA_ChatCommand_GameCoaching"	"コーチ"
"DOTA_ChatCommand_GameCoaching_Name"	"コーチ"
"DOTA_ChatCommand_GameCoaching_Description"	"生徒あるいはコーチとチャットする。"
"DOTA_ChatCommand_GameSpectator"	"観戦者"
"DOTA_ChatCommand_GameSpectator_Name"	"観戦者"
"DOTA_ChatCommand_GameSpectator_Description"	"他の観戦者とチャットする。"
"DOTA_ChatCommand_Clear"	"クリア"
