"dota"
{
"DOTA_Accept"	"Acceptă"
"DOTA_ProfileCard_ItemArmoryLink"	"Vizualizează Arsenalul Complet"
"DOTA_Wins_Singular"	"1 victorie"
"DOTA_Losses_Singular"	"1 înfrângere"
"DOTA_Profile_TotalGames"	"Jocuri în total"
"DOTA_Profile_Solo_MMR"	"Solo MMR"
"DOTA_Profile_Party_MMR"	"MMR grup"
"DOTA_Profile_VictoryCount"	"Victorii"
"DOTA_Profile_ProfilePage"	"Profil"
"DOTA_Profile_RecentGamesPage"	"Jocuri Recente"
"DOTA_Profile_HeroPage"	"Eroi"
"DOTA_Profile_PlayStyle"	"Stilul de joacă"
"DOTA_Profile_RecentActivity"	"Activitate Recentă"
"DOTA_Profile_Fighting"	"Luptă"
"DOTA_Profile_Fighting_TooltipTitle"	"Luptă"
"DOTA_Profile_Versatility"	"Versatilitate"
"DOTA_Profile_Versatility_TooltipTitle"	"Versatilitate"
"DOTA_Profile_Self"	"Eu"
"DOTA_Profile_GPM"	"GPM Mediu"
"DOTA_Profile_XPM"	"XPM Mediu"
"DOTA_Profile_FirstBlood"	"Prima Ucidere"
"DOTA_Profile_CourierKills"	"Curieri ucişi"
"DOTA_RecentGames_Title"	"Jocuri Recente"
"DOTA_RecentGames_TimeStamp"	"Dată/Oră"
"DOTA_RecentGames_HeroSelection"	"Erou Jucat"
"DOTA_RecentGames_GameResult"	"Rezultat"
"DOTA_RecentGames_GameLength"	"Durată"
"DOTA_RecentGames_Team"	"Echipă"
"DOTA_RecentGames_GameType"	"Tip"
"DOTA_RecentGames_Items"	"Obiecte"
"DOTA_RecentGame_Expired"	"Replay Expirat"
"DOTA_RecentGame_Finding"	"Căutare..."
"DOTA_RecentGame_Download"	"Descarcă Meci"
"DOTA_No_Team_Name"	"--"
"DOTA_TrophyCount_NoNum"	"Trofeu"
"DOTA_TrophiesCount_NoNum"	"Trofee"
"DOTA_Trophies_ViewAll"	"Afişează-le pe toate"
"DOTA_NewPlayerQuestion_Title"	"BUN VENIT ÎN DOTA 2"
"DOTA_OtherGames_DOTA"	"DotA 1"
"DOTA_OtherGames_HON"	"Heroes of Newerth"
"DOTA_OtherGames_Smite"	"Smite"
"DOTA_OtherGames_Other"	"Alt joc"
"DOTA_PlayerOriginQuestion_ConfirmationButton"	"SĂ JUCĂM"
"DOTA_PlayerOriginQuestion_ConfirmationTutorial"	"Ca jucător începător de Dota, s-ar putea să fii interesat de tutorialele din secțiunea Antrenament din meniul Joacă. Sunt un foarte bun prim pas în direcția dominării jucătorilor de pe tot globul."
"DOTA_Tutorial_Start_Quest"	"PORNEȘTE MISIUNE"
"DOTA_Tutorial_Quest0_Title"	"MISIUNEA 1"
"DOTA_Tutorial_Quest0DetailsDesc"	"Această misiune va dura cam\n 10 minute pentru completare."
"DOTA_Tutorial_QuestDetailsLearn"	"Vei învăţa:"
"DOTA_Tutorial_Quest1_Title"	"MISIUNEA 2"
"DOTA_Tutorial_Quest1DetailsDesc"	"Această misiune va dura cam\n 10 minute pentru a fi completată."
"DOTA_Tutorial_Quest2_Title"	"MISIUNEA 3"
"DOTA_Tutorial_Quest2DetailsDesc"	"Această misiune va dura aproximativ\n 10-15 minute pentru a fi terminată."
"DOTA_Challenges_Title"	"Învaţă"
"DOTA_ChallengeGroup_0_Title"	"Mecanici"
"DOTA_ChallengeGroup_1_Title"	"Meciuri ghidate cu boţi"
"DOTA_ChallengeGroup_1_Desc"	"Pornește de aici!"
"DOTA_ChallengeGroup_2_Title"	"Meciuri cu boţi"
"DOTA_ChallengeGroup_More"	"Mai multe vor veni"
"DOTA_ChallengeGroup_Locked"	"Blocat"
"DOTA_LearnMechanics_Title"	"Mecanică"
"DOTA_Mechanics_0_Title"	"Mecanică 1"
"DOTA_Mechanics_1_Title"	"Mecanică 2"
"DOTA_LearnGuidedBotMatches_Title"	"Meciuri ghidate cu boţi"
"DOTA_GuidedBotMatches_0_Title"	"Luna"
"DOTA_GuidedBotMatches_1_Title"	"Sven"
"DOTA_GuidedBotMatches_2_Title"	"Lina"
"DOTA_LearnBotMatches_Title"	"Meciuri cu boţi"
"DOTA_BotMatches_0_Desc"	"Învaţă un erou nou."
"DOTA_BotMatches_2_Desc"	"Provoacă-te."
"DOTA_BotMatches_3_Desc"	"Răneşte-te"
"FileOpenDialog_Open"	"Deschide"
"FileOpenDialog_Save"	"Salvează"
"FileOpenDialog_Select"	"Alege"
"FileOpenDialog_FileType_Folder"	"Folder"
"DOTA_FindMatch"	"Găseşte meci"
"DOTA_FindMatchTime"	"{s:find_match_time}"
"DOTA_Searching"	"Căutare"
"DOTA_StartSoloBotMatch"	"Începe meci cu boţi"
"DOTA_LobbyStartGame"	"Pornește Joc"
"DOTA_ReturnToLobby"	"Înapoi la lobby"
"DOTA_FindGameModesMany"	"Moduri de joc: "
"DOTA_GameMode_AllPick"	"Alegere din toți"
"DOTA_GameMode_SingleDraft"	"Recrutare Unică"
"DOTA_GameMode_CaptainsMode"	"Captains Mode"
"DOTA_GameMode_RandomDraft"	"Recrutare Aleatorie"
"DOTA_GameMode_AbilityDraft"	"Ability Draft"
"DOTA_GameMode_LeastPlayed"	"Cel mai puțin jucat"
"DOTA_GameMode_AllRandom"	"Toți Aleator"
"DOTA_GameMode_LimitedHeroes"	"Eroi Limitați"
"DOTA_GameMode_CaptainsDraft"	"Captains Draft"
"DOTA_GameMode_AllRandomDeathMatch"	"Deathmatch cu Toți Aleatoriu"
"DOTA_ImmediatePurchase_Success_Title"	"Succes"
"DOTA_ImmediatePurchase_Cancelled_Title"	"Anulat"
"DOTA_RequestingBalance_Title"	"Se solicită echilibrare"
"StoreCheckout_Error_Title"	"Eroare"
"StoreCheckout_TooManyItems"	"Ai prea multe obiecte în coşul tău de cumpărături!"
"StoreCheckout_Loading"	"Finalizare..."
"StoreCheckout_TransactionCancelled"	"Tranzacţie anulată. Nu ai fost taxat."
"StoreCheckout_ContactSupport_Dialog_Title"	"Avertisment"
"StoreCheckout_ContactSupport_Dialog_Btn"	"Contact"
"StoreCheckout_LimitedQuantityItemsUnavailable"	"Un obiect pe care intenționezi să-l cumperi nu mai este în stoc sau este indisponibil momentan."
"StoreCheckout_Nexon_InsufficientFunds"	"Nu ai suficiente fonduri pentru a finaliza achiziția."
"DOTA_ChatMessage_Default"	"<span class=\"{s:target_class}\"><span class=\"ChatTarget\">(<a href=\"{s:target_link}\">{s:target}</a>)</span> <span class=\"ChatPersona\">[{s:persona}]</span>: {s:message}</span>"
"DOTA_ChatMessage_WhisperTo"	"<span class=\"{s:target_class}\">Către <span class=\"ChatPersona\">[{s:persona}]</span>: {s:message}</span>"
"DOTA_ChatMessage_WhisperFrom"	"<span class=\"{s:target_class}\">De la <span class=\"ChatPersona\">[{s:persona}]</span>: {s:message}</span>"
"DOTA_ChatMessage_System"	"<span class=\"{s:target_class}\"><span class=\"ChatTarget\">({s:target})</span>: {s:message}</span>"
"DOTA_ChatTarget_Team"	"Echipă"
"DOTA_ChatTarget_Guild"	"Clan"
"DOTA_ChatTarget_Console"	"Consolă"
"DOTA_ChatCommand_Party"	"p"
"DOTA_ChatCommand_Party_Name"	"Grup"
"DOTA_ChatCommand_Party_Description"	"Discută cu grupul tău actual."
"DOTA_ChatCommand_Lobby"	"l"
"DOTA_ChatCommand_Channel"	"c"
"DOTA_ChatCommand_Help"	"?"
"DOTA_ChatCommand_Help_Name"	"Ajutor"
"DOTA_ChatCommand_GameAll"	"toți"
"DOTA_Chat_PartyMemberSeparator"	", "
"DOTA_LobbyKicked_Message"	"Ai fost dat afară din lobby-ul jocului de către liderul lobby-ului."
"DOTA_AllItemSet_Selector_Title"	"Toți"
"DOTA_ConfirmLANLobby_title"	"LOBBY LOCAL"
"DOTA_Lobby_Settings_Game_Mode"	"MODUL DE JOC"
"DOTA_Lobby_Settings_Region"	"LOCAŢIA SERVERULUI"
"DOTA_Lobby_Settings_Game_Name"	"NUMELE JOCULUI"
"DOTA_Lobby_Settings_Bot_Difficulty_Passive"	"PASIVĂ"
"LobbySetting_GameMode_Value"	"{s:lobbysetting_gamemode}"
"LobbySetting_Bots"	"Boţi"
"LobbySetting_Bots_Value"	"{s:lobbysetting_bots}"
"LobbySetting_Password_Value"	"{s:lobbysetting_password}"
"LobbySetting_Server_Value"	"{s:lobbysetting_server}"
"LobbySetting_Cheats_Value"	"{s:lobbysetting_cheats}"
"LobbySetting_Spectators_Value"	"{s:lobbysetting_spectators}"
"LobbySetting_Visibility"	"Vizibilitate"
"LobbySetting_Visibility_Value"	"{s:lobbysetting_visibility}"
"dota_lobby_coaches_none"	"Antrenori: Niciunul"
"dota_lobby_coaches"	"Antrenori:"
"DOTA_Custom_Game"	"Joc personalizat"
"DOTA_Custom_Game_View_Details"	"Vezi detaliile jocului"
"DOTA_Custom_Game_Author"	"de {g:dota_persona:author}"
"DOTA_Custom_Game_Find_Lobby"	"Găsește lobby"
"DOTA_Custom_Game_Create_Lobby"	"Creează lobby"
"DOTA_Custom_Game_Game_Page"	"Pagina jocului"
"DOTA_Custom_Game_Workshop_Page"	"Pagina Atelierului"
"DOTA_Custom_Game_Download_Queued"	"Descărcare în aşteptare"
"DOTA_Custom_Game_Downloading"	"Descărcare..."
"DOTA_Custom_Game_Downloading_Percent"	"Descărcare - {d:lobby_download_percent}%"
"DOTA_Custom_Game_Needs_Update"	"Necesită actualizare"
"DOTA_Custom_Game_Play"	"Joacă {s:game_mode_name}"
"DOTA_Custom_Game_FileSize"	"{d:file_size} MB"
"DOTA_Custom_Game_Name"	"{s:game_mode_name}"
"DOTA_Custom_Game_Subscription"	"{s:subscriptions_count} Abonament"
"DOTA_Custom_Game_Subscriptions"	"{s:subscriptions_count} Abonamente"
"DOTA_Custom_Game_Rating"	"Evaluare"
"DOTA_Custom_Game_Playing_Now"	"{s:player_count} Se joacă acum"
"DOTA_Custom_Game_Ratings_Count"	"({d:ratings_count})"
"DOTA_Custom_Game_Description"	"{s:game_description}"
"DOTA_Custom_Game_Last_Updated"	"Ultima dată actualizat {s:last_updated_date}"
"DOTA_Custom_Game_Update_Note_Title"	"{s:timestamp}"
"DOTA_Custom_Game_Map_Label"	"Hartă"
"DOTA_Custom_Game_Map_Any"	"Oricare"
"DOTA_Custom_Game_Update"	"Actualizare"
"DOTA_Custom_Game_Spectate"	"Vizionează"
"DOTA_Custom_Game_Friends_Playing"	"Prieteni care se joacă jocuri personalizate"
"DOTA_Custom_Games_Friends_Play"	"Jocuri personalizate jucate de prietenii tăi"
"DOTA_Custom_Game_Invite_Friend"	"Invită un prieten"
"DOTA_Custom_Game_Suggested_Title"	"Jocuri sugerate"
"DOTA_Custom_Lobby_Settings_Map"	"Hartă"
"DOTA_Custom_Lobby_Join_Failed_Reason"	"{s:join_error}"
"DOTA_Custom_Lobby_Create_Private_Button"	"Creează lobby privat"
"DOTA_Custom_Lobby_Find_Private_Button"	"Caută lobby privat"
"DOTA_Custom_Lobby_Find_Private_Title"	"Caută lobby privat"
"DOTA_Custom_Lobby_List_Game_Header"	"Joc"
"DOTA_Custom_Lobby_List_Players_Header"	"Jucători"
"DOTA_Custom_Lobby_List_Map_Header"	"Hartă"
"DOTA_Custom_Lobby_List_Status_Header"	"Stare locală"
"DOTA_Custom_Lobby_List_Game"	"{s:lobby_game}"
"DOTA_Custom_Lobby_List_Lobby_Name"	"{s:lobby_name}"
"DOTA_Custom_Lobby_List_Players"	"{s:lobby_players} / {s:lobby_max_players}"
"DOTA_Custom_Lobby_List_Map"	"{s:lobby_map}"
"DOTA_Custom_Lobby_List_Connection"	"..."
"DOTA_Watch_LobbyNotFound"	"Lobby-ul nu a fost găsit."
"vs"	"VS"
"dota_abandon_dialog_confirm"	"Eşti sigur că vrei să abandonezi acest joc?"
"dota_abandon_dialog_yes"	"Da, abandonează jocul."
"dota_leave_dialog_title"	"PĂRĂSEȘTE JOCUL"
"dota_leave_dialog_confirm"	"Ești sigur că vrei să părăsești acest joc?"
"dota_match_connecting"	"Se conectează la joc..."
"dota_match_in_progress"	"Joc în desfăşurare"
"dota_leaver_consequence_CreditWithAbandon"	"Vei primi o abandonare."
"dota_leaver_consequence_ForcedLossForLeaver"	"Vei primi o înfrângere."
"DOTA_VAC_Verification_Button1"	"Mai multe informaţii"
"DOTA_VAC_Verification_Button2"	"Închide"
"dota_region_automatic"	"Regiune: Automat"
"dota_chatwheel_label_Ok"	"Ok"
"dota_chatwheel_label_Care"	"Grijă"
"dota_chatwheel_label_GetBack"	"Întoarce-te"
"dota_chatwheel_label_Help"	"Ajutor"
"dota_chatwheel_label_GoodJob"	"Bine Jucat"
"dota_chatwheel_label_Mana"	"Mana"
"dota_chatwheel_label_OOM"	"Nu mai am mana"
"dota_chatwheel_label_Roshan"	"Roshan"
"dota_chatwheel_label_Affirmative"	"Afirmativ"
"dota_chatwheel_label_Wait"	"Aşteaptă"
"dota_chatwheel_label_Pause"	"Pauză"
"dota_chatwheel_label_GLHF"	"Noroc"
"dota_chatwheel_label_Nice"	"Frumos"
"dota_chatwheel_label_Thanks"	"Merci"
"dota_chatwheel_label_Sorry"	"Scuze"
"dota_chatwheel_label_No_Give_Up"	"Nu renunţaţi"
"dota_chatwheel_label_Relax"	"Relaxează-te"
"dota_chatwheel_label_GG"	"GG"
"dota_chatwheel_label_GGWP"	"GGWP"
"dota_chatwheel_label_All_GG"	"(Toți) GG"
"dota_chatwheel_label_All_GGWP"	"(Toți) GGWP"
"dota_chatwheel_label_What_To_Buy"	"Ce să cumpăr?"
"dota_chatwheel_label_Im_Retreating"	"Mă retrag"
"dota_chatwheel_header_status"	"Stare"
"dota_chatwheel_header_enemy"	"Inamic"
"dota_chatwheel_header_items"	"Obiecte"
"dota_chatwheel_header_neutrals"	"Neutral-i"
"dota_chatwheel_message_Ok"	"Bine."
"dota_chatwheel_message_NeedWards"	"Avem nevoie de ward-uri."
"dota_chatwheel_message_Help"	"Ajutor!"
"dota_chatwheel_message_Push"	"Avansați acum"
"dota_chatwheel_message_Follow"	"Veniți după mine"
"dota_chatwheel_message_Mana"	"Mana"
"dota_chatwheel_message_OOM"	"Nu mai am mana"
"dota_chatwheel_message_Wait"	"Aşteaptă"
"dota_chatwheel_message_Nice"	"Frumos"
"dota_chatwheel_message_Sorry"	"Scuze"
"dota_chatwheel_message_No_Give_Up"	"Nu renunțați!"
"dota_chatwheel_message_New_Meta"	"Noul meta"
"dota_chatwheel_message_My_Bad"	"Greșeala mea"
"dota_chatwheel_message_GG"	"Bun joc"
"dota_chatwheel_message_GGWP"	"Bun joc, bine jucat"
"dota_chatwheel_message_All_GG"	"Bun joc"
"dota_chatwheel_message_All_GGWP"	"Bun joc, bine jucat"
"dota_chatwheel_message_What_To_Buy"	"Ce ar trebui să cumpăr?"
"dota_chatwheel_message_Im_Retreating"	"Mă retrag"
"dota_chatwheel_message_Whoops"	"Uups"
"dota_settings_audio"	"AUDIO"
"dota_settings_video"	"VIDEO"
"dota_settings_abilities_primary1"	"1"
"dota_settings_abilities_primary2"	"2"
"dota_settings_abilities_primary3"	"3"
"dota_settings_abilities_secondary1"	"4"
"dota_settings_abilities_secondary2"	"5"
"dota_settings_abilities_neutral1"	"1"
"dota_settings_abilities_neutral2"	"2"
"dota_settings_abilities_neutral3"	"3"
"dota_settings_abilities_neutral4"	"4"
"dota_settings_abilities_courier1"	"1"
"dota_settings_abilities_courier2"	"2"
"dota_settings_abilities_courier3"	"3"
"dota_settings_abilities_courier4"	"4"
"dota_settings_abilities_courier5"	"5"
"dota_settings_abilities_courier6"	"6"
"dota_settings_abilities_ultimate"	"U"
"dota_settings_items"	"Obiecte"
"dota_settings_camera"	"Cameră"
"dota_settings_cameraactions"	"Acțiuni Cameră"
"dota_settings_cameraup"	"Camera în față"
"dota_settings_cameradown"	"Camera în spate"
"dota_settings_cameraleft"	"Camera spre stânga"
"dota_settings_cameraright"	"Camera spre dreapta"
"dota_settings_cameragrip"	"Controlul Camerei"
"dota_settings_chat"	"Chat"
"dota_settings_chatwheel_page"	"Roata cu replici"
"dota_settings_chatteam"	"Discuție Echipă"
"dota_settings_chatglobal"	"Discuție cu toți"
"dota_settings_chatvoice_party"	"Voce (grup)"
"dota_settings_chatvoice_team"	"Voce (echipă)"
"dota_settings_chatwheel_show"	"Roatăcureplici"
"dota_settings_pause"	"Pauză"
"dota_settings_group1"	"Grup 1"
"dota_settings_group2"	"Grup 2"
"dota_settings_group3"	"Grup 3"
"dota_settings_group4"	"Grup 4"
"dota_settings_group5"	"Grup 5"
"dota_settings_group6"	"Grup 6"
"dota_settings_group7"	"Grup 7"
"dota_settings_group8"	"Grup 8"
"dota_settings_group9"	"Grup 9"
"dota_settings_group10"	"Grup 10"
"dota_settings_advancedpanel_goto"	"Avansat"
"dota_settings_spectatordropdown_xp_per_min"	"XP pe minut"
"dota_settings_or"	"Sau"
"dota_settings_apply"	"Aplică"
"dota_settings_game"	"Joc"
"dota_settings_cameradecel"	"Decelerare Cameră"
"dota_settings_cameraspeed"	"Viteză Cameră"
"dota_settings_camerareversegrip"	"Controlul Camerei Inversat"
"dota_settings_cameraedgepan"	"Mișcare la Margine"
"dota_settings_camerascreenshake"	"Activează scuturăturile de ecran"
"dota_settings_cameraresetonspawn"	"Mută Camera după Reînviere"
"dota_settings_cameradeadcolorshift"	"Schimbare a culorilor camerei în timpul morții"
"dota_settings_profile"	"Profil"
"dota_settings_trade_friends"	"Doar prieteni"
"dota_settings_network"	"Reţea"
"dota_settings_aspectratio43"	"4:3"
"dota_settings_aspectratio169"	"16:9"
"dota_settings_aspectratio1610"	"16:10"
"dota_settings_voicevolume"	"Voce"
"dota_settings_defaultaudio"	"Implicit"
"dota_settings_chatsounds"	"Sunet mesaj discuție"
"dota_settings_unitspeech_off"	"Oprit"
"dota_settings_unitspeech_events"	"Evenimente"
"DOTA_Keybind_MMO"	"MMO"
"DOTA_Keybind_LOL"	"League of Legends"
"DOTA_Keybind_HON"	"Heroes of Newerth"
"DOTA_Keybind_SMITE"	"Smite"
"DOTA_Hotkeys_Tooltip_CourierSelect"	"Alege curierul."
"DOTA_Hotkeys_Tooltip_ChatVoiceTeam"	"Folosește microfonul pentru a comunica cu toți membrii echipei."
"DOTA_Lobby_BotDifficulty_easy"	"Ușor"
"DOTA_Lobby_BotDifficulty_medium"	"Mediu"
"DOTA_Lobby_BotDifficulty_hard"	"Greu"
"DOTA_Lobby_BotTeam"	"Alege echipa"
"DOTA_create_bot_practice_solo"	"Solo"
"dota_lobby_title"	"{s:lobby_name}"
"dota_lobby_title_local_game"	"Lobby local"
"dota_lobby_title_default"	"Lobby"
"dota_lobby_browser_refresh"	"Reîmprospătează"
"DOTA_Items_DefaultSet"	"Set implicit"
"DOTA_Items_SetEquipped_Label"	"Echipat"
"DOTA_EquippedItem_Label"	"Echipat"
"DOTA_EquippedItem_Equip"	"Echipează"
"DOTA_EquippedItem_Purchase_Button"	"Achiziționează"
"DOTA_EquippedItem_ItemSet"	"Set"
"DOTA_EquippedItem_Item"	"Obiect"
"DOTA_HeroRole_Initiator"	"Initiator"
"DOTA_HeroGrid_OptionCategory_Role"	"Roluri:"
"DOTA_HeroCustomize_DefaultItemName"	"Obiect implicit"
"GC_Wait_Time_Unknown"	"Necunoscut"
"DOTA_practice_vs_bots_team_radiant"	"Radiant"
"DOTA_practice_vs_bots_team_dire"	"Dire"
"DOTA_Search_NoResults"	"Niciun rezultat"
"join_error_already_in_game"	"Nu te poți alătura lobby-ului de exercițiu, deoarece ești deja într-un joc."
"join_error_incorrect_password"	"Parolă incorectă."
"join_error_access_denied"	"Acces interzis."
"DOTA_Friends_Ready_To_Play"	"Deschide jocuri"
"DOTA_Friend_In_Match"	"În meci"
"DOTA_Friend_Watch"	"Urmărește"
"dota_lobby_type_practice_game_mode_custom"	"Joc Personalizat"
"dota_lobby_type_tournament"	"Turneu"
"dota_lobby_type_casual_1v1"	"Meci 1v1"
"dota_match_result_none"	"???"
"DOTA_LoadingPlayerUnknown"	"-"
"custom_end_screen_legend_hero"	"Erou"
"custom_end_screen_legend_kills"	"K"
"custom_end_screen_legend_deaths"	"D"
"custom_end_screen_legend_assists"	"A"
"custom_end_screen_legend_items"	"Obiecte"
"custom_end_screen_legend_gold"	"Aur"
"CustomEndScreenClose"	"Închide"
"DOTA_Armory_Category_Heroes"	"Eroi"
"DOTA_Armory_Category_Couriers"	"Curieri"
"DOTA_Armory_Category_Wards"	"Warduri"
"DOTA_Armory_Category_Interface"	"Interfață"
"DOTA_Armory_Category_Emoticons"	"Emoticon-uri"
"DOTA_Armory_Category_Music"	"Muzică"
"DOTA_Armory_Category_Other"	"Altul"
"DOTA_Armory_SortBy"	"Sortează după:"
"DOTA_Armory_SortBy_Name"	"Nume"
"DOTA_Armory_ContextMenu_Equip"	"Echipează"
"dota_page_match_details_legend_level"	"Nivel"
"dota_page_match_details_legend_hero"	"Erou"
"dota_page_match_details_legend_kills"	"K"
"dota_page_match_details_legend_deaths"	"D"
"dota_page_match_details_legend_assists"	"A"
"dota_page_match_details_legend_gold"	"Aur"
"dota_page_match_details_legend_xp_per_min"	"XPM"
"dota_page_match_details_header_duration"	"Durată"
"dota_page_match_details_comment_placeholder"	"Scrie un comentariu..."
"dota_page_match_details_comment_loading_comments"	"Se încarcă comentariile..."
"dota_page_match_details_replay_existence_cdn_found"	"Descarcă reluarea"
"dota_page_match_details_replay_existence_disk_found_replay"	"Vezi reluarea"
"dota_profile_recent_game_header_type"	"Tip"
"dota_profile_recent_game_result_win"	"Victorie"
"dota_profile_recent_game_result_abandon"	"Abandonează"
"dota_profile_recent_game_icon_source1"	"S1"
"DOTA_tooltip_econ_item_rarity_label"	"Raritate: "
"custom_game_team_select_auto_start"	"Pornește Automat"
"custom_game_team_select_join"	"Alătură-te"
"DOTA_GlobalItems_Companions"	"Companioni"
"DOTA_GlobalItems_Couriers"	"Curieri"
"DOTA_GlobalItems_World"	"Global"
"DOTA_GlobalItems_Wards"	"Warduri"
"DOTA_GlobalItems_Interface"	"Interfață"
"DOTA_GlobalItems_Emoticons"	"Emoticon-uri"
"DOTA_GlobalItems_Audio"	"Audio"
"DOTA_GlobalItems_Music"	"Muzică"
"Compendium_DefaultText_CD_Days"	"Zile"
"DOTA_WatchLive_Fullscreen"	"ECRAN ÎNTREG"
"DOTA_JoinChatChannel_ChannelMemberCount"	"Membri"
"DOTA_Chat_ChannelMemberCount"	"{d:channel_member_count}"
"DOTA_GiftWrap_Success_Header"	"Succes"
"DOTA_GiftWrap_Success"	"Cadoul tău a fost trimis."
"DOTA_WatchReplays_Downloading"	"Se descarcă...{i:download_pct}%"
"DOTA_Workshop_SubmissionType_LoadingScreen"	"Ecran de încărcare"
"DOTA_Workshop_BrowseForGeoFilter"	"Modele"
"DOTA_Workshop_BrowseForImageFilter"	"Imagine"
"DOTA_Workshop_BrowseForAnimFilter"	"Animații"
"DOTA_Workshop_BrowseForPsdFilter"	"PSD"
"DOTA_Workshop_SubmissionType_League_Ticket"	"Tichet Ligă"
"DOTA_Workshop_SubmissionType_League_Ticket_Desc"	"O înscriere în atelier pentru a specifica împărțirea veniturilor din bilete de ligă."
}
