"dota"
{
"DOTA_Accept"	"Αποδοχή"
"DOTA_Losses_Singular"	"1 ήττα"
"DOTA_Losses_Plural"	"{d:hero_losses} ήττες"
"DOTA_Profile_TotalGames"	"Συνολικοί αγώνες"
"DOTA_Profile_Solo_MMR"	"Solo MMR"
"DOTA_Profile_Team_MMR"	"MMR ομάδας"
"DOTA_Profile_Party_MMR"	"MMR παρέας"
"DOTA_Profile_VictoryCount"	"Νίκες"
"DOTA_Profile_ProfilePage"	"ΠΡΟΦΙΛ"
"DOTA_Profile_TrophyPage"	"ΤΡΟΠΑΙΑ"
"DOTA_Profile_RecentGamesPage"	"ΠΡΟΣΦΑΤΑ ΠΑΙΧΝΙΔΙΑ"
"DOTA_Profile_HeroPage"	"ΗΡΩΕΣ"
"DOTA_Profile_PlayStyle"	"ΣΤΥΛ ΠΑΙΧΝΙΔΙΟΥ"
"DOTA_Profile_MostRecent"	"Πιο πρόσφατα {s:num_style_games} παιχνίδια"
"DOTA_Profile_RecentActivity"	"Πρόσφατη δραστηριότητα"
"DOTA_Profile_Fighting"	"Μάχη"
"DOTA_Profile_Fighting_TooltipTitle"	"Μάχη"
"DOTA_Profile_Fighting_Tooltip"	"Παίκτες που πολεμάνε σε πολλές μάχες με αντίπαλους ήρωες."
"DOTA_Profile_Farming_Tooltip"	"Παίκτες που μαζεύουν χρυσό σκοτώνοντας πλάσματα."
"DOTA_Profile_Supporting"	"Υποστήριξη"
"DOTA_Profile_Supporting_TooltipTitle"	"Υποστήριξη"
"DOTA_Profile_Supporting_Tooltip"	"Παίκτες που υποστηρίζουν την ομάδα τους με θεραπεία, ward και αντικείμενα."
"DOTA_Profile_Pushing_Tooltip"	"Παίκτες που ασκούν πίεση στους πύργους, βοηθώντας στην εξασφάλιση χώρου."
"DOTA_Profile_Versatility_Tooltip"	"Παίκτες που είναι ευέλικτοι και παίζουν διαφορετικούς ήρωες."
"DOTA_Profile_Tooltip_Value"	"{s:CurrentStatValue}"
"DOTA_Profile_Tooltip_Comparison"	"{s:CurrentComparisonValue}"
"DOTA_Profile_StatsCompare"	"Σύγκριση με τα στατιστικά μου"
"DOTA_Profile_Self"	"Εγώ"
"DOTA_Profile_GPM"	"Μέσος Χ/Λ"
"DOTA_Profile_XPM"	"Μέση Ε/Λ"
"DOTA_Profile_LH"	"Μέσες τελικές επιθέσεις"
"DOTA_Profile_TripleKills"	"Τριπλοί σκοτωμοί"
"DOTA_Profile_CourierKills"	"Σκοτωμένοι μεταφορείς"
"DOTA_Profile_Aegises"	"Κλεψίματα Aegis"
"DOTA_Profile_CheeseEaten"	"Φαγωμένα τυριά"
"DOTA_Profile_GPMValue"	"{s:GPM}"
"DOTA_Profile_XPMValue"	"{s:XPM}"
"DOTA_Profile_LHValue"	"{s:LH}"
"DOTA_Profile_RampagesValue"	"{d:Rampages}"
"DOTA_Profile_TripleKillsValue"	"{d:TripleKills}"
"DOTA_Profile_FirstBloodValue"	"{d:FirstBlood}"
"DOTA_Profile_FirstBledValue"	"{d:FirstBled}"
"DOTA_Profile_CourierKillsValue"	"{d:CourierKills}"
"DOTA_Profile_AegisesValue"	"{d:Aegises}"
"DOTA_Profile_CheeseEatenValue"	"{d:CheeseEaten}"
"DOTA_Profile_CreepStackValue"	"{d:CreepStack}"
"DOTA_Profile_GPMLocalValue"	"{s:GPMLocal}"
"DOTA_Profile_XPMLocalValue"	"{s:XPMLocal}"
"DOTA_Profile_LHLocalValue"	"{s:LHLocal}"
"DOTA_Profile_RampagesLocalValue"	"{d:RampagesLocal}"
"DOTA_Profile_TripleKillsLocalValue"	"{d:TripleKillsLocal}"
"DOTA_Profile_FirstBloodLocalValue"	"{d:FirstBloodLocal}"
"DOTA_Profile_FirstBledLocalValue"	"{d:FirstBledLocal}"
"DOTA_Profile_CourierKillsLocalValue"	"{d:CourierKillsLocal}"
"DOTA_Profile_AegisesLocalValue"	"{d:AegisesLocal}"
"DOTA_Profile_CheeseEatenLocalValue"	"{d:CheeseEatenLocal}"
"DOTA_Profile_CreepStackLocalValue"	"{d:CreepStackLocal}"
"DOTA_RecentGames_Title"	"Πρόσφατα παιχνίδια"
"DOTA_RecentGames_TimeStamp"	"ΗΜΕΡΟΜΗΝΙΑ/ΩΡΑ"
"DOTA_RecentGames_GameResult"	"ΑΠΟΤΕΛΕΣΜΑ"
"DOTA_RecentGames_GameLength"	"ΔΙΑΡΚΕΙΑ"
"DOTA_RecentGames_Team"	"Ομάδα"
"DOTA_RecentGames_GameType"	"ΤΥΠΟΣ"
"DOTA_RecentGames_Items"	"Αντικείμενα"
"DOTA_RecentGame_Timestamp_Entry"	"{t:s:timestamp} {t:t:timestamp}"
"DOTA_RecentGame_Duration"	"{t:d:duration}"
"DOTA_RecentGame_Downloading"	"{s:DownloadPercent} σε λήψη"
"DOTA_RecentGame_Watch"	"Παρακολούθηση επανάληψης"
"DOTA_RecentGame_NoReplay"	"Καμία επανάληψη"
"DOTA_RecentGame_Expired"	"Η επανάληψη έληξε"
"DOTA_RecentGame_Finding"	"Εύρεση..."
"DOTA_RecentGame_Download"	"Λήψη αγώνα"
"DOTA_RecentGame_Pending"	"Εκκρεμής επανάληψη"
"DOTA_RecentGame_Unavailable"	"Μη διαθέσιμη επανάληψη"
"DOTA_RecentGame_MatchID"	"ID αγώνα: #{s:match_id}"
"DOTA_No_Team_Name"	"--"
"DOTA_TrophyCount"	"{d:trophy_count} τρόπαιο"
"DOTA_TrophiesCount"	"{d:trophy_count} τρόπαια"
"DOTA_TrophyCount_Number"	"{d:trophy_count}"
"DOTA_TrophyCount_NoNum"	"Τρόπαιο"
"DOTA_TrophiesCount_NoNum"	"Τρόπαια"
"DOTA_Trophies_ViewAll"	"Όλα"
"DOTA_TrophyName"	"{s:trophy_name}"
"DOTA_TrophyCategory"	"{s:trophy_category}"
"DOTA_TrophyDescription"	"{s:trophy_description}"
"DOTA_TrophyXP"	"{d:trophy_xp} <span class=\"TrophyPointTextSmall\">πόντοι τροπαίου</span>"
"DOTA_NextTrophy"	"Επόμενο βραβείο"
"DOTA_NewPlayerQuestion_Title"	"ΚΑΛΩΣ ΟΡΙΣΑΤΕ ΣΤΟ DOTA 2"
"DOTA_PlayerOriginQuestion_Question"	"Για τη βελτίωση της εμπειρίας παιχνιδιού σας, κοινοποιήστε την εξοικείωση σας με το Dota 2 και παρόμοια παιχνίδια:"
"DOTA_PlayerOriginQuestion_BeginnerButton"	"Είμαι αρχάριος."
"DOTA_PlayerOriginQuestion_RTSButton"	"Έχω παίξει παιχνίδια στρατηγικής (RTS)."
"DOTA_PlayerOriginQuestion_MOBAButton"	"Έχω παίξει παιχνίδι παρόμοιο με το Dota 2."
"DOTA_PlayerOriginQuestion_Dota2Button"	"Έχω παίξει Dota 2."
"DOTA_PlayerOriginQuestion_MOBAExplanation"	"Επιλέξτε το παιχνίδι με το οποίο είστε πιο άνετος:"
"DOTA_OtherGames_LOL"	"League of Legends"
"DOTA_OtherGames_DOTA"	"Dota 1"
"DOTA_OtherGames_HON"	"Heroes of Newerth"
"DOTA_OtherGames_Smite"	"Smite"
"DOTA_OtherGames_Other"	"Άλλο παιχνίδι"
"DOTA_PlayerOriginQuestion_ConfirmationButton"	"ΑΣ ΠΑΙΞΟΥΜΕ"
"DOTA_PlayerOriginQuestion_ConfirmationTutorial"	"Ως νέος παίκτης στο Dota 2, μπορεί να σας ενδιαφέρει η εκμάθηση στο τμήμα Εκμάθηση της καρτέλας Παιχνίδι."
"DOTA_PlayerOriginQuestion_ConfirmationSettings"	"Τα πλήκτρα και οι επιλογές σας έχουν οριστεί με τις πιο συχνά χρησιμοποιούμενες ρυθμίσεις για παίκτες με τη δική σας εμπειρία. Μπορείτε να τις προσαρμόσετε ανά πάσα στιγμή πατώντας στο εικονίδιο ρυθμίσεων."
"DOTA_Tutorial_SkipButton"	"Παράλειψη εκμάθησης"
"DOTA_ConfirmSkip"	"Παράλειψη εισαγωγής Dota 2;"
"DOTA_ConfirmSkipDesc"	"Σίγουρα θέλετε να παραλείψετε την εκμάθηση του Dota 2?"
"DOTA_Tutorial_Start_Quest"	"ΕΚΚΙΝΗΣΗ ΑΠΟΣΤΟΛΗΣ"
"DOTA_Tutorial_Quest0_Title"	"ΑΠΟΣΤΟΛΗ 1"
"DOTA_Tutorial_Quest0DetailsDesc"	"Αυτή η αποστολή θα πάρει περίπου\n10 λεπτά για να ολοκληρωθεί."
"DOTA_Tutorial_QuestDetailsLearn"	"Θα μάθετε:"
"DOTA_Tutorial_Quest0DetailsLesson"	"Κίνηση ήρωα\nΑύξηση επιπέδου ήρωα\nΧρήση ικανοτήτων\nΑντικείμενα\nΒασική μάχη\nΤελικές επιθέσεις"
"DOTA_Tutorial_Quest1_Title"	"ΑΠΟΣΤΟΛΗ 2"
"DOTA_Tutorial_Quest1_TitleDesc"	"ΜΑΧΗ ΜΕΤΩΠΟΥ"
"DOTA_Tutorial_Quest1DetailsDesc"	"Αυτή η αποστολή θα πάρει περίπου\n10 λεπτά για να ολοκληρωθεί."
"DOTA_Tutorial_Quest2_Title"	"ΑΠΟΣΤΟΛΗ 3"
"DOTA_Tutorial_Quest2DetailsDesc"	"Αυτή η αποστολή θα πάρει περίπου\n10 - 15 λεπτά για να ολοκληρωθεί."
"DOTA_Challenges_Title"	"ΕΚΜΑΘΗΣΗ"
"DOTA_ChallengeGroup_0_Title"	"ΜΗΧΑΝΙΣΜΟΙ"
"DOTA_ChallengeGroup_1_Title"	"ΠΑΙΧΝΙΔΙΑ ΜΕ BOT ΜΕ ΚΑΘΟΔΗΓΗΣΗ"
"DOTA_ChallengeGroup_1_Desc"	"Εκκίνηση εδώ!"
"DOTA_ChallengeGroup_2_Title"	"ΠΑΙΧΝΙΔΙΑ ΜΕ BOT"
"DOTA_ChallengeGroup_Locked"	"Κλειδωμένο"
"DOTA_LearnMechanics_Title"	"ΜΗΧΑΝΙΣΜΟΙ"
"DOTA_Mechanics_0_Title"	"Μηχανισμοί 1"
"DOTA_Mechanics_0_Desc"	"Κίνηση ήρωα\nΑύξηση επιπέδου ήρωα\nΧρήση ικανοτήτων\nΑντικείμενα\nΒασική μάχη\nΤελικές επιθέσεις"
"DOTA_Mechanics_1_Title"	"Μηχανισμοί 2"
"DOTA_LearnGuidedBotMatches_Title"	"ΠΑΙΧΝΙΔΙΑ ΜΕ BOT ΜΕ ΚΑΘΟΔΗΓΗΣΗ"
"DOTA_GuidedBotMatches_0_Title"	"Luna"
"DOTA_GuidedBotMatches_1_Title"	"Sven"
"DOTA_GuidedBotMatches_2_Title"	"Lina"
"DOTA_LearnBotMatches_Title"	"ΠΑΙΧΝΙΔΙΑ ΜΕ BOT"
"DOTA_BotMatches_0_Title"	"Εύκολα bot"
"DOTA_BotMatches_0_Desc"	"Εκμάθηση νέου ήρωα."
"DOTA_BotMatches_1_Title"	"Κανονικά bot"
"DOTA_BotMatches_1_Desc"	"Νιώστε άνετα."
"DOTA_BotMatches_2_Title"	"Δύσκολα bot"
"DOTA_BotMatches_2_Desc"	"Προκαλέστε τον εαυτό σας."
"DOTA_BotMatches_3_Title"	"bot μέγιστης δυσκολίας"
"DOTA_BotMatches_3_Desc"	"Βλάψτε τον εαυτό σας."
"FileOpenDialog_Open"	"Άνοιγμα"
"FileOpenDialog_Save"	"Αποθήκευση"
"FileOpenDialog_Select"	"Επιλογή"
"FileOpenDialog_FileType_Folder"	"Φάκελος"
"DOTA_FindMatch"	"Εύρεση αγώνα"
"DOTA_FindingMatch"	"Εύρεση αγώνα ( {s:find_match_time} )"
"DOTA_FindMatchTime"	"{s:find_match_time}"
"DOTA_Searching"	"Αναζήτηση"
"DOTA_StartSoloBotMatch"	"Εκκίνηση αγώνα Bot"
"DOTA_Create_Lobby"	"ΔΗΜΙΟΥΡΓΙΑ"
"DOTA_Join_Lobby"	"Σύνδεση στο λόμπι"
"DOTA_LobbyStartGame"	"Εκκίνηση παιχνιδιού"
"DOTA_ReturnToLobby"	"Πίσω στο λόμπι"
"DOTA_FindMatchStatus"	"{s:searching_matchtype} / {s:searching_gamemodes} / {s:searching_region}"
"DOTA_FindGameModesMany"	"Είδη παιχνιδιού: "
"DOTA_FindRegionsMany"	"Περιοχές: "
"DOTA_GameMode_AllPick"	"All Pick"
"DOTA_GameMode_SingleDraft"	"Single Draft"
"DOTA_GameMode_CaptainsMode"	"Captains Mode"
"DOTA_GameMode_RandomDraft"	"Random Draft"
"DOTA_GameMode_AbilityDraft"	"Ability Draft"
"DOTA_GameMode_LeastPlayed"	"Least Played"
"DOTA_GameMode_AllRandom"	"All Random"
"DOTA_GameMode_LimitedHeroes"	"Limited Heroes"
"DOTA_GameMode_CaptainsDraft"	"Captains Draft"
"DOTA_GameMode_AllRandomDeathMatch"	"All Random Death Match"
"DOTA_ImmediatePurchase_SendFailed"	"Αποτυχία αποστολής αιτήματος αγοράς. Οι διακομιστές του Dota μπορεί να βρίσκονται εκτός σύνδεσης. Προσπαθήστε ξανά αργότερα."
"DOTA_ImmediatePurchase_Success_Title"	"Επιτυχία"
"DOTA_ImmediatePurchase_Success_Text"	"Η αγορά ολοκληρώθηκε επιτυχώς! Τα αντικείμενά σας θα εμφανιστούν στο Οπλοστάσιο σύντομα."
"DOTA_ImmediatePurchase_Cancelled_Title"	"Ακυρώθηκε"
"DOTA_ImmediatePurchase_LateCancel"	"Η αγορά προηγουμένως ακυρώθηκε. Δεν έχετε χρεωθεί."
"DOTA_ConfirmPurchaseTitle"	"Επιβεβαίωση αγοράς"
"DOTA_ConfirmPurchaseText"	"Θέλετε να αγοράσετε αυτό το αντικείμενο;"
"DOTA_PurchaseInProgress_Title"	"Αγορά σε εξέλιξη"
"DOTA_PurchaseInProgress_Text"	"Το αίτημα αγοράς σας επεξεργάζεται."
"DOTA_UnbundleInProgress_Title"	"Ξεπακετάρισμα σε εξέλιξη"
"DOTA_UnbundleInProgress_Text"	"Το πακέτο σας ξεπακετάρεται."
"DOTA_ConfirmUnbundleTitle"	"Επιβεβαίωση ξεπακεταρίσματος"
"DOTA_PartnerPurchase_Purchase"	"{g:dota_item_price:item_def}"
"DOTA_PartnerPurchase_Balance"	"Υπόλοιπο: {m:balance}"
"DOTA_PartnerRecharge_Close"	"Επιστροφή στην αγορά"
"StoreCheckout_Error_Title"	"Σφάλμα"
"StoreCheckout_NoItems"	"Το καλάθι αγορών σας είναι άδειο!"
"StoreCheckout_TooManyItems"	"Έχετε πάρα πολλά αντικείμενα στο καλάθι αγορών σας!"
"StoreCheckout_Loading"	"Ολοκλήρωση αγοράς..."
"StoreCheckout_Unavailable"	"Δεν είναι δυνατή η ολοκλήρωση της αγοράς σας αυτή τη στιγμή."
"StoreCheckout_Cancelling"	"Γίνεται ακύρωση..."
"StoreCheckout_Fail"	"Το Κατάστημα εντός παιχνιδιού είναι προσωρινά κλειστό."
"StoreCheckout_InvalidParam"	"Ένας προγραμματιστής τα έκανε θάλασσα! Μια μη έγκυρη παράμετρος πέρασε στον συντονιστή παιχνιδιού. Επιχειρήστε ξανά την αγορά."
"StoreCheckout_InternalError"	"Παρουσιάστηκε ένα σφάλμα κατά την αρχικοποίηση ή ενημέρωση της συναλλαγής σας. Περιμένετε λιγάκι και προσπαθήστε ξανά ή επικοινωνήστε με την υποστήριξη για βοήθεια."
"StoreCheckout_ContactSupport"	"Υπήρξε ένα σφάλμα με τη συναλλαγή σας. Επικοινωνήστε με την υποστήριξη για βοήθεια."
"StoreCheckout_NotApproved"	"Ο συντονιστής παιχνιδιού δεν μπόρεσε να εγκρίνει τη συναλλαγή σας με το Steam. Προσπαθήστε ξανά την αγορά αργότερα."
"StoreCheckout_NotLoggedin"	"Πρέπει να είστε συνδεδεμένος στο Steam για να ολοκληρώσετε μια αγορά."
"StoreCheckout_WrongCurrency"	"Το νόμισμα της συναλλαγής δεν ταιριάζει με το νόμισμα του πορτοφολιού σας."
"StoreCheckout_NoAccount"	"Ο λογαριασμός σας στο Steam είναι προσωρινά μη διαθέσιμος. Προσπαθήστε ξανά την αγορά αργότερα."
"StoreCheckout_InsufficientFunds"	"Δεν έχετε αρκετά χρήματα για να ολοκληρώσετε την αγορά."
"StoreCheckout_TimedOut"	"Η συναλλαγή σας έληξε. Προσπαθήστε την αγορά ξανά."
"StoreCheckout_SteamAccountDisabled"	"Ο λογαριασμός σας στο Steam είναι απενεργοποιημένος και δεν μπορεί να πραγματοποιήσει αγορές."
"StoreCheckout_SteamAccountNoPurchase"	"Οι συναλλαγές με το πορτοφόλι Steam έχουν απενεργοποιηθεί σε αυτόν το λογαριασμό."
"StoreCheckout_OldPriceSheet"	"Η τοπική λίστα προϊόντων σας δεν είναι ενημερωμένη. Γίνεται λήψη νέας."
"StoreCheckout_TransactionNotFound"	"Η ταυτότητα αυτής της συναλλαγής δε βρέθηκε από το συντονιστή παιχνιδιού. Προσπαθήστε την αγορά σας ξανά."
"StoreCheckout_TransactionCancelled"	"Η συναλλαγή ακυρώθηκε. Δεν έχετε χρεωθεί."
"StoreCheckout_TransactionCompleted"	"Η συναλλαγή ολοκληρώθηκε!\\\nΑπολαύστε τα λάφυρά σας!"
"StoreCheckout_CompleteButUnfinalized"	"Αδυναμία επιβεβαίωσης επιτυχίας. Σε περίπτωση επιτυχίας, τα αντικείμενά σας θα παραδοθούν σε κάποια αργότερη ημερομηνία."
"StoreCheckout_NotEnoughRoom"	"Δεν έχετε αρκετό χώρο στο οπλοστάσιό σας για την αγορά τόσων πολλών αντικειμένων."
"StoreCheckout_ContactSupport_Dialog_Title"	"Προειδοποίηση"
"StoreCheckout_ContactSupport_Dialog_Btn"	"Επικοινωνία"
"StoreCheckout_LimitedQuantityItemsUnavailable"	"Ένα αντικείμενο που προσπαθείτε να αγοράσετε έχει εξαντληθεί ή δεν είναι πλέον διαθέσιμο."
"StoreCheckout_Nexon_InsufficientFunds"	"Δεν έχετε αρκετά χρήματα για να ολοκληρώσετε τη συναλλαγή."
"StoreCheckout_Nexon_FundsLocked"	"Το κλείδωμα μετρητών του Nexon είναι ενεργό."
"npc_dota_hero_broodmother_hype"	"Κρυμμένη σχεδόν αόρατη μέσα στους ιστούς της, η Broodmother γεννά μια στρατιά αραχνιδίων για να οδηγήσει την ομάδα της προς τη βάση των αντιπάλων. Καθώς το θύμα περιπλανιέται κοντά, επιτίθεται μαζί με τα παιδιά της, επιβραδύνοντας και καθιστώντας ανίκανους τους εχθρούς της με τα τσιμπήματά της, καθώς ικανοποιεί την ακόρεστη πείνα της."
"npc_dota_hero_chaos_knight_hype"	"Ο Chaos Knight είναι μια στρατιά από μόνος του. Ικανός να κλητεύσει ένα ιππικό από κλώνους για να συντρίψει τις άμυνες των εχθρών, όταν ο εχθρός του παρουσιαστεί, δημιουργεί ένα ρήγμα στην πραγματικότητα τραβώντας τον ίδιο και τη στρατιά του αρκετά κοντά για να μεταφέρει βάναυσα χτυπήματα εναντίον του."
"npc_dota_hero_dazzle_hype"	"Γεννημένος να υποστηρίζει τις ομάδες του στη μάχη, ο Dazzle κρατά στη ζωή τους τραυματισμένους του συμμάχους έτσι ώστε αργότερα να σπείρουν το θάνατο στον εχθρό. Η παράξενη μαγεία του μετατρέπεται σε κοντινή πανοπλία, που αποδυναμώνει τους εχθρούς και ισχυροποιεί τους συμμάχους."
"npc_dota_hero_death_prophet_hype"	"Όταν εξαπολύει το στρατό φαντασμάτων της, η Death Prophet διακρίνεται στο να καταστρέφει εχθρούς και τις άμυνες τους. Οδηγώντας τις δυνάμεις τις ομάδας της προς την εχθρική βάση με καταστροφικά κύματα από το σμήνος της, η επίθεσή της μπορεί να φανεί ασταμάτητη."
"npc_dota_hero_doom_bringer_hype"	"Με τον έναν ή με τον άλλο τρόπο, ο Doom αποτελειώνει τους εχθρούς του. Καταβροχθίζει τις μονάδες για να ανακτήσει τις διάφορες ικανότητες που είχαν εν ζωή, μπορεί να θέσει μια μακροχρόνια σιγή στις ικανότητες και στα αντικείμενα του αντιπάλου του με την απόλυτη ικανότητά του καθώς κατακαίει τους αντιπάλους του."
"npc_dota_hero_dragon_knight_hype"	"Καθώς παίρνει την φοβερή μορφή του, ο Dragon Knight σπέρνει τον τρόμο σε οποιονδήποτε τον αντικρύζει. Ισχυρός και προσαρμόσιμος, μπορεί να σαστίσει και να κάψει όλους τους εχθρούς που στέκονται μπροστά του, συχνά παρέχοντας στους συμμάχους του την ορμή που χρειάζονται για να τους οδηγήσει στη νίκη."
"npc_dota_hero_earthshaker_hype"	"Είτε εμποδίζοντας την απόδραση των εχθρών, είτε χωρίζοντας τις δυνάμεις τους, είτε διασπώντας το έδαφος κάτω από μαζεμένους εχθρούς, ο Earthshaker είναι στην καλύτερή του όταν χτυπά χωρίς προειδοποίηση. Οτιδήποτε επιβιώσει τους μετασεισμούς έχει να περιμένει ένα χτύπημα από το τρομερό τοτέμ του."
"npc_dota_hero_enchantress_hype"	"Βλαβερή κοντά και θανατηφόρα σε απόσταση, η Enchantress σουβλίζει εχθρούς με επιθέσεις φτιαγμένες να γίνονται πιο καταστροφικές όσο περισσότερο πετάνε. Είτε προκαλεί δυνατές επιβραδύνσεις στους εχθρούς της είτε σαγηνεύει τα πλάσματα του δάσους να πολεμήσουν τις μάχες της, δεν της λείπουν ποτέ τα εργαλεία να κερδίσει μια μάχη."
"npc_dota_hero_lone_druid_hype"	"Πολεμώντας στο πλευρό της πανίσχυρης πνευματικής αρκούδας του, ο Lone Druid συντρίβει αντίπαλες δυνάμεις και κτήρια. Αλλάζοντας όποτε χρειάζεται μεταξύ μακρινών και κοντινών επιθέσεων με τη μεταμόρφωσή του, αν έχει αρκετό χρόνο για να οπλίσει και δυναμώσει τον εαυτό του και το σύντροφο του, δεν μπορούν να γίνουν πολλά για να τους σταματήσουν."
"npc_dota_hero_meepo_hype"	"Κλητεύοντας μέχρι και πέντε μόνιμα αντίγραφα του εαυτού του, ο Meepo μπορεί να πολεμήσει από κάθε μέτωπο με μιάς. Εξαπλώνοντας τους κλώνους του σε όλο το πεδίο της μάχης, όταν βρει έναν εχθρό, τον δένει, μαζεύει τους εαυτούς του με μια αστραπιαία τηλεμεταφορά, έπειτα θάβει ότι έχει απομείνει."
