"novel"
{
	"DOTA_VisualNovel_seasonal_quartero_Actor_Quartero"		"Kvarten"
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-01-ward_Quartero_5"		"Her, la meg rulle ut noen tepper slik at du kan få en bedre titt på mine uvurderlige skatter."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-01-ward_Quartero_6"		"Kan jeg tilby deg noe? Jeg har en boks med sardiner jeg har begynt på, vil du ha en?"
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-01-ward_Quartero_7"		"Ikke? Greit. La oss komme til saken!"
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-01-ward_Quartero_8"		"Jeg burde egentlig ikke gjøre dette, men uansett."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-01-ward_Quartero_9"		"Ser du denne lille fyren? Den er din. Gratis. Bare fordi du var den første kunden i dag."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-01-head_Quartero_0"		"Kan jeg være direkte? Du ser ut som en lasaron, kjære deg."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-01-head_Quartero_1"		"En heroisk en, selvfølgelig, i den vandrende forstand, men la oss være ærlige, også den hjemløse forstand."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-01-head_Quartero_2"		"Heldigvis er det der undertegnede kommer inn. Her, prøv denne voodoomasken."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-01-head_Quartero_3"		"Rent dekorativ. Så lenge du ikke sier noen voodoo-ord til den. Da krymper hodet ditt."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-01-head_Quartero_4"		"Sånn. Ikke rør deg. La meg få se på deg."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-01-head_Quartero_5"		"Å, ja. Ja, ja, ja. Det ... ser ... fantastisk ut!"
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-01-belt_Quartero_0"		"Du har sikkert skjønt det – jeg selger ikke bukser til bønder her."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-01-belt_Quartero_1"		"Nei da, jeg byr på det uvurderlige til det virkelig eksepsjonelle."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-01-belt_Quartero_2"		"Konger, erobrere, halvguder ... helter som deg selv."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-01-belt_Quartero_3"		"Her, prøv på deg dette enorme fallosbeinet."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-01-belt_Quartero_4"		"Hm, ja. Ja, jo – det funker på deg. Det funker på deg."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-01-back_Quartero_0"		"Nå lurer du kanskje på – gitt mitt ganske djevelske utseende ..."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-01-back_Quartero_1"		"Det faktum at disse gjenstandene åpenbart er uvurderlige ..."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-01-back_Quartero_2"		"Det faktum at jeg ikke engang har NEVNT en pris enda ..."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-01-back_Quartero_3"		"Og det faktum at vi står i et veikryss ved midnatt ..."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-01-back_Quartero_4"		"Hva, kort sagt, er HAKEN?"
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-01-back_Quartero_5"		"La meg stramme det beltet for deg. Sånn."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-01-back_Quartero_6"		"Ja. Ja, den ryggplaten ble laget for deg."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-01-back_Quartero_7"		"Det er en ekte hodeskalle kilt inn der, forresten. Jeg kan ikke si hvem den tilhørte, men noen som er VELDIG kjent."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-01-shoulder_Quartero_0"		"Hva er haken, kjære helt? Haken er ... at det IKKE er noen hake."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-01-shoulder_Quartero_1"		"Så, én hake."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-01-shoulder_Quartero_2"		"Alt jeg tilbyr deg her i kveld – blant annet denne lekre kurven med en voodookokosnøtt – er gratis."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-01-shoulder_Quartero_3"		"Ingen forpliktelser. Selv om jeg ville, kunne jeg ikke lagt til en eneste betingelse i denne transaksjonen."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-01-shoulder_Quartero_4"		"Selv et beskjedent ti prosent tips hadde sendt en skarp smerte gjennom knoklene mine. Hva kaller man det ... margen, tror jeg?"
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-01-shoulder_Quartero_5"		"Ja, margdelen hadde blitt om til kokende makk eller noe. Det har skjedd flere ganger, og la meg forsikre deg, det svir noe så inn i hel..."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-01-shoulder_Quartero_6"		"Og deri ligger min tragiske, men fengslende bakgrunnshistorie."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-01-shoulder_Quartero_7"		"Slagg av, her kommer den."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-01-weapon_Quartero_0"		"Her, vi tar med staven. Jeg skal ta et steg tilbake og snu meg rundt, og så late som jeg ser deg for første gang med alt på. Greit, kom igjen."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-01-weapon_Quartero_1"		"Å, det ser fantastisk ut på deg! Jeg insisterer på at du stikker av med hele settet."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-01-weapon_Quartero_2"		"Og som nevnt, legg bort pengene. Jeg vil ikke – KAN ikke – ta en eneste krone."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-01-weapon_Quartero_3"		"Når det gjelder den hjerteskjærende fortellingen jeg lovet deg, er den ganske makeløs. Et smertefullt og ærlig talt ydmykende minne for undertegnede."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-01-weapon_Quartero_4"		"Faktisk hadde jeg ikke tynget deg med den hvis jeg ikke teknisk sett HADDE ..."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-01-weapon_Quartero_5"		"Vel, vi kommer til det."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-02-shoulder_Quartero_0"		"Kan du muligens bøye deg litt ned? La meg få dette skulderklede på deg, og ..."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-02-shoulder_Quartero_1"		"Sånn. Tettsittende og fin."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-02-shoulder_Quartero_2"		"Hvor var jeg? Å ja, min tragiske bakgrunnshistorie. Gjør deg klar for patos, denne kommer til gripe deg om hjerterøttene."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-02-shoulder_Quartero_3"		"Det var en gang, i en fabelverden, i motsetning til den jordnære realistiske verden vi lever i nå, jeg var et medlem av en berømt omreisende gruppe!"
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-02-shoulder_Quartero_4"		"^-2.0Vi var fryktløse! Hensynsløse! Uvørne! Dumdristige! Og hvis du merker at superlativene blir mindre positive og begynner å lene seg mot en uunngåelig og spektakulær undergang ..."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-02-shoulder_Quartero_5"		"Slapp av, vi nærmer oss."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-02-legs_Quartero_0"		"Nei, jeg var ikke tanken som holdt frontlinjen. Heller ikke skarpskytteren som gav støtte fra avstand."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-02-legs_Quartero_1"		"^-1.5Kan du løfte foten litt? Bare støtt deg på meg, jeg er stødig som en eik. Sånn, da var støvlene på."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-02-legs_Quartero_2"		"Nei da, jeg var noe ENDA viktigere! Og enda LENGER bak! Nemlig KVARTERMESTEREN."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-02-legs_Quartero_3"		"^-3.0Den logistiske hjernen bak gruppens kampberedskap med mine kostelige evner innen anskaffelser, reparasjoner og strategisk rasjonering. Jeg ledet angrepet bakfra."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-02-legs_Quartero_4"		"^-1.0Slott, huler og grotter! Det var ingen oppdrag som var for store for oss! Ingen hindringer som ..."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-02-legs_Quartero_5"		"^-2.0Jeg kan se at blikket ditt begynner å vandre, så jeg skal slutte å gå rundt grøten. Det VAR åpenbart et oppdrag som var for stort for oss, så la meg komme til saken."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-02-head_Quartero_0"		"La oss få på deg denne hodepryden. Dette er ekte ostrivianske sumpstrutsefjær, forresten. Eller kanskje pelliviansk skybever. Den er utryddet i alle fall."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-02-head_Quartero_1"		"Tilbake til min tragiske historie. Det gikk skeis helt fra begynnelsen."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-02-head_Quartero_2"		"Bak hver dør, skjeletter. Bak hver hemmelige passasje, skjeletter. Inni hver skattkiste, skjeletter."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-02-head_Quartero_3"		"Det bør jo selvsagt være NOEN skjeletter – det var tross alt et fangehull, men skjeletter per kvadratmeter her var helt urimelig."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-02-head_Quartero_4"		"Så forsvant halvparten av gruppen inn i de uforklarlige skyggene."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-02-head_Quartero_5"		"^-1.0Og selvfølgelig var det skjeletter der også, så vi hørte mye skrik fra de uforklarlige skyggene."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-02-head_Quartero_6"		"Flere skjeletter dukket opp, så klart. Alt gikk fullstendig ad undas."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-02-weapon_Quartero_0"		"Hold an. Jeg vet at det følger et våpen med denne, hvor la jeg – der er den. Morrigans skadefryd!"
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-02-weapon_Quartero_1"		"Pass på, det er skarpt. Og det gløder. Jeg ville nok ikke latt de glødende delene berøre huden hvis jeg var deg, plukk det opp med hjaltet. Vær så god."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-02-weapon_Quartero_2"		"Her er problemet: Kunne jeg ha fått alle sammen tilbake til full helse med de uvurderlige styrkedrikkene jeg hadde i tasken? Eller gitt dem et førsteklasses våpen, som det glødende stykket du svinger rundt akkurat nå?"
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-02-weapon_Quartero_3"		"Teknisk sett, ja. Og enda mer teknisk sett, spurte de."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-02-weapon_Quartero_4"		"Men ærlig talt, de hadde ikke klart seg. Det var mer grottekrabbing enn grottevandring for å si det sånn."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-02-weapon_Quartero_5"		"Så for å gjøre en lang historie kort, fattet undertegnede en klok avgjørelse ..."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-02-weapon_Quartero_6"		"... om å hamstre forsyningene."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-03-arms_Quartero_0"		"Drakons gjerning. Du har ikke sluppet den av syne siden du kom hit."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-03-arms_Quartero_1"		"Ja, den er gratis og ja, du kan få den."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-03-arms_Quartero_2"		"Men Drakons gjerning er smykket i samlingen min, så jeg håper du setter pris på den."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-03-arms_Quartero_3"		"Jeg hadde aldri gitt fra meg noe så verdifullt hvis jeg ikke ble tvunget til det av forbannelsen."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-03-arms_Quartero_4"		"Jeg avslører min egen tragiske bakgrunnshistorie. La meg skynde meg så jeg ikke røper flere vendinger."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-03-arms_Quartero_5"		"Til slutt var det bare meg. Og sjefsmonsteret i grotten. En av de enorme uforståelige skrekkgreiene, du kjenner typen."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-03-arms_Quartero_6"		"Munner der øynene skal være og omvendt. Jeg hadde absolutt ikke tenkt å slåss mot den jækla tingen."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-03-arms_Quartero_7"		"Jeg var på vei mot utgangen da ... den stoppet meg."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-03-arms_Quartero_8"		"Og stirret OLMT på meg med tusenvis av glødende øyeepler."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-03-head_Quartero_0"		"Hvis du bare lener deg litt fram, kan jeg få dette hodeplagget på deg."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-03-head_Quartero_1"		"Huff, dette føles som om det veier førti kilo. Det kan ikke være bra for ryggen."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-03-head_Quartero_2"		"^-2.0Hvor var jeg, sjefsmonster, stoppet meg, olmt blikk, øyeepler. Til å være en eldgammel og nifs skrekk, hadde han noen VELDIG sterke ord til undertegnede om tilnærmingen min til samarbeid."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-03-head_Quartero_3"		"Han virket å tro at jeg var en slags grådig feiging."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-03-head_Quartero_4"		"^-1.0Han feilbedømte meg helt, selvfølgelig, men han hadde også pakket meg inn i skitne tentakler i bunnen av grotten hans, så hva skulle jeg gjøre? I alle fall FORBANNET han meg."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-03-head_Quartero_5"		"Han insisterte på at det ikke var en forbannelse. Mer en slags moralsk irettesettelse."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-03-legs_Quartero_0"		"Det viste seg rett og slett at på grunn av det han anså som forferdelige grådighet og feighet, kunne jeg aldri beholde noe verdifullt igjen."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-03-legs_Quartero_1"		"Jeg er dømt til å bruke livet på å gi bort alle de dyrebare tingene mine – og jeg snakker om virkelig fine ting her – til helter som deg selv."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-03-legs_Quartero_2"		"Apropos, disse kneplatene er i massivt gull, så ikke fall på kne i dem, for da lager du riper."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-03-legs_Quartero_3"		"Hm. Ja, jeg hører knirkingen også. Du må nok bare ha dem på en stund. Du må gå inn skinnet."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-03-shoulders_Quartero_0"		"Disse skulderplatene er forresten i bronse. Hvis jeg måtte gjette, veier de ikke mer enn nitti kilo."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-03-shoulders_Quartero_1"		"Ikke et problem for en tøff helt som deg, så klart."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-03-shoulders_Quartero_2"		"Men hvis du begynner å føle en lammende smerte i skuldrene, kan det godt være på grunn av skulderplatene. Ta dem med hit igjen, så kan vi hule ut litt av bronsen."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-03-shoulders_Quartero_3"		"Hvor var jeg? Stemmer. Forbannet til evig tid av en protoplasmisk skrekk til å gi bort alle eiendeler."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-03-shoulders_Quartero_4"		"Og den verste delen? Bare så du ikke forveksler denne gaveutdelingen med faktisk raushet ..."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-03-shoulders_Quartero_5"		"Jeg er OGSÅ dømt til å forklare den besværlige opprinnelsen til situasjonen for alle som spør."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-03-shoulders_Quartero_6"		"Samt alle som ikke spør."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-03-shoulders_Quartero_7"		"SOM JEG NETTOPP HAR GJORT! I tilfelle noen eldre skrekker hører på som forrige gang ..."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-03-back_Quartero_0"		"Sånn gikk det til. Kvarten den tidligere kvartermesterens tragiske fortid."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-03-back_Quartero_1"		"Dømt til å gi bort uvurderlige skatter til alle og enhver som ser noenlunde heroiske ut."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-03-back_Quartero_2"		"Og dessuten dømt til å dele den ganske ydmykende bakgrunnshistorien, enten man ber om den eller ei."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-03-back_Quartero_3"		"Hjerteskjærende saker. For meg, selvsagt."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-03-back_Quartero_4"		"Snakk om røverkjøp. Hvis en vekter hadde sett noe av dette, ville han ha anklaget deg for landeveisran."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-03-back_Quartero_5"		"Apropos, hvordan passer det bakstykket? Det er ekte bronse, som skulderplatene. 230 kilo, sikkert. Men du kommer knapt til å kjenne vekten når du først har begynt å bevege deg."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-03-back_Quartero_6"		"Jeg ville nok ha beveget meg mest i skyggen om jeg var deg. Den der bronsen kan bli ganske varm i solen."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-03-weapon_Quartero_0"		"Nå kommer vi til hovedstykket – lansen fra Drakons gjerning. Intet stridsantrekk ville vært komplett uten."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-03-weapon_Quartero_1"		"SVISJ! VOSJ! SVOSJ! Se hvordan den skjærer gjennom luften!"
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-03-weapon_Quartero_2"		"Et skremmende instrument i stand til et slik blodbad at man nesten ville følt seg beæret over å ha vært på motsatt side."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-03-weapon_Quartero_3"		"Vel, kjære deg. Det var alt jeg hadde. Det siste av utstyret mitt, og ... ja, der er det. Siste rest."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-03-weapon_Quartero_4"		"Og så, med historien fortalt og skatter utdelt, har denne avlastningen nådd sin naturlige slutt."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-03-weapon_Quartero_5"		"Nå overlater jeg deg til din skjebne ... FARVEL!"
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-03-weapon_Quartero_6"		"Og den skjulte reisemåten er i ustand igjen, så jeg må pakke sammen og reise som en vanlig, synlig idiot."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-03-weapon_Quartero_7"		"Å! Kanskje jeg kommer tilbake for enda en avlastning før månen blir full ... om to ... nei, tre ... om noen måneder? Kanskje jeg kommer tilbake om noen måneder med flere ting?"
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-03-weapon_Quartero_8"		"KANSKJE DET, KANSKJE! FARVEL!"
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-03-weapon_Quartero_9"		"Å ja. Finn veien ut selv."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-04-arms_Quartero_0"		"Å, du er tilbake. Jeg har allerede rullet sammen alle teppene, for jeg ventet deg ikke ... til denne tiden."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-04-arms_Quartero_1"		"Hva er klokka? Bare innbiller jeg meg at klokka er tre på ..."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-04-arms_Quartero_2"		"Nei, den er det. Den er tre på natta."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-04-arms_Quartero_3"		"Men, hei! Hva kan jeg hjelpe deg med?"
