"lang"
{ 
	"Language" "hungarian" 
	"Tokens" 
	{

//INTRODUCTORY LOADSCREEN TIPS		(0 to 25 games played)
		"dota_tip_introduction_1"		"Próbálj a csapatod tornyainak hatósugarában harcolni a creepekkel és az ellenséges hősökkel."
		"dota_tip_lore_8"					"Az Aeon Disk állítólag az Elefántcsont Keltetőből lett kicsempészve."
		"dota_tip_lore_9"					"A Crimson Guard egy eredetileg a rettegett Évi Bestia elleni védelemül készült mellvért."

//UNIVERSAL LOADSCREEN TIPS		(25+ games played)
		"dota_tip_universal_1"				"A bemondók és HUD-külsők a meccsen részt vevő összes játékossal megosztásra kerülnek. Az Eredménytáblán található Megosztott tartalmak gombbal választhatsz közülük."
		"dota_tip_universal_2"				"Ne húzd fel magad. Ne feledd, ez csak játék!"
		"dota_tip_universal_3"				"Lenémíthatod a goromba játékosokat a felső sáv bal oldalán lévő gombok használatával elérhető Eredménytáblán."
		"dota_tip_universal_4"				"Miután kiválasztottad hősödet, a bal alsó sarokban lévő minitérképre kattintva tudathatod csapattársaiddal, melyik vonalat szándékozod használni a játék kezdetekor."
		"dota_tip_universal_5"				"Élvezted a játékot valakivel? Dicsérd őt a Dícséret ikonra kattintva a neve fölött a játék utáni áttekintésben."
		"dota_tip_universal_6"				"Az Alt billentyűt lenyomva tartva rákattinthatsz egy képességre, hogy tájékoztasd csapattársaidat a képesség újratöltődésének jelenlegi állapotáról."
		"dota_tip_universal_7"				"Tájékoztathatod a csapattársaidat arról, hogy egy ellenséges hős hiányzik, ha az Alt billentyűt lenyomva tartva rákattintasz e hős portréjára a felső sávban."
		"dota_tip_universal_8"				"Mindig légy udvarias, különösen a csapattársaiddal! Az emberek kevésbé figyelnek olyanokra, akik gorombák másokkal."
		"dota_tip_universal_9"				"A meccset elhagyó játékosok büntetést kapnak."
		"dota_tip_universal_10"				"Bárki vásárolhat wardokat, Dustot és Smoke-ot. Ha a csapatodnak szüksége van valamire, ne habozz azt megvenni!"
		"dota_tip_universal_11"				"Légy kedves az új játékosokhoz. Mindenkinek el kell kezdenie valahol."
		"dota_tip_universal_12"				"Sok szerencsét! Jó szórakozást!"
		"dota_tip_universal_13"				"Számít a hősválasztás. Számos hős hatásos más hősökkel szemben, és sok hőskombináció messze erősebb és hasznosabb, mint bármely hős egymagában."
		"dota_tip_universal_14"				"A Shift lenyomva tartásával sorban végrehajtandó utasításokat adhatsz ki."
		"dota_tip_universal_15"				"Hallasd a hangod! Látogasd meg a Dota 2 Műhelyt és szavazz azokra a tárgyakra, melyeket szívesen látnál értékesítve a Dota 2-ben."
		"dota_tip_universal_16"				"Az általános tárgyak hozzáadhatók a keverési listához, ezáltal az adott helyre minden meccsen véletlenszerűen másik tárgy kerül kiválasztásra."
		"dota_tip_universal_17"				"A pozitív megerősítés sokat segíthet a győzelem elérésében."
		"dota_tip_universal_18"				"Jobban kedveled a hősök arcait látni a minitérképen, mint a színkódos megjelölést? A beállítások menüben beállíthatod ezt."
		"dota_tip_universal_19"				"Ne felejts el felállni és nyújtózni egyet a meccsek között!"
		"dota_tip_universal_20"				"Ne feledd: mindenkinek vannak rossz meccsei. Mindenki hibázik néha."
		"dota_tip_universal_21"				"Szeretnéd, hogy a minitérkép a képernyő másik oldalán jelenjen meg? Beállíthatod ezt a beállítások menüben."
		"dota_tip_universal_22"				"A beállítások menüben megadhatod, hogy milyen gyakran hallassák a hősök a hangjukat."
		"dota_tip_universal_23"				"Profilod Előzmények fülén le tudod tölteni meccsvisszajátszásaidat. A fejlődés egyik jó módja meccseidet új nézőpontból nézni!"
		"dota_tip_universal_24"				"Az Alt-ot lenyomva tartva rákattinthatsz egy képességre vagy tárgyra, így tudatva csapattársaiddal, hogy az használható, újratöltődik, vagy nincs elég manád a használatához."
		"dota_tip_universal_25"				"Elhallgattatva is használhatsz tárgyakat, de elnémítva nem."
		"dota_tip_universal_26"				"Véletlenül megszakítottad a Town Portal Scrollt? A beállítások menüben van egy lehetőség, hogy szükséges legyen egy Állj parancs a teleportálás megszakításakor."
		"dota_tip_universal_27"				"Az Alt-ot lenyomva tartva és egy ellenséges hős felszerelésében lévő tárgyra kattintva figyelmeztetheted csapatodat, hogy az ellenségnek van olyan tárgya."
		"dota_tip_universal_28"				"Az Alt lenyomva tartásával a Visszavétel gombodra vagy az aranyadra kattintva értesítheted csapatodat a visszavételed állapotáról."
		"dota_tip_universal_29"				"All Pickben azok a játékosok, akik nem választottak hőst az idő lejárta előtt, kezdőaranyat kezdenek veszíteni."
		"dota_tip_universal_30"				"A Dota 2 mindig fejlődik. Új funkciók kerülnek bele, új hősök kerülnek bemutatásra és meglévő hősök és játékmechanikák kerülhetnek módosításra. Tarts lépést a legújabb frissítésekkel a Dota 2 blogon!"
		"dota_tip_universal_31"				"Légy óvatos, nehogy még több ellenséget szerezz, mint az az öt, akikkel már így is szembenézel."
		"dota_tip_universal_33"				"Ha szükséges, a beállítások menüben elérhető egy színtévesztő beállítás."
		"dota_tip_universal_34"				"Az Alt-ot lenyomva tartva és egy ellenséges hős élet- és manacsíkjára kattintva, vagy akár sajátodra, tudatni fogja csapatoddal azon hős jelenlegi életét és manáját."
		"dota_tip_universal_35"				"Tájékoztathatod a csapattársaidat a hősödön lévő aktív erősítésekről és gyengítésekről, ha az Alt billentyűt lenyomva tartva rákattintasz az ikonjaikra; ez ellenséges hősökön is működik."
		"dota_tip_universal_36"				"Ha lenyomva tartod az Alt billentyűd, és rákattintasz a Glyph of Fortificationre, tájékoztathatod a csapatodat a pillanatnyi státuszáról. Ha azt akarod mondani a csapatodnak, hogy ne használjátok a Glyph-t, tartsd lenyomva a Control-t és az Alt-ot is, miközben a Glyphre kattintasz."
		"dota_tip_universal_37"				"Az Alt-ot lenyomva tartva, és az újraéledési idődre kattintva tájékoztathatod csapatodat, mennyi idő múlva éledsz újra."
		"dota_tip_universal_38"				"Használd a Csevegőkorongot, hogy gyorsan előre kiválasztott üzeneteket küldj csapattársaidnak. A csevegőkorong-kifejezések testreszabhatók a beállítások menüben."
		"dota_tip_universal_39"				"A Csevegőkorong üzenetei le vannak fordítva, hogy azon a nyelven jelenjenek meg, amit a céljátékos használ."
		"dota_tip_universal_40"				"Rendelj képességeket a gyors-varázsláshoz, hogy egyetlen gombnyomással használhass képességeket az egérmutató helyén."
		"dota_tip_universal_42"				"A publikus meccseid adatait elérhetővé teheted harmadik fél általi összegyűjtésre a beállítások menüben."
		"dota_tip_universal_43"				"A beállítások menüben megadhatod, hogy a tárgyak és képességek automatikusan hősödre varázsolódjanak duplán kattintva a képességikonra vagy kétszer megnyomva a hozzárendelt billentyűt."
		"dota_tip_universal_44"				"Sose add fel! Egy ellenséges hős megölése több aranyat és tapasztalatot ér, ha a csapatod kevésbé erős, mint az ellenfeleid."
		"dota_tip_universal_45"				"Mindenki felelőssége, hogy megpróbálja a Dota közösségét barátságos és csábító hellyé varázsolni a versengéshez."
		"dota_tip_universal_46"				"Szeretnéd látni, hogy játsszák a Dotát a profik? Kövesd a világ körül zajló számos Dota 2 bajnokságot. Akár pár új trükköt is tanulhatsz a kedvenc hősödhöz."
		"dota_tip_universal_47"				"Az automatikus támadást kikapcsolhatod a Beállítások menüben."
		"dota_tip_universal_49"			"Egy ellenséges őrtorony vagy barakk elpusztítása általában hasznosabb a csapatod számára, mint egy ellenséges hős lemészárlása."
		"dota_tip_universal_50"			"Ha nyugodt és udvarias vagy, sokkal sikeresebben motiválhatod csapattársaidat."
		"dota_tip_universal_51"			"A nyugodt játékos szinte mindig jobb döntést hoz."
		"dota_tip_universal_52"			"Egy lépéssel mindig előre tervezz!"
		"dota_tip_universal_53"			"A vereségből is tanulhatsz következő győzelmedhez."
		"dota_tip_universal_54"			"Használd a „Hősök” fülön elérhető „Hőskipróbálás” funkciót, hogy megtanulj új hősökkel játszani, gyakorold az utolsó találatok bevitelét, vagy új megjelenést alkoss kedvenc hősödhöz."
		"dota_tip_universal_55"			"A beállítások menüben található „Képesség-távolságmérő” bekapcsolásával láthatod varázslataid varázslási távolságát."
		"dota_tip_universal_56"			"Ne félj kísérletezni, ismeretlen hősökkel játszva."
		"dota_tip_universal_57"			"A Dota a barátaiddal a legélvezetesebb."
		"dota_tip_universal_58"			"Ne habozz lenémítani egy goromba játékost!"
		"dota_tip_universal_59"			"Ne ragadj le hibáidnál! Tanulj belőlük, és lépj tovább!"
		"dota_tip_universal_60"			"Fél szemed mindig a minitérképen legyen!"
		"dota_tip_universal_61"			"Ha játékmeneti akadozást tapasztalsz a hangos csevegés használatakor, próbáld meg bekapcsolni a beállítások menüben található „Hatékony adásgomb-módot”."
		"dota_tip_universal_62"			"A játék kezdetén Adomány rúnák jelennek meg, és 3 percenként újra létrejönnek."
		"dota_tip_universal_63"			"Az esetek többségében vonali creepek ölésével gyorsabban lehet aranyat és tapasztalatot szerezni, mint dzsungelbeli creepek ölésével."
		"dota_tip_universal_64"			"Az aktív Backdoor védelemmel rendelkező épületek az életerőcsíkjuk melletti pajzs ikonról ismerhetők fel. Az épület támadásakor láthatóvá válik körülötte a kék védőpajzs is."
		"dota_tip_universal_65"			"A tornyok, az Ősök és a Forrás igazlátást biztosítanak, felfedve a közeli láthatatlan egységeket. A barakkok, a Figyelők és az elfoglalt helyőrségek nem biztosítanak igazlátást."
		"dota_tip_universal_66"			"Az ostromló creepek többletsebzést okoznak a tornyokon, és amikor lehet, az ellenséges épületeket veszik célba."
		"dota_tip_universal_67"			"Ha nehézségeid vannak egy bizonyos hőssel szemben, próbálj meg játszani vele. Gyorsan meg fogod tudni a gyengéit."
		"dota_tip_universal_68"			"Minden torony páncélbónuszt biztosít a közeli szövetségeseknek; az 1-es szintű tornyok 3 páncélt, az összes többi torony pedig 5 páncélt."
		"dota_tip_universal_69"			"A Némított állapot meggátolja a hőst a tárgyhasználatban."
		"dota_tip_universal_70"			"Az Elhallgattatott állapot meggátolja a hőst a képességhasználatban."
		"dota_tip_universal_71"			"A Break állapot kikapcsolja a hősök passzív képességeit."
		"dota_tip_universal_73"			"A Healing Salve-ok és Clarityk hatását csak a hősök és Roshan szakítják meg."
		"dota_tip_universal_74"			"Az Alt nyomva tartása mellett a térképre kattintva helyzetfüggő értesítést küldesz csapattársaidnak."
		"dota_tip_universal_76"			"Az ősi creepek nagyobb valószínűséggel dobnak Semleges Zsetonokat."

//BEGINNER LOADSCREEN TIPS		(25 - 150 games played)
		"dota_tip_beginner_1"					"Ha észreveszed, hogy egy ellenséges hős hiányzik a vonaladról, értesítsd a csapattársaidat az \"Eltűnt felülről/középről/alulról!\" kifejezéssel. Ez akár társaid életét is megmentheti."
		"dota_tip_beginner_2"					"Továbbfejlesztheted képességeidet a Control nyomva tartásával és a képesség gyorsbillentyűjének lenyomásával."
		"dota_tip_beginner_3"					"Helyezz le Wardokat, és aktiválj gazdátlan Figyelőket a térkép részeinek felfedéséhez, és hogy jobban tisztában légy az ellenséges csapat mozgásával."
		"dota_tip_beginner_4"					"A futárod tárgyakat tud szállítani, így a vonalakon maradhatsz tapasztalatot és aranyat gyűjteni."
		"dota_tip_beginner_5"					"A Sentry Wardok közeli láthatatlan egységeket és ellenséges Wardokat is felfednek."
		"dota_tip_beginner_7"					"Roshant sokkal könnyebb megölni, ha meggyengíted a Páncélját."
		"dota_tip_beginner_10"				"A Shift lenyomva tartása és a tárgyakra kattintás a gyorsvételhez adja azokat."
		"dota_tip_beginner_11"				"Ha te méred az utolsó csapást egy toronyra, több aranyat kapsz az elpusztításáért."
		"dota_tip_beginner_12"				"A \"Biztonságos Vonal\" a leghosszabb vonal a folyó csapatod felőli oldalán. A Dire számára ez a felső vonal. A Radiant számára ez az alsó vonal."
		"dota_tip_beginner_13"				"A \"Nehéz Vonal\" a legrövidebb vonal a folyó csapatod felőli oldalán. A Dire számára ez az alsó vonal. A Radiant számára ez a felső vonal."
		"dota_tip_beginner_15"				"A több csizma adta sebességbónusz nem adódik össze. Nem számít, hogy az általad választott hősnek hány lába van, csak egy pár csizmára van szükséged."
		"dota_tip_beginner_16"				"Megnézheted egy ellenséges hős felszerelését és képességeit, kiválasztva őt."
		"dota_tip_beginner_17"				"Gyakran jó ötlet magadnál tartani egy Town Portal Scrollt."
		"dota_tip_beginner_18"				"Sok titkos ösvény van a fák között, melyeket gyakran \"juke spot\"-nak hívnak. Használd ezeket támadások előli menekülésre, vagy csapdaállításra."
		"dota_tip_beginner_19"				"Használj Dust of Appearance-t közeli láthatatlan ellenségek felfedésére és lelassítására."
		"dota_tip_beginner_20"				"A folyóban a hatodik perc után kétpercenként erőnövelő rúna jelenik meg, a középső vonal északi vagy déli végén."
		"dota_tip_beginner_21"				"Ha van nálad egy Bottle, egy rúna felvételekor az eltárolódik későbbi használatra. Adomány, Bölcsesség vagy Víz rúna tárolása a Bottle két töltetét is helyreállítja, az erőnövelő rúnák pedig teljesen feltöltik azt."
		"dota_tip_beginner_22"				"Választhatod hősödnek a számos játékos-készítette összeállítás valamelyikét a felső sáv bal oldalán levő Hős-összeállítások gomb használatával."
		"dota_tip_beginner_25"				"Ellenőrizd gyakran minitérképed! Esetleg felfedezheted, hogy mindjárt rajtad ütnek."
		"dota_tip_beginner_26"				"Gyakran a legjobb módja, hogy egy hős gyenge pontjait megismerd, ha te magad játszol vele egy meccset."
		"dota_tip_beginner_28"				"Az ellenség barakkjait elpusztítva csapatod creepjei megerősödnek azon a vonalon."
		"dota_tip_beginner_29"				"A tornyok látják és megtámadják a láthatatlan egységeket."
		"dota_tip_beginner_31"				"Legyél pozíciód tudatában, mikor creepeket támadsz. Lehet, hogy veszélyes helyre tolod előre csapatod creepjeit és magadat."
		"dota_tip_beginner_33"				"Több sziklatetőn speciális jelölések vannak, melyek a jó helyeket jelölik Observer Ward-ok lehelyezéséhez."
		"dota_tip_beginner_36"				"A csapatod kútja közelében életed és manád gyorsan visszatöltődik."
		"dota_tip_beginner_40"				"Az erő növeli a maximális életerőt és az életerő-töltődést. Az ügyesség növeli a páncélt és a támadási sebességet. Az intelligencia növeli a maximális manát, a manatöltődést és a mágiaellenállást."
		"dota_tip_beginner_41"				"A Titkos Bolt valójában nem is titkos."
		"dota_tip_beginner_42"				"A „Végjátékos (Carry)” olyan a hős, aki lassan kap erőre, a játék végén válva erőssé. A „Támogató (Support)” hős gyakran a játék korai szakaszában a legerősebb, és később a csapata hatékonyságát növeli."
		"dota_tip_beginner_43"				"Amennyiben a hősöd közel van egy öléshez, amikor megtörténik, tapasztalatot fogsz szerezni."
		"dota_tip_beginner_44"				"Időlegesen megerősítheted épületeidet és creepjeidet a Glyph of Fortificationt használva, mely megvédi őket minden sérüléstől. Használd bölcsen, mert nagyon hosszú az újratöltődési ideje."
		"dota_tip_beginner_45"				"Town Portal Scroll használata lehetővé teszi a bármelyik szövetséges épülethez teleportálást. A Boots of Travellel bármelyik szövetséges nem hős egységhez is teleportálni tudsz, a Boots of Travel 2-vel pedig bármelyik szövetséges hőshöz is."
		"dota_tip_beginner_47"				"Amikor Tangót használsz, az életerő-újratöltődés mindig ugyanakkora, függetlenül az elfogyasztott fa méretétől."
		"dota_tip_beginner_48"				"Számos weblap és videó létezik, melyek segíthetnek többet megtanulni az általános taktikákról, csapat-összeállításról, és stratégiákról kedvenc hőseidhez."
 		"dota_tip_beginner_49"				"Egy csapattárson használva Tangóid egyikét oda tudod neki adni. De tudd, mikor érdemes odaadni, mert a megosztott Tangók egy idő után eltűnnek (ha nem használják fel őket)."
		"dota_tip_beginner_50"				"A Healing Salve-okat és Clarityket használhatod csapattársaidon is. Oszd meg a szeretetet!"
		"dota_tip_beginner_53"				"Roshan barlangjaiban nem lehet Observer és Sentry Wardokat lehelyezni."
		"dota_tip_beginner_54"				"A fel nem vett erőnövelő rúnák két perc után eltűnnek."
		"dota_tip_beginner_55"				"A creepek megölésével való aranyszerzést gyakran „farmolásnak” nevezik."
		"dota_tip_beginner_56"				"Halálkor a hősök bizonytalan aranyat veszítenek, valamint aranyat és TP-t adnak megölőiknek. Próbáld elkerülni a halált, és öld meg az ellenséges hősöket, amikor csak lehet!"
		"dota_tip_beginner_57"				"Mindegyik dzsungelben jelennek meg Adomány rúnák. A nulladik perctől kezdve, hárompercenként jelennek meg. Az első megjelenésükkor azok jelennek meg a folyó mindkét erőnövelő rúnahelyén is."


//INTERMEDIATE LOADSCREEN TIPS		(75+ games played)
		"dota_tip_intermediate_1"			"A 2-es és magasabb szintű tornyoknak többszörös támadásuk van, amikor a Glyph of Fortification aktív. Legfeljebb négy további célpontot támadnak, a legközelebbi egységeket részesítve előnyben."
		"dota_tip_intermediate_2"			"A hátizsákodban vagy a talonodban levő tárgyak a normál sebességük felével töltődnek újra."
		"dota_tip_intermediate_3"			"Miután Roshant megölték, a halálát követő 8. és 11. perc között, egy véletlen időpontban fog újraéledni."
		"dota_tip_intermediate_4"			"A semleges creepek az egy perces jelnél születnek, majd ezt követően percenként."
		"dota_tip_intermediate_6"			"Bizonyos varázslatok kikerülhetőek a Blink Dagger használatával vagy láthatatlanná válással."
		"dota_tip_intermediate_8"			"A magaslati pozíció előnnyel jár számodra, mivel az ellenség elvétheti a támadásait, vagy szem elöl téveszthet a háború ködében."
		"dota_tip_intermediate_9"			"A Pipe of Insight használata mágikus sebzés elleni védőpajzsot ad neked és szövetségeseidnek, ami enyhíti az ellenséges hősök varázslatsebzését."
		"dota_tip_intermediate_10"			"Az Assault Cuirass növeli a közeli csapattársak páncélját és támadási sebességét, és csökkenti a közeli ellenségek páncélját."
		"dota_tip_intermediate_11"			"Amikor egy torony támadása alatt állsz és megtámadsz egy barátságos creepet, akkor a torony új célpontot választ."
		"dota_tip_intermediate_12"			"Egy Ward vagy egy egység elhelyezése egy semleges creep-tábor közelében megakadályozhatja, hogy azon tábor teremtményei percenként újraéledjenek."
		"dota_tip_intermediate_13"			"A Monkey King Bar pontosságot biztosít számodra, ami gyakran megakadályozza az ellenséges hősöket támadásaid elkerülésében, még ha hegynek felfelé is támadsz."
		"dota_tip_intermediate_14"			"Duplán kattintva a Blink Daggerre automatikusan a csapatod kútja felé blinkelsz."
		"dota_tip_intermediate_15"			"A halál küszöbén álló baráti creepeket te is támadhatod. Tedd ezt annak megakadályozására, hogy ellenséged aranyat nyerjen az utolsó találatokból."
		"dota_tip_intermediate_16"			"A mágikus sebzés csökkenthető mágiaellenállást adó tárgyakkal."
		"dota_tip_intermediate_17"			"A fizikai sebzés csökkenthető páncélt adó tárgyakkal."
		"dota_tip_intermediate_18"			"A tiszta sebzést nem csökkenti a páncél vagy a mágiaellenállás."
		"dota_tip_intermediate_20"			"Az elsődleges tulajdonság megváltoztatása a Power Treads-en megtörheti a láthatatlanságot, valamint megszakít bármilyen fenntartott varázslatot, mint például a Town Portal Scroll használata."
		"dota_tip_intermediate_21"			"Az összes semleges creep kicsalogatása percváltáskor egy adott táborból lehetővé teszi, hogy az a tábor újraéledjen. Használd ezt ki, hogy maximalizáld az általad megölt creepek számát."
		"dota_tip_intermediate_22"			"A Ctrl billentyű lenyomva tartásával használhatod a Bottle élettöltését egy szövetséges hősön. A bepalackozott rúnákat azonban nem oszthatod meg."
		"dota_tip_intermediate_23"			"Beszorítottak a bázisodra? Továbbra is vásárolhatsz a Titkos Boltból, ha odaküldöd a futárod. De légy óvatos, nehogy az ellenség erői közé küldd."
		"dota_tip_intermediate_24"			"Amikor nincsenek ellenséges creepek a közelükben, a tornyok és a barakkok Backdoor védelemmel rendelkeznek, mely csökkenti az elszenvedett sebzésüket, és lehetővé teszi életerő-visszatöltődésüket."
		"dota_tip_intermediate_25"			"A Quelling Blade többletsebzése csak a vonali és a semleges creepeken érvényesül."
		"dota_tip_intermediate_26"			"A sebzéskivédési értékek a Vanguardon vagy a Crimson Guardon a pajzsot viselő hős típusára utalnak, nem a támadó típusára."
		"dota_tip_intermediate_27"			"A Dagon és a Boots of Travel továbbfejleszthető a receptjük újbóli megvásárlásával."
		"dota_tip_intermediate_28"			"Csapattársadnak odaadhatsz egy wardot, ha nyomva tartod a Controlt, rákattintasz a wardra a felszerelésedben, majd a csapattársadra kattintasz."
		"dota_tip_intermediate_29"			"A Blink Dagger és a Force Staff használható szirtoldalak megmászására."
		"dota_tip_intermediate_30"			"Használj Quelling Blade-et vagy Battle Furyt fák ledöntéséhez, és vágj magadnak saját ösvényt az erdőn keresztül."
		"dota_tip_intermediate_31"			"Az illúziók és a creepek nem fogják eloszlatni a Smoke of Deceitet, csak az ellenséges hősök és tornyok."
		"dota_tip_intermediate_33"			"Az Alt lenyomva tartása kiegészítő információt jelenít meg számos képesség és tárgy leírásában."
		"dota_tip_intermediate_34"			"A barakkok nem tudnak láthatatlan egységeket vagy wardokat felfedni."
		"dota_tip_intermediate_35"			"A visszavételnek 8 perces újratöltődési ideje van."
		"dota_tip_intermediate_36"			"Az Erő, Ügyesség és Intelligencia hősök 1 támadási sebzést kapnak elsődleges tulajdonságuk minden pontja után. Az Univerzális hősök 0,7 támadási sebzést kapnak minden tulajdonságpontjuk után."
		"dota_tip_intermediate_37"			"A második haláltól kezdve Roshan a Radiant oldalon megölve Cheese-t, a Dire oldalon megölve pedig Roshan zászlóját dob."
		"dota_tip_intermediate_38"			"A hősök illúziói lényegesen kevesebbet sebeznek Roshanon."
		"dota_tip_intermediate_39"			"Ne felejtsd el ellenőrizni szövetségeseid felszerelését, mielőtt megvennél egy tárgyat az aura hatása miatt. Egy csapattársnak már meglehet az a tárgy, és a legtöbb aura nem adódik össze."
		"dota_tip_intermediate_41"			"A különböző képességek bénítási időtartamai nem adódnak össze. Hosszabb ideig tarthatsz bénítva egy ellenséget képességeid gondos időzítésével."
		"dota_tip_intermediate_42"			"A Town Portal Scroll teleportálást nem szakítja meg az elhallgattatás és a hátralökés."
		"dota_tip_intermediate_43"			"Minél közelebb van egy torony a csapata Őséhez, annál több aranyat ér az elpusztítása."
		"dota_tip_intermediate_45"			"A Soul Ring használata extra manát nyújt számodra, még akkor is, ha manád már tele van."
		"dota_tip_intermediate_46"			"A szövetséges tornyok lerombolhatók, ha 10% alatti életerővel rendelkeznek. A tornyok beáldozása a jutalom felét adja mindegyik csapatnak."
		"dota_tip_intermediate_49"			"A normál támadás, néhány hősképesség és egyes tárgyak által okozott fizikai sebzés csökkenthető páncéllal, vagy blokkolható éterivé válással."
		"dota_tip_intermediate_50"			"A hősképességek és tárgyak többsége okozta mágikus sebzés mágiaellenállással csökkenthető. A gyengítésimmunitást adó képességek jelentően növelni tudják a mágiaellenállást."
		"dota_tip_intermediate_51"			"A Manta Style aktiválása eltávolít az eredeti helyedről, amikor az illúziók felbukkannak. Használd ezt az ellenfelek összezavarására!"
		"dota_tip_intermediate_53"			"Használd bölcsen a repülő futár Pajzs képességét. Nagyon hosszú az újratöltődése."
		"dota_tip_intermediate_54"			"Hegynek felfelé a távolsági hősök és egységek álvéletlen eséllyel elhibázzák a támadást."
		"dota_tip_intermediate_55"			"Roshan minden perccel erősebbé válik, további életerőt, sebzést és páncélt nyerve."
		"dota_tip_intermediate_56"			"Az Adomány rúnák az egész csapatnak adnak aranyat, függetlenül attól, hogy melyik hős veszi fel őket."
		"dota_tip_intermediate_57"			"Egyes képességek át tudnak hatolni a gyengítésimmunitáson. Mindegyik képesség gyengítésimmunitással való kölcsönhatása szerepel a leírásában."
		"dota_tip_intermediate_58"			"Vedd fontolóra pénz tartalékolását Visszavételhez. Egy jól időzített Visszavétel gyorsan megfordíthat egy kétségbeesett védekezést."
		"dota_tip_intermediate_59"			"Az illúziók ellenséges épületeken 60%-kal kevesebbet sebeznek."
		"dota_tip_intermediate_60"			"A dzsungelben való farmolás veszélyes lehet! Érdemes lehet vásárolnod és lehelyezned néhány wardot, hogy megelőzd az ellenséges rajtaütési kísérleteket."
		"dota_tip_intermediate_61"			"Minden hős a meccs más időpontjában éri el maximális hatékonyságát."
		"dota_tip_intermediate_62"			"Ha minden ellenséges hős eltűnt a minitérképről, akkor Roshant támadhatják, vagy rajtaütésre készülhetnek."
		"dota_tip_intermediate_63"			"Próbálj csapatod következő támadásának célpontja közelébe wardokat állítani!"
		"dota_tip_intermediate_64"			"Ha megtanulsz Támogatóként játszani, jobb Végjátékossá fogsz válni. Ha megtanulsz Végjátékosként játszani, jobb Támogatóvá fogsz válni."
		"dota_tip_intermediate_65"			"A Felderítés rövid időre megmutatja, vannak-e ellenséges hősök a célzott területen."
		"dota_tip_intermediate_66"			"Az Enchanted Mangót megetetheted egy szövetségessel is Ctrl-kattintással a Mangóra, majd utána a szövetségesre."
	 	"dota_tip_intermediate_67"			"Ha egy Divine Rapier a földre esik, és nem veszi fel ellenséges hős, a szövetségesek fel tudják venni, de csak az eredeti tulajdonos tudja használni. Miután egy ellenség felvette, bárki által szabadon használható lesz."
		"dota_tip_intermediate_71"			"A Town Portal Scroll fenntartása tovább fog tartani, ha nemrég egy másik hős is ugyanarra a területre teleportált."
		"dota_tip_intermediate_72"			"Van a csapatodnál Urn of Shadows vagy Vladmir's Offering? Hatékonyabb lehet olyan tárgyakat készíteni, amik az egész csapatnak hasznára vannak."
		"dota_tip_intermediate_73"			"A Tangók kétszer hatékonyabbak, amikor Iron Branch-csel készített fák elfogyasztására használják őket."
		"dota_tip_intermediate_74"			"A Boots of Travellel fejlesztett Town Portal Scroll teleportálás megszakad, ha a célegység meghal a fenntartás közben."
		"dota_tip_intermediate_75"			"Egy semleges tábor felhalmozásáért te is megkapod a vérdíj egy részét, amikor szövetségesek ölik meg őket."
		"dota_tip_intermediate_76"			"A harmadik haláltól kezdve Roshan a Radiant oldalon Refresher Shardot, a Dire oldalon pedig Aghanim's Blessinget dob."
