"lang"
{ 
	"Language" "turkish" 
	"Tokens" 
	{

//INTRODUCTORY LOADSCREEN TIPS		(0 to 25 games played)
		"dota_tip_universal_69"			"Engellendi durumu bir kahramanın eşyalarını kullanmasını engeller."
		"dota_tip_universal_70"			"Susturuldu durumu bir kahramanın yeteneklerini kullanmasını önler."
		"dota_tip_universal_71"			"Break durumu bir kahramanın pasif yeteneklerini kullanmasını önler."
		"dota_tip_universal_73"			"Healing Salve'lar ve Clarity'ler sadece düşman kahramanlar ve Roshan tarafından yarıda kesilebilir."
		"dota_tip_universal_74"			"Takım arkadaşlarınıza açıklayıcı bir ping göndermek için harita üzerine gelip Alt ve sol tık tuşlarına basın."
		"dota_tip_universal_76"			"Tarafsız jetonların kadim yaratıklardan düşmesi daha olasıdır."

//BEGINNER LOADSCREEN TIPS		(25 - 150 games played)
		"dota_tip_beginner_1"					"Eğer bulunduğunuz kulvardaki bir düşman kahramanın eksikliğini fark ederseniz, takım arkadaşlarınıza \"Üst/Orta/Alt Eksik\" diyerek bunu belirtin. Böylece bir takım arkadaşınızın hayatını kurtarabilirsiniz!"
		"dota_tip_beginner_2"					"CTRL tuşuna basılı tutup yeteneğin kısayol tuşuna basarak ilgili yeteneğe seviye atlatabilirsiniz."
		"dota_tip_beginner_3"					"Haritanın belirli bölümlerini görmek ve rakip takımın hareketleri konusunda fikir sahibi olmak için gözler yerleştirin ve ele geçirilmemiş gözetleyicileri etkinleştirin."
		"dota_tip_beginner_4"					"Kuryeniz size eşyalarınızı teslim edebilir, böylece siz de kulvarda kalıp deneyim ve altın kazanmaya devam edersiniz."
		"dota_tip_beginner_5"					"Nöbetçi gözler yakınlardaki görünmez birimlerin yanı sıra düşman gözlerini de açığa çıkarır."
		"dota_tip_beginner_7"					"Roshan'ı öldürmek eğer zırhını düşürdüyseniz daha kolaydır."
		"dota_tip_beginner_10"				"Dükkânda'ki eşyalara Shift tuşuyla tıklamak onları \"Hızlı Satın Alma\"ya ekleyecektir."
		"dota_tip_beginner_11"				"Bir kule yıkarken son vuruşu yapmak size daha fazla altın kazandırır."
		"dota_tip_beginner_12"				"\"Güvenli kulvar\" takımınızın tarafındaki en uzun kulvardır. Bu Dire için üst; Radiant için alt kulvardır."
		"dota_tip_beginner_13"				"\"Zor kulvar\" takımınızın tarafındaki en kısa kulvardır. Bu Dire için alt; Radiant için üst kulvardır."
		"dota_tip_beginner_15"				"Botlardan alınan hareket hızı bonusu istiflenmez. Seçtiğiniz kahramanın ne kadar bacağı olursa olsun, tek bir bot çiftine ihtiyaç duyarsınız."
		"dota_tip_beginner_16"				"Bir düşman kahramanın envanterini ve yeteneklerini seçerek görebilirsiniz."
		"dota_tip_beginner_17"				"Bir Town Portal Scroll taşımak genellikle iyi bir fikirdir."
		"dota_tip_beginner_18"				"Ağaçların arasına saklanmış çok sayıda \"şaşırtma noktası\" da denilen gizli yol vardır. Bunları saldırılardan kaçmak ya da pusu kurmak için kullanın."
		"dota_tip_beginner_19"				"Yakınlardaki görünmez düşmanları açığa çıkarmak ve yavaşlatmak için Dust of Appearance kullanın."
		"dota_tip_beginner_20"				"Oyunun 6. dakikasından itibaren her iki dakikada bir nehirde bir güç rünü çıkar. Bu rün orta kulvarın kuzeyinde veya güneyinde olur."
		"dota_tip_beginner_21"				"Eğer bir şişeniz varsa, daha sonra kullanmak üzere bir rünü şişeleyebilirsiniz. Bir bilgelik, ödül veya su rününü şişelemek şişeye iki şarj kazandırırken, güç rünlerini şişelemek tüm şarjını kazandırır."
		"dota_tip_beginner_22"				"Üst çubuğun sol tarafındaki \"Yapı Rehberi\" butonunu kullanarak kahramanınız için oyuncular tarafından oluşturulmuş birçok yapı arasından seçim yapabilirsiniz."
		"dota_tip_beginner_25"				"Mini haritayı sık sık kontrol edin! Pusuya düşmek üzere olduğunuzu fark edebilirsiniz."
		"dota_tip_beginner_26"				"Bir kahramanın zayıflıklarını öğrenmenin en iyi yolu onunla bir maç oynamaktır."
		"dota_tip_beginner_28"				"Düşmanın kışlalarını yok etmek o kulvardaki yaratıklarını güçlendirecektir."
		"dota_tip_beginner_29"				"Kuleler görünmez birimleri görebilir ve saldırabilir."
		"dota_tip_beginner_31"				"Yaratıklara saldırırken nerede olduğunuza dikkat edin. Fark etmeden yaratıkları ittirip kendinizi tehlikeli bir pozisyona sokabilirsiniz."
		"dota_tip_beginner_33"				"Birkaç kayalığın tepesinde izleyici gözler için iyi yerleştirme noktaları gösteren mühürler vardır."
		"dota_tip_beginner_36"				"Takımınızın kaynağının yakınında bulunmak sağlığınızı ve mananızı hızlıca yenileyecektir."
		"dota_tip_beginner_40"				"Kuvvet, maksimum sağlığı ve sağlık yenilenmesini artırır. Çeviklik, zırhı ve saldırı hızını artırır. Zekâ, maksimum manayı, mana yenilenmesini ve büyü direncini artırır."
		"dota_tip_beginner_41"				"Gizli Dükkân aslında gizli değil."
		"dota_tip_beginner_42"				"\"Sırtlayıcı\" yavaşca güç kazanan, oyunun sonlarında güçlenmeye başlayan bir kahramandır. \"Destek\" kahramanı oyun başında genellikle en güçlü, ve daha sonra takımının etkinliğini artıran kahramandır."
		"dota_tip_beginner_43"				"Kahramanınızın yakınında bir birim öldüğünde tecrübe kazanırsınız."
		"dota_tip_beginner_44"				"Glyph of Fortification kullanarak geçici olarak binalarınızı ve yaratıklarınızı kuvvetlendirebilir ve onların aldığı bütün hasarı engelleyebilirsiniz. Bunu akıllıca kullanın zira dolum süresi çok uzundur."
		"dota_tip_beginner_45"				"Town Portal Scroll ile bir dost binaya ışınlanabilirsiniz. Boots of Travel ile kahraman olmayan dost bir birime ışınlanabilirsiniz. 2. seviye Boots of Travel ile de istediğiniz dost kahramana ışınlanabilirsiniz."
		"dota_tip_beginner_47"				"Tango kullandığında kazandığınız sağlık yenilemesi, tükettiğiniz ağacın boyutundan bağımsız olarak sabittir."
		"dota_tip_beginner_48"				"Genel taktikler, takım yapısı ve favori kahramanınız için stratejileri öğrenmenize yardımcı olabilecek birçok internet sitesi ve video vardır."
 		"dota_tip_beginner_49"				"Tangolarından bir tanesini takım arkadaşınızın üzerinde kullanarak ona verebilirsiniz. Paylaşılan Tango bir süre kullanılmadığı takdirde yok olacağından, ne zaman vereceğinize dikkat edin."
		"dota_tip_beginner_50"				"Takım arkadaşlarınızın üzerinde Healing Salve ve Clarity kullanabilirsiniz. Sevgiyi paylaşın!"
		"dota_tip_beginner_53"				"İzleyici ve nöbetçi gözler her iki Roshan inine de koyulamaz."
		"dota_tip_beginner_54"				"Alınmamış bir güç rünü iki dakika sonra kaybolur."
		"dota_tip_beginner_55"				"Yaratıkları öldürerek altın kazanmaya \"Kasma\" denir."
		"dota_tip_beginner_56"				"Ölen kahramanlar güvenilmez altın kaybeder ve katillerine altınla birlikte TP verir. Ölmemeye çalışın ve fırsat kendini gösterdiğinde düşman kahramanları öldürmeye koyulun!"
		"dota_tip_beginner_57"				"Her ormanda ödül rünleri vardır. 00:00'da ve sonrasında her 3 dakikada bir ortaya çıkar. İlk ortaya çıktıklarında, nehrin iki güç rünü yerinde de olurlar."


//INTERMEDIATE LOADSCREEN TIPS		(75+ games played)
		"dota_tip_intermediate_1"			"Seviye 2+ kuleler için Kuvvetlendirme Kalkanı etkinleştiğinde kuleler birden fazla düşmana vurmaya başlayacaktır. En yakındakiler öncelikli olmak üzere dört düşmana daha vururlar."
		"dota_tip_intermediate_2"			"Çantanızdaki veya zulanızdaki eşyaların dolum hızları iki kat azalır."
		"dota_tip_intermediate_3"			"Roshan öldürüldükten sonra 8 ve 11 dakika arasında rastgele bir zamanda yeniden doğar."
		"dota_tip_intermediate_4"			"Tarafsız yaratıklar ilk dakikaya girildiğinde ve sonrasında da her dakika başında canlanır."
		"dota_tip_intermediate_6"			"Bazı büyülerden Blink Dagger kullanarak ya da görünmez olarak kaçınabilirsiniz."
		"dota_tip_intermediate_8"			"Yüksek konumda durmak, rakibinizin saldırıları sizi ıskalayabileceğinden ya da sizi savaş sisinde kaybedebileceğinden avantaj sağlar."
		"dota_tip_intermediate_9"			"Pipe of Insight kullanmak size ve dostlarınıza büyü hasarı bariyeri vererek düşman kahramanlardan gelen büyü hasarını azaltmanızı sağlayacaktır."
		"dota_tip_intermediate_10"			"Assault Cuirass yakındaki takım arkadaşlarının zırhlarını ve saldırı hızlarını artırır; yakındaki düşmanların da zırhlarını azaltır."
		"dota_tip_intermediate_11"			"Bir kule size saldırırken dost bir yaratığa saldırı komutu vermeniz kulenin hedefini sıfırlar."
		"dota_tip_intermediate_12"			"Tarafsız yaratık kampının yakınına göz ya da birim yerleştirmek o kamptaki yaratıkların dakika başında yeniden doğmasını engelleyebilir."
		"dota_tip_intermediate_13"			"Monkey King Bar size isabetlilik vererek, tepede yer alan düşmanlara saldırırken bile düşmanların saldırılarınızdan kaçamamasını sağlar."
		"dota_tip_intermediate_14"			"Blink Dagger'a çift tıklamak otomatik olarak takımınızın kaynağı yönünde ışınlanmanıza neden olacaktır."
		"dota_tip_intermediate_15"			"Ölüme yakın olan dost yaratıklara saldırabilirsiniz. Bunu düşmanının son vuruşlardan altın kazanmasını engellemek için kullanın."
		"dota_tip_intermediate_16"			"Büyü hasarı büyü direnci sağlayan eşyalarla azaltılabilir."
		"dota_tip_intermediate_17"			"Fiziksel hasar, zırh veren eşyalar tarafından azaltılabilir."
		"dota_tip_intermediate_18"			"Saf hasar zırh ya da büyü direnci tarafından azaltılmaz."
		"dota_tip_intermediate_20"			"Power Threads ana özelliğini değiştirmek hem görünmezliği bozabilir, hem de Town Portal Scroll kullanımı gibi yönlendirmeli büyüleri yarıda kesebilir."
		"dota_tip_intermediate_21"			"Dakika başlarına yakın tüm tarafsız yaratıkları kamptan uzaklaştırmak yenilerinin doğmasını sağlar. Bunu öldürdüğünüz yaratık sayısını artırmak için kullanın."
		"dota_tip_intermediate_22"			"CTRL tuşuna basılı tutmak şişe yenilenmesini dost bir kahraman üzerinde kullanmanıza olanak sağlar. Fakat şişelenmiş rünler paylaşılamaz."
		"dota_tip_intermediate_23"			"Üssünüzde sıkışıp kaldınız mı? Kuryenizi Gizli Dükkân'a göndererek eşya satın alabilirsiniz. Sadece düşman güçlerinin içinden göndermemeye dikkat edin!"
		"dota_tip_intermediate_24"			"Düşman yaratıklar yakında değilken kuleler ve kışlalar, aldıkları hasarı azaltan ve sağlıklarını geri kazanmalarını sağlayan arka kapı korumasına sahiptir."
		"dota_tip_intermediate_25"			"Quelling Blade fazladan hasarı yalnızca kulvar yaratıklarına ve tarafsız yaratıklara uygular."
		"dota_tip_intermediate_26"			"Vanguard veya Crimson Guard üzerindeki engellenen hasar ifadesi saldıranın değil kalkanı taşıyan kahramanın tipini ifade eder."
		"dota_tip_intermediate_27"			"Dagon ve Boots of Travel tarifleri yeniden satın alınarak yükseltilebilir."
		"dota_tip_intermediate_28"			"Takım arkadaşınıza tek bir göz vermek için CTRL tuşuna basılı tutup, envanterinizden gözün üzerine tıkladıktan sonra takım arkadaşınıza tıklayabilirsiniz."
		"dota_tip_intermediate_29"			"Blink Dagger ve Force Staff tepelere çıkmak ve tepelerden inmek için kullanılabilir."
		"dota_tip_intermediate_30"			"Ağaçları kesmek ve ormanlardan kendinize yol açmak için bir Quelling Blade veya Battlefury kullanın."
		"dota_tip_intermediate_31"			"İllüzyonlar ve yaratıklar Smoke of Deceit'i bozmaz, yalnızca düşman kahramanlar ve kuleler bozar."
		"dota_tip_intermediate_33"			"Alt tuşuna basılı tutmak, bazı yetenek ve eşyaların açıklamalarındaki ek bilgileri ortaya çıkarır."
		"dota_tip_intermediate_34"			"Kışlalar görünmez birimleri ya da gözleri açığa çıkaramaz."
		"dota_tip_intermediate_35"			"Anında canlanmanın 8 dakikalık bir dolum süresi vardır."
		"dota_tip_intermediate_37"			"İkinci ölümden itibaren Roshan, Radiant tarafında öldürüldüğünde Cheese, Dire tarafında öldürüldüğünde ise Roshan's Banner düşürür."
		"dota_tip_intermediate_38"			"Kahraman illüzyonları Roshan'a oldukça az hasar verir."
		"dota_tip_intermediate_39"			"Aurası için bir eşyayı satın almadan önce dostlarınızın envanterlerini kontrol etmeyi unutmayın. Bir takım arkadaşınız o eşyayı çoktan almış olabilir ve çoğu aura istiflenemez."
		"dota_tip_intermediate_41"			"Farklı yeteneklerden gelen sersemletme süreleri istiflenmez. Yeteneklerinizin zamanlamasını çok dikkatli bir şekilde ayarlayarak düşmanı sersemletme sürenizi artırabilirsiniz."
		"dota_tip_intermediate_42"			"Town Portal Scroll ile yapılan ışınlanmalar susturma ve geri itmeyle engellenemez."
		"dota_tip_intermediate_43"			"Yıktığınız kuleler Kadim Kale'ye ne kadar yakınsa, yıkımdan kazanacağınız altın miktarı o kadar fazla olur."
		"dota_tip_intermediate_45"			"Mananız dolu olsa dahi Soul Ring kullanmak size ekstra mana kazandıracaktır."
		"dota_tip_intermediate_46"			"Kendi kulelerinizi, eğer sağlığı %10'un altındaysa, yıkabilirsiniz. Kendi kulenizi yıkmak her iki takıma yarı oranında ödül verir."
		"dota_tip_intermediate_49"			"Normal saldırıların, bazı yeteneklerin ve bazı eşyaların verdiği fiziksel hasarı, zırh ile azaltabilir veya ruhani duruma geçerek tamamen engelleyebilirsiniz."
		"dota_tip_intermediate_50"			"Birçok kahraman yeteneği ve eşya tarafından verilen büyü hasarını, büyü direnciyle azaltabilirsiniz. Güçsüzleştirme bağışıklığı veren yetenekler büyü direncini çok büyük oranda artırabilir."
		"dota_tip_intermediate_51"			"Manta Style'ı etkinleştirmek orijinal konumunuzu illüzyonlar ortaya çıktığında değiştirecektir. Bunu düşmanları şaşırtmak için kullanın!"
		"dota_tip_intermediate_53"			"Uçan kuryenin kalkanını dikkatli kullanın. Çok uzun bir dolum süresi vardır."
		"dota_tip_intermediate_54"			"Menzilli kahramanlar ve birimler yüksek konuma saldırırken görünüşte rastgele ıskalama şansına sahiptir."
		"dota_tip_intermediate_55"			"Roshan her dakikada bir biraz daha güçlenerek; ek can, hasar ve zırh kazanır."
		"dota_tip_intermediate_56"			"Ödül rünleri, hangi kahramanın aldığına bakılmaksızın tüm takıma altın verir."
		"dota_tip_intermediate_57"			"Bazı yetenekler güçsüzleştirme bağışıklığını delebilir. Her yeteneğin güçsüzleştirme bağışıklığıyla etkileşimi açıklamasında gösterilir."
		"dota_tip_intermediate_58"			"Anında canlanma için altın biriktirmeyi ihmal etmeyin. İyi zamanlanmış bir anında canlanma çaresiz bir savunmayı hızlı bir geri dönüşe çevirebilir."
		"dota_tip_intermediate_59"			"İllüzyonlar düşman binalarına %60 daha az hasar verir."
		"dota_tip_intermediate_60"			"Ormanda kasmak tehlikeli olabilir! Düşmanların size karşı pusu kurmasına önlem olarak birkaç göz satın alıp yerleştirebilirsiniz."
		"dota_tip_intermediate_61"			"Her kahraman maksimum verimliliğine maçın farklı zamanlarında ulaşırlar."
		"dota_tip_intermediate_62"			"Eğer bütün düşman kahramanları mini haritadan kaybolmuşlar ise, Roshan'ı kesmeye çalışıyor veya bir tuzak kuruyor olabilirler."
		"dota_tip_intermediate_63"			"Gözleri takımınızın bir sonraki hedeflerine göre yerleştirin."
