"lang"
{ 
	"Language" "korean" 
	"Tokens" 
	{
		// To create a new key ( like $health ) just add the entry here
		"dota_ability_variable_health"				"체력"					// $health
		"dota_ability_variable_mana"				"마나"						// $mana
		"dota_ability_variable_armor"				"방어력"						// $armor
		"dota_ability_variable_damage"				"피해"					// $damage
		"dota_ability_variable_str"					"힘"					// $str
		"dota_ability_variable_int"					"지능"				// $int
		"dota_ability_variable_agi"					"민첩"					// $agi
		"dota_ability_variable_all"					"모든 능력치"			// $all
		"dota_ability_variable_primary_attribute"	"주 능력치"			// $primary_attribute
		"dota_ability_variable_attack"				"공격 속도"				// $attack
		"dota_ability_variable_attack_pct"			"기본 공격 속도 백분율"	// $attack_pct
		"dota_ability_variable_hp_regen"			"체력 재생"		// $hp_regen
		"dota_ability_variable_lifesteal"			"흡혈"					// $lifesteal
		"dota_ability_variable_mana_regen"			"마나 재생"			// $mana_regen
		"dota_ability_variable_mana_regen_aura"		"마나 재생의 오라"	// $mana_regen_aura
		"dota_ability_variable_spell_amp"			"주문 피해"				// $spell_amp
		"dota_ability_variable_debuff_amp"			"약화 효과 지속시간"			// $debuff_amp
		"dota_ability_variable_move_speed"			"이동 속도"			// $move_speed
		"dota_ability_variable_evasion"				"회피"					// $evasion
		"dota_ability_variable_spell_resist"		"마법 저항력"			// $spell_resist
		"dota_ability_variable_spell_lifesteal"		"주문 흡혈"			// $spell_lifesteal
		"dota_ability_variable_spell_lifesteal_hero_attacks" "영웅 대상 공격"
		"dota_ability_variable_spell_lifesteal_hero_spells" "영웅 대상 능력"
		"dota_ability_variable_spell_lifesteal_creep_attacks" "크립 대상 공격"
		"dota_ability_variable_spell_lifesteal_creep_spells" "크립 대상 능력"
		"dota_ability_variable_lifesteal_hero_attacks" "영웅 대상 공격"
		"dota_ability_variable_lifesteal_hero_spells" "영웅 대상 능력"
		"dota_ability_variable_lifesteal_creep_attacks" "크립 대상 공격"
		"dota_ability_variable_lifesteal_creep_spells" "크립 대상 능력"
		"dota_ability_variable_selected_attrib"		"선택 능력치"		// $selected_attribute
		"dota_ability_variable_attack_range"		"공격 범위<font color='#7d7d7d'>(원거리만)</font>"	// $attack_range
		"dota_ability_variable_attack_range_melee"	"공격 범위 <font color='#7d7d7d'>(근접만)</font>"	// $attack_range_melee
		"npc_dota_hero_lion:n"							"라이온"
		"npc_dota_hero_lion__en:n"						"라이온"
		"npc_dota_hero_phantom_assassin:n"				"유령 자객"
		"npc_dota_hero_phantom_assassin__en:n"			"유령 자객"
		"npc_dota_hero_phantom_assassin_persona1:n"		"유령 자객(아산)"
		"npc_dota_hero_phantom_assassin_persona1__en:n"	"유령 자객(아산)"
		"npc_dota_hero_tidehunter:n"					"파도사냥꾼"
		"npc_dota_hero_tidehunter__en:n"				"파도사냥꾼"
		"npc_dota_hero_witch_doctor:n"					"저주술사"
		"npc_dota_hero_witch_doctor__en:n"				"저주술사"
		"npc_dota_hero_vengefulspirit:n"				"복수 혼령"
		"npc_dota_hero_vengefulspirit__en:n"			"복수 혼령"
		"npc_dota_hero_juggernaut:n"					"가면무사"
		"npc_dota_hero_juggernaut__en:n"				"가면무사"
		"npc_dota_hero_earthshaker:n"					"지진술사"
		"npc_dota_hero_earthshaker__en:n"				"지진술사"
		"npc_dota_hero_pudge:n"							"퍼지"
		"npc_dota_hero_pudge__en:n"						"퍼지"
		"npc_dota_hero_pudge_persona1:n"				"퍼지(인형 도살자)"
		"npc_dota_hero_pudge_persona1__en:n"			"퍼지(인형 도살자)"
		"npc_dota_hero_bane:n"							"악몽의 그림자"
		"npc_dota_hero_bane__en:n"						"악몽의 그림자"
		"npc_dota_hero_crystal_maiden:n"				"수정의 여인"
		"npc_dota_hero_crystal_maiden__en:n"			"수정의 여인"
		"npc_dota_hero_crystal_maiden_persona1:n"		"수정의 여인(늑대)"
		"npc_dota_hero_crystal_maiden_persona1__en:n"	"수정의 여인(늑대)"
		"npc_dota_hero_sven:n"							"스벤"
		"npc_dota_hero_sven__en:n"						"스벤"
		"npc_dota_hero_skeleton_king:n"					"망령 제왕"
		"npc_dota_hero_skeleton_king__en:n"				"망령 제왕"
		"npc_dota_hero_storm_spirit:n"					"폭풍령"
		"npc_dota_hero_storm_spirit__en:n"				"폭풍령"
		"npc_dota_hero_sand_king:n"						"모래 제왕"
		"npc_dota_hero_sand_king__en:n"					"모래 제왕"
		"npc_dota_hero_nevermore:n"						"그림자 마귀"
		"npc_dota_hero_nevermore__en:n"					"그림자 마귀"
		"npc_dota_hero_drow_ranger:n"					"드로우 레인저"
		"npc_dota_hero_drow_ranger__en:n"				"드로우 레인저"
		"npc_dota_hero_axe:n"							"도끼전사"
		"npc_dota_hero_axe__en:n"						"도끼전사"
		"npc_dota_hero_bloodseeker:n"					"혈귀"
		"npc_dota_hero_bloodseeker__en:n"				"혈귀"
		"npc_dota_hero_phantom_lancer:n"				"환영 창기사"
		"npc_dota_hero_phantom_lancer__en:n"			"환영 창기사"
		"npc_dota_hero_razor:n"							"레이저"
		"npc_dota_hero_razor__en:n"						"레이저"
		"npc_dota_hero_morphling:n"						"모플링"
		"npc_dota_hero_morphling__en:n"					"모플링"
		"npc_dota_hero_zuus:n"							"제우스"
		"npc_dota_hero_zuus__en:n"						"제우스"
		"npc_dota_hero_tiny:n"							"타이니"
		"npc_dota_hero_tiny__en:n"						"타이니"
		"npc_dota_hero_puck:n"							"퍽"
		"npc_dota_hero_puck__en:n"						"퍽"
		"npc_dota_hero_windrunner:n"					"바람순찰자"
		"npc_dota_hero_windrunner__en:n"				"바람순찰자"
		"npc_dota_hero_lich:n"							"리치"
		"npc_dota_hero_lich__en:n"						"리치"
		"npc_dota_hero_shadow_shaman:n"					"그림자 주술사"
		"npc_dota_hero_shadow_shaman__en:n"				"그림자 주술사"
		"npc_dota_hero_riki:n"							"리키"
		"npc_dota_hero_riki__en:n"						"리키"
		"npc_dota_hero_enigma:n"						"에니그마"
		"npc_dota_hero_enigma__en:n"					"에니그마"
		"npc_dota_hero_tinker:n"						"땜장이"
		"npc_dota_hero_tinker__en:n"					"땜장이"
		"npc_dota_hero_sniper:n"						"저격수"
		"npc_dota_hero_sniper__en:n"					"저격수"
		"npc_dota_hero_necrolyte:n"						"강령사제"
		"npc_dota_hero_necrolyte__en:n"					"강령사제"
		"npc_dota_hero_warlock:n"						"흑마법사"
		"npc_dota_hero_warlock__en:n"					"흑마법사"
		"npc_dota_hero_beastmaster:n"					"야수지배자"
		"npc_dota_hero_beastmaster__en:n"				"야수지배자"
		"npc_dota_hero_venomancer:n"					"맹독사"
		"npc_dota_hero_venomancer__en:n"				"맹독사"
		"npc_dota_hero_faceless_void:n"					"얼굴없는 전사"
		"npc_dota_hero_faceless_void__en:n"				"얼굴없는 전사"
		"npc_dota_hero_death_prophet:n"					"죽음의 예언자"
		"npc_dota_hero_death_prophet__en:n"				"죽음의 예언자"
		"npc_dota_hero_pugna:n"							"퍼그나"
		"npc_dota_hero_pugna__en:n"						"퍼그나"
		"npc_dota_hero_templar_assassin:n"				"암살 기사"
		"npc_dota_hero_templar_assassin__en:n"			"암살 기사"
		"npc_dota_hero_viper:n"							"바이퍼"
		"npc_dota_hero_viper__en:n"						"바이퍼"
		"npc_dota_hero_luna:n"							"루나"
		"npc_dota_hero_luna__en:n"						"루나"
		"npc_dota_hero_dragon_knight:n"					"용기사"
		"npc_dota_hero_dragon_knight__en:n"				"용기사"
		"npc_dota_hero_dragon_knight_persona1:n"		"용기사(용의 피)"
		"npc_dota_hero_dragon_knight_persona1__en:n"	"용기사(용의 피)"
		"npc_dota_hero_dazzle:n"						"대즐"
		"npc_dota_hero_dazzle__en:n"					"대즐"
		"npc_dota_hero_rattletrap:n"					"태엽장이"
		"npc_dota_hero_rattletrap__en:n"				"태엽장이"
		"npc_dota_hero_leshrac:n"						"레슈락"
		"npc_dota_hero_leshrac__en:n"					"레슈락"
		"npc_dota_hero_furion:n"						"자연의 예언자"
		"npc_dota_hero_furion__en:n"					"자연의 예언자"
		"npc_dota_hero_life_stealer:n"					"흡혈마"
		"npc_dota_hero_life_stealer__en:n"				"흡혈마"
		"npc_dota_hero_dark_seer:n"						"어둠 현자"
		"npc_dota_hero_dark_seer__en:n"					"어둠 현자"
		"npc_dota_hero_clinkz:n"						"클링츠"
		"npc_dota_hero_clinkz__en:n"					"클링츠"
		"npc_dota_hero_omniknight:n"					"전능기사"
		"npc_dota_hero_omniknight__en:n"				"전능기사"
		"npc_dota_hero_enchantress:n"					"요술사"
		"npc_dota_hero_enchantress__en:n"				"요술사"
		"npc_dota_hero_huskar:n"						"허스카"
		"npc_dota_hero_huskar__en:n"					"허스카"
		"npc_dota_hero_night_stalker:n"					"밤의 추격자"
		"npc_dota_hero_night_stalker__en:n"				"밤의 추격자"
		"npc_dota_hero_broodmother:n"					"거미여왕"
		"npc_dota_hero_broodmother__en:n"				"거미여왕"
		"npc_dota_hero_bounty_hunter:n"					"현상금 사냥꾼"
		"npc_dota_hero_bounty_hunter__en:n"				"현상금 사냥꾼"
		"npc_dota_hero_weaver:n"						"길쌈꾼"
		"npc_dota_hero_weaver__en:n"					"길쌈꾼"
		"npc_dota_hero_jakiro:n"						"자키로"
		"npc_dota_hero_jakiro__en:n"					"자키로"
		"npc_dota_hero_batrider:n"						"박쥐기수"
		"npc_dota_hero_batrider__en:n"					"박쥐기수"
		"npc_dota_hero_chen:n"							"첸"
		"npc_dota_hero_chen__en:n"						"첸"
		"npc_dota_hero_spectre:n"						"악령"
		"npc_dota_hero_spectre__en:n"					"악령"
		"npc_dota_hero_doom_bringer:n"					"파멸의 사도"
		"npc_dota_hero_doom_bringer__en:n"				"파멸의 사도"
		"npc_dota_hero_ancient_apparition:n"			"고대 영혼"
		"npc_dota_hero_ancient_apparition__en:n"		"고대 영혼"
		"npc_dota_hero_ursa:n"							"우르사"
		"npc_dota_hero_ursa__en:n"						"우르사"
		"npc_dota_hero_spirit_breaker:n"				"영혼 파괴자"
		"npc_dota_hero_spirit_breaker__en:n"			"영혼 파괴자"
		"npc_dota_hero_gyrocopter:n"					"자이로콥터"
		"npc_dota_hero_gyrocopter__en:n"				"자이로콥터"
		"npc_dota_hero_alchemist:n"						"연금술사"
		"npc_dota_hero_alchemist__en:n"					"연금술사"
		"npc_dota_hero_invoker:n"						"원소술사"
		"npc_dota_hero_invoker__en:n"					"원소술사"
		"npc_dota_hero_invoker_persona1:n"				"원소술사(어린이)"
		"npc_dota_hero_invoker_persona1__en:n"			"원소술사(어린이)"
		"npc_dota_hero_silencer:n"						"침묵술사"
		"npc_dota_hero_silencer__en:n"					"침묵술사"
		"npc_dota_hero_obsidian_destroyer:n"			"외계 침략자"
		"npc_dota_hero_obsidian_destroyer__en:n"		"외계 침략자"
		"npc_dota_hero_lycan:n"							"늑대인간"
		"npc_dota_hero_lycan__en:n"						"늑대인간"
		"npc_dota_hero_brewmaster:n"					"취권도사"
		"npc_dota_hero_brewmaster__en:n"				"취권도사"
		"npc_dota_hero_shadow_demon:n"					"그림자 악마"
		"npc_dota_hero_shadow_demon__en:n"				"그림자 악마"
		"npc_dota_hero_lone_druid:n"					"고독한 드루이드"
		"npc_dota_hero_lone_druid__en:n"				"고독한 드루이드"
		"npc_dota_hero_chaos_knight:n"					"혼돈 기사"
		"npc_dota_hero_chaos_knight__en:n"				"혼돈 기사"
		"npc_dota_hero_treant:n"						"나무정령 수호자"
		"npc_dota_hero_treant__en:n"					"나무정령 수호자"
		"npc_dota_hero_meepo:n"							"미포"
		"npc_dota_hero_meepo__en:n"						"미포"
		"npc_dota_hero_ogre_magi:n"						"오거 마법사"
		"npc_dota_hero_ogre_magi__en:n"					"오거 마법사"
		"npc_dota_hero_undying:n"						"언다잉"
		"npc_dota_hero_undying__en:n"					"언다잉"
		"npc_dota_hero_rubick:n"						"루빅"
		"npc_dota_hero_rubick__en:n"					"루빅"
		"npc_dota_hero_disruptor:n"						"디스럽터"
		"npc_dota_hero_disruptor__en:n"					"디스럽터"
		"npc_dota_hero_nyx_assassin:n"					"닉스 암살자"
		"npc_dota_hero_nyx_assassin__en:n"				"닉스 암살자"
		"npc_dota_hero_naga_siren:n"					"나가 세이렌"
		"npc_dota_hero_naga_siren__en:n"				"나가 세이렌"
		"npc_dota_hero_keeper_of_the_light:n"			"빛의 수호자"
		"npc_dota_hero_keeper_of_the_light__en:n"		"빛의 수호자"
		"npc_dota_hero_visage:n"						"비사지"
		"npc_dota_hero_visage__en:n"					"비사지"
		"npc_dota_hero_wisp:n"							"이오"
		"npc_dota_hero_wisp__en:n"						"이오"
		"npc_dota_hero_slark:n"							"슬라크"
		"npc_dota_hero_slark__en:n"						"슬라크"
		"npc_dota_hero_medusa:n"						"메두사"
		"npc_dota_hero_medusa__en:n"					"메두사"
		"npc_dota_hero_troll_warlord:n"					"트롤 전쟁군주"
		"npc_dota_hero_troll_warlord__en:n"				"트롤 전쟁군주"
		"npc_dota_hero_centaur:n"						"켄타우로스 전쟁용사"
		"npc_dota_hero_centaur__en:n"					"켄타우로스 전쟁용사"
		"npc_dota_hero_magnataur:n"						"마그누스"
		"npc_dota_hero_magnataur__en:n"					"마그누스"
		"npc_dota_hero_shredder:n"						"벌목꾼"
		"npc_dota_hero_shredder__en:n"					"벌목꾼"
		"npc_dota_hero_bristleback:n"					"가시멧돼지"
		"npc_dota_hero_bristleback__en:n"				"가시멧돼지"
		"npc_dota_hero_tusk:n"							"얼음폭군"
		"npc_dota_hero_tusk__en:n"						"얼음폭군"
		"npc_dota_hero_skywrath_mage:n"					"하늘분노 마법사"
		"npc_dota_hero_skywrath_mage__en:n"				"하늘분노 마법사"
		"npc_dota_hero_abaddon:n"						"아바돈"
		"npc_dota_hero_abaddon__en:n"					"아바돈"
		"npc_dota_hero_elder_titan:n"					"고대 티탄"
		"npc_dota_hero_elder_titan__en:n"				"고대 티탄"
		"npc_dota_hero_legion_commander:n"				"군단 사령관"
		"npc_dota_hero_legion_commander__en:n"			"군단 사령관"
		"npc_dota_hero_ember_spirit:n"					"불꽃령"
		"npc_dota_hero_ember_spirit__en:n"				"불꽃령"
		"npc_dota_hero_earth_spirit:n"					"대지령"
		"npc_dota_hero_earth_spirit__en:n"				"대지령"
		"npc_dota_hero_abyssal_underlord:n"				"지하군주"
		"npc_dota_hero_abyssal_underlord__en:n"			"지하군주"
		"npc_dota_hero_phoenix:n"						"불사조"
		"npc_dota_hero_phoenix__en:n"					"불사조"
		"npc_dota_hero_terrorblade:n"					"테러블레이드"
		"npc_dota_hero_terrorblade__en:n"				"테러블레이드"
		"npc_dota_hero_oracle:n"						"예지자"
		"npc_dota_hero_oracle__en:n"					"예지자"
		"npc_dota_hero_techies:n"						"기술단"
		"npc_dota_hero_techies__en:n"					"기술단"
		"npc_dota_hero_target_dummy:n"					"표적 모형"
		"npc_dota_hero_target_dummy__en:n"				"표적 모형"
		"npc_dota_hero_winter_wyvern:n"					"겨울 비룡"
		"npc_dota_hero_winter_wyvern__en:n"				"겨울 비룡"
		"npc_dota_hero_arc_warden:n"					"번개 감시자"
		"npc_dota_hero_arc_warden__en:n"				"번개 감시자"
		"npc_dota_hero_monkey_king:n"					"원숭이 왕"
		"npc_dota_hero_monkey_king__en:n"				"원숭이 왕"
		"npc_dota_hero_pangolier:n"						"천갑검사"
		"npc_dota_hero_pangolier__en:n"					"천갑검사"
		"npc_dota_hero_dark_willow:n"					"흑버들"
		"npc_dota_hero_dark_willow__en:n"				"흑버들"
		"npc_dota_hero_grimstroke:n"					"그림스트로크"
		"npc_dota_hero_grimstroke__en:n"				"그림스트로크"
		"npc_dota_hero_mars:n"							"마르스"
		"npc_dota_hero_mars__en:n"						"마르스"
		"npc_dota_hero_snapfire:n"						"스냅파이어"
		"npc_dota_hero_snapfire__en:n"					"스냅파이어"
		"npc_dota_hero_void_spirit:n"					"공허령"
		"npc_dota_hero_void_spirit__en:n"				"공허령"
		"npc_dota_hero_hoodwink:n"						"후드윙크"
		"npc_dota_hero_hoodwink__en:n"					"후드윙크"
		"npc_dota_hero_dawnbreaker:n"					"여명의 파괴자"
		"npc_dota_hero_dawnbreaker__en:n"				"여명의 파괴자"
		"npc_dota_hero_marci:n"							"마르시"
		"npc_dota_hero_marci__en:n"						"마르시"
		"npc_dota_hero_primal_beast:n"					"원시 야수"
		"npc_dota_hero_primal_beast__en:n"				"원시 야수"
		"npc_dota_hero_muerta:n"						"무에르타"
		"npc_dota_hero_muerta__en:n"					"무에르타"
		"npc_dota_hero_ringmaster:n"					"곡예단장"
		"npc_dota_hero_ringmaster__en:n"				"곡예단장"
		"npc_dota_hero_kez:n"							"케즈"
		"npc_dota_hero_kez__en:n"						"케즈"

		// NPC names
		"ent_dota_halloffame"							"용사의 아이기스"
		"npc_dota_creep"								"크립"
		"npc_dota_creep_lane"							"전선 크립"
		"npc_dota_creep_siege"							"공성 병기"
		"npc_dota_tower"								"포탑"
		"npc_dota_barracks"								"병영"
		"npc_dota_fort"									"고대의 요새"
		"npc_dota_roshan"								"로샨"
		"npc_dota_roshanboo"							"로샨부"
		"npc_dota_roshan_halloween_minion"				"로샨부"
		"npc_dota_neutral_creep"						"중립 크립"
		"npc_dota_creep_neutral"						"중립 크립"
		"npc_dota_necronomicon_warrior"					"네크로노미콘 전사"
		"npc_dota_necronomicon_warrior_1"				"네크로노미콘 전사"
		"npc_dota_necronomicon_warrior_2"				"네크로노미콘 전사"
		"npc_dota_necronomicon_warrior_3"				"네크로노미콘 전사"
		"npc_dota_necronomicon_archer"					"네크로노미콘 궁수"
		"npc_dota_necronomicon_archer_1"				"네크로노미콘 궁수"
		"npc_dota_necronomicon_archer_2"				"네크로노미콘 궁수"
		"npc_dota_necronomicon_archer_3"				"네크로노미콘 궁수"
		"npc_dota_scout_hawk"							"정찰용 매"
		"npc_dota_greater_hawk"							"큰 매"
		"npc_dota_beastmaster_hawk"						"매"
		"npc_dota_beastmaster_hawk_1"					"매"
		"npc_dota_beastmaster_hawk_2"					"매"
		"npc_dota_beastmaster_hawk_3"					"매"
		"npc_dota_beastmaster_hawk_4"					"매"
		"npc_dota_beastmaster_boar"						"멧돼지"
		"npc_dota_beastmaster_boar_1"					"멧돼지"
		"npc_dota_beastmaster_boar_2"					"매"
		"npc_dota_beastmaster_boar_3"					"멧돼지"
		"npc_dota_beastmaster_boar_4"					"멧돼지"
		"npc_dota_beastmaster_greater_boar"				"큰 멧돼지"
		"npc_dota_courier"								"짐꾼"
		"npc_dota_scout"								"정찰"
		"npc_dota_miniboss"								"압제자"
		"npc_dota_lotus_pool"							"연꽃 연못"
		"npc_dota_unit_twin_gate"						"쌍둥이 관문"
		"npc_dota_clinkz_skeleton_archer"				"해골 궁사"
		"npc_dota_flying_courier"						"비행 짐꾼"
		"npc_dota_furion_treant"						"나무정령"
		"npc_dota_furion_treant_1"						"나무정령"
		"npc_dota_furion_treant_2"						"나무정령"
		"npc_dota_furion_treant_3"						"나무정령"
		"npc_dota_furion_treant_4"						"나무정령"
		"npc_dota_furion_treant_large"					"덩치 큰 나무정령"
		"npc_dota_invoker_forged_spirit"				"달구어진 영혼"
		"npc_dota_dark_troll_warlord_skeleton_warrior"	"해골 전사"
		"npc_dota_enraged_wildkin_tornado"				"회오리"
		"npc_dota_warlock_golem"						"흑마법사 골렘"
		"npc_dota_warlock_golem_1"						"흑마법사 골렘"
		"npc_dota_warlock_golem_2"						"흑마법사 골렘"
		"npc_dota_warlock_golem_3"						"흑마법사 골렘"
		"npc_dota_warlock_golem_scepter"				"흑마법사 골렘"
		"npc_dota_warlock_golem_scepter_1"				"흑마법사 골렘"
		"npc_dota_warlock_golem_scepter_2"				"흑마법사 골렘"
		"npc_dota_warlock_golem_scepter_3"				"흑마법사 골렘"
		"npc_dota_warlock_minor_imp"					"하급 임프"
		"npc_dota_Warlock_major_imp"					"상급 임프"
		"npc_dota_broodmother_spiderling"				"새끼거미"
		"npc_dota_broodmother_spiderite"				"약한 새끼거미"
		"npc_dota_witch_doctor_death_ward"				"죽음의 와드"
		"npc_dota_shadow_shaman_ward"					"뱀 와드"
		"npc_dota_shadow_shaman_ward_1"					"뱀 와드"
		"npc_dota_shadow_shaman_ward_2"					"뱀 와드"
		"npc_dota_shadow_shaman_ward_3"					"뱀 와드"
		"npc_dota_venomancer_plague_ward"				"역병 와드"
		"npc_dota_venomancer_plague_ward_1"				"역병 와드"
		"npc_dota_venomancer_plague_ward_2"				"역병 와드"
		"npc_dota_venomancer_plague_ward_3"				"역병 와드"
		"npc_dota_venomancer_plague_ward_4"				"역병 와드"
		"npc_dota_lesser_eidolon"						"약한 분열체"
		"npc_dota_eidolon"								"분열체"
		"npc_dota_greater_eidolon"						"덩치 큰 분열체"
		"npc_dota_dire_eidolon"							"흉악한 분열체"
		"npc_dota_rattletrap_cog"						"강화 톱니"
		"npc_dota_juggernaut_healing_ward"				"치유 와드"
		"npc_dota_templar_assassin_psionic_trap"		"사이오닉 덫"
		"npc_dota_weaver_swarm"							"벌레 떼"
		"npc_dota_pugna_nether_ward"					"황천 와드"
		"npc_dota_pugna_nether_ward_1"					"황천 와드"
		"npc_dota_pugna_nether_ward_2"					"황천 와드"
		"npc_dota_pugna_nether_ward_3"					"황천 와드"
		"npc_dota_pugna_nether_ward_4"					"황천 와드"
		"npc_dota_lycan_wolf1"							"늑대"
		"npc_dota_lycan_wolf2"							"늑대"
		"npc_dota_lycan_wolf3"							"늑대"
		"npc_dota_lycan_wolf4"							"늑대"
		"npc_dota_lycan_wolf_lane"						"늑대인간 늑대"
		"npc_dota_lone_druid_bear1"						"영혼 곰"
		"npc_dota_lone_druid_bear2"						"영혼 곰"
		"npc_dota_lone_druid_bear3"						"영혼 곰"
		"npc_dota_lone_druid_bear4"						"영혼 곰"
		"npc_dota_brewmaster_earth"						"대지 전사"
		"npc_dota_brewmaster_earth_1"					"대지 전사"
		"npc_dota_brewmaster_earth_2"					"대지 전사"
		"npc_dota_brewmaster_earth_3"					"대지 전사"
		"npc_dota_brewmaster_earth_4"					"대지 전사"
		"npc_dota_brewmaster_storm"						"폭풍 전사"
		"npc_dota_brewmaster_storm_1"					"폭풍 전사"
		"npc_dota_brewmaster_storm_2"					"폭풍 전사"
		"npc_dota_brewmaster_storm_3"					"폭풍 전사"
		"npc_dota_brewmaster_storm_4"					"폭풍 전사"
		"npc_dota_brewmaster_fire"						"불 전사"
		"npc_dota_brewmaster_fire_1"					"불 전사"
		"npc_dota_brewmaster_fire_2"					"불 전사"
		"npc_dota_brewmaster_fire_3"					"불 전사"
		"npc_dota_brewmaster_fire_4"					"불 전사"
		"npc_dota_brewmaster_void"						"공허 전사"
		"npc_dota_brewmaster_void_1"					"공허 전사"
		"npc_dota_brewmaster_void_2"					"공허 전사"
		"npc_dota_brewmaster_void_3"					"공허 전사"
		"npc_dota_brewmaster_void_4"					"공허 전사"
		"npc_dota_ignis_fatuus"							"도깨비불"
		"npc_dota_unit_tombstone1"						"묘비"
		"npc_dota_unit_tombstone2"						"묘비"
		"npc_dota_unit_tombstone3"						"묘비"
		"npc_dota_unit_tombstone4"						"묘비"
		"npc_dota_unit_undying_zombie"					"언다잉 좀비"
		"npc_dota_unit_undying_zombie_torso"			"언다잉 좀비"
