"lang"
{ 
	"Language" "finnish" 
				"npc_dota_hero_lion_bio"														"Verivelhojen loitsuperinteiden mestarinakin toiminut Lion keräsi kunniaa veljiensä keskuudessa taistellessaan valon ja oikeudenmukaisuuden puolesta. Mutta kunnia kihahtaa päähän. Ylitsepääsemättömien voimiensa lumossa hän tuli paholaisen viekottelemaksi, muuttuen pahaksi ja vaihtaen sielunsa kunniaan. Lion teki hirmuisia rikoksia, jotka korruptoivat hänen sielunsa, kunnes hänet hylättiin. Paholainen petti hänet hyötyessään vihollisista enemmän. Raivon vallassa Lion seurasi paholaista helvettiin ja surmasi sen, repien irti raajan raajalta ja vaihtaen kätensä paholaisen käteen. Tästä ei kuitenkaan selvitty ilman seurauksia. Lionin ruumis muotutui tätä tehdessä tunnistamattomaksi. Hän palasi helvetistä raivon ruumiillistumana, tappaen jopa heidät, jotka aikoinaan pitivät häntä mestarinaan ja tuhoten maat, joita hän joskus rakasti. Hän elää nykyään Verivelhojen perinteiden ainoana harjoittajana ja aloittelevina velhoina esittäytyvät huomaavat nopeasti heidän manansa kadonneen kuin tuhka tuuleen, jonka jälkeen heistä ei ole edes kättä nostamaan."

				"npc_dota_hero_vengefulspirit_bio"												"Tyytyväisimmätkin Taivaankiitäjät ovat äkkipikaisia olentoja, jotka himoavat kostoa pienimmästäkin loukkauksesta. Mutta Kostonhenki on kostoa itsessään. Shendelzare, joka oli aikoinaan ylpeä ja villi Taivaankiitäjän jälkeläinen, oli ensimmäinen Aavemaisen kotkanpesän perimäjärjestyksessä, kunnes hänen siskonsa keplotteli tämän oikeuden itselleen. Palkkamurhaajan verkkoon jäänyt Shendelzare pakeni siipiensä kustannuksella, ryömien paikalta nöyryytettynä: kävellen. Shendelzare tiesi, että ilman siipiä hänen kansansa ei ikinä hyväksyisi häntä johtajakseen. Hän tiesi myös, ettei pääsisi käsiksi siskoonsa, sillä tämä oleskeli kotkanpesän korkeimmalla orrella, jonne oli pääsy ainoastaan siivillä. Shendelzare ei halunnut elää rajoitettua elämää siivettömänä, ja äärimmäisen kostonhimon pauloissa hän teki sopimuksen jumalatar Scree'Aukin kanssa: hän luovutti rikkinäisen ruumiinsa katoamattomaan, koston ylläpitämään energiamuotoon, jolla hän pystyisi tekemään suurta tuhoa materiaalisessa maailmassa. Shendelzare saattaa olla siipirikko, mutta hän tulee saamaan kostonsa."

				"npc_dota_hero_witch_doctor_bio"												"Jäykkä hahmo liikkuu nykien eteenpäin. Sillä on rosoiset piirteet ja groteski käynti. Herpaantumatta se kulkee taistelukentällä ristiin rastiin ja hakee vihollisten heikkoa kohtaa, johon voisi iskeä helpoimmin aiheuttaen eniten vahinkoa. Kukaan ei tiedä, onko köyry kummajainen onnettomuuden tulosta vai kummajaiseksi luotu, mutta sen voimia ei kukaan epäile. Pitkä sauva tömähtelee maata vasten, kun poppamies Zharvakko etenee ja laukoo valtavan arsenaalin taikakaluja, kirouksia ja loitsuja. Taito kumpuaa Arkturan saarella aikain saatossa opitusta ja huippuunsa hiotusta magiasta, jota se käyttää nykyisin vihollisten nujertamiseen. Zharvakko voi olla paras ystävä tai pahin vihollinen, se voi parantaa liittolaiset ja tehdä selvää kaikista, jotka uskaltavat vastustaa sitä."

				"npc_dota_hero_leshrac_bio"														"Leshrac, tuo piinattu sielu, on luonnon sydämestä revitty olento, joka on olemassa sekä tässä maailmassa että tuonpuoleisessa. Huomattavan älykkyytensä ansiosta hän ei pysty hetkeksikään jättämään huomiotta koko luomakunnan keskuudessa vallitsevaa tuskaa. Joskus muinoin Leshrac oli elämän tarkoituksen löytämiseen vihkiytynyt suuri filosofi, ja sukelsi olemuksen syvimpiin syövereihin Kronoptisten kristallien avulla. Niiden paljastamat kamalat totuudet kuitenkin muuttivat hänet lopullisesti, ja Leshracin synkässä valaistuneisuuden maailmassa ei ole enää muuta valoa kuin hänen ylimielisyytensä liekki. Kuten muutkin elementaaliset olennot, hän on yhtä luonnon kanssa, mutta tässä tapauksessa se luonto on varsin katala ja viekas. Vain hän tietää todellisuuden pahuuden eikä näe mitään käyttöä heille, jotka uskovat että kosmoksella on erityinen palkkio hyvyyden lähettiläille."		

				"npc_dota_hero_juggernaut_bio"													"Kukaan ei ole ikinä nähnyt Yurneron, itse suuren Juggernautin, naamion taakse kätkeytyviä kasvoja. On itseasiassa silkkaa arvailua, että hänellä edes on kasvot. Noustuaan korruptoitunutta ylimystä vastaan Yurnero karkotettiin muinaiselta Naamioiden saarelta – rangaistus, joka pelasti hänen henkensä. Koko saari hävisi pian näiden tapahtumien jälkeen kostonhimoisen taikuuden nostattamaan aallokkoon. Vain Yurnero jäi eloon jatkamaan saaren pitkiä Juggernauttien perinteitä, johon liittyvät sekä rituaalit että miekkailutaito. Tämän taitojensa viimeisen harjoittajan itseluottamus ja urhoollisuus ovat loputtoman harjoittelun tulos. Hänen kekseliäs miekankäyttönsä todistaa, ettei hän ole koskaan lopettanut itsensä haastamista. Silti Yurneron motiivit ovat säilyneet piilossa yhtä hyvin kuin hänen ilmeensä. Hän on menettänyt kaiken kahdesti, mutta taistelee aina kuin voitto olisi itsestäänselvyys. "

				"npc_dota_hero_pudge_bio"														"Loputtoman verilöylyn taistelukentillä, Quoidgesta etelään, pyylevä hahmo työskentelee lakkaamatta läpi yön. Hän katkoo raajoja, repii sisälmyksiä ja kasaa kuolleilta keräämänsä ruumiinosat, jotta taistelukenttä olisi tyhjä aamun koittaessa. Tässä kirotussa maassa mikään ei voi maatua; mikään maasta tullut ei ole maahan palava, vaikka kuinka syvän kuopan toiselle kaivaisi. Teurastaja Pudge hioo taitojaan terillä, jotka teroittuvat käytössä, seuranaan vain haaskalinnut, jotka haluavat hänen pilkkovan ateriat nokkiinsopiviksi paloiksi. Huis, huis, krunts. Liha irtoaa luusta, jänteet ja nivelet katkeavat kuin märkä paperi. Intohimo teurastusta kohtaan Pudgella oli ollut aina, mutta ajan mittaan hän alkoi arvostaa myös sen sivutuotteita. Se alkoi kimpaleesta lihaa ja tilkasta verta... eikä aikaakaan, kun hän jo upotti leukansa kovimpaankin ruumiiseen kuin koira, joka järsii luuta. Jopa he, jotka eivät pelkää noutajaa, pelkäävät Teurastajaa."

				"npc_dota_hero_bane_bio"														"Kun jumalilla on painajaisia, niihin on syypää Paholaisen elementti. Tämä myös Atropoksena tunnettu henkiolento Bane syntyi jumalatar Nyctashan öisistä kauhun hetkistä. Unet eivät saaneet pidettyä Banea kurissa. Hän nousi unten keskeltä, ammensi voimaa jumalattaren kuolemattomuudesta ja loi huuruisen olemuksensa tämän tummasta verestä. Bane on pelon ydin. Kun hän puhuu kuolevaisille, on kuin ääni kuiskisi synkkiä salaisuuksia. Hän vetoaa sankareiden sisimmässä piilevään pelkoon. Hereilläolo ei suojaa Banen mustalta vereltä, joka tervan lailla kahlitsee viholliset painajaiseen. Banen läheisyys saa sankaritkin pelkäämään pimeää."

				"npc_dota_hero_earthshaker_bio"													"Golemien tai gargoilien tapaan Järistäjä oli aluksi yhtä maan kanssa, mutta kulkee nyt vapaana sen päällä. Toisin kuin nuo muut olennot, hän hoiti luomistyönsä itse oman tahtonsa voimalla, eikä näin palvele mitään herraa. Syvässä kivenkolossa viettämässään levottomassa unessa hän tuli tietoiseksi yllään vapaana virtaavasta elämästä. Uteliaisuus voitti. 
<br><br>Maanjäristysten aikaan Nishain huiput ravistelivat itsensä vapaaksi maanvyöryjen voimalla, siirtäen jokia ja tehden matalista laaksoista pohjattomia rotkoja. Kun maa vihdoin rauhoittui, Järistäjä ilmaantui laskevan pölypilven keskeltä heitellen syrjään massiivisia kivenlohkareita kuin kevyen peiton. 
<br><br>Hän oli muotoutunut kuolevaiseksi pedoksi ja ottanut nimen Raigor Kivisorkka. Nyt hän vuotaa verta ja hengittää, joten hän voi myös kuolla. Mutta hänen henkensä on silti yhtä itse maan kanssa, hän kantaa mukanaan sen voimaa maagisessa toteemissa, joka ei ikinä jätä häntä. Sinä päivänä kun Järistäjä taas kerran sulautuu yhdeksi maankamaran kanssa, se tervehtii häntä kuin tuhlaajapoikaa."

				"npc_dota_hero_sand_king_bio"													"Usva-aavikon hiekka on elävää ja ajattelevaa. Se puhuu itselleen, pohtii ajatuksia, joita vain sen laajuus voi käsittää. Ottaakseen yhteyttä rajoitetumpiin elämänmuotoihin se vapauttaa osan itsestään ja täyttää sillä maagisen panssarinsa. Tämä osa kutsuu itseään nimellä Crixalis, \"hiekan sielu\", mutta muut tuntevat sen nimellä hiekkakuningas, Sand King. Sand Kingin ulkomuoto muistuttaa Usva-aavikon väestön tapaan valtavaa hämähäkkieläintä, joka kuvaa hyvin sen raivokasta luonnetta. Sand King on suojelija, soturi, lähettiläs ja erottamaton sen synnyttäneestä aavikosta."

				"npc_dota_hero_nevermore_bio"													"Legenda kertoo Nevermorella, Varjopaholaisella, olevan runoilijan sielu, ja itse asiassa hänellä on niitä tuhansia. Vuosituhansien ajan hän keräsi runoilijoiden, pappien, keisareiden, kerjäläisten, orjien, filosofien, rikollisten ja luonnollisesti sankareiden sieluja. Mikään sielu ei voi paeta häntä. Mitä hän tekee sieluilla on mysteeri. Kukaan ei ole koskaan vilkaissutkaan kuiluun, josta Nevermore kurkottaa kuin ankerias astraalikivien keskuudesta. Syökö hän sielut yksi kerrallaan? Kehystääkö hän ne yliluonnollisen temppelin käytäville, vai tekeekö hän niistä keittoa? Vai onko hän vain sätkynukke, jota jokin demonijumala ohjaa ulottuvuuksien repeämän takaa? Hänen pahuutensa on niin ehdotonta, hänen pimeyden auransa niin voimakas, etteivät kuolevaiset voi sitä ymmärtää. Jos haluat tietää, mitä kerätyille sieluille tapahtuu, on vain yksi keino ottaa asiasta selvää: lisää sielusi hänen kokoelmaansa. Tai odota vain Nevermorea."

				"npc_dota_hero_sven_bio"														"Sven on Pallid Meranthan synnyttämä Vartioritarin avioton lapsi, joka varttui Varjorannan raunioissa. Sven, jonka isä teloitettiin Vartiosääntöjen rikkomisesta ja jonka äitiä vieroksuttiin villin rodun takia, ei uskonut kunnian löytyvän yhteiskuntajärjestyksestä, vaan hänestä itsestään. Huolehdittuaan sairaan äitinsä hautaan Sven haki aloittelijaksi Vartioritareihin, muttei koskaan paljastanut henkilöllisyyttään. Kolmentoista vuoden ajan hän opiskeli isänsä koulussa ja harjoitteli tiukkoja sääntöjä, jotka pitivät hänen olemassaoloaan kammottavana. Päivänä, jolloin hänen piti valmistua, hän tarttui miekkaansa, murskasi pyhän kypärän, poltti sääntökirjan Vartion pyhässä tulessa ja harppoi ulos vartiotornista. Hän olisi vastedes yksin ja noudattaisi omia sääntöjään viimeiseen riimuun asti. Hän on edelleen ritari, Kulkuriritari, joka on tilivelvollinen vain ja ainoastaan itselleen."

				"npc_dota_hero_phantom_assassin_bio"											"Lapsia valitaan salamurhaa pyhänä, luonnollisena asiana pitävän lahkon, Huntusiskojen kasvatettaviksi ennustusten avulla. Huntusiskot päättävät kohteensa meditaation ja mystisten lausahdusten perusteella. He eivät tee sopimuksia eivätkä tunnu valitsevan kohteitaan poliittisista tai taloudellisista syistä. He tappavat ilman mitään agendaa, ja murhat saattavat vaikuttaa täysin satunnaisilta: hengestään pääsee yhtä lailla korkeassa asemassa oleva kuin talonpoika tai kaivonkaivaja. Jos murhilla on jokin kaava, sen tietävät vain Huntusiskot itse. He pitävät kohteitaan uhrauksina, ja uhriksi päätymistä pidetään kunnia-asiana. Aavemurhaajat kasvavat ilman varsinaista henkilöllisyyttä, joten he voivat milloin tahansa korvata toisensa. Heidän lukumäärästään ei ole tietoa. Heitä voi olla paljon tai vähän. Kukaan ei tiedä, mitä hunnun alla piilee. Tämä tosin kuiskii toisinaan huntunsa takaa oma nimeään, Mortredia, kun kukaan ei ole kuulemassa."

				"npc_dota_hero_skeleton_king_bio"												"Kuningas Ostarion rakensi valtakuntaansa vihollistensa jäänteistä lukemattomien vuosien ajan. Se oli pakkomielle, jota tekemällä hän sai aikansa kulumaan eläessään ikuista valtakauttaan, joka ei koskaan näyttänyt päättyvän. Hän uskoi, ettei voisi kuolla, jos vain rakentaisi uusia torneja palatsiinsa. Lopulta hän kuitenkin tajusi erehtyneensä... sillä jopa luu voi pettää. Ostarion alkoi etsiä pysyvämpää tapaa ylläpitää valtakuntaansa. Hän ei kuitenkaan luottanut lihaan, vaan päätyi lopulta tavoittelemaan aave-energiaa, eräänlaista pimeiden sielujen kuollessaan luovuttamaa puhdasta henkeä. Hän ajatteli, että täyttämällä itsensä aaveolemuksella hän saisi kehon, joka olisi yhtä valovoimainen ja ikuinen kuin hänen egonsa. Kerran vuosituhannessa tapahtuvan talvipäivänseisauksen aikaan, aaveiden yönä, hän aloitti muodonmuutosrituaalin, ja käski alamaisiaan keräämään tarpeeksi sieluja kuolemattomuutensa raaka-aineeksi. Kukaan ei tiedä, kuinka moni sankari kaatui, sillä ainoa merkittävä eloonjäänyt oli seuraavan aamun koitteessa noussut Aavekuningas. Nykyään hän ei juurikaan vietä aikaansa hehkuvalla valtaistuimellaan, vaan marssii miekka kädessään ja vaatii alamaisiltaan uskollisuutta, joka ulottuu kuolemaakin pidemmälle."

				"npc_dota_hero_drow_ranger_bio"													"Maahisvaeltaja sai nimekseen Traxex. Se on sopiva nimi lyhyen, peikkomaisen, varsin vastenmielisen metsämaahiskansan jäsenelle. Mutta Traxex ei ole yksi heistä. Hänen vanhempansa taittoivat matkaa karavaanissa, jonka kimppuun ryövärit hyökkäsivät. Viattomien törkeä teurastus nostatti hiljaisen maahiskansan vihan pintaan. 
<br><br>Taistelun rauhoituttua he löysivät tuhotuista vankkureista pikkutytön ja totesivat, ettei häntä voi jättää luonnon armoille. Jo lapsena Traxex osoitti olevansa luonnonlahjakkuus metsämaahiskansan arvostamissa kyvyissä: huomaamattomuudessa, hiljaisuudessa ja oveluudessa. Sielultaan hän olisi voinut hyvin olla maahisvaihdokas, joka oli palannut oikeaan kotiinsa. Mutta iän myötä hänestä tuli perhettään pidempi, ja hän alkoi pitää itseään rumana. Hän oli piirteiltään muista poiketen sileä ja symmetrinen, täysin syylätön ja viiksetön. 
<br><br>Etäännyttyään adoptioheimostaan Traxex vetäytyi asumaan yksin metsään. Metsäretkillään eksyneet vaeltajat, jotka löysivät lopulta tiensä kotiin, kertoivat satumaisen kauniista kulkijasta, joka tähyili heitä syvältä metsän siimeksestä ja hävisi kuin tuhka tuuleen ennen kuin häntä pystyi lähestymään. Notkea, huomaamaton ja jäätävän kaunis Traxex liikkuu hiljaa usvan lailla. Metsästä kuuluu vain kuiskailua, joka lähtee hänen jäisistä nuolistaan niiden hakeutuessa vihollisten sydämiin."

				"npc_dota_hero_morphling_bio"													"Aikakausien ajan komeetta kierteli. Kaukaisen tähden pakenemattoman painovoiman kahleissa massiivinen jääpallo matkasi maailmojen välisessä mustuudessa, pimeän matkansa muuttamana. Muinaisen Vloyn sodan aattona se syöksyi taivaan läpi valaisten yön – molemmat valmistautuvat armeijat tulkitsivat sen ennusmerkiksi. Jäinen pallo suli silmänräpäyksessä, kahden armeijan ottaessa yhteen kapean joen ympäristössä. Vapautettuna jäisestä vankeudestaan Morphling syntyi taisteluun ja omaksui ensimmäisenä jokeen uskaltautuneen kenraalin muodon, ja sitten tappaen tämän. Sekalaisten sotilaitten taistellessa hän eteni muodosta muotoon läpi taistelun, hetkessä omaksuen kohteensa tavat – jalkamies yhtenä hetkenä, jousiampuja toisena ja ratsumies kolmantena – kunnes viimeisen sotilaan kaatuessa Morphling oli esittänyt jokaista osaa. Taistelun loppu oli hänen alkunsa."

				"npc_dota_hero_bloodseeker_bio"													"Veriveli Strygwyr on rituaalisesti valtuutettu metsästäjä, Nyljettyjen kaksosten verikoira, joka on lähetetty Xhacatocatl:n usvan peittämiltä huipuilta etsimään verta. Nyljetyt vaativat valtavan määrän verta pysyäkseen tyytyväisinä ja täysjärkisinä, ja he olisivatkin jo luultavasti tyhjentäneet koko vuoristovaltakuntansa väestöstään, elleivät ylätasankojen papit olisi heitä rauhoittelemassa. Tästä johtuen Strygwyr laskeutui vuorelta hakemaan kunnon verilöylyä. Tärkeät osat hänen keräämästään verestä siirtyvät suoraan kaksosille hänen aseissaan ja panssarissaan olevien pyhien merkintöjen avulla. Vuosien varrella hänestä on kehittynyt raa'an ajokoiran energian ruumiillistuma; taisteluissa hän on villi kuin sakaali. Veriveljen naamion alta kerrotaan toisinaan löytyvän Nylkijöiden piirteitä heidän ohjatessaan verikoiraansa."

				"npc_dota_hero_axe_bio"															"Jalkaväen sotilaana Punaisen usvan armeijassa Mogul Khan päätti, että hänestä tulee Punaisen usvan kenraali. Taistelussa toisensa perään hän todisti kykynsä raakojen tekojen kautta. Uran etenemistä auttoi eritoten se, ettei hän koskaan epäröinyt ylempiarvoisenkaan mestaamista. Seitsemänvuotisen Tuhannen lammen kampanjan aikana hän ansioitui verenvuodatuksen saralla. Hänen tähtensä loisti kirkkaana, vaikka asetovereiden määrä väheni vähenemistään. Voitokkaana iltana Kirvesmies julisti itsensä Punaisen usvan kenraaliksi ja otti nimen Axe. Mutta tuoreen kenraalin joukot olivat kuivuneet kokoon. Osa oli toki kaatunut taistelussa, mutta Axe kirveineen oli syypää monen sotilaan kuolemaan. Oli siis sanomattakin selvää, että useimmat sotilaat karsastivat Axea kenraalina. Kirvesmiestä se ei kiinnostanut tippaakaan, sillä hän tiesi, että yhden miehen armeija on ehdottomasti paras."

				"npc_dota_hero_phantom_lancer_bio"												"Kaukaisella Paalun kylällä ei ollut mitään hajua kuningaskunnan sydämessä vellovasta sodasta. Heille keihäskalastuksen tarjoama hiljaisuus ja ateria oli kaikki, mitä elämältä tarvitsi. Mutta sotaan he joutuivat joka tapauksessa. Aivan kuten kaikki muutkin työkykyiset varusmiehet, nöyrä keihästäjä Azwraith lupasi tuoda rauhan valtakuntaansa, ja samalla myös kansalleen. Jouduttuaan heimolaistensa kanssa eturintamaan Kauhumaagi Vornia vastaan viimeiseen rynnäkköön, hänen tovereidensa menetykseltä ei voinut välttyä. Kun rynnäköivä joukko taisteli kohti linnoitusta, vain Azwraith heimolaistensa kanssa olivat jäljellä, ja vain hän onnistui murtautumaan linnoituksen sisäpuolelle. 
<br><br>Keskittyneenä ja veljiensä murhista raivoissaan Azwraith päihitti jokaisen velhon tappavista ansoista ja kätyreistä. Pian tämä vaivainen kalastaja saapui Vornin tornin kammioon. Kaksikko kamppaili läpi yön, keihäs sauvaa vastaan, kun kaaos raivosi heidän alapuolellaan, ja korviahyytävän huudon voimalla Azwraith lävisti vihollisensa. Mutta velho ei noin vain kadonnut; hän räjähti lukemattomiksi valosirpaleiksi, läpäisten tappajansa voimalla. Kun taistelun aiheuttama savu hälveni, Azwraith löysi itsensä heimolaistensa ympäröimänä. Jokainen heistä oli pukeutunut hänen vaatteisiinsa, jokainen oli varustautunut hänen aseillaan, ja Azwraith huomasi jokaisen ajattelevan hänen ajatuksillaan. Kun hän tajusi liittolaistensa tulevan, hän komensi nämä aaveet piiloon, ja niin jokainen niistä katosi yksitellen tyhjyyteen. Kun sotilaat saapuivat kammioon, he löysivät sen soturin, joka päihitti ilkeän velhon. Kun he lähestyivät mestaria, keihästäjä katosi. Keihäsmies, joka heidän edessään seisoi, ei ollut mitään muuta kuin aave."

