"lang"
{ 
	"Language" "portuguese" 
	"Tokens" 
	{

		"DOTA_TrophyName_Quartero_Fall2025"				"Quartero 2025"
		"DOTA_Seasonal_Winter_2025_q02_intro_06"						"Depois disso, volta tudo à história do costume. Mas terás mais oportunidades de a ganhar."
		"DOTA_Seasonal_Winter_2025_q02_intro_07"						"E por último, porque o melhor fica para o fim: agora poderás escolher o teu tesouro de entre um punhado de opções."
		"DOTA_Seasonal_Winter_2025_q02_intro_08"						"O resto é tudo igual! Joga o jogo e ganha conjuntos inéditos de graça!"
		"DOTA_Seasonal_Winter_2025_q02_intro_09"						"Graças a mim, o Quartero! O feliz homem-bode que recebe todas as tuas cartas agressivas e ofensivas.\""

		"DOTA_Seasonal_Winter_2025_Description"							"Joga Dota e recebe acessórios para heróis GRÁTIS!"
		"DOTA_Seasonal_Winter_2025_Ends_On"								"Disponível até:"
		"DOTA_Seasonal_Winter_2025_Outro_01"							"\"O relógio está a contar! Não percas a oportunidade de ganhar estes tesouros de valor inestimável!"
		"DOTA_Seasonal_Winter_2025_Outro_02"							"Quando o tempo acabar, estes conjuntos irão desaparecer... PARA SEMPRE! POSSIVELMENTE! Quem sabe?! Estarão indisponíveis durante algum tempo, pelo menos.\""

		"DOTA_Seasonal_VisualNovel_ClickToContinue"						"Clica para continuar"
		"DOTA_Seasonal_VisualNovel_Reward"								"RECOMPENSA:"
		
		"DOTA_Seasonal_Fall_2025_WD_Bundle"								"Papa Wanga"
		"DOTA_Seasonal_Fall_2025_LC_Bundle"								"Drakon's Deed"
		"DOTA_Seasonal_Fall_2025_LC_Bundle2"							"Drakon's Ire"
		"DOTA_Seasonal_Fall_2025_VS_Bundle"								"Maledictions of Morrigan"

		"DOTA_Quartero_Set_Tier1"								"Classe 1"
		"DOTA_Quartero_Set_Tier2"								"Classe 2"

		"DOTA_Fall2025_EventLevel_Tooltip_Title"				"Nível das Curiosidades"
		"DOTA_Fall2025_EventLevel_Tooltip_Status_Level"			"Nível <b>{d:event_level}</b>"
		"DOTA_Fall2025_EventLevel_Tooltip_Status"				"{d:level_progress} / {d:points_per_level} XP"
		"DOTA_Fall2025_EventLevel_Tooltip_Body"					"Joga partidas para ganhares níveis e desbloqueares novas Curiosidades do Quartero.<br><br>Vitórias = {d:win_xp} XP. Derrotas = {d:lose_xp} XP.<br><i>Turbo</i>: Vitórias = {d:win_turbo_xp} XP. Derrotas = {d:lose_turbo_xp} XP."
		"DOTA_Fall2025_EventLevel_Tooltip_PreviousMatchInfo"	"({d:points_gained} XP da tua partida anterior.)"
		"DOTA_Fall2025_FirstReward_Tooltip"			"A tua primeira Curiosidade está disponível!<br>Clica para reclamares o teu item grátis."
		"DOTA_Fall2025_SeasonalParticlesTitle"		"Efeitos do evento"
		"DOTA_Fall2025_RandomHeroSets"				"Antiguidades"
		"DOTA_Fall2025_Tier1"						"Classe 1"
		"DOTA_Fall2025_Tier2"						"Classe 2"

		"DOTA_Seasonal_Winter_2025_ShadowShaman_Bundle"		"Nether Beetle"
		"DOTA_Seasonal_Winter_2025_SF_Bundle"				"Molten Monarch"
		"DOTA_Seasonal_Winter_2025_Axe_Bundle"				"Ember Enforcer"
		"DOTA_Seasonal_Winter_2025_Axe_Bundle2"				"Gilded Tyrant"

		"DOTA_Reward_Line_Winter_2025_HeroSetRewardDescription"		"Escolhe de entre 5 conjuntos aleatórios.<br><br>Os conjuntos à escolha são selecionados aleatoriamente de entre mais de 100 conjuntos lançados no passado, com uma pequena probabilidade de incluir um Imortal ou Arcano."
		"DOTA_Reward_Line_Winter_2025_HQHeroSetRewardDescription"	"Escolhe de entre 5 conjuntos superespeciais aleatórios.<br><br>Os conjuntos à escolha são selecionados aleatoriamente de entre mais de 100 conjuntos lançados no passado, com uma probabilidade de incluir um Imortal ou Arcano."

		"DOTA_Past_Seasonal_Event_Claim_Text"	"Usa Fragmentos para <b>reclamar recompensas anteriores</b>"

		"DOTA_Quartero_EventPurchasePoints_Title" "Troca Fragmentos por pontos do Quartero"
		"DOTA_Quartero_EventPurchasePoints_Text" "Queres trocar {g:dota_shards_value:points_to_spend} por {d:points_to_buy} pontos do Quartero para desbloquear o nível {d:level_to_buy}?"
		"DOTA_Quartero_EventPurchasePointsNotEnough_Text" "Não tens os {g:dota_shards_value:points_to_spend} necessários para comprar {d:points_to_buy} pontos do Quartero."

	}
} 
