"lang"
{ 
	"Language" "portuguese" 
	"Tokens" 
	{
		// To create a new key ( like $health ) just add the entry here
		"dota_ability_variable_health"				"de vida"					// $health
		"dota_ability_variable_mana"				"de mana"						// $mana
		"dota_ability_variable_armor"				"de armadura"						// $armor
		"dota_ability_variable_damage"				"de dano"					// $damage
		"dota_ability_variable_str"					"de Força"					// $str
		"dota_ability_variable_int"					"de Inteligência"				// $int
		"dota_ability_variable_agi"					"de Agilidade"					// $agi
		"dota_ability_variable_all"					"a todos os atributos"			// $all
		"dota_ability_variable_primary_attribute"	"ao atributo principal"			// $primary_attribute
		"dota_ability_variable_attack"				"de rapidez de ataque"				// $attack
		"dota_ability_variable_attack_pct"			"de rapidez de ataque base"	// $attack_pct
		"dota_ability_variable_hp_regen"			"de regeneração de vida"		// $hp_regen
		"dota_ability_variable_lifesteal"			"de roubo de vida"					// $lifesteal
		"dota_ability_variable_mana_regen"			"de regeneração de mana"			// $mana_regen
		"dota_ability_variable_mana_regen_aura"		"de regeneração de mana (aura)"	// $mana_regen_aura
		"dota_ability_variable_spell_amp"			"de dano de feitiços"				// $spell_amp
		"dota_ability_variable_debuff_amp"			"à duração de debuffs"			// $debuff_amp
		"dota_ability_variable_move_speed"			"de rapidez de movimento"			// $move_speed
		"dota_ability_variable_evasion"				"de evasão"					// $evasion
		"dota_ability_variable_spell_resist"		"de resistência a magia"			// $spell_resist
		"dota_ability_variable_spell_lifesteal"		"de roubo de vida por habilidades"			// $spell_lifesteal
		"dota_ability_variable_spell_lifesteal_creep"	"de roubo de vida por habilidades (creeps)"	// $spell_lifesteal_creep
		"dota_ability_variable_spell_lifesteal_hero"	"de roubo de vida por habilidades (heróis)"	// $spell_lifesteal_hero
		"dota_ability_variable_selected_attrib"		"ao atributo selecionado"		// $selected_attribute
		"dota_ability_variable_attack_range"		"de alcance de ataque <font color='#7d7d7d'>(Só à distância)</font>"	// $attack_range
		"dota_ability_variable_attack_range_melee"	"de alcance de ataque <font color='#7d7d7d'>(Só corpo a corpo)</font>"	// $attack_range_melee
		"dota_ability_variable_cast_range"			"de alcance de uso"				// $cast_range
		"dota_ability_variable_status_resist"		"de resistência a debuffs"			// $status_resist
		"dota_ability_variable_projectile_speed"	"à rapidez dos projéteis"			// $projectile_speed
		"dota_ability_variable_manacost_reduction"	"de redução dos custos de mana"		// $manacost_reduction
		"dota_ability_variable_cooldown_reduction"	"de redução de cooldowns"		// $cooldown_reduction 
		"dota_ability_variable_max_mana_percentage"	"de mana máxima"			// $max_mana_percentage
		"dota_ability_variable_slow_resistance"		"de resist. a abrandamentos"			// $slow_resistance
		"dota_ability_variable_aoe_bonus"			"de área de efeito adicional"					// $aoe_bonus

		"DOTA_Tooltip_radar_cooldown"													"Cooldown: %s1"

		// Courier Tooltip		
		"DOTA_Tooltip_courier_status"													"Estado do Estafeta"
		"DOTA_Tooltip_courier_no_couriers"												"Nenhum estafeta encontrado"
		"DOTA_Tooltip_courier_status_at_base"											"Na base"					// idle at the fountain, or working with the stash
		"DOTA_Tooltip_courier_status_idle_in_world"										"Inativo no terreno"			// idle somewhere out in the world
		"DOTA_Tooltip_courier_status_moving"											"A deslocar-se"				// moving somewhere
		"DOTA_Tooltip_courier_status_returning"											"A voltar para a base"			// move dest is the fountain
		"DOTA_Tooltip_courier_status_delivering"										"A levar itens para %s1"	// moving to a hero

		"DOTA_Tooltip_courier_respawn"													"Morto\nRessuscita em %s1"
		
        // Game mode modifiers
		"DOTA_Tooltip_modifier_turbo_courier_invulnerable"								"Invulnerável"
		"DOTA_Tooltip_modifier_turbo_courier_invulnerable_Description"					"Este estafeta não teme feitiços."
		"DOTA_Tooltip_modifier_turbo_courier_haste"										"Voador ágil"
		"DOTA_Tooltip_modifier_turbo_courier_haste_Description"							"Rapidez de movimento adicional."

		"DOTA_Tooltip_ability_ad_scepter_grant"											"Aghanim's Scepter concede uma nova habilidade: <font color=\"#ffffff\"><b>%s1</b></font>"
		"DOTA_Tooltip_ability_ad_shard_grant"											"Aghanim's Shard concede uma nova habilidade: <font color=\"#ffffff\"><b>%s1</b></font>"

		// BUILDING
		"DOTA_Tooltip_ability_backdoor_protection"										"Proteção da Retaguarda"
		"DOTA_Tooltip_ability_backdoor_protection_Description"										"A estrutura recebe dano reduzido e regenera qualquer dano infligido se não estiverem creeps inimigos por perto."
		"DOTA_Tooltip_ability_backdoor_protection_in_base"								"Proteção da Retaguarda"
		"DOTA_Tooltip_ability_backdoor_protection_in_base_Description"			"A estrutura recebe dano reduzido e regenera qualquer dano infligido se não estiverem creeps inimigos por perto."
		"DOTA_Tooltip_ability_filler_ability"										"Sanctuary"
		"DOTA_Tooltip_ability_filler_ability_Description"						"Ativa para restaurares vida e mana ao longo do tempo. Ganhas %base_xp% de XP com cada ativação."
		"DOTA_Tooltip_ability_filler_ability_Note0"								"Clica com o botão direito do rato no Sacrário para ativar."
		"DOTA_Tooltip_ability_filler_ability_Note1"								"Os valores de regeneração aumentam em +2/1 de vida/mana por minuto."
		"DOTA_Tooltip_ability_filler_ability_Note2"								"Além disso, restaura 2% da vida/mana máxima por segundo."
		"DOTA_Tooltip_ability_filler_ability_hp_heal"							"REGEN. FIXA DE VIDA:"
		"DOTA_Tooltip_ability_filler_ability_mp_heal"							"REGEN. FIXA DE MANA:"
		"DOTA_Tooltip_ability_filler_ability_hp_heal_pct"						"%REGEN. DE VIDA:"
		"DOTA_Tooltip_ability_filler_ability_mp_heal_pct"						"%REGEN. DE MANA:"
		"DOTA_Tooltip_ability_filler_ability_duration"							"DURAÇÃO:"
		"DOTA_Tooltip_ability_filler_ability_radius"							"RAIO:"

		//COURIER
		"DOTA_Tooltip_ability_courier_return_to_base"									"Voltar à Base"
		"DOTA_Tooltip_ability_courier_return_to_base_Description"						"Manda o estafeta de volta à base"
		"DOTA_Tooltip_ability_courier_transfer_items"									"Entregar Itens"
		"DOTA_Tooltip_ability_courier_transfer_items_Description"						"Leva os itens para o herói"
		"DOTA_Tooltip_ability_courier_go_to_secretshop"									"Ir à Loja Secreta"
		"DOTA_Tooltip_ability_courier_go_to_secretshop_Description"						"Envia o estafeta para a loja secreta da tua equipa"
		"DOTA_Tooltip_ability_courier_return_stash_items"								"Devolver Itens"
		"DOTA_Tooltip_ability_courier_return_stash_items_Description"					"Devolve os itens à arca"
		"DOTA_Tooltip_ability_courier_shield"											"Escudo"
		"DOTA_Tooltip_ability_courier_shield_Description"								"Aplica um escudo protetor à volta do estafeta"
		"DOTA_Tooltip_ability_courier_shield_duration"									"DURAÇÃO:"
		"DOTA_Tooltip_ability_courier_burst"											"Impulso de Velocidade"
		"DOTA_Tooltip_ability_courier_burst_Description"								"O estafeta ganha um aumento considerável de rapidez durante %duration% segundos"
		"DOTA_Tooltip_ability_courier_burst_movement_speed"				"%BÓNUS DE RAPIDEZ DE MOVIMENTO:"
		"DOTA_Tooltip_ability_courier_take_stash_items"									"Retirar Itens"
		"DOTA_Tooltip_ability_courier_take_stash_items_Description"						"Retira os itens da arca"
		"DOTA_Tooltip_ability_courier_autodeliver"									"Entrega automática"
		"DOTA_Tooltip_ability_courier_autodeliver_Description"						"Ativa ou desativa a entrega automática de itens."
		
		//NECRONOMICON
		"DOTA_Tooltip_ability_necronomicon_warrior_mana_burn"							"Mana Break"
		"DOTA_Tooltip_ability_necronomicon_warrior_mana_burn_Description"				"Mana é queimada por golpe, uma porção da qual será convertida em dano."
		"DOTA_Tooltip_ability_necronomicon_warrior_mana_burn_burn_amount"				"MANA QUEIMADA POR GOLPE:"
		"DOTA_Tooltip_ability_necronomicon_warrior_mana_burn_burn_damage_conversion"	"%CONVERSÃO EM DANO:"
		"DOTA_Tooltip_ability_necronomicon_warrior_last_will"							"Last Will"
		"DOTA_Tooltip_ability_necronomicon_warrior_last_will_Description"				"Causa dano à unidade que matar o Necronomicon Warrior."
		"DOTA_Tooltip_ability_necronomicon_warrior_last_will_explosion"					"DANO:"
		"DOTA_Tooltip_ability_necronomicon_warrior_sight"								"True Sight"
		"DOTA_Tooltip_ability_necronomicon_warrior_sight_Description"					"Revela unidades invisíveis."
		"DOTA_Tooltip_ability_necronomicon_warrior_sight_radius"						"RAIO:"
		"DOTA_Tooltip_ability_necronomicon_archer_mana_burn"							"Mana Burn"
		"DOTA_Tooltip_ability_necronomicon_archer_mana_burn_Description"				"Lança uma flecha que queima a mana do alvo e causa dano igual à quantidade de mana queimada."
		"DOTA_Tooltip_ability_necronomicon_archer_mana_burn_burn_amount"				"MANA QUEIMADA POR GOLPE:"
		"DOTA_Tooltip_ability_necronomicon_archer_mana_burn_burn_as_damage_tooltip"				"%CONVERSÃO EM DANO:"
		
		"DOTA_Tooltip_ability_necronomicon_archer_purge"								"Purge"
		"DOTA_Tooltip_ability_necronomicon_archer_purge_Description"					"Dissipa buffs positivos de inimigos e reduz a rapidez de movimento destes.\n\nTIPO DE DISSIPAÇÃO (DISPEL): Básico"
		"DOTA_Tooltip_ability_necronomicon_archer_purge_duration"						"DURAÇÃO:"
		"DOTA_Tooltip_ability_necronomicon_archer_purge_Note0"							"Pode ser usado em unidades invulneráveis."
		"DOTA_Tooltip_ability_necronomicon_archer_purge_Note1"							"O abrandamento inicial é de 100%% e vai diminuindo ao longo do tempo para 20%%."
		"DOTA_Tooltip_modifier_necronomicon_archer_purge"								"Purge"
		"DOTA_Tooltip_modifier_necronomicon_archer_purge_Description"					"Rapidez de movimento reduzida em %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."

		"DOTA_Tooltip_ability_necronomicon_archer_aoe"									"Aura - Archer"
		"DOTA_Tooltip_ability_necronomicon_archer_aoe_Description"						"Aumenta a rapidez de movimento de unidades por perto."
		"DOTA_Tooltip_ability_necronomicon_archer_aoe_radius"							"RAIO:"
		"DOTA_Tooltip_ability_necronomicon_archer_aoe_ms_bonus"						"%BÓNUS DE RAPIDEZ DE MOVIMENTO:"

		//ANTIMAGE
		"DOTA_Tooltip_ability_antimage_mana_break"										"Mana Break"
		"DOTA_Tooltip_ability_antimage_mana_break_Description"							"Queima a mana do adversário com cada ataque e causa dano igual a uma percentagem da mana queimada."
		"DOTA_Tooltip_ability_antimage_mana_break_Lore"									"Uma técnica modificada a partir das filosofias de vida pacíficas dos monges Turstarkuri, que consiste em usar as energias mágicas do inimigo contra ele próprio."
		"DOTA_Tooltip_ability_antimage_mana_break_Note0"								"Mana Break tem %illusion_percentage%%% do efeito se causado por ilusões."
		"DOTA_Tooltip_ability_antimage_mana_break_mana_per_hit"							"MANA QUEIMADA P/ GOLPE:"
		"DOTA_Tooltip_ability_antimage_mana_break_mana_per_hit_pct"						"%MÁX. DE MANA QUEIMADA P/ GOLPE:"
		"DOTA_Tooltip_ability_antimage_mana_break_move_slow"							"%ABRANDAMENTO DE ALVO SEM MANA:"
		"DOTA_Tooltip_ability_antimage_mana_break_percent_damage_per_burn"				"%MANA QUEIMADA CONVERTIDA EM DANO:"
		"DOTA_Tooltip_ability_antimage_mana_break_slow_duration"						"DURAÇÃO DO ABRANDAMENTO:"

		"DOTA_Tooltip_Facet_antimage_magebanes_mirror"												"Magebane's Mirror"
		"DOTA_Tooltip_Facet_antimage_magebanes_mirror_Description"									"As habilidades Counterspell e Counterspell Ally refletem feitiços para quem os lançou em vez de apenas bloqueá-los."
		"DOTA_Tooltip_Facet_antimage_mana_thirst"												"Mana Thirst"		
		"DOTA_Tooltip_Facet_antimage_mana_thirst_Description"									"Anti-Mage ganha dano adicional quando os seus inimigos estão com pouca mana."		

		"DOTA_Tooltip_modifier_antimage_mana_thirst"									"Mana Thirst"
		"DOTA_Tooltip_modifier_antimage_mana_thirst_Description"						"Estás a pressentir um inimigo com pouca mana. Dano de ataque aumentado em %dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE%."
		"DOTA_Tooltip_modifier_antimage_mana_thirst_vision"								"Mana Thirst"
		"DOTA_Tooltip_modifier_antimage_mana_thirst_vision_Description"					"Anti-Mage pressente a tua falta de mana e sabe exatamente onde estás."
		"DOTA_Tooltip_modifier_antimage_thirst_effect"									"Mana Thirst"
		"DOTA_Tooltip_modifier_antimage_thirst_effect_Description"						"Estás a pressentir um inimigo com pouca mana. Dano de ataque aumentado em %dMODIFIER_PROPERTY_TOOLTIP%."

		"DOTA_Tooltip_ability_antimage_persectur"											"Persecutor"
		"DOTA_Tooltip_ability_antimage_persectur_Description"								"Os ataques abrandam inimigos com base na quantidade de mana que lhes falta. %mana_threshold%%% da mana resulta no mínimo de abrandamento e %zero_tooltip%%% da mana resulta no máximo de abrandamento. Não tem efeito se o inimigo tiver mais de %mana_threshold%%% da mana."
		"DOTA_Tooltip_ability_antimage_persectur_Note0"									"O efeito tem a eficácia total se for causado por ilusões."
		"DOTA_Tooltip_ability_antimage_persectur_move_slow_min"							"%ABRANDAMENTO MÍN. (MOVIMENTO):"
		"DOTA_Tooltip_ability_antimage_persectur_move_slow_max"							"%ABRANDAMENTO MÁX. (MOVIMENTO):"
		"DOTA_Tooltip_ability_antimage_persectur_slow_duration"							"DURAÇÃO DO ABRANDAMENTO:"

		"DOTA_Tooltip_modifier_antimage_persectur_slow"									"Persecutor - Abrandado"
		"DOTA_Tooltip_modifier_antimage_persectur_slow_Description"						"Abrandado em %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."

		"DOTA_Tooltip_modifier_antimage_empowered_mana_break"							"Mana Break"
		"DOTA_Tooltip_modifier_antimage_empowered_mana_break_Description"				"A tua próxima instância de Mana Break irá queimar mais mana."
		"DOTA_Tooltip_modifier_antimage_empowered_mana_break_debuff"					"Mana Break"
		"DOTA_Tooltip_modifier_antimage_empowered_mana_break_debuff_Description"		"Esta unidade não pode ganhar nem regenerar mana."

		"DOTA_Tooltip_ability_antimage_blink"											"Blink"
		"DOTA_Tooltip_ability_antimage_blink_Description"								"Um teletransporte de curta distância que permite ao utilizador entrar e sair de um combate rapidamente." 
		"DOTA_Tooltip_ability_antimage_blink_Lore"										"Durante o seu encontro com os Deuses Mortos, o Anti-Mage percebeu o valor de ser elusivo."
		"DOTA_Tooltip_ability_antimage_blink_Note0"										"Podes usar Blink para te desviares de projéteis."
		"DOTA_Tooltip_ability_antimage_blink_scepter_Description"						"Depois de usares Blink, a tua próxima instância de Mana Break dentro de %empowered_mana_break_duration%s queima mais %empowered_max_burn_pct_tooltip%%% da mana máxima e impede o alvo de regenerar ou ganhar mana por breves momentos. Este debuff não pode ser dissipado. Torna o cooldown de Blink %bonus_AbilityCooldown%s mais curto."
		"DOTA_Tooltip_ability_antimage_blink_empowered_mana_break_debuff_duration_tooltip"	"DURAÇÃO DO DEBUFF:"
		"DOTA_Tooltip_ability_antimage_spell_shield"									"Spell Shield"
		"DOTA_Tooltip_ability_antimage_spell_shield_Description"						"Aumenta a resistência do utilizador a dano mágico."
		"DOTA_Tooltip_ability_antimage_spell_shield_Lore"								"Anos de meditação e obsessão por vingança endureceram a pele do Anti-Mage contra oponentes místicos."
		"DOTA_Tooltip_ability_antimage_spell_shield_Note0"								"Acumula-se multiplicativamente com outras fontes de resistência a feitiços."
		"DOTA_Tooltip_ability_antimage_spell_shield_spell_shield_resistance"			"%RESISTÊNCIA:"

		"DOTA_Tooltip_ability_antimage_counterspell_ally"								"Counterspell Ally"
		"DOTA_Tooltip_ability_antimage_counterspell_ally_Facet_antimage_magebanes_mirror"		"Counterspell Ally reflete versões amplificadas de feitiços para quem os lançou."
		"DOTA_Tooltip_ability_antimage_counterspell_ally_Description"					"Counterspell Ally pode ser ativado manualmente para criar um escudo antimagia à volta de um herói aliado que bloqueia feitiços lançados contra ele. Sempre que um feitiço for bloqueado por Counterspell ou Counterspell Ally, uma ilusão do Anti-Mage será criada ao lado do inimigo."
		"DOTA_Tooltip_ability_antimage_counterspell_ally_reflected_spell_amp"			"%AMP. DE FEITIÇOS REFLETIDOS:"
		"DOTA_Tooltip_ability_antimage_counterspell"									"Counterspell"
		"DOTA_Tooltip_ability_antimage_counterspell_Facet_antimage_magebanes_mirror"		"Counterspell reflete versões amplificadas de feitiços para quem os lançou."
		"DOTA_Tooltip_ability_antimage_counterspell_Description"						"Concede passivamente resistência a magia. Counterspell pode ser ativado manualmente para criar um escudo antimagia à volta do Anti-Mage, que bloqueia feitiços lançados contra ele."
		"DOTA_Tooltip_ability_antimage_counterspell_shard_description"					"Counterspell concede passivamente uma aura que reduz o dano de feitiços de inimigos. O efeito é mais forte em inimigos próximos."
		"DOTA_Tooltip_ability_antimage_counterspell_Lore"								"Quando se concentra devidamente, o Anti-Mage consegue transformar a sua resistência inata em retaliação premeditada."
		"DOTA_Tooltip_ability_antimage_counterspell_Note0"								"O efeito Break desativa o bónus passivo de resistência a magia."
		"DOTA_Tooltip_ability_antimage_counterspell_magic_resistance"					"%RESISTÊNCIA A MAGIA:"
		"DOTA_Tooltip_ability_antimage_counterspell_duration"							"DURAÇÃO:"
		"DOTA_Tooltip_ability_antimage_counterspell_reflected_spell_amp"				"%AMP. DE FEITIÇOS REFLETIDOS:"
		"DOTA_Tooltip_Ability_antimage_counterspell_abilitydraft_note"					"<span class=\"ADBlue\">Aghanim's Shard:</span> A habilidade <span class=\"ADWhite\"><b>Counterspell</b></span> pode ser acedida ao ativar a opção de uso automático em <span class=\"ADWhite\"><b>Counterspell</b></span>."
		"DOTA_Tooltip_ability_antimage_mana_void"										"Mana Void"
		"DOTA_Tooltip_ability_antimage_mana_void_Description"							"Por cada ponto de mana em falta na unidade selecionada, é infligido dano a esta e a inimigos próximos. O alvo inicial também recebe mini-stun."
		"DOTA_Tooltip_ability_antimage_mana_void_Facet_antimage_mana_thirst"			"Concede passivamente um bónus de dano de ataque quando a mana de um herói inimigo descer abaixo de %min_bonus_pct%%%, aumentando conforme a mana descer ainda mais.<br><br> Se a mana do inimigo descer abaixo de %threshold_pct%%%, o Anti-Mage ganha a quantidade máxima de dano, assim como visão verdadeira sobre esse herói. Aplica-se a heróis inimigos a menos de %thirst_range% de alcance. Os bónus acumulam-se por herói."
		"DOTA_Tooltip_ability_antimage_mana_void_Lore"									"Depois de pôr os inimigos a seus pés, o Anti-Mage castiga-os pelo seu uso das artes arcanas."
		"DOTA_Tooltip_ability_antimage_mana_void_Note0"									"O dano é calculado com base na mana do alvo principal, mas aplicado a todos os inimigos dentro da área de efeito."
		"DOTA_Tooltip_ability_antimage_mana_void_Note1"									"O efeito Break desativa os bónus de visão e de ataque de Mana Thirst."
		"DOTA_Tooltip_ability_antimage_mana_void_mana_void_damage_per_mana"				"DANO:"
		"DOTA_Tooltip_ability_antimage_mana_void_mana_void_ministun"					"DURAÇÃO DO STUN:"
		"DOTA_Tooltip_ability_antimage_mana_void_mana_void_aoe_radius"					"RAIO:"
		"DOTA_Tooltip_ability_antimage_mana_void_bonus_attack_damage"					"BÓNUS DE ATAQUE MÁX. (MANA THIRST):"
		
		"DOTA_Tooltip_ability_antimage_mana_overload"									"Blink Fragment"
		"DOTA_Tooltip_ability_antimage_mana_overload_Description"						"Teletransporta uma ilusão para um inimigo ou local selecionado, a qual irá atacá-lo durante breves momentos. Counterspell é ativado nesta ilusão."
		"DOTA_Tooltip_ability_antimage_mana_overload_duration"							"DURAÇÃO DA ILUSÃO:"
		"DOTA_Tooltip_ability_antimage_mana_overload_outgoing_damage"					"%DANO CAUSADO PELA ILUSÃO:"
		
		"DOTA_Tooltip_ability_antimage_mana_focus"										"Mana Focus"
		"DOTA_Tooltip_ability_antimage_mana_focus_Description"							"O utilizador cria uma aura de antimagia que faz com que os feitiços de inimigos custem mais mana e concede cargas de Mana Break sempre que um inimigo lançar um feitiço. Concede passivamente ao utilizador um bónus de rapidez de ataque proporcional ao número de cargas de Mana Break que ele tiver."
		"DOTA_Tooltip_ability_antimage_mana_focus_Lore"									"Depois de pôr os inimigos a seus pés, o Anti-Mage castiga-os pelo seu uso das artes arcanas."
		"DOTA_Tooltip_ability_antimage_mana_focus_Note0"								"Durante o uso de Mana Focus, o utilizador pode ter o dobro das cargas de Mana Break."
		"DOTA_Tooltip_ability_antimage_mana_focus_bonus_aspd_per_stack"				"RAPIDEZ DE ATAQUE P/ CARGA DE MANA BREAK:"
		"DOTA_Tooltip_ability_antimage_mana_focus_duration"							"DURAÇÃO:"
		"DOTA_Tooltip_ability_antimage_mana_focus_bonus_spell_cost"					"%AUMENTO DE CUSTOS DE MANA:"
		

		"DOTA_Tooltip_modifier_antimage_counterspell"									"Counterspell - Escudo"
		"DOTA_Tooltip_modifier_antimage_counterspell_Description"									"Faz com que todos os feitiços (cujo alvo principal sejas tu) sejam bloqueados e refletidos de volta para o inimigo."
		"DOTA_Tooltip_modifier_antimage_mana_void"										"Cooldowns mais longos"
		"DOTA_Tooltip_modifier_antimage_mana_void_Description"							"Os cooldowns de habilidades desta unidade são agora mais longos devido ao efeito de Mana Void."
		"DOTA_Tooltip_modifier_antimage_dampen_magic"									"Counterspell + Shard"
		"DOTA_Tooltip_modifier_antimage_dampen_magic_Description"						"A reduzir a quantidade de dano de feitiços lançados em %dMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%."
		"DOTA_Tooltip_modifier_antimage_dampen_magic_bonus"								"Counterspell + Shard (Curta distância)"
		"DOTA_Tooltip_modifier_antimage_dampen_magic_bonus_Description"					"Estar perto do Anti-Mage está a amplificar o efeito de Counterspell."		

		//QUEEN OF PAIN
		"DOTA_Tooltip_ability_queenofpain_shadow_strike"								"Shadow Strike"
		"DOTA_Tooltip_ability_queenofpain_shadow_strike_Description"					"Atira um punhal envenenado que causa dano inicial considerável e depois dano ao longo do tempo. A unidade envenenada tem a sua rapidez de movimento reduzida durante %duration% segundos. Uma instância de dano é aplicada a cada %damage_interval% segundos."
		"DOTA_Tooltip_ability_queenofpain_shadow_strike_scepter_Description"			"Faz com que Shadow Strike seja usado numa área de %aoe_radius% e aumenta o dano inicial da habilidade. Quando Shadow Strike termina ou volta a ser aplicado a um herói inimigo, o alvo emite um grito como o de Scream of Pain que causa dano a inimigos por perto."
		"DOTA_Tooltip_ability_queenofpain_shadow_strike_Lore"							"O punhal envenenado de Akasha permite-lhe deliciar-se com o sofrimento causado às suas vítimas."
		"DOTA_Tooltip_ability_queenofpain_shadow_strike_Note0"							"A unidade afetada recupera aos poucos a sua rapidez de movimento original a cada segundo ao longo da duração."
